Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
EA_G__FAM83B	6.3988	4.2489	8.0882	7.5482	6.1591	7.1767	8.1613	8.9338	7.3558	6.2679	8.1672	9.0873	5.885	9.7395	9.0246	8.5407	4.7067	9.3121	4.5395	8.5196	4.3005	8.9319	9.9937	5.4213	5.593	7.5611	3.9742	10.6464	7.693	6.9275	5.2107	4.5717	4.6842	8.0655	7.971	7.8105	4.9443	4.6379
EA_G__SYTL2	6.4223	4.9566	6.8946	6.9103	8.1367	4.8492	5.4838	3.9633	4.0345	4.3987	6.4077	7.0164	5.1359	4.438	8.1738	3.9026	5.3483	5.8942	4.075	6.6446	3.8372	8.1534	9.1756	6.6909	5.6328	6.3496	4.8433	6.7037	7.0191	5.0262	4.9142	5.3838	3.4051	7.0082	5.592	4.812	8.4366	4.2671
EA_G__LTB4DH	7.9976	5.3933	9.1913	6.6689	7.4318	5.7698	7.1917	6.748	6.2842	6.1681	5.3361	7.7929	6.0232	7.5254	9.1557	6.4389	7.2612	3.6109	7.9631	6.1619	6.545	4.6447	5.2567	8.9637	7.6993	6.6093	7.5951	6.6409	6.0478	6.3848	6.5266	7.6098	6.4725	5.6131	7.3205	8.2498	7.3106	6.9444
EA_G__TFPI2	7.4112	5.7742	6.8889	4.1023	5.2059	7.6313	4.2376	5.2724	5.6988	7.7972	5.5013	5.2292	4.3233	5.223	4.7209	4.4873	5.8133	5.139	5.3328	7.5073	4.2327	4.6548	5.44	4.2051	6.5637	5.4829	7.751	5.7575	4.3729	5.1626	6.729	6.8534	6.8149	4.8815	5.0564	4.7585	4.3977	4.9919
EA_G__PSMD3	9.9672	11.2562	9.0404	11.7628	9.5694	8.956	9.6285	9.1444	9.0967	8.6145	9.4875	8.9127	9.2612	9.3474	9.2635	8.6464	8.9297	9.5538	10.2546	8.9207	9.0875	8.7585	8.7066	9.2011	9.3779	8.7809	9.327	9.0321	9.2325	9.8808	10.9908	9.223	9.6654	8.8172	8.747	9.5431	11.598	9.2223
EA_G__PLAU	5.9385	4.9315	4.724	4.8841	4.8479	8.6933	4.4801	8.7436	5.0131	5.279	4.9719	4.9397	4.9615	7.0979	4.7291	5.766	6.7666	5.7082	7.4742	6.0511	8.372	5.0009	5.0307	4.8073	7.1008	5.1139	9.1058	5.2563	4.9718	5.5771	6.7449	11.4254	6.0434	5.0122	5.0896	5.0643	5.9255	5.0074
EA_G__TP53I3	7.2072	6.49	7.4101	6.4218	5.7296	6.8989	6.3822	6.593	6.3786	5.8914	6.2579	5.8603	7.2299	6.7791	7.2272	7.1261	5.7907	8.2065	6.6747	6.855	7.2216	6.9246	7.2764	7.8446	7.3061	6.6389	7.6965	7.3598	5.8916	7.2624	6.6343	7.0675	7.4269	5.992	6.3766	10.7347	6.5291	6.4093
EA_G__DFNA5	4.4375	4.9524	5.0814	4.5784	4.6557	8.4986	4.6876	4.6458	5.1282	6.5279	4.5264	5.0703	5.5616	5.9883	5.1072	4.7021	4.5042	5.8293	6.3843	4.7786	6.9984	4.8523	4.6266	4.4233	7.4631	5.4062	8.2468	5.284	4.3728	4.9581	5.0627	7.5676	8.1967	5.0913	4.6634	5.3806	5.5044	5.0744
EA_G__ARHGAP23	7.2203	6.0053	6.2233	5.8044	6.1833	7.0529	5.4752	6.3843	6.9114	6.3489	5.4214	5.2812	6.1932	9.3409	6.2881	6.0159	6.4165	6.8485	7.6738	6.8463	7.8115	5.9048	5.7858	5.5407	7.3588	5.8461	8.653	5.7958	5.8236	6.2527	5.9964	6.9923	8.3173	6.3409	5.9923	7.0707	6.1537	6.2543
EA_G__FYN	6.4822	4.8816	6.1063	4.3322	4.2317	4.5595	4.1797	6.6783	5.2254	6.9111	3.9868	4.3095	5.2342	7.1599	5.2737	4.4185	5.5262	6.8905	6.7575	4.3306	8.3757	5.4058	4.5424	6.8396	8.064	4.864	7.376	4.0949	4.3392	4.9848	5.0097	6.3964	7.2559	4.5524	5.3704	4.4577	5.6385	5.4886
EA_G__PLTP	5.0073	8.5711	5.2753	5.2791	5.2349	10.3023	5.2284	4.7825	8.4926	6.2465	5.1712	4.9001	5.0077	6.7248	4.9769	5.2512	5.1362	5.2193	8.4584	7.8778	7.0504	5.3973	5.4912	5.1136	5.7376	5.922	5.4134	5.2568	5.2596	6.0475	9.1856	5.2902	5.3555	5.1643	5.5689	5.832	5.2921	5.5016
EA_G__IGFBP6	7.2425	6.9289	7.07	7.0777	7.168	7.3605	6.723	7.7389	7.3101	7.6525	6.9199	6.9838	7.1167	8.6513	7.0995	7.1885	7.4678	7.1169	7.8968	7.6673	8.6268	7.6983	7.3566	7.2095	7.7843	7.3105	7.9888	6.8878	6.8185	8.0771	7.4943	7.1879	8.4906	7.2053	7.5096	7.7037	7.4415	7.7723
EA_G__FGFR4	6.212	7.4027	6.3774	9.4947	8.6522	6.7252	11.1104	6.9616	6.8446	6.9437	9.9702	7.7334	8.649	6.9704	9.0064	9.4306	7.8246	7.3383	7.6825	6.2891	5.6839	7.6865	8.3879	8.0356	8.0349	7.9172	6.6169	9.9462	9.8037	11.4544	6.6971	6.6719	5.6794	8.3049	8.2707	6.8843	8.8386	7.8981
EA_G__VTCN1	8.5548	8.4065	4.2161	7.5452	6.2201	3.5205	8.5954	6.5572	6.2389	3.9224	8.7124	8.4635	8.9774	6.5605	7.6681	8.428	8.5877	7.1076	3.96	9.0505	3.5167	5.94	6.4774	5.1673	3.6512	7.8442	3.599	7.2457	8.9107	5.6222	9.5899	4.0347	3.5754	7.0528	4.6838	7.9421	4.3324	7.049
EA_G__NAV1	7.4175	8.9354	6.7217	5.4838	5.7925	7.8052	5.1032	5.0575	7.9118	7.629	4.8157	4.8473	5.8443	7.4442	6.9431	5.6569	7.9222	7.0711	8.0474	8.2228	8.6572	5.6577	5.8182	8.033	8.6836	6.9589	6.4817	6.5266	6.955	6.2838	8.7193	8.8574	8.4718	6.3187	6.2935	5.239	5.7713	6.5006
EA_G__BET1	6.3569	6.9957	6.2755	6.3838	6.4256	6.2745	6.7615	5.8252	7.0366	7.918	6.7614	6.4892	6.7832	6.2612	6.0473	6.8367	6.8871	7.0151	6.2255	6.5598	6.8018	6.5824	5.8896	5.7765	6.6229	7.0556	7.0148	5.7022	7.1447	4.6717	6.666	6.4714	6.6824	6.5547	7.9898	6.5079	5.7936	6.3249
EA_G__REPS2	6.5275	6.2241	6.9314	7.1806	7.7358	4.5458	8.1946	6.6843	6.0354	4.9365	8.4365	8.1252	6.6802	5.4823	7.2127	6.5473	7.2935	8.2511	4.7054	7.2418	5.2193	6.3946	6.8378	8.1829	4.8785	6.7219	5.5902	7.2359	9.1659	6.6638	6.8168	5.0851	5.6297	5.5005	7.4447	7.3572	8.9063	6.5573
EA_G__AXL	5.6804	5.1611	5.4463	5.4209	5.1827	10.2739	5.2109	9.8631	5.2949	9.4468	5.1746	4.9087	5.3032	8.9208	6.9786	5.4521	5.6583	8.6491	9.9664	5.4233	11.2512	5.5361	5.534	6.7552	9.689	6.5073	11.0247	5.0726	5.1294	6.1472	5.743	9.8877	9.9992	5.5417	5.7637	5.5023	5.4593	5.9543
EA_G__PLEKHA2	7.1913	6.803	7.5548	6.5699	6.9505	7.0212	8.056	6.1693	6.8387	6.144	5.8322	5.3397	6.7633	6.7739	6.2636	6.8222	7.5654	6.2065	9.2582	6.7399	6.4447	6.4472	5.9849	8.7015	8.2691	7.2099	6.2644	7.1486	6.7822	6.1039	6.6202	8.0243	8.578	6.8361	8.7067	6.925	6.6464	6.8863
EA_G__KIAA1467	6.6315	7.5406	6.6624	7.2865	9.3605	5.8311	8.6582	6.745	7.3667	6.7519	7.505	7.9446	7.4237	6.3595	5.9867	8.131	7.0355	6.5908	7.377	7.3791	6.2821	8.4645	9.6294	9.3226	6.5187	8.4148	6.7367	8.5894	8.7607	6.8448	6.5345	5.8873	6.6599	7.8531	8.4419	6.5175	8.1267	6.9619
EA_G__CHMP4C	6.9565	7.0253	7.3947	7.5918	7.4754	4.8844	7.1787	7.8679	6.6028	4.4485	10.317	7.7176	6.0677	7.5568	7.223	7.8252	7.8167	7.6065	7.0129	7.5536	4.1153	7.291	7.4487	7.2768	4.752	7.1539	6.6016	6.743	7.0289	7.3943	6.9426	4.4597	5.7615	7.3185	7.1496	7.4523	7.0903	6.9539
EA_G__PARD6B	6.6898	7.453	8.2745	7.9356	10.2482	5.6462	9.0659	7.4407	7.1044	6.5166	9.1497	8.5948	7.3837	7.1739	7.7258	7.5297	7.8017	7.1111	5.7964	7.4969	5.8639	9.8281	9.7913	7.6396	5.8916	7.8763	7.6107	7.4723	7.3893	7.1206	7.9257	6.5983	6.0187	7.9875	7.7564	8.7348	9.9907	7.2837
EA_G__CYBRD1	8.8064	4.3372	7.0609	4.9547	4.0631	7.6114	4.3254	5.7306	5.583	4.58	8.7916	5.217	5.8898	6.5731	4.8922	7.4008	4.6864	4.8483	7.1127	7.7659	7.2027	4.3843	4.8649	5.7059	7.9563	6.9987	7.6871	6.5278	6.7933	7.5195	4.923	8.6932	7.1187	8.8201	5.2229	7.3353	6.3207	9.0063
EA_G__PLCE1	6.8135	7.8735	6.768	4.6044	7.1905	6.6847	4.7285	7.5819	5.1961	4.3522	5.7793	6.6242	7.5885	5.937	6.8419	5.684	7.8865	4.2232	5.6112	6.4026	7.1553	4.5175	4.2639	4.7231	6.0015	5.5053	7.128	6.2214	4.2294	4.6147	7.5813	8.8057	7.4058	6.1404	5.3495	7.3688	7.8188	9.1919
EA_G__SLC7A2	4.1619	5.7925	3.7715	6.7311	8.2218	4.0757	8.7507	3.7876	4.1333	4.9639	5.9544	8.7823	6.0163	3.8374	4.2238	6.6085	3.8787	4.037	3.7082	3.9158	7.6908	8.0985	9.9521	5.9318	4.9481	6.4416	6.383	6.6805	6.0503	4.4132	4.5285	4.1797	8.1212	5.8559	4.0673	3.9632	7.5091	3.9987
EA_G__NT5E	5.9068	7.0846	5.1501	3.9196	3.2264	9.0413	3.3792	7.2634	3.8917	3.5081	3.4181	3.341	3.6388	8.5101	8.8687	3.6206	3.5929	6.896	5.2742	5.9823	10.1163	3.8698	5.5831	3.7838	8.137	4.099	10.8683	3.268	4.7321	4.3347	7.0175	10.6481	8.4554	3.5999	3.7861	3.4798	3.9113	3.5841
EA_G__DDAH1	8.2975	8.0848	8.152	6.8764	7.1266	8.5481	6.7475	7.913	5.1987	6.4624	7.6645	7.6054	7.5138	8.2456	7.3184	7.7187	7.9016	7.528	8.1061	7.6799	9.8182	6.4586	7.2951	8.4799	7.6619	7.2348	10.0483	7.3886	8.5508	7.5272	8.303	7.6419	8.2063	8.1604	8.0472	7.3595	7.8989	8.5058
EA_G__THBS1	10.1181	8.8537	10.1535	6.8427	9.5472	11.7756	9.5093	12.1592	9.5535	9.3881	6.4172	6.256	5.7423	9.8642	11.2382	7.5699	6.3827	11.5562	10.0309	8.1139	11.2999	8.4058	9.8527	9.6869	9.8837	9.7727	10.2805	7.7776	10.0528	10.1956	8.4328	5.1794	11.5545	7.7318	8.0413	8.8181	8.8273	9.1584
EA_G__SLC6A15	3.7785	7.1291	3.3198	3.273	3.5835	3.7372	3.1815	6.8971	5.2064	5.4965	3.1428	3.5551	7.6077	3.0742	3.4851	3.6928	3.4727	3.4102	7.1976	3.5516	3.4367	3.5232	3.5706	3.5068	5.6345	3.6135	3.5408	3.2714	3.3421	3.7884	7.2049	7.9561	3.8068	3.4867	3.9042	3.6704	3.4567	4.1987
EA_G__OLFM2	6.9079	5.547	6.5649	6.6675	6.4416	7.0342	7.1634	6.3654	7.564	7.2611	5.8302	5.6484	6.8719	5.951	5.8034	6.2664	6.476	5.9857	7.942	6.1818	6.022	6.28	6.5583	7.4585	10.4327	7.1608	5.4015	6.9463	5.5184	6.6936	6.362	7.077	6.4636	6.3492	6.8775	6.1343	6.9109	6.8023
