Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
EA_G__RHOD	9.4383	6.3205	9.3367	8.4884	9.4652	5.5742	9.5478	5.9601	8.9794	7.7977	9.6713	9.1259	8.1197	9.0276	9.3317	8.4561	8.733	8.065	7.6813	8.0761	6.3719	8.9545	8.7762	7.9949	6.3457	8.7998	7.5	8.5256	10.589	8.8677	6.6228	6.1711	6.7042	8.4099	9.6388	9.4683	9.594	8.1995
EA_G__FZD4	5.7889	5.5317	4.9638	6.8595	6.2736	5.6885	6.4988	5.8109	5.3941	5.7167	7.1435	6.711	6.2492	5.1574	5.9502	6.668	7.0618	5.2136	5.9353	5.5518	5.8336	6.0994	6.4704	6.0318	6.509	6.4918	5.6264	7.4599	7.0075	7.1602	5.3609	5.5266	4.6597	8.953	7.3894	6.5705	7.5894	6.5411
EA_G__S100A14	12.1606	11.7148	9.5587	11.289	11.27	4.4478	12.2259	9.3338	7.1653	5.7788	11.67	10.2776	5.6437	10.4498	10.811	10.6554	11.2622	9.7527	5.038	10.9988	5.5585	11.3198	10.6309	6.945	5.2235	10.7045	5.3671	11.2594	11.6653	10.9996	11.6593	5.6242	5.2591	11.5032	11.9228	5.3263	11.1298	12.1337
EA_G__TBC1D9	7.4411	8.3535	7.1464	7.6125	9.4084	6.2048	8.2922	5.6316	6.1005	6.2244	8.751	9.4283	6.6935	6.4304	6.9985	7.2152	7.8677	6.602	6.7832	7.9176	7.5388	8.4629	10.3338	8.8604	7.3339	8.5367	7.0702	9.0012	8.2913	6.6536	7.897	7.062	7.2625	9.282	7.818	7.18	7.4421	7.915
EA_G__C10orf38	6.2483	5.0201	5.3839	5.3107	5.1599	8.0693	5.1925	7.2034	9.0347	6.0324	4.802	4.8767	7.5243	6.0726	5.855	5.3286	5.238	6.5257	7.1925	5.3892	7.1998	5.5845	5.4859	4.9971	8.3927	5.5611	7.5852	5.2761	4.6143	5.828	5.3883	5.3581	7.9592	5.5203	5.5036	5.4112	5.5978	5.7005
EA_G__TUBB6	6.692	7.2698	7.7018	7.4183	6.4048	9.6368	6.551	9.5051	9.2748	8.7564	6.7473	7.8841	8.7984	9.0863	7.9565	7.0303	6.9209	9.1825	10.3276	8.0512	9.8505	8.3664	7.7207	7.2372	10.3152	6.4923	8.5128	7.6669	6.2429	7.2555	7.6011	9.9093	9.9172	6.749	7.1787	8.0286	8.0785	7.4806
EA_G__GPR81	4.9668	6.0516	3.5022	7.939	8.2233	3.5141	6.9006	2.868	3.5631	3.7151	8.6916	6.629	4.3242	7.1222	5.8908	8.5484	7.3637	3.5687	5.2175	4.6384	2.9743	7.6206	7.1395	6.8412	3.373	8.2863	4.1802	8.6643	7.4676	6.8526	6.064	3.7546	2.7273	7.8144	5.8669	6.462	5.8118	6.9531
EA_G__ZNF512	7.3129	6.7068	6.5863	5.5243	5.8936	8.1995	7.635	5.4786	7.3626	8.0255	6.0017	6.718	3.9479	7.3707	3.597	5.7202	4.7242	7.7137	6.9084	6.3021	7.5193	6.5412	6.2445	8.0595	4.3519	6.7414	8.0706	4.2979	7.1686	6.4379	6.7135	7.693	7.5241	3.7381	3.9734	6.6712	7.1651	5.0229
EA_G__DKK3	5.3981	5.5437	5.662	5.7281	5.4745	8.5109	5.6116	5.7278	6.3657	8.1004	5.4808	5.5502	5.6327	5.5621	5.7794	5.8143	5.638	6.2634	8.5884	5.6952	7.4382	6.0512	5.7428	6.6315	10.7195	5.8877	6.0222	5.2727	5.3942	6.4128	6.08	7.8756	9.2136	5.5876	6.1618	5.9572	6.0086	6.298
EA_G__VIM	5.3344	5.158	5.9012	5.9379	5.5988	10.7977	5.4171	11.3817	8.0182	11.1534	5.2627	5.1136	9.4485	6.772	7.9764	5.239	5.4915	9.8841	10.9289	7.2613	11.442	5.4061	5.6065	7.7675	11.8277	5.75	10.3946	5.2262	5.1511	5.8853	5.6673	11.8249	11.273	5.4748	5.6659	5.91	6.5815	6.071
EA_G__LTBP2	6.4939	5.7345	6.5526	5.8484	5.7214	5.8612	5.9966	7.2573	9.4343	6.9893	5.5716	5.7214	6.0676	6.828	6.5184	5.9301	6.3254	6.36	8.5798	6.1362	8.6763	6.3948	6.1604	6.2484	8.5092	6.593	6.5464	5.7252	5.5235	6.3771	6.142	7.3028	6.306	6.5798	6.3072	6.3083	5.977	6.5612
EA_G__IGF2BP2	5.3274	4.148	7.4447	3.9096	4.2959	8.766	3.9519	7.3402	4.3688	4.3263	4.1485	4.3259	7.0273	8.3885	7.7439	4.1497	4.275	6.2409	6.9871	7.7544	7.1361	5.5721	4.3172	4.4761	7.532	4.382	7.4978	4.1685	4.075	5.017	4.4165	7.5737	7.8986	7.1443	5.9502	4.389	5.6488	4.6377
EA_G__LDHB	5.2705	9.9549	3.3443	6.5869	5.9575	10.2955	3.0453	10.7181	11.0786	9.4898	2.9818	6.978	11.0733	10.7587	2.5138	3.7516	10.4313	10.2146	10.8921	8.2479	10.3377	3.5445	3.0401	2.8244	10.252	10.0613	11.1245	9.6888	9.633	3.417	9.8014	10.5553	10.9831	2.989	10.1744	5.3941	7.9447	3.5765
EA_G__SEPT3	6.9903	5.635	6.6031	6.7384	7.6211	7.1111	8.259	7.2777	8.3934	8.2094	6.1608	7.8876	8.5761	6.2407	6.9621	8.0979	7.1455	7.637	7.8916	8.5005	5.7086	6.6076	6.7981	8.7827	8.0446	6.7842	5.9076	6.2873	7.0206	7.3441	6.1114	5.7419	5.6368	8.9265	5.9289	6.4781	6.64	6.1824
EA_G__EGR1	7.2232	8.7098	8.5662	6.3103	8.1336	7.8221	6.1358	6.6678	6.5339	6.5598	6.3202	6.1111	6.802	7.4299	7.0737	7.3802	6.53	7.0966	8.2822	7.5578	7.8292	7.87	7.7604	7.3577	6.6488	7.4059	8.9551	6.8846	6.5683	6.7538	7.0109	8.5028	6.8387	6.121	6.7924	6.1829	7.0234	8.3936
EA_G__TIMP2	8.0733	8.3458	7.5595	5.3944	8.578	8.7678	6.3471	8.206	6.7557	9.266	6.5326	6.6301	7.4328	7.6423	8.8436	4.6538	6.5074	8.6701	9.1357	7.1354	8.2937	6.9135	6.629	7.6709	9.9272	7.2971	7.5771	5.6731	6.6532	4.7218	8.7064	9.815	8.3924	5.6884	6.477	7.3707	8.4241	6.2914
EA_G__PRNP	8.5325	8.966	9.4338	7.1683	7.8965	10.0008	4.5591	9.9432	9.4469	10.1123	6.5717	6.5746	9.6536	10.7038	10.0801	5.4384	8.4081	9.0153	10.7803	8.4326	9.5619	7.9611	6.9297	6.4105	9.4125	8.7312	9.6684	7.846	5.9126	6.856	9.276	9.3299	9.619	7.018	8.8016	7.8626	8.2148	7.003
EA_G__MYO5C	8.7021	7.8463	7.275	7.9832	7.3393	4.007	8.6099	7.3812	6.793	3.7876	8.5988	8.705	3.62	7.8221	6.9236	7.8323	7.7686	7.586	4.5314	8.1173	4.1085	9.2621	8.7398	7.5274	3.747	7.8407	7.0582	7.7598	8.3844	7.2253	7.5109	3.8417	3.955	7.9313	8.2857	8.322	7.6815	8.7005
EA_G__LOXL1	8.8376	7.4349	7.7394	7.7773	7.7061	9.0295	7.7618	7.752	10.6471	8.9133	7.4156	7.31	8.0085	7.4587	7.4168	7.5779	7.5758	7.4601	8.8739	7.7037	9.9236	7.5935	7.9409	8.9285	9.9529	7.5511	8.058	8.253	8.0283	8.322	7.6632	9.634	8.9559	8.8333	8.7906	7.5289	7.9717	10.1314
EA_G__LRP1	7.3455	5.8054	6.5213	5.7512	6.6153	7.2126	5.7528	6.4076	8.0052	8.9511	5.5205	5.6759	7.0528	6.513	5.8578	5.8021	5.5253	6.5772	8.0746	5.9964	8.4479	6.5123	6.3447	7.2488	7.5366	6.4919	5.8946	5.9961	6.6637	6.8374	5.9299	8.0212	6.5519	5.6962	6.8541	6.1843	6.9752	6.5493
EA_G__ASAM	4.8114	5.6733	5.5677	4.7681	5.4879	6.7381	4.9316	4.7475	5.066	9.2454	4.715	5.2325	6.9802	8.5412	5.1787	5.0131	5.2943	5.2275	8.3252	5.3162	10.0925	5.1602	5.1685	4.815	7.6896	7.4335	6.0968	4.823	5.0188	5.7042	5.5786	8.0168	10.0129	5.001	5.3421	5.526	6.6321	5.5464
EA_G__ANPEP	6.8343	5.9528	5.3783	5.4461	5.4878	11.5006	5.3386	5.215	7.8921	6.1665	5.1413	5.3679	5.2457	9.4036	5.5622	5.7574	5.5417	5.4591	8.0727	6.9193	9.248	5.723	5.6553	5.3523	9.2404	5.4979	5.2504	5.238	5.586	5.9814	6.0553	12.6822	11.0415	5.504	5.5284	5.6926	6.1733	5.851
EA_G__KIRREL	7.5887	5.9225	6.9042	5.6081	5.7258	10.3544	5.5244	9.7389	9.3978	9.7405	5.3224	5.3906	10.1946	9.2642	8.6382	5.5212	5.5174	9.3051	9.8443	7.0456	9.2853	5.8194	5.7806	5.2632	10.0757	6.4854	8.5703	5.2519	5.8751	6.4035	5.6421	10.2171	9.3106	5.6723	5.7361	6.8062	6.3514	6.1705
EA_G__UGDH	7.0525	7.5249	7.607	8.0492	8.1962	7.6362	7.231	5.8479	6.3252	9.9588	10.8151	5.445	7.3664	6.9732	8.2994	7.9638	8.1909	7.2931	7.6884	6.3928	9.0144	8.8524	8.0119	8.505	8.1834	8.2551	7.7175	7.7366	8.3347	6.4367	6.9406	8.1264	7.9125	9.7694	9.1289	6.3762	9.0015	10.5797
EA_G__LOC349196	8.0785	5.8941	7.1981	6.0111	6.4224	5.6908	6.2716	6.8299	7.6618	6.563	6.8093	6.4141	6.9354	6.0345	6.728	5.7727	6.0867	5.8519	8.2137	5.7968	5.9554	7.1532	6.387	7.7093	6.5907	9.0873	6.6802	6.4903	6.2809	6.5531	6.1947	8.5725	5.9493	6.1833	7.1536	6.0121	8.2888	6.642
EA_G__CHST11	5.5933	8.479	7.6473	6.3925	5.3695	5.6775	4.7302	6.1573	7.3959	7.1552	5.6205	5.3228	8.1747	8.4095	7.4488	6.8241	8.8412	7.4478	6.4102	5.7773	5.0518	6.2274	5.954	5.2161	7.4221	7.3829	7.2048	8.3594	5.2322	7.6196	8.0307	9.1393	7.0447	7.6509	5.4991	7.2041	5.7816	6.4209
EA_G__PRKCDBP	4.8323	4.9869	6.6066	4.8024	4.8467	7.0079	4.9027	9.1517	5.7634	8.3214	4.4053	4.6242	7.4982	8.1819	4.8293	5.3299	5.4113	6.7699	7.3649	6.0356	8.2985	5.6818	5.3427	4.9622	7.9633	5.8675	8.1638	4.8741	6.2092	5.7995	5.1549	8.6926	8.5386	4.9303	4.9373	5.379	5.3021	5.7586
