Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__DGKA	7.433	4.4751	6.2646	5.3974	7.4241	6.2792	4.3122	6.5983	4.6969	6.6392	5.6883	5.5778	5.0049	7.7338	4.6749	4.6922	6.892	6.0061	7.839	7.1502	5.6762	5.7356	6.4423	7.7294	7.3961	7.82	5.9852	5.4855	6.732	7.4715	7.0566	5.9385	7.5065	8.9425	7.8377	6.8881	6.7272	6.9672
EA_G__CASKIN2	7.6011	7.3359	7.6148	7.5427	8.1321	7.0714	7.8006	7.509	7.4029	7.4591	7.2616	8.3236	7.3482	6.8615	7.0004	7.2135	7.2855	7.1834	7.3138	6.7536	8.6303	7.0034	7.2135	7.6133	8.7965	7.2082	8.7073	7.608	7.3409	7.3259	7.1055	7.4963	7.711	7.4028	7.4153	7.9668	7.9551	7.8924
EA_G__A4GALT	5.7224	5.8089	6.1913	5.7502	7.6522	6.7222	5.4072	8.7285	5.9331	7.7788	6.5144	9.8981	6.3584	6.1284	5.7258	6.3435	5.7712	5.9156	6.088	6.0808	7.4518	5.9053	6.4745	6.4087	7.1119	6.1523	6.0566	5.8012	6.3533	6.6638	7.4512	5.9948	6.5881	6.8593	6.5861	7.9469	5.4932	6.1123
EA_G__ID3	8.6637	8.7567	8.2871	5.7685	7.4438	9.4338	9.0323	7.5827	7.4201	8.5902	9.1811	7.0131	6.3124	9.1004	7.5789	8.559	8.2351	10.2381	8.8913	8.7089	8.4088	8.5196	8.292	8.8033	8.0057	10.8247	8.3927	9.5854	6.7457	10.0836	9.5694	7.3623	8.5996	8.1312	7.3736	7.889	7.0466	8.4828
EA_G__SECTM1	9.308	7.7626	6.1433	6.4991	7.1372	5.4408	6.695	7.2996	6.0516	7.0802	5.3865	5.8299	8.1885	5.8766	7.277	5.659	5.7359	5.6122	8.0082	7.2774	5.984	5.3917	6.2122	6.2113	5.6221	5.5241	7.2426	7.7067	5.7317	8.1738	7.4491	5.898	6.9697	6.3637	6.674	6.3723	6.4831	8.8253
EA_G__SERPINA3	7.1642	6.2177	6.0548	6.1217	10.7679	4.5974	4.6526	7.2069	5.2839	5.7238	4.8075	7.73	8.916	6.2128	7.2437	4.5667	10.8451	7.5614	11.2599	4.8088	9.7436	8.8367	5.4273	5.3343	6.8694	4.8506	5.4777	5.6327	5.7561	7.2209	4.8189	6.2909	8.8691	7.9501	7.1982	10.398	4.7585	6.6997
EA_G__PDGFC	6.2406	5.2252	5.8828	4.5988	4.6285	6.9602	4.254	6.6341	6.9329	6.5961	5.683	4.128	4.3127	5.6638	7.0851	6.1259	5.5105	6.0058	6.6886	6.8017	4.408	3.7897	6.6632	4.9434	5.6458	4.57	5.3536	4.9157	8.2663	6.9944	7.0339	3.9536	7.7297	5.2456	6.1582	3.8801	5.4219	5.5455
EA_G__KRT13	6.9552	7.2847	6.701	6.1001	10.33	5.8539	5.749	6.2374	5.8131	5.8504	5.8338	8.2877	5.8424	10.2844	6.4656	5.958	5.8992	5.5661	5.9554	5.8534	6.0885	5.618	5.3836	6.2938	5.6344	5.7481	6.6622	7.0171	5.947	6.2364	5.6979	5.7858	5.9224	6.0699	7.0802	6.0486	5.977	5.6948
EA_G__TRIB2	6.3251	7.4633	7.6453	6.9795	7.3305	7.0461	6.2604	8.149	7.1774	8.8205	6.4106	4.9665	8.0469	7.8377	7.5341	8.184	7.7129	8.4184	8.9656	8.5709	6.1722	7.1005	8.9665	7.2008	6.833	8.5039	7.8125	6.8634	7.1566	6.2633	6.061	7.5797	7.083	6.4467	5.2126	6.9588	7.4249	7.903
EA_G__PLEKHA2	7.1913	6.803	7.5548	6.5699	6.9505	7.0212	8.056	6.1693	6.8387	6.144	5.8322	5.3397	6.7633	6.7739	6.2636	7.5654	6.2065	9.2582	6.7399	6.4447	5.9849	8.7015	8.2691	7.2099	7.1486	6.7822	6.1039	6.6202	8.0243	8.0466	8.578	6.8361	6.786	8.7067	6.925	6.6464	6.2896	5.8709
