Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__ZNF772	3.4741	5.9614	5.8263	6.1535	7.5782	6.4878	6.043	6.5578	6.4763	5.906	5.4749	7.9019	5.5932	7.2329	4.4548	5.6856	6.1812	7.0567	5.7735	5.8018	5.848	6.6473	5.9141	6.188	6.9224	7.2034	6.3847	5.7905	6.5167	5.7084	5.6054	6.7026	6.4004	5.5536	6.5342	5.1591	6.1564	5.6997
EA_G__IDH2	9.4084	9.0203	8.5981	10.3873	10.7588	8.0667	9.7965	8.2773	9.6941	9.8823	9.9588	7.8733	9.0831	8.6125	8.1028	9.1842	8.4942	8.9461	10.4002	6.776	9.9548	9.1699	8.3399	10.0707	10.4101	8.7147	7.8956	9.5364	8.6078	8.1004	7.7049	8.7028	9.0819	9.8275	10.3343	9.4696	10.5446	9.3732
EA_G__RDH10	9.1517	9.0883	7.5021	6.843	6.2959	8.3037	6.7244	6.7136	5.8555	7.8794	7.7617	6.713	8.219	7.7211	7.5158	8.3832	6.2322	6.3912	9.4819	7.3706	6.2381	6.2231	6.5457	7.55	6.8019	7.9099	7.6223	7.884	6.3739	5.7911	5.6833	7.5739	5.9952	7.5585	6.6152	7.9319	6.5493	6.467
EA_G__KRT14	6.3758	6.115	6.4382	6.0843	6.0342	6.0893	6.3292	11.4044	6.5649	10.3214	5.9201	6.1737	6.0123	9.4913	6.748	6.2606	9.212	5.8156	8.4846	10.1044	6.5085	6.2081	5.8259	6.5852	5.9269	6.4945	6.7564	6.5147	6.3258	7.595	6.0282	6.0932	7.3502	6.5879	6.4192	6.4347	6.3393	6.1049
EA_G__LMO7	7.6731	6.5284	5.8834	5.5825	6.1239	6.081	4.106	6.1256	4.5288	5.9374	7.3607	4.6904	4.8826	7.0428	6.5727	6.1652	6.0387	5.387	6.0907	8.0948	4.666	4.7513	6.0843	7.3314	6.8938	4.2532	4.6378	5.6083	4.7084	6.4778	5.7408	7.5781	6.9107	4.877	5.8103	6.4448	5.9205	5.7893
EA_G__TRAM2	7.4919	7.4497	7.1947	7.7429	7.2405	8.3778	8.3583	8.7676	5.9855	7.3391	8.2415	7.5937	7.8997	7.4105	7.6465	7.4326	8.3299	7.2095	6.8508	10.1703	7.4153	7.3019	8.4506	7.2469	7.9978	8.0145	7.3065	7.4146	8.1999	6.9641	7.2903	7.6341	6.5949	6.9516	7.3451	7.2498	6.8629	6.4375
EA_G__MFAP2	5.7826	6.4032	5.8835	5.9616	7.052	7.9288	5.6943	6.8463	8.2588	6.953	5.4328	7.2136	5.8401	6.7847	5.8888	7.0134	5.9638	7.7595	6.3354	8.4242	6.2912	7.792	7.3194	6.6679	5.7406	5.6681	7.0369	7.0438	8.2636	6.6736	6.0061	8.6836	5.9257	6.235	6.3832	5.7762	5.8864	6.4897
EA_G__NR4A1	7.0106	8.5142	6.4987	7.7492	7.3327	6.1782	6.5968	6.4658	5.8281	6.2776	7.4587	6.4468	6.6935	6.1826	6.3809	7.2553	6.2234	5.8215	6.1123	6.041	7.2685	6.542	5.7641	7.5251	7.1353	6.7565	6.7356	7.0525	6.0845	7.8922	6.6425	6.9256	7.2672	7.5309	6.7901	6.6764	6.9464	8.454
EA_G__INTS2	7.2151	6.7012	6.7113	7.2601	7.4253	6.4691	7.3178	7.4116	6.4775	7.149	7.3245	8.1638	7.1226	6.9457	7.2394	6.5345	7.4087	7.8691	6.0655	7.1747	8.9319	6.9755	7.7431	6.6139	8.5325	6.2997	7.3884	6.2112	7.546	7.0627	7.3497	7.3037	6.3364	7.8161	7.6856	7.5579	7.8745	7.6142
EA_G__GREB1	7.7266	5.1994	4.9872	8.065	9.9004	4.9192	8.3065	5.0069	4.9788	5.0048	5.6605	10.3094	5.0213	4.7545	5.1244	4.9551	5.1207	5.0989	5.1942	4.9357	8.8045	7.495	4.9269	5.5524	10.088	5.7659	5.3925	5.4098	4.7723	5.3523	4.9276	4.9994	4.9946	7.1014	8.7221	8.5094	5.2315	6.7104
EA_G__FJX1	8.3967	5.5806	6.0986	4.9649	6.9083	9.0274	6.719	9.9085	6.8217	6.0156	5.9123	6.1875	9.0239	7.8271	8.5625	7.6401	8.2594	7.1323	6.3296	8.4796	5.7965	7.8509	8.9907	7.6792	6.5637	7.2206	7.9145	6.3355	8.3063	8.4438	8.6121	7.8131	7.6374	7.4963	7.972	7.0963	6.8239	7.4267
EA_G__FAS	5.2964	4.3814	4.7546	5.5666	4.5598	6.8075	4.351	3.9808	4.755	7.461	3.7128	4.5233	5.2159	6.6827	6.6267	3.9523	6.3324	7.5096	6.4286	6.8271	5.2312	4.1912	6.2432	5.2975	5.0033	4.0033	4.6971	4.0116	7.1214	6.6558	6.8109	4.5431	6.5784	6.22	7.0896	4.4007	6.1656	6.8306
EA_G__MFSD2	7.2966	7.7164	6.0506	8.6138	6.477	6.0257	6.2412	6.2149	8.0212	5.8516	6.1562	5.419	6.3786	6.6083	6.4054	7.0198	6.887	7.071	7.4308	6.0344	5.7796	6.8238	6.7033	7.2184	5.9641	8.505	8.7674	8.0289	6.471	8.3094	7.1014	10.8495	6.757	7.2966	6.0039	7.0495	5.3309	6.8767
EA_G__HIST1H4L	11.1691	7.4853	8.4087	7.8753	7.3127	8.2892	9.1924	7.3384	11.8558	10.7578	10.7429	7.5552	7.6374	11.4434	7.9264	8.0713	11.5034	11.3114	10.6971	7.7063	7.6204	7.1825	11.3095	6.8386	7.5211	10.2608	9.6633	7.8799	7.5176	10.7647	7.906	9.8602	6.3437	7.606	8.0197	10.552	7.5638	8.3576
EA_G__TGFA	6.3629	5.5145	7.6284	6.1973	5.791	5.3757	5.4324	8.1416	6.3221	4.9146	6.4146	7.4134	5.2882	8.1292	7.6788	7.2032	7.1936	5.1957	7.2558	5.0225	5.81	6.5098	5.1393	6.0162	6.3208	5.4841	5.7603	5.7866	5.3489	6.6355	5.6539	6.6669	6.7139	6.6719	6.4806	6.862	6.463	6.1656
EA_G__SSFA2	7.9	8.0602	9.7001	7.5702	8.2629	7.7693	7.2627	9.1545	6.9718	8.4744	9.7091	7.8514	7.9485	9.3286	9.1135	7.8362	8.564	8.0507	8.5076	8.5876	8.2823	7.4516	8.5337	7.8215	8.2148	8.6012	7.4493	7.7685	8.9618	8.325	8.4449	8.3265	8.6295	7.735	7.4827	7.6748	7.8001	10.9545
EA_G__DDIT4	8.6783	7.2884	6.2069	7.442	6.1432	8.8269	7.2363	7.4689	9.2215	9.3694	7.2896	7.6924	8.8701	7.8393	7.7573	6.1376	8.5399	6.4766	7.6216	6.9436	8.9867	7.4689	7.2699	8.1477	7.9672	8.1268	8.6736	8.4196	10.2708	9.6827	9.0705	7.7182	9.1796	9.4159	6.8985	8.066	9.315	9.0621
EA_G__SLC16A1	4.1518	4.5175	8.7535	4.621	5.0518	8.3945	6.9479	8.2121	6.7131	8.0753	4.1803	6.0711	8.1756	9.6833	7.5445	4.3803	8.5633	9.301	7.8102	8.2915	6.3272	6.7496	8.5674	5.5971	4.7554	9.2031	5.243	5.3943	8.0807	8.4519	8.8065	6.2744	5.3618	6.7559	5.7245	3.8845	5.3972	7.3424
EA_G__BRF2	6.6475	6.2276	6.4428	7.0071	9.4145	7.2164	7.8488	7.1488	6.7196	6.3591	8.1825	7.3209	8.0953	6.3615	6.3304	7.0131	6.7187	8.2402	6.0198	6.7729	6.6157	9.5028	7.437	6.6202	8.153	6.7856	6.8661	6.5485	6.3313	5.8399	6.6518	7.0016	8.8859	8.022	7.1646	6.5129	7.7892	8.2845
EA_G__HEATR6	7.3025	6.2164	6.0827	9.2689	7.3956	7.1301	6.6588	6.9035	6.5789	6.843	8.5608	8.4039	6.8859	6.5932	6.5852	6.704	7.6907	7.7526	6.1136	7.0739	10.439	7.1498	8.2846	6.6177	8.5679	6.7043	7.0077	5.8606	8.1886	7.1329	7.5206	6.0586	6.6064	6.5455	7.4842	7.2993	7.4352	8.0134
EA_G__ST14	9.3704	10.0699	9.5095	9.4025	9.5064	5.3989	8.4103	9.1952	10.6256	5.1965	8.8454	9.6956	8.111	9.82	10.1543	10.002	9.6359	5.0132	9.7185	5.5207	8.8239	7.8911	5.3651	8.6958	9.328	8.803	9.6571	10.0178	5.6156	9.5955	5.7331	8.6079	9.2113	8.7602	11.0696	10.1267	9.1367	9.6422
EA_G__PNPO	8.7882	8.1562	8.3341	8.2753	8.9159	7.7222	9.2247	10.6234	7.8616	7.9387	11.3371	8.8667	8.2731	8.6054	8.5096	8.3666	5.1365	8.9765	8.508	8.3284	9.8038	8.6813	7.5153	8.7336	9.8215	8.2369	9.3371	8.0346	8.2333	8.4208	8.7819	7.4562	8.8604	9.2944	9.1859	8.9543	9.8133	10.073
EA_G__GPR126	6.8478	8.0341	7.8439	6.6201	6.7439	7.9196	6.9405	8.109	5.7541	3.8332	6.7778	6.4435	8.8443	7.4616	7.5043	9.3007	6.4323	8.5359	7.2764	4.4042	7.8803	5.5127	5.7475	7.123	7.1496	6.6251	5.4252	7.7016	4.9384	6.4364	6.2928	9.739	7.1248	7.3974	7.062	8.2171	7.2827	6.9298
EA_G__MUC5B	9.6932	6.4361	5.9022	6.9314	7.7404	5.8684	6.7346	7.1014	5.912	5.8945	5.7874	6.5453	7.6719	5.7623	5.913	6.0889	5.8992	5.7273	6.1171	5.8392	6.814	6.4839	5.7219	7.028	7.1666	5.8982	6.7563	6.287	6.0671	6.2929	6.0471	5.946	6.0624	6.3067	6.072	9.8801	6.2141	7.8827
EA_G__CDH3	8.0101	5.1951	10.147	6.9549	7.6188	5.4942	7.4115	9.5192	6.1488	5.5321	7.326	5.9178	8.1394	9.7129	9.9722	4.9294	9.4837	8.6547	10.7202	4.9418	7.8053	6.9777	4.5188	8.8797	9.6948	7.3427	6.572	5.1669	10.1362	9.5189	5.0787	9.3377	8.7663	8.4046	7.9019	6.3193	9.3828	8.6835
EA_G__KRT15	6.6447	7.3006	7.2444	7.5904	10.0685	4.6526	4.7242	8.7603	5.3217	4.7074	11.2798	6.6491	8.6675	10.2787	11.5355	6.6294	9.1835	4.323	7.0635	4.5703	5.4125	5.1034	4.2498	8.0252	5.8626	6.1464	4.569	6.5217	4.726	6.2376	4.6378	7.824	5.3929	5.7526	6.9139	5.7426	4.8536	7.2027
EA_G__EREG	5.0532	5.3759	8.6708	4.9849	5.4965	4.8684	5.0703	5.0926	4.8013	5.086	5.5058	4.9011	4.9719	7.1948	6.1416	5.2788	5.0953	4.7106	5.6875	4.8778	5.2925	5.2729	4.8486	4.9866	5.1887	5.172	5.8093	5.3422	5.1829	8.3569	8.3058	4.819	6.7746	5.42	5.1217	5.3123	4.9333	5.0928
EA_G__APOL6	6.746	5.8515	7.0023	3.9178	4.4778	6.5102	4.1502	6.6456	7.3032	6.392	4.4163	4.5239	7.0243	7.3936	7.636	6.3608	5.1484	6.5327	8.7211	6.4086	4.1977	5.0472	7.0424	5.3689	4.2165	7.3372	4.81	6.0351	4.9995	5.9265	6.0161	6.6903	8.6586	5.8541	4.7923	4.605	4.0734	3.9093
EA_G__ATP8B1	8.6732	8.5976	7.7002	9.9985	8.2739	8.1961	7.7017	7.7836	5.5933	5.1758	8.4255	8.1595	6.8932	6.3885	8.6495	7.2505	6.7173	4.7127	8.2731	9.4149	7.2851	8.0837	5.7108	8.0812	8.7586	8.124	7.6608	8.2479	7.0711	6.0493	8.112	8.9855	7.876	7.3947	7.0884	7.7625	9.0062	10.1866
