Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__PDGFC	6.2406	5.2252	4.5988	4.6285	6.9602	4.254	6.294	6.6341	6.9329	6.5961	5.683	4.128	4.3127	5.9231	5.6638	7.0851	5.5828	6.1259	5.5105	6.0058	6.6886	6.8017	4.0501	4.408	3.7897	6.6632	4.9434	8.0265	5.6458	4.57	5.7232	5.3536	4.9157	6.8627	8.2663	6.9944	7.0339	3.9536	5.2456	6.1582	3.8801	5.8732	5.4219	4.398	5.5455
EA_G__PLXND1	8.4841	7.676	6.7531	8.4025	6.1691	7.3083	7.7008	6.6701	8.3487	7.0234	7.7191	8.7714	7.9056	7.1263	6.8018	6.2004	6.6459	8.554	6.3407	7.9336	8.1718	7.47	8.4443	7.9899	6.9441	8.8234	9.7495	7.071	7.553	7.083	6.9248	7.9119	6.8313	5.9076	6.881	7.4619	6.1199	9.7749	7.7438	7.6225	8.5472	7.057	6.6854	7.3386	7.1503
EA_G__CASKIN2	7.6011	7.3359	7.5427	8.1321	7.0714	7.8006	7.4197	7.509	7.4029	7.4591	7.2616	8.3236	7.3482	7.4533	6.8615	7.0004	8.2032	7.2135	7.2855	7.1834	7.3138	6.7536	8.5084	8.6303	7.0034	7.2135	7.6133	7.2308	8.7965	7.2082	7.0008	8.7073	7.608	7.035	7.3409	7.3259	7.1055	7.4963	7.4028	7.4153	7.9668	11.2389	7.9551	7.3629	7.8924
EA_G__ISYNA1	8.5632	7.4039	7.168	8.9459	7.9119	7.6617	7.4435	8.5353	10.784	7.6681	7.5998	9.1415	8.7706	8.3458	7.5468	7.4392	7.8465	7.1114	7.4558	7.5032	9.5082	5.3602	8.0299	8.9072	9.6594	9.305	9.2692	6.1151	8.4386	7.7421	8.523	9.8901	8.0141	6.0846	9.7709	7.7433	5.7352	9.1475	6.0251	9.0135	8.5699	8.2395	8.7946	6.1953	9.0171
EA_G__STAC	4.6901	5.967	4.4744	4.4739	8.7517	4.4143	7.3387	8.7019	5.2245	6.8093	4.2275	4.1802	4.3895	5.9041	6.5323	7.7776	4.7595	4.569	6.183	6.74	6.7671	7.8582	4.503	4.5206	4.5124	6.7276	4.6546	7.5021	4.3421	4.3729	6.1613	4.7293	6.4295	4.6968	4.531	5.9112	7.5436	4.6565	4.9889	4.5177	4.371	4.436	4.5517	5.0755	4.6534
EA_G__SLC39A8	7.5069	5.2339	7.0481	5.9744	7.7922	5.9074	6.4987	7.5774	5.9204	7.8345	8.7128	6.1333	7.0918	7.38	7.9149	7.5197	7.1205	7.5713	8.1024	6.6158	9.0195	7.128	7.881	7.1336	4.6784	7.0412	7.0472	8.3751	8.6047	7.8042	7.8398	7.489	5.4089	7.3364	7.1187	10.3383	8.1133	8.1534	7.8607	8.4558	7.6448	6.1838	8.2974	6.6249	7.7944
EA_G__CACNG4	8.4308	7.5358	8.1032	9.2906	6.8087	9.2541	7.2291	5.6569	5.5719	5.8529	8.0835	9.0764	5.7716	5.8549	6.1478	7.1012	6.3777	7.839	6.7572	5.5176	6.431	5.6094	9.1382	8.0995	8.3302	7.8307	8.431	5.7591	9.7756	8.0782	6.093	7.9557	7.3151	5.6334	5.791	5.8689	5.7018	8.4194	7.2037	8.0248	8.5048	9.0385	5.6487	9.841	6.6438
EA_G__COTL1	5.9198	7.0348	6.6603	7.9471	8.8765	6.1352	9.0772	8.5549	7.4247	8.4905	6.565	7.2202	7.2821	9.2408	9.7896	9.7695	6.152	6.8316	9.2709	9.1656	9.3668	8.8264	7.2009	7.0144	6.3387	7.8644	6.9472	8.3797	6.4174	5.9237	8.5829	7.2764	7.4072	8.3079	7.7958	7.976	9.0746	6.9195	7.2679	7.4007	7.0112	5.7906	6.5166	6.3072	6.9788
EA_G__ATP7B	6.2045	5.8567	8.4859	7.6758	5.5861	8.0376	5.5475	6.1909	6.562	5.3359	7.9776	9.3079	6.3782	5.2183	4.7565	5.8059	7.0642	5.7551	5.9086	5.888	5.2875	4.8425	6.5883	6.4678	5.873	6.1273	7.1474	5.1534	9.4854	8.2401	6.3691	5.8082	6.645	5.7426	6.3643	5.7143	5.6434	6.7281	6.1749	6.2514	9.3683	6.8373	7.6427	6.5641	6.5602
EA_G__FAM77C	5.5986	5.2746	5.8177	9.2404	6.2285	6.2276	6.5124	5.3808	8.9727	5.7255	5.6698	8.9535	6.7136	5.356	5.6356	5.4778	6.8957	5.3006	5.5056	5.3072	5.7193	5.0108	6.0272	7.3493	10.7015	7.2011	5.5719	5.2503	6.1178	5.1351	5.8361	6.0575	5.6643	5.1419	5.5834	5.2124	5.4421	6.2118	6.0491	6.0703	7.1372	8.2077	5.5503	8.1041	5.5351
