Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
Response	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1
EA_G__CACNA1H	6.0676	6.82	7.2696	9.4583	6.1214	6.1458	7.018	5.7582	6.1617	6.0673	6.1627	6.4997	7.3923	6.3318	5.8868	5.9737	6.2978	6.1446	6.0735	5.927	6.2132	5.9137	8.2955	7.6072	8.1588	7.4458	8.0116	6.0461	7.8382	5.8969	6.3647	6.8471	6.4679	6.1379	6.0852	6.2573	6.1246	6.197	6.8091	7.2879	8.0756	6.4027	6.2936	7.9896	7.955
EA_G__PLOD2	6.1911	8.3419	7.0175	6.9131	10.2933	6.8168	7.9873	7.2038	5.3942	8.7914	7.1322	7.4866	8.0339	6.5989	8.2857	9.3417	7.8623	4.782	8.6845	9.2717	8.4052	9.1792	7.4818	7.5432	4.2248	9.0537	5.9173	8.1487	7.3068	7.3589	5.8456	6.2115	7.2225	8.2196	7.589	9.2253	8.3727	7.0657	7.2993	8.5125	7.6262	5.7386	6.8806	4.7021	7.1493
EA_G__GNG12	7.9257	8.0554	6.9215	6.2823	9.5214	5.0723	8.5558	8.6155	6.8475	8.645	7.8236	7.2029	8.1673	7.6447	8.9862	8.8599	7.5179	7.3246	8.9495	9.2848	9.2523	10.1455	5.2669	6.6554	6.6615	8.7552	6.672	9.0735	6.6523	8.8439	9.0434	7.2152	7.7602	9.2004	9.7441	7.9395	9.8269	7.4973	7.8464	7.0967	6.8414	7.6178	6.0561	8.1789	6.6101
EA_G__LEPREL1	5.7216	5.3689	4.9851	4.4724	10.3012	4.557	8.5513	8.9252	6.2886	8.0287	4.8272	4.6886	7.0575	7.3377	10.557	8.7823	4.979	4.9267	6.6553	7.275	10.0194	7.8041	5.1104	5.2716	4.6323	7.7667	5.025	8.5047	4.5016	8.1409	6.0743	5.3213	5.515	6.6211	5.8187	7.5245	8.0967	4.9053	5.3778	5.2092	5.118	4.8146	4.9238	5.2286	4.7824
EA_G__PLSCR1	6.007	4.9531	5.2434	5.7498	6.2815	4.905	5.7817	7.562	6.3723	6.1836	6.0387	5.7123	6.5254	6.119	8.0815	7.654	5.7333	5.5683	7.0136	5.5771	8.2668	6.0881	5.757	5.0735	5.4781	5.158	5.696	6.174	6.115	6.533	5.0341	5.08	5.103	7.8156	5.5	7.6768	6.8309	4.4089	5.4504	5.5249	5.2	5.6048	4.3885	3.9431	5.0149
EA_G__KIAA0953	5.8011	7.1466	6.4823	6.4155	5.2019	5.9649	5.5206	5.0737	5.2215	5.2114	7.1887	6.4801	6.417	5.2006	4.9367	5.1337	7.245	6.7991	5.5015	4.9454	5.1521	4.9522	6.5841	7.1799	7.1045	6.3501	6.4431	5.3853	6.697	5.4274	6.6405	6.3729	7.3694	5.2325	5.9187	5.1845	5.2015	7.2702	6.2853	5.4857	7.35	6.6109	6.0943	6.0649	5.5729
EA_G__ARHGAP18	5.5988	5.631	6.5887	4.7252	7.2885	5.2074	6.2727	6.6089	4.9579	5.6958	6.7369	5.1862	6.6774	6.4351	7.3713	6.3501	5.8168	6.7022	7.2933	7.8405	7.9695	7.5814	5.5177	6.6724	4.2449	6.1321	5.6656	6.8698	6.285	7.6441	6.3723	5.6892	5.7823	6.2946	5.9652	6.9738	9.2011	6.1521	5.8856	6.5006	5.9544	5.9172	4.8022	6.6651	6.3868
EA_G__KIAA0195	9.2317	8.1195	8.4064	8.8743	7.8452	8.7581	8.4206	7.6728	8.2281	8.5923	7.9728	8.9658	8.4402	7.6967	7.5845	7.5539	8.2679	8.6972	8.2867	8.4437	8.0899	7.5258	9.0136	9.5723	8.7357	7.8019	8.1276	7.7026	10.6093	7.8048	7.7409	9.2293	8.7163	7.4929	8.6271	7.8546	7.5508	7.9325	8.1096	8.3298	9.5459	11.3668	9.2109	8.2144	9.2433
EA_G__ITGA6	6.7446	3.5983	6.6671	6.3461	7.6542	5.1661	6.8924	9.2656	5.7846	8.5126	7.5573	5.6742	7.6857	10.5288	10.3204	8.9874	5.8986	3.6557	8.6883	6.2079	7.0879	7.2968	4.2723	3.9472	7.6904	6.793	5.9178	8.1442	6.6046	8.5089	7.6112	7.7496	4.1794	10.7535	7.3789	8.221	8.2275	6.6701	7.5001	6.7193	7.6797	8.0979	6.882	6.6226	4.358
EA_G__LARGE	7.5776	7.6411	8.2811	8.8172	6.4327	9.2071	5.4424	5.23	7.0295	7.4912	8.5957	8.6586	7.3338	5.688	5.8935	6.4137	7.4822	9.0514	5.108	4.9343	7.5548	5.6162	8.0168	8.493	8.7988	6.9842	8.3543	5.0348	9.7924	7.8886	6.1636	8.0502	7.5051	5.987	6.4651	5.3077	5.0334	7.6831	6.5147	7.7088	8.4373	7.478	8.51	8.1776	9.0378
EA_G__RBMS3	3.6966	3.9791	3.7614	3.2958	6.9879	3.583	7.138	6.8575	3.6609	6.9888	3.541	3.5718	3.7914	3.8414	5.8881	4.5971	3.8785	3.7264	5.8152	7.3861	5.6311	8.01	3.8227	3.7421	3.3788	8.1422	4.3691	7.5577	3.5926	4.3143	4.2558	4.0302	3.8835	6.3855	7.0336	4.6486	7.2745	3.4165	3.8293	3.865	3.5954	3.9363	3.6699	4.3854	3.4762
EA_G__PTRF	6.1378	5.9441	5.9461	5.7085	9.47	6.0342	9.4316	7.9379	6.2178	8.1509	5.8965	5.563	7.0871	8.0149	8.4522	8.1467	6.1849	6.696	6.8672	9.1449	6.8679	9.7016	6.208	6.3008	5.6737	8.7173	5.9941	8.8381	5.6244	6.5879	8.0608	6.7201	6.1917	7.7801	8.0202	8.0864	8.6629	5.8363	6.5439	6.4796	5.9012	6.0214	5.9419	6.4636	5.7248
EA_G__TFF1	11.84	6.7837	11.4404	12.9215	5.4971	7.8702	5.5529	4.3741	5.1241	5.0018	11.8255	12.4366	5.5277	5.3954	4.6693	5.167	7.8188	8.9703	4.6936	4.9862	5.1043	4.7645	11.9278	12.3462	9.3139	4.4746	11.1606	5.7316	11.3324	5.6288	5.0357	8.5496	6.452	5.1672	5.3551	4.8953	4.847	10.6487	5.7562	7.7064	12.854	9.7638	6.1027	6.5283	12.0692
EA_G__GYG2	7.8871	7.1576	6.2027	6.4853	5.2693	5.7758	5.2588	5.0278	5.4435	5.294	6.8818	5.6047	7.0613	5.6904	6.3938	5.9091	5.2829	6.7178	4.9633	6.8701	5.4592	4.9197	6.1102	6.7559	5.4648	8.9014	7.8392	5.5224	7.9013	5.0136	6.56	6.0633	5.6047	5.3933	5.4549	5.4488	5.136	5.1981	5.6961	5.9374	7.7537	6.5619	7.8063	6.3302	7.0443
EA_G__ST6GALNAC5	5.9522	5.516	5.5457	5.3218	7.7685	5.2248	6.2072	8.5429	5.7012	5.7852	7.0975	5.2275	8.0197	5.6697	8.2565	6.8828	5.5193	6.238	9.2436	9.2887	9.1363	6.0635	5.6634	5.8365	6.786	5.8298	5.8212	6.8403	5.3974	7.3398	5.7432	6.0806	5.9393	6.108	5.5472	7.7935	6.4576	5.5097	5.7869	4.7809	5.1216	5.3471	5.1008	6.0866	5.7477
EA_G__LY6K	4.7598	4.7912	5.0371	4.4493	6.2608	4.5636	7.0356	7.6438	5.4813	7.4329	5.0743	4.619	4.7229	6.0532	5.3105	6.539	4.8457	4.6299	5.1488	6.6308	5.6369	8.7196	5.0864	5.319	4.4846	6.7941	5.142	6.5263	4.8837	5.1368	6.1866	5.6165	5.3571	6.4995	6.0195	6.9862	7.0719	4.7227	5.2135	5.0951	5.0453	5.3156	4.7443	5.5048	4.7605
EA_G__NEO1	8.3678	8.1311	8.4096	7.9551	4.4578	8.5612	7.2634	4.7627	8.6836	7.8939	7.5711	7.2029	7.98	4.5447	5.3175	7.4789	6.1497	7.0483	6.3222	5.2707	4.2867	6.1454	8.0342	7.8392	8.7581	5.6569	7.7871	5.2894	8.4418	5.9796	6.1552	5.3117	7.2067	7.5441	7.8876	6.2855	4.4395	7.8903	8.2012	7.4667	9.0972	6.3005	8.4778	8.2715	7.2
EA_G__DPYD	5.7967	5.64	4.3788	4.2825	8.3159	4.2017	7.8964	7.8062	4.2855	8.8549	3.9347	4.0726	5.0063	6.1143	9.4525	6.9179	5.538	4.5943	4.9597	9.4643	8.6987	8.286	4.1438	5.5058	6.1088	7.1156	4.7003	8.739	4.3333	7.724	7.2207	5.5622	5.8884	6.865	7.8689	7.0905	7.6585	4.0732	6.7683	4.2669	4.0758	4.686	4.0451	6.4362	4.3467
EA_G__TGFBR2	6.9434	7.122	6.5636	4.7044	7.6681	4.6862	7.6677	8.3695	6.7089	8.3645	4.4748	5.3047	5.4067	7.9499	7.6715	8.5874	5.241	4.773	7.6865	7.6328	7.8443	8.9298	5.7233	6.4778	5.1441	7.1766	5.8674	8.7346	5.9185	7.2226	7.7136	5.4298	6.893	9.6555	8.0594	8.1697	9.4684	5.389	5.8513	5.002	5.1139	7.3592	4.6654	5.3412	4.2384
EA_G__ETV5	6.2865	4.3272	7.3578	5.0088	6.9009	4.2365	6.8068	5.8917	6.4816	7.5422	7.6289	4.0637	6.2938	6.6339	8.6748	8.1477	3.9975	4.5278	8.0022	8.106	6.3993	8.4113	5.8307	5.215	4.6177	7.0525	6.8419	7.8838	4.0658	6.391	7.77	5.5641	4.6071	8.0403	8.3688	6.1142	7.3205	7.1489	7.6779	4.437	7.0861	6.3613	4.0131	5.1081	3.8071
EA_G__CNN3	8.4208	5.6037	7.712	6.7753	9.0177	9.2162	9.186	8.9063	8.3886	8.6155	9.2855	7.7128	8.5625	7.7239	9.4372	9.1471	8.8511	7.7323	9.3889	9.7847	9.7946	9.0441	4.2049	3.5971	9.1817	9.392	8.0108	9.5909	8.2272	9.1239	8.1729	9.3042	7.601	7.1549	9.0462	8.283	8.3459	8.3036	8.6341	8.8297	7.4936	6.5196	8.3843	8.5096	4.7103
EA_G__ARSJ	6.7046	4.1618	7.2598	4.4582	8.8682	4.1374	7.4675	6.9042	4.5932	7.8876	5.794	4.076	6.2482	7.0085	6.1297	6.2761	4.735	5.422	6.2652	6.6957	5.9446	7.9663	4.401	4.4831	3.7109	8.3193	6.0887	7.9827	5.8497	5.4783	6.0087	5.9855	4.3994	7.0765	6.8218	6.515	7.9454	4.071	5.9841	6.0991	4.5306	7.1248	4.5496	6.0924	3.8537
