Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
Response	1	1	-1	1	1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	1
EA_G__TTYH2	6.2957	6.6553	6.0106	6.5553	5.9514	6.2996	6.4936	7.415	5.2801	6.7154	5.6287	6.4406	7.8237	7.6494	5.8357	5.2787	5.7379	5.5356	7.1352	7.4015	5.3558	5.6399	6.1033	5.7759	5.4237	6.2308	5.1456	5.9844	5.3898	5.909	6.252	5.0411	6.9804	7.2142	6.6988	5.6698	5.921	5.4572	6.5865	6.6331	5.7809	6.2074	8.1749
EA_G__SLFN11	4.0289	7.3239	3.4401	6.6335	8.8063	3.6834	7.9094	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.7642	3.9415	3.8847	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	3.8369	7.1813	3.6201	7.8717	3.9968	7.7132	4.9768	6.3828	6.6291	3.8912	4.3298	8.1337	4.0513	8.2407	7.1963	5.6434	3.8951	3.6617	3.6138
EA_G__RASA3	6.7536	7.7281	6.1854	6.9515	7.9914	7.8598	7.0314	6.9166	5.544	7.3455	5.6888	5.9938	6.6235	8.0798	6.9662	5.7554	6.9974	6.2026	6.7827	8.3408	5.2362	8.4783	6.8907	6.387	6.2322	6.7883	7.6861	6.3381	5.3877	8.6468	6.1545	7.3252	8.2353	7.4424	7.5334	7.737	5.1827	5.7501	6.5498	6.1496	5.6435	6.8251	6.7331
EA_G__MIPEP	7.2902	6.7835	8.3486	7.9182	7.9982	7.4577	7.3639	7.0585	6.8196	6.9337	9.1829	6.9938	7.2814	6.5371	6.9973	6.836	6.8542	7.4639	7.5026	7.2798	6.5412	6.6633	6.846	7.1347	6.5897	7.3512	6.953	9.0417	7.2708	7.597	7.9343	7.5689	7.1788	7.671	8.1321	7.2004	6.8241	6.9328	7.2435	7.6996	7.0772	7.7388	10.207
EA_G__C8orf38	5.6885	5.2961	7.4005	6.7728	6.36	6.5944	5.2213	5.9578	5.9875	5.4229	9.7617	7.3404	6.8741	5.5815	7.5749	6.428	6.7847	7.2665	6.1555	5.9237	6.2838	7.1253	6.3628	6.663	6.598	6.087	6.4429	6.5667	6.5273	5.2261	6.1991	6.3634	5.3366	5.7822	6.0141	5.8823	5.7278	5.6055	6.2685	6.7931	6.9358	6.1164	6.5177
EA_G__BNC1	4.4225	4.6525	4.5391	4.5794	4.9046	4.5271	7.8292	4.5858	4.6519	5.013	4.2098	4.5758	5.4908	8.9293	5.375	4.532	4.5223	4.7651	7.5959	5.5354	6.9696	4.4421	5.2848	4.9453	4.6273	4.7857	4.8329	4.6672	4.1558	7.6679	5.0196	4.6605	4.7998	4.616	8.4732	8.6029	4.718	5.0088	4.6339	4.9844	4.5514	4.6371	5.0175
EA_G__PAR5	7.6718	5.5575	7.0457	6.1032	4.1781	7.223	5.8183	7.644	3.7977	4.7074	4.3404	3.9709	4.176	7.2172	7.0402	4.4654	4.0041	7.4913	7.5145	7.5487	3.8751	5.1615	4.3599	3.9022	5.156	6.1612	4.0247	7.6116	7.5501	7.0344	6.749	3.6227	5.1666	8.4151	6.7324	6.4475	4.5124	4.9471	6.4211	6.0077	7.1031	7.188	6.7668
EA_G__ZNF738	6.4199	4.2	7.0941	6.7008	8.1237	3.3839	4.317	3.7679	8.2316	8.3649	7.4396	7.9623	7.594	5.9306	7.2096	5.8127	6.8361	7.6064	6.9004	6.9812	6.5093	5.8654	6.2447	6.2862	7.1484	6.143	6.4364	7.0276	6.6833	5.7607	6.3408	5.8902	4.2731	6.615	6.4667	5.976	7.0602	4.5332	6.6024	6.8515	6.8288	5.7957	5.798
EA_G__ABCD3	8.0706	8.5544	7.6145	8.5018	7.8171	8.6562	8.3929	7.2693	7.5809	8.6903	8.75	8.8656	8.5035	6.866	8.9051	8.1507	8.3039	7.9655	8.0947	8.2058	8.9356	8.0793	6.8327	7.1561	9.1548	7.2648	8.7925	7.6617	9.0646	6.9224	7.2414	8.4559	7.932	7.7466	8.6189	7.6636	8.5949	8.0512	7.576	7.7226	8.0997	7.1523	7.1825
EA_G__MGAT4A	7.1175	7.2337	7.9405	6.6441	3.5648	7.0458	3.4187	6.4377	7.0051	5.7811	8.3426	8.7133	3.9622	4.1821	6.597	7.0333	7.4289	7.2257	7.3125	6.0781	7.3453	3.4221	6.2895	7.3787	7.4632	7.5161	4.4567	7.106	7.0817	5.0159	5.7758	7.1053	6.8743	4.1153	5.0296	3.4517	7.4609	6.3828	5.6407	6.6198	8.6996	5.7478	4.6306
EA_G__CXCL1	6.2315	5.773	5.2495	5.4843	8.6757	4.9909	6.1395	8.9861	5.6913	5.6857	5.6354	5.3001	6.2977	7.2266	8.0653	5.8269	5.4469	5.7465	5.7099	8.792	6.8879	5.3542	5.4661	5.6147	5.6269	6.1869	5.8693	5.6813	5.2917	8.0614	6.2812	5.7624	5.7848	8.2351	11.2877	6.2625	5.2772	5.8319	5.3383	5.5119	5.6976	5.1903	5.5626
EA_G__ETS2	7.6868	8.1544	5.9882	6.7044	7.6179	5.7312	8.6726	9.8797	4.4996	6.946	4.4589	6.0857	8.0416	9.1314	8.521	9.0216	4.9514	7.524	7.3306	7.2601	7.5177	8.7817	7.6743	7.6445	5.9571	7.4479	7.4919	6.9607	4.9855	8.4996	6.1512	8.0778	7.8091	9.6944	8.9333	9.2659	6.9815	8.1139	5.8419	7.1329	6.7168	6.2789	6.8801
EA_G__IRF9	6.9987	5.7972	6.4872	9.006	7.0059	5.6445	6.3465	7.1758	7.357	7.505	6.2185	6.9788	7.1472	5.6094	7.7845	7.583	7.7266	7.061	6.5593	6.0724	9.0531	6.4571	7.1904	6.8928	8.3532	6.9745	6.2395	7.5352	8.6384	6.5629	6.0192	6.2491	6.1231	6.3522	7.2759	5.5514	5.9676	5.5177	6.4678	5.6357	8.2194	5.2085	5.0718
EA_G__ATP1A3	6.5694	8.9251	5.6713	7.9862	6.7662	6.6755	7.5369	6.1781	5.4779	5.7338	5.3612	6.447	7.6039	6.5785	6.5915	5.7931	5.5629	5.4458	6.5714	6.9067	5.5707	5.6273	6.6523	6.6414	8.8871	7.2116	6.8437	5.6585	6.1735	7.1303	6.1758	6.2792	6.789	6.6408	5.8709	5.5016	5.9154	7.0571	6.8462	7.758	5.7177	6.0614	7.4953
EA_G__SLC6A15	3.7785	7.1291	3.273	3.5835	3.7372	3.1815	3.6574	6.8971	5.2064	5.4965	3.1428	3.5551	7.6077	6.8517	3.0742	3.4851	3.6928	3.4727	3.4102	7.1976	3.5516	3.4367	3.5232	3.5706	3.5068	3.6135	3.5408	3.2714	3.3421	3.831	3.7884	3.3417	7.2049	7.9561	7.7974	3.8068	3.4867	3.9042	3.6704	3.4567	3.7111	3.4996	6.9265
EA_G__STAT1	8.3332	8.2062	7.9819	9.5	8.6689	7.7621	8.1247	7.9236	8.7763	9.4363	8.4277	8.4834	8.6816	8.8696	9.6781	9.7542	8.2691	7.5906	8.6434	8.7964	9.9498	8.9713	8.5068	8.6322	9.6129	7.5953	8.6625	8.6943	8.8024	8.4163	7.7337	8.3401	8.0046	8.6331	9.1423	8.0728	7.9409	8.1214	8.4573	7.8493	8.4842	7.8277	7.7247
EA_G__TNFSF10	7.2591	5.7198	6.1808	6.6762	3.9131	4.191	3.6986	3.5048	7.7882	3.4474	7.5689	6.5684	3.5722	4.645	6.3477	6.4558	5.204	8.1757	5.2783	3.5772	9.709	3.725	3.7304	4.1417	6.1581	5.5207	4.6852	7.0454	8.5212	3.4266	6.1688	6.3793	4.2662	3.6572	4.2944	3.437	7.5867	7.7597	6.7804	6.5223	7.7882	5.9878	4.0143
EA_G__CCNE1	7.6535	7.8418	7.0969	7.2369	7.4634	7.6882	6.847	8.339	8.7289	7.419	6.7812	7.5335	11.2562	9.7392	7.4122	7.376	7.1568	7.6396	8.5594	7.8077	7.3077	7.6216	7.3331	7.1323	6.8991	7.8367	7.5348	7.1922	6.9594	7.5896	7.2704	8.7211	8.2914	7.809	6.8693	6.9504	5.1363	6.1008	7.1561	7.3417	6.6686	7.2865	7.692
EA_G__APOBEC3B	7.2748	2.4381	8.3055	7.3443	8.2441	6.6623	8.1291	10.1427	6.7805	8.8728	6.3942	6.455	8.3806	6.6707	8.7842	9.2429	8.9128	7.323	6.5672	4.221	5.4002	8.6776	5.881	7.475	7.3582	6.9365	8.0777	7.5166	8.3532	6.2455	7.8404	8.2473	4.393	7.6028	6.2948	8.2245	7.9759	4.4436	8.2439	7.2063	8.5016	8.0971	6.7079
EA_G__GRB10	5.464	6.3402	7.4349	7.4912	6.1183	8.472	6.3122	6.2385	9.7698	7.8265	6.5872	7.3059	7.4586	5.6625	5.7046	7.6618	7.4864	7.3268	5.3412	7.5862	7.1859	8.4033	6.2182	5.7537	8.517	5.8997	7.533	6.5659	8.0593	8.0676	5.8884	7.5212	6.6795	6.6428	5.2726	8.0926	6.372	6.1759	7.8066	7.3406	7.2275	5.6585	5.8785
EA_G__PARP9	7.4693	4.7977	6.4419	8.19	7.2997	6.6431	5.7371	5.5529	7.4973	6.1352	7.191	6.3153	7.8132	6.2247	7.5621	7.9817	7.4864	7.0927	5.5358	6.5488	9.7841	6.3171	6.9433	6.6561	7.9248	7.0759	5.892	7.3169	8.2982	5.7649	6.3061	6.5136	4.3454	5.8646	7.7701	6.1292	6.662	8.0849	7.7222	6.104	8.2325	7.0765	5.0168
EA_G__TP53INP1	7.1211	4.0339	8.5398	8.086	6.3946	6.9129	4.3717	4.1921	4.5465	4.4168	10.0237	8.8782	6.0874	4.385	6.9501	5.9169	8.0398	6.8808	4.0731	6.0588	6.1896	5.8195	7.2924	7.6158	7.3659	7.4096	4.5579	8.3123	7.0256	4.7112	6.518	5.8487	4.5237	3.7159	4.1588	3.8629	7.5959	5.8419	6.9661	7.8789	7.0846	6.8327	6.9651
EA_G__RCAN1	8.3981	7.276	5.9413	6.4002	7.1087	6.4347	6.9369	7.2862	6.3657	5.7634	6.2422	6.0939	8.7301	5.979	6.7756	7.0026	6.3005	6.7504	6.2905	7.4835	8.3032	6.4474	6.406	5.9538	5.8937	8.4988	6.5914	6.3447	7.4459	6.6152	6.391	9.031	7.0801	7.2268	6.5082	7.1898	6.2648	6.6532	7.4684	6.9513	6.087	6.7413	6.1417
EA_G__BRD9	6.5119	7.52	7.4878	7.3624	7.3621	7.0962	7.5092	7.095	7.428	7.8264	7.1382	7.3027	7.2444	7.8455	8.1898	10.1603	7.3267	6.93	7.3768	7.8572	8.1182	7.6697	6.6873	7.0869	6.8641	6.6992	7.7837	7.2717	7.2449	7.1041	6.9404	7.2785	6.834	7.0352	6.7035	8.1623	7.2232	6.9256	7.3582	6.6416	6.9238	6.7132	6.6879
EA_G__PWCR1	8.9888	5.3227	10.4187	8.1334	3.0837	9.3336	6.9544	8.4868	2.947	3.1295	3.0359	2.8125	2.8025	8.2323	8.2084	3.26	2.4943	10.2307	8.6462	9.3808	3.2082	6.4405	2.8341	3.1931	7.4359	8.8283	2.8326	9.0792	9.374	8.9038	8.6979	3.3384	4.3452	10.521	8.6516	8.8029	3.2803	3.4601	7.9272	8.077	9.9605	6.948	8.2631
EA_G__RARRES3	9.1096	7.7687	5.3993	6.6058	4.2899	5.8098	5.3176	5.1693	9.1422	6.0391	7.3182	7.167	5.2026	6.1213	8.343	9.3154	8.1094	8.1406	4.145	5.9253	9.5802	4.9869	5.4719	4.715	9.3606	6.5677	4.9322	5.1257	10.0138	4.291	5.6183	8.4888	7.653	4.6534	5.8286	4.4097	6.1348	8.6296	8.112	7.2365	6.5094	5.1083	5.337
EA_G__PLEKHA2	7.1913	6.803	6.5699	6.9505	7.0212	8.056	8.2724	6.1693	6.8387	6.144	5.8322	5.3397	6.7633	8.1319	6.7739	6.2636	6.8222	7.5654	6.2065	9.2582	6.7399	6.4447	6.4472	5.9849	8.7015	7.2099	6.2644	7.1486	6.7822	6.6698	6.1039	6.9273	6.6202	8.0243	8.0466	8.578	6.8361	8.7067	6.925	6.6464	6.4765	6.2896	5.8709
EA_G__UGT8	6.0429	6.378	5.0197	5.6417	5.6383	5.5453	5.1125	8.5461	5.9978	6.0531	5.5684	6.7954	10.4614	6.887	4.739	5.2831	6.4734	5.1648	7.3784	7.2467	7.0447	4.9199	5.1973	5.0683	5.1076	5.2548	7.3871	5.2575	5.0694	6.4956	5.6417	6.1548	6.7126	6.2006	7.5879	5.4543	4.8474	5.5115	4.9056	4.9912	5.2064	5.8282	7.1521
EA_G__MEGF9	7.0461	6.094	8.7061	7.4811	5.822	7.6443	5.7505	5.9558	7.2222	6.1581	6.9122	9.1405	6.0661	6.5113	6.1046	6.7453	7.5722	6.5073	5.9738	6.1278	6.3046	6.2887	7.6627	7.5047	7.6915	8.2692	6.1493	9.7645	8.6638	6.12	7.6239	5.9218	6.2421	5.741	5.513	6.3937	7.5167	7.5806	8.0296	7.315	8.4113	8.3711	7.4477
EA_G__RERG	6.304	5.7883	7.0617	8.9341	6.9909	7.1023	3.8992	5.2465	9.1777	6.389	7.4429	6.875	3.3728	3.7	7.0141	4.2244	5.8509	8.5667	3.7031	3.7498	8.8424	4.2458	5.4949	7.6464	9.2628	6.5258	3.7492	8.2545	7.997	3.8147	5.7481	8.0953	4.6398	3.8895	7.7126	3.8277	7.7315	4.3393	7.2201	6.6304	7.5558	6.0999	6.942
EA_G__CRABP2	7.4296	6.1829	8.2111	10.912	4.4698	7.9616	6.0016	8.6534	10.6063	6.122	10.0004	9.994	6.1523	5.359	9.2933	9.5237	10.1591	10.1017	7.2807	7.095	10.0598	5.7308	10.0904	10.2988	9.8344	9.6052	6.2093	6.9694	9.4935	5.4545	9.9741	10.5427	8.4814	6.0872	6.2944	6.0848	9.0317	8.6722	10.4906	11.0984	11.0173	7.8585	8.5211
EA_G__ZNF91	7.3303	3.247	7.8296	7.4681	6.727	7.5761	4.3008	3.3515	7.7064	5.8109	8.4976	8.1863	5.334	7.118	5.7455	6.6532	6.9867	5.1995	6.3693	6.45	6.2166	5.176	6.9134	7.1203	7.7508	6.4354	4.4042	7.5935	7.4691	5.4652	5.4573	6.641	3.5138	6.2806	7.0586	4.4679	7.0333	5.2976	6.0909	7.1857	7.2113	6.8157	4.688
EA_G__PROSC	8.4071	6.9543	7.7791	9.4024	8.2912	9.0613	8.1879	7.4837	7.3607	7.3428	8.2497	8.1848	8.5838	8.105	7.1638	7.2847	8.1915	8.4134	7.7126	8.3445	6.9349	7.8458	8.0721	7.6868	10.379	7.8482	7.7727	8.3526	8.0222	7.7486	7.7677	8.1429	7.2703	8.1236	7.7901	7.9593	7.9341	9.7352	8.1248	8.1056	7.3896	9.0744	8.8766
EA_G__SNF1LK	7.3472	7.4717	6.125	6.7042	8.1864	6.7851	7.7931	9.3282	9.1018	6.591	6.3455	6.7299	7.2463	8.1673	6.9341	7.587	7.483	6.4576	8.0192	7.8682	6.7097	6.5979	7.6416	7.8113	7.5154	7.3881	6.7562	6.2972	6.7103	7.695	6.7099	7.118	7.071	8.5385	9.6633	7.2634	6.732	7.2462	6.2743	6.8817	7.2537	6.7865	6.8515
EA_G__SYT7	7.3093	7.8438	9.013	8.1538	5.624	7.1669	5.8538	6.5406	9.135	8.0894	6.5977	7.5207	7.5053	6.4084	7.0307	6.5839	8.7017	7.5656	5.8712	5.0595	7.731	5.6967	7.7789	7.5346	9.5571	7.9565	5.5078	7.7687	8.2806	5.3551	6.7126	8.1665	7.8086	5.8711	5.7903	5.8368	8.2797	7.7134	7.6941	7.9714	8.2836	7.917	7.5292
EA_G__HMOX1	6.6282	7.6033	6.4604	7.3781	10.3403	7.8006	7.4373	7.4218	9.441	8.9858	6.3006	6.8771	7.4095	7.0947	6.6083	6.9832	7.1866	7.9572	7.1287	7.5388	7.7313	8.0817	6.7644	6.9032	7.2963	7.1569	6.823	6.9709	7.2995	9.4213	6.9214	8.2259	7.8251	10.9474	7.5801	9.7875	6.8201	6.622	6.6301	6.6336	6.8436	7.2665	8.529
EA_G__DNER	5.627	5.1472	5.4137	5.6186	6.2841	4.8851	6.8259	6.9456	5.0637	5.0964	4.5338	4.7564	5.1132	5.7742	5.1299	5.4944	4.875	4.9183	5.9718	4.8761	5.0484	8.2094	5.0598	4.9271	9.5248	5.9317	4.6785	7.1297	4.608	10.6466	5.178	5.2129	4.8807	6.553	8.397	7.9814	5.666	5.1754	5.0248	5.2306	4.9569	4.8172	5.1132
EA_G__TMEM98	9.4954	4.9119	5.4122	6.7786	4.9445	4.5186	7.5345	5.6463	8.2765	4.8284	4.5504	4.9327	8.7098	7.1575	5.6695	5.0564	5.4408	5.3875	6.7775	7.7384	5.1637	4.8143	5.1628	4.9113	5.2211	7.713	4.8877	6.9486	4.5807	7.2051	5.6826	4.5175	4.784	5.0266	5.1448	7.6775	5.2243	5.6284	8.1567	5.5775	4.9705	5.4691	7.1559
EA_G__FNBP1L	8.5219	8.5289	8.4539	8.351	7.0591	9.6076	5.9068	6.7787	8.6686	8.0961	8.2637	8.7931	7.2188	5.7429	7.8353	7.8897	8.8583	8.3303	8.2916	8.1014	7.8392	6.9948	7.4318	6.9272	9.038	5.3207	7.3964	7.8818	8.683	6.2838	7.6256	8.1198	8.5993	7.5481	7.6881	4.6379	8.162	8.0922	7.9175	7.273	8.8764	7.8445	8.0693
EA_G__SFRP1	4.6986	5.0319	4.5424	4.5532	6.6239	4.3125	6.8256	7.3617	5.3977	5.5117	4.5348	4.5497	7.4503	5.8191	7.7735	4.5245	5.1112	4.7684	8.1133	5.4268	4.9546	5.1001	4.8552	4.8744	4.6306	4.9372	4.6774	5.3745	4.4019	5.6935	5.7847	7.6785	4.9286	4.7019	8.6736	4.8084	5.3775	5.2089	4.9447	4.5128	4.6594	5.2018	4.7946
EA_G__SIDT1	5.7225	7.4447	8.8752	8.5645	4.6729	8.5319	4.7236	4.3608	4.6682	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.2688	7.7584	7.114	4.5267	4.2934	6.0595	4.3148	8.2739	8.5397	8.675	8.167	4.9182	8.5383	9.0785	5.1703	8.1899	5.683	7.1021	4.6199	4.8109	4.4668	7.8236	7.9518	8.588	7.5637	8.7403	7.6898	6.1964
EA_G__CD109	6.1416	4.6673	3.7921	5.5339	8.3527	3.4254	8.1943	9.8252	3.4962	9.2487	3.0817	6.5144	7.1157	8.0877	9.3691	3.591	3.3803	3.7098	9.8537	8.8739	7.4854	8.6953	4.4126	5.5731	3.3263	5.2943	3.3463	6.1181	7.5862	7.816	3.8296	7.6836	4.357	10.4754	8.624	9.3002	5.8117	3.6874	4.1718	7.6538	3.4162	4.3542	4.5237
EA_G__GAL	5.663	5.1076	5.6671	6.8518	5.351	5.6496	5.3981	6.9161	7.531	5.9946	5.0022	6.2855	9.8244	9.3584	8.1175	5.8454	5.2346	6.1611	8.1456	7.1952	5.5051	4.9659	6.3427	6.921	5.262	5.4769	4.6978	6.0197	5.0283	8.9826	5.7312	6.6721	5.6401	5.2223	6.4893	5.6417	6.0155	5.5239	5.4186	5.8586	5.3666	5.6344	7.9118
EA_G__DEPDC6	7.4503	6.6941	9.1632	7.448	4.9752	7.5121	5.0898	6.4015	6.416	7.052	8.3884	8.0948	6.8441	4.7516	5.8902	5.8436	7.74	8.5968	6.2251	6.0457	7.4547	9.2139	6.8396	7.695	8.225	8.3302	5.541	9.0918	9.6198	5.3269	7.432	7.9602	8.03	6.4449	6.1382	5.6161	7.127	6.946	8.0294	8.5831	8.9788	6.7683	7.0533
EA_G__GHR	3.6065	3.4555	7.0331	4.4249	3.2946	8.2991	3.8792	3.6146	7.3657	3.4598	6.2015	6.8667	4.7513	3.453	3.1757	3.2235	4.3375	4.0767	2.9606	3.0266	4.2527	5.2987	4.6304	7.0062	5.5601	6.6707	3.0519	5.8397	7.612	3.6096	7.7942	3.1296	3.5592	3.7344	3.2773	3.4318	6.1368	5.217	7.7204	4.3278	6.6902	5.4494	4.6905
EA_G__IFI6	8.0205	8.8049	7.9177	11.3769	8.1399	6.2723	8.3114	9.5254	8.5864	8.7518	7.8325	8.8305	9.6611	7.6102	10.0389	9.4937	10.3343	7.7947	7.5965	7.6075	12.4696	7.8243	8.8915	9.206	10.2621	8.9342	7.4426	9.8659	11.0616	7.5357	7.5724	6.1693	7.6435	8.5163	10.2681	7.7294	6.7292	8.3479	9.3106	7.8069	9.9803	7.9529	6.4615
EA_G__PELI1	5.9647	6.6992	5.8345	5.9866	5.4567	4.6227	6.1829	8.9332	8.9104	7.3857	6.6035	8.0533	8.0148	7.0929	7.9337	7.2112	6.8029	6.9788	7.5129	7.2449	8.2749	6.8893	6.478	5.1032	8.3341	5.3363	7.2298	6.4351	6.7005	6.7674	4.5744	8.2269	6.6792	5.746	6.9879	5.8423	7.0353	5.4903	6.1422	7.253	6.5594	5.8788	5.7152
EA_G__ARRB1	8.2889	9.278	9.8252	9.1138	7.2888	9.9283	7.3377	8.1013	10.1215	7.5478	8.8726	9.7235	8.7038	5.9949	7.766	8.4052	8.3822	9.0201	6.4387	7.4618	8.705	7.8793	8.548	9.302	11.1235	10.9277	8.1342	8.6984	8.8635	6.6255	8.7944	8.8981	9.5879	6.4149	7.6542	5.28	8.8767	9.7353	8.9914	9.19	9.6113	7.8939	7.5003
