Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__PITPNC1	5.9581	5.5345	7.8044	6.3762	5.2162	6.9251	5.016	7.0212	5.1425	6.6952	6.5773	9.4228	4.747	6.4283	5.6002	7.1111	7.6632	5.9105	6.5611	4.5402	6.7923	5.8769	7.7613	7.2287	7.2535	6.1345	6.034	7.8241	6.7048	6.1741	7.9891	6.2934	6.3138	6.8045	5.0386	6.0261	6.8894	4.687	6.4611	6.7829	6.8628	7.1502	6.6286
EA_G__COL6A2	6.6302	6.6511	6.9673	7.2551	7.9296	6.6004	8.2387	8.7589	6.7259	10.2792	6.5324	6.6504	8.1956	7.8025	7.4572	6.8103	7.0609	6.8826	7.1181	10.0293	6.9764	10.7826	7.1572	7.2812	6.7611	6.8377	7.0407	7.15	6.5697	8.241	7.5773	6.3237	7.0053	8.328	7.9163	7.7346	6.9604	7.384	7.0124	7.0688	6.8053	7.0345	7.4179
EA_G__EPB41L4A	6.9861	4.8197	7.0521	5.6139	3.9585	5.7618	4.2694	5.0865	4.4588	4.1933	8.3309	7.5778	3.9447	4.723	5.6705	6.4675	6.9902	7.9628	5.5236	3.7847	6.6248	4.0786	4.8247	4.7297	7.9019	7.1104	5.7975	7.6741	9.1353	5.6044	8.1433	5.5866	5.9446	3.8929	8.5043	4.0766	8.46	7.4104	6.8676	6.1666	7.1001	5.3605	5.4527
EA_G__B4GALNT1	6.4731	5.449	5.1344	5.891	8.2262	7.3138	7.5268	7.4049	7.3268	6.8971	4.6753	6.7284	7.6681	7.8394	5.1563	5.2945	5.1335	4.9134	6.8708	7.8115	7.1808	7.2349	7.1537	7.3249	6.5747	5.2487	6.2731	8.1105	6.3089	6.7294	6.1507	4.6849	5.5622	7.7587	6.5329	6.9668	5.2211	5.7415	6.2031	5.0823	5.3667	7.2733	7.8176
EA_G__GYG2	7.8871	7.1576	6.2027	6.4853	5.2693	5.7758	5.2588	5.0278	5.4435	5.294	6.8818	5.6047	7.0613	5.6904	6.3938	5.9091	5.2829	6.7178	4.9633	6.8701	5.4592	4.9197	6.1102	6.7559	5.4648	7.8392	5.5224	7.9013	5.0136	6.56	6.0633	8.3913	5.6047	5.4549	5.4488	5.136	5.1981	5.6961	5.9374	7.7537	6.5619	7.8063	7.0443
EA_G__MYO1B	6.8615	5.8133	8.945	8.9788	8.7951	8.0103	8.8806	8.3575	8.0004	9.5503	8.8665	7.959	7.7712	10.269	10.4487	10.9518	7.59	9.8555	8.4377	8.6697	8.274	9.5011	9.0457	9.1488	9.2139	8.7937	8.4929	7.8878	9.3267	8.8967	4.9158	8.4709	6.4471	10.0282	7.5577	9.3042	8.7633	7.6236	7.0142	7.2785	8.7875	5.7675	4.6242
EA_G__AVPI1	8.1867	7.9558	6.5064	6.5504	6.7659	7.385	7.5422	6.6755	6.6453	6.9948	6.8736	7.2437	7.5673	8.6921	7.3901	7.5761	7.1809	6.6553	7.1971	6.3745	6.7579	6.2778	8.0621	7.9514	6.9855	8.111	7.1789	6.8685	6.6118	8.2873	6.8803	6.8392	7.7045	7.1946	10.0203	8.4089	7.255	7.745	7.7371	7.6087	7.3738	7.602	7.0072
EA_G__P2RX5	6.5442	5.6535	4.8513	5.2032	7.7908	4.405	7.2265	7.3498	6.238	6.0583	4.9714	4.9715	7.6052	8.3032	6.583	4.7167	5.0817	4.8552	4.6299	7.2043	4.7547	5.8678	4.9903	5.4081	6.8051	5.6807	7.9649	4.5572	4.2916	6.3463	5.3502	7.528	5.708	4.4613	7.9986	7.2148	4.7202	7.4141	5.1753	7.0021	4.8915	5.3453	6.1291
EA_G__FSTL3	6.2606	6.7712	6.6243	7.9925	8.29	6.6981	7.8385	7.3862	6.3513	6.9988	6.7904	6.481	7.0656	7.7062	6.8675	6.8262	7.524	6.3215	7.57	7.4797	6.2131	8.9828	7.7468	7.4046	6.4834	6.8041	7.4653	6.6931	5.9216	7.9857	7.1502	6.5009	7.1409	7.4427	8.0244	8.7911	6.6813	6.5094	6.7341	6.7612	7.2488	6.8778	7.3586
EA_G__GPC4	5.1104	3.5621	6.2868	5.1995	3.7073	3.8111	3.7639	8.8753	5.5451	7.9676	6.8208	3.8903	5.23	3.9947	5.3175	5.8796	4.2999	5.083	7.0786	4.5048	6.9533	4.8186	4.7221	6.6727	8.2116	6.5707	3.6208	4.4385	4.4442	5.5256	5.4234	6.4215	3.7719	6.4853	4.2966	3.9069	7.6735	5.5025	4.9544	6.9826	7.3748	4.2425	4.573
