Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__GSTP1	11.5172	6.0003	6.0346	5.6096	11.1308	5.8622	12.1708	12.02	11.7468	11.734	5.8607	5.9335	11.77	12.0193	5.513	5.9581	6.2447	11.1635	11.2713	11.265	8.5568	10.561	6.195	5.9383	6.017	11.1738	6.1668	8.9486	5.7978	11.6968	10.6834	6.8557	10.0094	9.2514	12.2796	11.0721	11.5502	11.2948	11.9288	6.4486	6.3612	5.7143	5.98	6.0423	7.4988
EA_G__GPX3	7.5789	7.674	4.74	5.4562	4.6798	4.8372	5.0333	4.8467	5.0002	4.8887	7.2128	5.9978	5.1039	8.1789	7.909	5.1258	4.6239	5.1499	4.6263	6.2864	5.1306	4.8137	6.7304	7.1046	5.9258	5.8952	5.6241	6.3043	6.8691	6.8519	4.6925	5.3461	4.12	6.5249	4.7967	4.8553	5.1436	5.1288	4.6904	5.1866	7.0751	6.6847	4.8969	4.8937	4.8702
EA_G__KITLG	7.1314	7.4053	6.063	7.5518	5.6232	9.1403	5.5228	6.3987	3.5706	7.2129	7.3691	8.3875	3.0446	7.41	6.8032	7.3717	6.0961	8.0787	4.6936	5.1107	5.5358	6.4225	5.7927	7.4415	6.1378	6.5814	6.0469	5.186	7.9143	6.8566	4.1709	5.2791	6.3605	7.6387	6.289	4.3973	4.8235	6.3978	5.5019	7.0466	5.9125	6.1408	7.4568	8.1845	6.0224
EA_G__PAM	6.5052	4.2314	4.5272	6.1303	7.0171	5.2683	6.4784	7.2144	6.0641	8.2595	3.1025	4.9383	7.1762	4.9999	6.0377	6.6389	6.2243	4.5273	6.7896	7.1617	8.613	7.5186	5.2341	5.5056	4.6225	7.5426	5.3885	7.1555	5.0625	4.3787	6.362	5.009	6.5556	4.9324	7.5709	6.9623	7.0458	7.0236	7.6836	5.5748	6.8696	6.1874	4.7711	5.2083	6.1323
EA_G__TSKU	12.5261	10.4098	10.0709	10.5018	8.0717	8.4689	8.2246	7.1433	10.1	8.2356	10.138	9.9115	8.9901	9.4814	8.8597	10.2607	7.4604	9.0707	9.5202	8.8872	7.3872	7.2081	10.0431	9.9799	10.943	7.8837	11.0263	7.442	10.6057	9.2151	7.5427	10.5632	9.2023	9.4929	9.1979	6.7049	9.298	8.0439	10.2988	11.6453	7.6531	9.7677	11.163	5.5515	7.3182
EA_G__STARD5	6.1451	6.6959	6.1372	6.6666	6.9862	7.2941	6.7297	5.6001	4.3581	6.5836	6.3326	9.3959	5.8159	5.6526	6.1601	6.0715	6.3774	5.9089	6.1212	6.4202	4.8891	5.8293	6.5961	6.6819	7.2477	6.804	5.7079	5.5497	7.0337	6.5369	5.4383	6.6452	5.5919	5.995	8.6211	6.438	6.01	5.975	5.8005	6.4533	6.1559	6.6574	7.3253	6.7232	5.2916
EA_G__C19orf21	9.6189	9.4483	8.7564	8.9369	5.9232	8.5724	5.9774	8.5302	5.5468	5.8788	9.3517	5.2243	6.8438	8.0179	8.5636	8.8702	8.1843	9.7186	5.4781	5.5555	6.6279	5.5706	8.7843	8.5778	8.8654	5.7745	9.6936	7.9411	8.8758	8.9668	7.1158	6.591	5.886	9.9506	9.3039	5.9944	6.0195	5.6263	8.618	8.3524	7.9338	8.3996	8.3519	8.8792	9.0596
EA_G__DHRS2	4.826	12.6045	10.9225	6.4126	4.7951	4.9841	6.2389	5.0026	4.1419	5.2133	9.4922	7.8911	4.6987	5.8971	6.6305	6.1002	6.0863	6.6271	7.6348	4.3533	4.9997	9.4494	9.5675	9.8142	5.6673	4.3182	9.6429	5.2669	11.2132	5.0481	5.3988	5.6525	5.9437	12.2474	6.26	4.5827	5.307	5.0884	5.0364	5.5243	4.9878	5.1772	6.3784	8.1213	5.7559
EA_G__AKR1B1	4.6938	6.0548	4.8622	4.4778	8.2157	4.4619	8.9961	4.565	6.3662	10.5992	4.6497	6.9879	7.0157	8.1308	9.1844	5.175	5.4781	4.7671	8.4129	9.049	9.0045	9.0431	5.1215	5.0227	4.6497	8.4728	6.866	8.1635	4.946	6.5897	10.773	5.4319	9.672	5.2901	8.361	8.4605	9.627	10.232	4.7564	5.1681	5.0863	4.8373	4.9859	4.9029	5.9326
EA_G__MCAM	5.2407	5.7795	5.1883	5.2259	5.6003	5.1722	5.398	9.3743	7.982	7.1729	5.052	4.9842	9.6692	7.1972	5.6044	5.2324	6.005	6.1156	8.2544	7.2642	6.6063	6.1967	5.3892	5.3243	5.0364	10.2004	5.3038	7.8638	5.0728	5.3592	5.5956	5.9372	5.9742	5.5648	5.8187	6.5817	8.8252	6.4371	5.4652	5.5898	5.4962	5.4539	5.4297	5.5286	5.1903
EA_G__MPP1	4.6323	4.6149	4.1933	4.53	7.3661	5.2864	8.4183	5.9491	6.1238	6.5432	4.0628	4.851	6.9422	6.5674	5.376	4.4365	4.4762	5.2199	6.7918	7.3067	4.5936	7.6194	4.6365	4.6134	6.1798	8.3037	5.8638	7.4557	4.1565	6.2867	8.988	6.0077	4.7426	4.7191	6.7409	7.4905	6.8069	8.2609	5.4014	6.8111	6.0661	4.9223	4.3063	4.6406	4.793
EA_G__RARA	7.7415	8.0728	7.3062	8.5953	6.4986	8.1003	6.705	6.2955	6.8057	6.9795	6.9268	7.7523	6.3667	6.836	6.2488	6.8869	6.999	6.6594	7.1295	7.0633	6.867	6.4577	7.8228	7.5889	7.6497	6.7765	7.4975	6.4896	7.2241	7.3317	6.4385	7.1561	6.7182	8.2712	6.3434	6.7798	6.8118	6.954	7.0002	7.1679	7.721	10.1923	7.2428	6.8625	8.0987
EA_G__ST3GAL2	5.1245	5.2182	5.461	5.7091	7.5988	6.4466	8.0345	6.0393	6.1556	7.2036	5.7459	7.7065	6.7122	6.5264	6.1728	6.5381	5.8708	5.6583	5.9653	7.54	6.4734	7.1447	5.7205	5.275	6.6306	8.9673	5.7831	7.274	5.3718	6.8043	6.9482	6.2369	6.4215	5.6945	6.0449	7.4105	6.2584	7.0882	6.2638	6.4992	5.8892	6.0176	6.0375	6.7239	6.2097
EA_G__NCAM2	3.816	4.1347	8.0462	8.1654	9.1486	9.8166	4.0648	3.7322	3.5577	3.8641	7.8067	8.7152	4.455	5.3325	3.6916	4.4058	4.5234	5.2566	3.904	3.5774	3.8887	4.4973	8.406	8.0627	7.0585	7.1285	6.3664	3.9935	8.4651	9.355	4.7127	7.8803	3.4899	5.3409	3.9561	3.8289	3.9723	6.5092	4.9516	5.7731	9.9927	6.3459	7.7618	7.5498	5.8347
