Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__PPP2R2C	7.8327	6.1796	7.5506	8.1042	5.4216	7.0691	5.4698	5.1203	4.6485	4.7309	6.9322	6.837	6.4121	6.8921	6.7967	6.877	4.8079	5.2296	6.7186	5.794	5.0392	4.7801	8.0008	7.1813	7.9936	5.7678	7.178	4.6369	8.7009	6.4914	6.9518	7.0986	4.2908	4.9998	6.8598	6.6378	4.9071	5.0094	4.7937	7.4191	6.3323	7.1069	5.3119	7.6812	8.092
EA_G__TUBB6	6.692	7.2698	7.4183	6.4048	9.6368	6.551	9.6516	9.5051	9.2748	8.7564	6.7473	7.8841	8.7984	8.9031	9.0863	7.9565	7.0303	6.9209	9.1825	10.3276	8.0512	9.8505	8.3664	7.7207	7.2372	10.3152	6.4923	8.5128	7.6669	6.2429	9.0648	7.2555	7.9269	7.6011	9.964	9.9093	8.4349	9.9172	6.749	7.1787	8.0286	8.0785	6.421	7.0165	8.7717
EA_G__RCN3	5.2909	5.3223	5.3075	4.8944	7.2725	4.8899	9.2319	7.2447	6.9714	7.8065	5.8705	4.9802	7.0715	7.8726	5.8531	5.3134	5.8991	7.9319	5.9486	6.2787	5.7989	7.4315	6.196	5.6812	5.1465	8.6519	5.1569	5.1262	5.037	5.0976	6.7517	5.9227	5.1326	5.2641	5.6519	8.8111	5.3963	8.538	4.9039	5.2303	5.3868	5.1206	5.1431	5.5482	4.7636
EA_G__STARD10	8.7444	9.3189	9.838	10.3464	6.9657	8.9884	6.4416	7.0812	7.6816	6.3309	10.6337	9.9114	7.9561	7.2257	7.6626	7.4036	9.0078	9.147	7.3262	6.4872	7.4777	6.0307	9.734	9.5739	9.1011	7.4208	9.3232	6.2262	9.903	9.0237	6.5342	9.6166	7.8873	9.3077	7.2342	6.0593	7.4425	5.9183	8.838	9.3903	8.7334	9.6701	9.8082	9.2205	9.5445
EA_G__ATP6V0A4	6.396	9.4584	9.5886	6.8897	4.4126	4.4522	4.5735	5.3603	4.3424	4.3231	8.3304	6.5654	4.3641	4.4015	4.6533	5.1789	4.1207	7.8356	5.7837	3.8844	5.4336	4.8527	6.9256	6.3269	4.261	4.1126	6.8669	6.246	8.7945	6.5413	4.2867	4.8429	9.4649	9.4857	4.5474	3.9129	4.2576	4.3833	7.4254	5.9346	4.4506	7.5065	5.449	7.4908	4.2475
EA_G__XBP1	11.283	10.9214	11.4285	11.4319	8.6723	11.3432	8.8291	8.5408	9.0517	9.4895	11.6752	10.8517	8.688	9.1233	8.734	9.1933	10.7393	11.2423	8.6586	8.207	9.7409	8.5637	10.908	11.5332	11.3709	8.4505	11.6948	8.6487	11.8604	11.6993	8.5579	11.4718	9.2858	10.6695	9.9592	8.502	8.3625	9.0461	11.0474	11.1636	10.9799	11.4501	10.4703	11.6409	11.6006
EA_G__GPRC5B	4.9745	6.388	6.1617	6.2748	6.497	5.2667	8.9045	6.0606	6.7039	6.2604	7.0809	4.8034	7.9743	6.8597	7.5867	8.3264	7.0387	7.6177	6.3867	5.3386	7.5323	7.0233	5.9088	5.3699	4.439	7.6679	6.8634	4.6996	6.5032	6.9632	8.3026	5.7648	7.8898	6.2546	4.6635	5.117	5.209	6.388	6.478	5.6048	5.5162	5.5363	9.0236	6.325	6.1032
EA_G__MUCL1	9.7015	9.6708	11.9418	10.2431	4.8957	8.9223	4.8876	4.5051	8.786	4.9442	8.2638	6.8099	4.7529	4.7936	4.5822	5.1223	5.8277	8.4609	4.7998	4.6962	4.8549	4.861	6.192	7.9264	7.538	4.9978	10.2647	4.8186	11.1491	8.2536	4.9377	10.2257	4.5308	5.8615	7.215	6.5654	5.2871	4.4087	5.4239	9.5991	5.3747	11.7143	12.2829	10.7729	5.1542
EA_G__CLU	7.2352	8.8649	8.9068	8.992	8.9576	9.6033	8.0374	6.8112	8.1157	7.4522	8.8358	9.7927	5.9431	7.7097	6.4074	6.824	8.1629	9.5115	8.6745	7.7043	7.3793	7.2732	8.8706	8.885	9.1728	7.8152	9.6338	6.7991	9.3254	10.2466	6.1144	8.8604	7.6067	9.8643	5.9745	7.6939	5.8874	7.0941	7.9162	8.2237	10.2223	8.7504	9.3567	8.0166	6.5865
EA_G__GPR81	4.9668	6.0516	7.939	8.2233	3.5141	6.9006	3.2569	2.868	3.5631	3.7151	8.6916	6.629	4.3242	6.9887	7.1222	5.8908	8.5484	7.3637	3.5687	5.2175	4.6384	2.9743	7.6206	7.1395	6.8412	3.373	8.2863	4.1802	8.6643	7.4676	3.0939	6.8526	5.9398	6.064	3.6208	3.7546	3.8905	2.7273	7.8144	5.8669	6.462	5.8118	8.0378	6.8539	6.1376
EA_G__DLX3	5.9564	7.4632	8.3925	7.6265	5.6094	5.938	5.7729	5.6328	5.5027	4.8388	7.9765	5.8754	6.3403	5.8666	5.3924	5.3154	6.6461	6.1978	6.2199	5.0285	5.6926	4.7268	6.4653	7.0473	6.8724	5.288	6.4617	4.7899	7.0145	5.9772	5.346	6.8321	6.6875	7.7375	5.9331	5.3032	7.0645	5.2161	6.9139	6.2	7.7697	6.3741	7.169	5.8481	6.3974
EA_G__MYLIP	6.7069	7.7441	7.7961	7.3174	4.455	7.8443	6.6097	5.524	7.4104	6.0376	7.4993	9.1957	7.2494	6.5654	7.3278	6.8576	6.7279	7.9226	6.8467	6.4026	7.0558	6.0263	7.3524	8.0793	7.5303	5.2059	8.449	6.7869	8.1069	7.8265	4.7191	7.0391	6.9856	7.6774	5.9259	4.8163	7.2753	5.6734	7.6692	6.3688	7.0329	5.6494	7.743	8.0057	6.8543
EA_G__CLIC3	7.0648	8.1927	6.5415	7.5044	6.185	7.7296	6.65	6.0092	6.5107	6.4449	10.2002	10.0641	6.4205	6.5692	6.8843	6.2405	6.6602	8.2096	5.9382	5.5997	7.1404	5.8165	7.4794	7.7337	6.5956	5.9123	8.0755	5.9865	8.6685	6.9106	5.6263	8.6884	6.7687	8.286	7.7755	6.2981	6.7925	6.6261	8.7999	7.0178	9.8811	8.4713	8.1336	7.4439	6.3667
EA_G__ETNK2	7.0246	7.5221	9.7857	10.3826	7.9061	9.9112	6.7952	6.888	8.279	6.8342	7.9484	10.7975	8.3972	8.1223	7.3287	6.047	9.5415	6.9475	7.6305	7.4034	5.0177	6.0105	8.2102	7.2977	10.6718	8.5517	8.6151	6.0214	8.6961	8.7361	6.3953	8.9902	7.3213	8.1005	9.2282	5.4341	6.619	4.237	7.1677	8.0919	7.2943	10.09	7.9633	6.6311	6.3521
EA_G__FAM114A1	8.5697	4.6273	7.0132	7.2669	8.3277	6.7241	9.1931	6.9198	6.2194	9.2098	8.5856	4.9727	7.0553	6.6427	7.0419	7.348	6.3856	7.5489	7.448	8.6982	8.5022	7.9607	6.6272	6.5231	6.5674	7.9671	6.9999	7.0661	7.7345	8.8432	8.3378	4.6979	7.6459	4.2656	6.5844	9.1323	7.0262	7.5342	7.3642	8.3261	7.029	6.7925	8.0415	8.3748	8.3916
EA_G__TSEN54	8.1719	8.2347	7.9326	8.2435	7.3471	8.602	7.9961	8.0255	7.8688	7.7773	7.9281	8.6685	8.0825	8.1462	7.6475	7.6268	8.5393	7.7482	8.202	7.3186	7.7329	7.1781	9.233	9.0618	7.7048	7.5306	7.8915	7.7392	8.7507	7.4928	7.4268	9.2291	8.1706	8.6467	7.2748	7.5815	7.3676	7.6907	7.6974	7.7498	8.2297	8.3159	11.2902	8.2921	8.5669
EA_G__ANPEP	6.8343	5.9528	5.4461	5.4878	11.5006	5.3386	7.6388	5.215	7.8921	6.1665	5.1413	5.3679	5.2457	5.8735	9.4036	5.5622	5.7574	5.5417	5.4591	8.0727	6.9193	9.248	5.723	5.6553	5.3523	9.2404	5.4979	5.2504	5.238	5.586	10.8271	5.9814	9.9961	6.0553	5.3041	12.6822	11.1296	11.0415	5.504	5.5284	5.6926	6.1733	6.3325	5.347	5.2839
EA_G__MMP14	5.1852	5.3987	5.2335	5.0592	10.3729	5.1512	8.7278	8.0249	9.9154	9.7962	5.0892	5.2954	5.2874	8.803	7.6928	6.3976	5.5909	8.0609	5.2277	8.9768	8.7686	8.9717	5.9409	5.8539	5.4178	7.6746	5.4804	8.2005	5.1668	5.3091	5.4596	6.2949	6.8819	5.8482	8.5531	11.2199	7.0852	7.8574	5.7305	5.7344	6.2135	5.2291	5.6479	5.5205	5.535
EA_G__C17orf28	9.3617	9.729	9.6197	10.0389	5.5952	9.5722	5.7826	6.3666	6.9129	5.2734	10.3721	9.0304	5.4402	6.5831	7.025	7.3859	10.3392	8.2773	7.1557	5.8027	7.1023	5.3634	9.1167	9.277	9.1052	5.3589	9.2435	6.1912	11.1353	8.8997	5.3644	11.0475	7.6889	9.6716	6.072	5.6045	6.3796	5.9321	9.479	9.3071	9.6105	9.9773	9.3515	10.4072	10.4021
EA_G__PPL	7.9895	8.3163	7.29	7.6599	5.3306	6.8174	5.6331	7.8006	6.2165	5.6216	6.601	6.5671	5.4379	7.0517	7.2264	7.8968	7.063	8.1217	5.8007	5.6191	8.288	5.1831	7.5369	6.8952	6.4713	5.236	7.0802	5.2157	7.6706	6.95	5.5118	6.662	4.9366	7.652	8.3197	6.5551	7.4703	5.613	7.157	7.1009	6.8638	6.997	7.5755	6.6334	6.7443
EA_G__FAM83B	6.3988	4.2489	7.5482	6.1591	7.1767	8.1613	4.6994	8.9338	7.3558	6.2679	8.1672	9.0873	5.885	9.1367	9.7395	9.0246	8.5407	4.7067	9.3121	4.5395	8.5196	4.3005	8.9319	9.9937	5.4213	5.593	7.5611	3.9742	10.6464	7.693	5.9038	6.9275	8.673	5.2107	9.9509	4.5717	8.9613	4.6842	8.0655	7.971	7.8105	4.9443	6.4806	9.305	8.0142
EA_G__ISOC1	7.1234	7.7312	8.4881	7.9468	7.1505	10.1811	6.5101	6.8003	8.3692	6.4391	7.8247	9.2481	8.0613	7.4609	7.6971	7.3787	7.5518	7.7585	7.7394	6.4754	6.4981	7.13	9.3042	9.2846	9.3326	6.4466	7.818	8.0524	8.6912	8.875	7.0379	8.4946	7.4928	7.982	6.9793	7.6054	7.2698	7.2342	8.2947	7.1917	8.0935	7.8404	7.3086	9.2017	8.2137
EA_G__AGR2	10.388	9.9764	10.5253	10.8674	3.1745	6.0439	3.7576	3.5567	3.1734	3.3399	10.6695	6.7701	3.4557	6.1162	5.8644	7.6477	9.677	10.1249	3.6198	3.3258	5.9674	3.3756	6.4972	9.3306	6.4599	3.0206	10.5625	5.2088	9.6312	11.0565	2.9069	8.4022	4.5304	8.7004	6.7563	3.9941	5.3017	3.7281	11.9063	10.4962	10.2239	11.303	11.3903	8.8069	8.6101
EA_G__NAV1	7.4175	8.9354	5.4838	5.7925	7.8052	5.1032	7.2041	5.0575	7.9118	7.629	4.8157	4.8473	5.8443	6.4689	7.4442	6.9431	5.6569	7.9222	7.0711	8.0474	8.2228	8.6572	5.6577	5.8182	8.033	8.6836	6.9589	6.4817	6.5266	6.955	6.9507	6.2838	7.576	8.7193	6.4595	8.8574	7.5636	8.4718	6.3187	6.2935	5.239	5.7713	5.9253	5.7746	5.8825
EA_G__TM7SF2	7.362	8.6146	10.6738	8.9356	7.777	7.8977	6.6928	7.2251	9.5359	6.8147	9.1668	7.9039	6.7241	7.7442	7.9366	7.4522	10.2226	8.5326	7.6531	7.0171	7.4679	6.3437	9.5635	10.0085	8.6953	6.465	9.4025	6.9611	9.7289	8.2619	7.2413	9.9341	7.2151	8.013	7.26	7.0973	7.8511	5.806	9.5896	8.2324	10.641	9.5627	9.6871	9.7151	9.4245
EA_G__TPCN2	8.8521	7.9813	7.711	7.6641	7.3829	8.7998	7.3341	7.9965	7.8396	8.0192	7.5535	7.3698	8.9345	7.5463	7.7012	7.3245	7.4401	7.6544	7.51	8.149	7.223	7.2046	8.0075	7.7043	9.9994	7.5842	9.0437	7.7263	7.5978	10.3492	7.2249	8.0264	7.3293	8.0715	7.4263	7.3931	8.0012	7.5193	7.3771	7.8551	7.7114	8.1412	7.6454	7.9299	8.8507
EA_G__TRIP13	7.8157	8.1416	8.2321	7.3633	8.6364	8.1903	9.2458	8.6113	8.0736	8.981	8.1179	7.9184	8.4456	8.9683	9.4647	11.0174	8.477	8.1894	8.5695	8.627	8.8367	8.9072	7.4412	7.6605	7.9539	8.9576	7.3297	8.199	7.7935	7.3926	8.1484	7.5408	8.8884	7.639	7.1681	8.0686	7.5311	9.5113	8.3058	7.6794	8.8534	7.6143	7.8426	7.189	7.7185
EA_G__GDPD3	7.8908	10.4052	6.7364	7.3625	5.6402	7.6914	5.968	4.9636	5.2361	5.4538	8.6563	5.6591	5.4878	5.9923	6.9928	6.7062	6.2528	7.5969	5.7434	5.8015	6.0767	5.2536	7.5701	8.3603	5.6607	5.2069	7.7961	5.0645	6.1261	6.5886	6.2889	6.0817	6.7383	9.2665	7.8631	4.9981	7.3888	5.4316	8.3237	5.6547	5.3216	7.0946	7.4686	6.1323	5.6659
EA_G__MEGF9	7.0461	6.094	8.7061	7.4811	5.822	7.6443	5.7505	5.9558	7.2222	6.1581	6.9122	9.1405	6.0661	6.5113	6.1046	6.7453	7.5722	6.5073	5.9738	6.1278	6.3046	6.2887	7.6627	7.5047	7.6915	5.9312	8.2692	6.1493	9.7645	8.6638	6.12	7.6239	5.9218	6.2421	6.9981	5.741	5.513	6.3937	7.5167	7.5806	8.0296	7.315	8.4113	8.3711	7.4477
EA_G__TOM1L1	9.489	7.6603	11.1528	8.9596	7.4255	9.1088	7.0603	8.7525	6.8062	6.4184	9.3334	10.0995	7.2869	7.4997	7.2579	8.116	7.9165	8.1689	8.1728	8.2532	7.2323	6.7395	8.5358	9.3382	9.1966	7.8329	9.1409	7.7808	9.9911	9.1808	7.4769	7.9222	8.1949	7.5116	8.7465	9.1269	7.732	8.0915	8.2536	8.208	8.9751	8.6278	9.3554	9.847	9.8839
EA_G__CLSTN2	6.8205	5.6977	7.8696	8.1281	5.2503	9.9628	5.6264	7.2839	5.4275	5.9965	6.8699	8.2244	5.3624	5.5006	5.6761	5.4378	5.3756	5.7285	6.9158	6.928	5.439	5.8407	5.2828	8.1749	10.4373	5.2112	8.3856	5.3934	5.5934	10.5058	6.049	7.708	5.2174	5.657	5.3668	5.4048	5.7301	5.1216	6.371	7.2234	7.4536	9.8238	5.419	5.1649	5.4848
EA_G__IGFBP2	8.5819	7.265	9.2045	10.6598	5.7406	9.0647	6.409	7.9946	7.7249	6.7037	9.6491	9.7208	8.1824	6.5365	7.6499	7.3055	7.1166	7.7549	8.2099	5.7756	6.114	6.1845	8.9304	9.2132	9.5332	7.7601	7.9848	5.934	10.1046	8.3743	7.8952	9.0101	7.9592	6.3136	8.2589	5.7437	6.0489	6.0078	8.2235	8.6306	8.9587	9.4836	7.6824	8.4837	9.1231
EA_G__TFF3	9.2227	5.933	10.0034	10.7125	5.7698	6.0317	5.2183	5.2869	5.5149	5.2225	11.1718	9.6618	5.4121	5.8319	5.6036	5.5634	8.4004	6.5691	5.6123	5.5181	5.8234	5.3069	7.253	7.5253	7.3798	5.1884	11.3167	5.6698	10.8538	8.3961	5.329	6.3143	5.1787	6.2639	5.3048	5.6818	5.5285	5.7962	10.7256	7.1122	7.4428	11.8709	8.9864	7.4014	9.3846
EA_G__TPM2	5.1606	5.2415	5.2106	5.4191	8.835	5.1325	9.4171	7.9514	4.8864	9.1702	4.8827	5.0739	8.6567	7.1902	5.372	5.5809	5.3692	6.0067	6.5898	8.3943	7.59	9.1634	5.7814	5.7214	5.3237	6.0657	5.2437	5.8531	4.9569	5.4943	6.2826	5.9133	6.4258	5.5924	6.7513	7.7389	7.1555	8.7479	5.3061	6.742	5.3229	5.5192	5.2608	5.3575	5.2939
EA_G__SYDE1	6.3871	6.1369	6.3616	5.8841	8.4653	5.4574	8.481	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.6718	6.1217	6.9318	8.2904	7.7112	8.9081	6.0991	6.2731	5.5612	8.7207	6.3382	8.9894	5.7382	5.0994	9.4121	6.1707	6.8988	6.551	6.3715	8.0444	7.0048	8.2118	6.1916	5.9689	6.0967	6.1051	6.1729	6.3412	6.0907
EA_G__DSC2	7.1017	9.1183	8.4105	7.7812	5.7142	7.231	4.0668	9.4848	8.3031	6.8806	7.1306	6.9334	5.1413	6.5792	7.7208	9.1096	7.2089	4.7942	8.4275	8.4285	8.3749	3.5976	6.058	6.1385	8.1262	3.5689	5.0568	5.4356	7.3147	6.4024	4.3076	6.6175	8.4366	8.3287	9.7294	4.1111	7.9091	3.3407	6.6071	4.4065	6.5935	7.4807	7.6362	7.895	6.9375
EA_G__TFF1	11.84	6.7837	11.4404	12.9215	5.4971	7.8702	5.5529	4.3741	5.1241	5.0018	11.8255	12.4366	5.5277	5.3954	4.6693	5.167	7.8188	8.9703	4.6936	4.9862	5.1043	4.7645	11.9278	12.3462	9.3139	4.4746	11.1606	5.7316	11.3324	5.6288	5.0357	8.5496	4.6178	6.452	5.1672	5.3551	4.8953	4.847	10.6487	5.7562	7.7064	12.854	9.7638	6.1027	12.0692
EA_G__PARD6B	6.6898	7.453	7.9356	10.2482	5.6462	9.0659	6.451	7.4407	7.1044	6.5166	9.1497	8.5948	7.3837	7.5392	7.1739	7.7258	7.5297	7.8017	7.1111	5.7964	7.4969	5.8639	9.8281	9.7913	7.6396	5.8916	7.8763	7.6107	7.4723	7.3893	6.4305	7.1206	7.3768	7.9257	6.6278	6.5983	7.1532	6.0187	7.9875	7.7564	8.7348	9.9907	7.3238	7.6213	9.8215
EA_G__ABCC11	4.9799	5.0771	8.9135	5.5246	4.3409	6.068	4.4537	4.3488	4.5022	4.3945	9.0536	6.4968	4.3846	4.531	5.3781	4.6172	7.1058	5.5215	4.3978	4.2837	4.7067	4.5984	4.5406	4.9815	5.9853	4.152	8.7674	4.4954	7.3019	6.4495	4.468	9.0235	4.202	6.726	4.5602	4.427	4.9806	4.4854	9.756	8.4576	9.3681	8.0366	7.2449	9.5692	4.8818
EA_G__WWP1	8.0302	8.9967	8.8018	9.7101	8.1978	8.8679	6.5657	8.3785	7.5529	7.4231	11.3334	8.4612	8.6495	7.1267	8.5063	7.861	8.4297	8.3236	7.9304	8.7833	8.4192	7.9482	9.4423	9.7243	9.689	7.8338	9.6395	7.7268	9.4123	8.1499	6.2912	8.3365	7.6886	9.3644	7.9982	7.2959	8.2918	7.7756	9.3304	8.0658	7.9781	8.6656	8.4128	8.7748	8.939
EA_G__LARP6	6.5428	5.5659	6.5078	5.6237	7.1073	5.4248	7.5343	7.0083	5.9575	8.956	6.0089	5.5778	8.0006	6.6088	6.8861	6.3143	5.4561	5.8963	6.643	6.7771	7.3264	7.2463	6.5469	6.0363	6.6533	7.6928	5.9258	7.1621	7.2715	5.3831	7.8478	6.1623	6.7166	6.1477	7.992	9.1172	7.1147	7.1286	6.8268	7.2592	5.9801	7.0379	5.6285	5.8008	6.3795
EA_G__ARHGAP23	7.2203	6.0053	5.8044	6.1833	7.0529	5.4752	8.4962	6.3843	6.9114	6.3489	5.4214	5.2812	6.1932	8.4672	9.3409	6.2881	6.0159	6.4165	6.8485	7.6738	6.8463	7.8115	5.9048	5.7858	5.5407	7.3588	5.8461	8.653	5.7958	5.8236	7.8177	6.2527	7.0282	5.9964	7.5326	6.9923	6.3647	8.3173	6.3409	5.9923	7.0707	6.1537	5.774	5.8307	5.6982
EA_G__PCDHGB1	5.0599	4.4612	4.367	4.5862	4.4758	5.6041	5.2418	4.4472	6.3499	9.3409	5.879	4.9562	7.4466	6.6533	7.7468	5.3934	8.2422	5.9619	6.6024	8.2842	8.2718	6.0722	6.6534	7.0064	4.3166	4.4936	7.4369	4.349	7.2956	5.5065	6.0721	4.7021	6.2925	5.4568	4.6585	8.206	4.5065	5.0315	7.9374	6.3798	8.1219	5.9438	5.111	4.4347	5.2577
EA_G__MRC2	9.5108	6.3393	6.1911	6.1822	8.4666	6.2529	7.2371	6.9342	7.854	7.6383	6.094	6.172	6.5812	6.4211	6.1795	6.195	7.3137	6.1677	6.3087	9.0085	6.3022	8.5076	6.5354	6.5896	6.3506	9.5693	6.3342	7.1079	6.09	6.0684	7.3681	7.1592	6.3311	6.5291	6.9711	9.3857	7.3701	7.4802	6.2204	6.9931	6.3224	7.244	6.5332	6.3834	6.5285
EA_G__SLC39A14	7.2392	7.0695	6.7073	6.6778	9.7325	7.094	8.1219	7.6136	9.8801	8.189	7.4083	7.1434	8.5716	7.6742	7.7243	6.9608	6.3437	6.898	7.8345	8.1108	6.6582	9.4612	7.1446	6.7092	6.6707	7.542	7.0018	8.3485	5.9451	7.0796	8.3354	6.3629	7.7732	7.3537	7.7618	10.7989	7.488	8.4903	7.7988	6.6494	7.0208	7.5143	6.793	6.2866	7.8622
