Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__FAM46A	6.489	7.5335	6.8155	6.6911	6.2397	9.9255	6.0797	6.9214	6.2153	7.7379	7.2561	6.0175	6.8131	6.6039	6.8473	7.7524	5.7554	6.9915	6.2605	7.1306	8.0787	7.1563	8.2218	8.2414	7.9682	7.4488	6.2809	8.1532	8.3767	7.0009	6.7548	6.6522	8.0643	6.6113	6.8086	6.1075	6.2258	6.7534	6.8276	6.3614
EA_G__PHCA	9.4805	7.0124	6.8136	6.733	6.9934	6.8958	6.8838	6.4098	7.1016	5.9372	6.1021	7.9612	6.1233	7.4588	6.4816	7.4683	6.4559	6.918	6.6104	4.7823	6.5791	6.287	6.3702	9.8663	6.8811	7.2654	7.1283	6.1298	6.2601	6.7278	6.7396	6.2054	6.767	6.9983	7.1347	9.8195	6.9235	8.7412	4.3451	5.3949
EA_G__ELF3	8.5748	8.8252	8.8399	8.1308	8.1399	4.9138	6.864	7.729	8.3153	4.8811	8.1281	7.8905	8.1319	6.3321	7.717	8.7614	8.9846	7.547	5.2282	9.2539	4.9362	7.7912	7.3381	6.4985	4.9177	8.1983	5.4539	7.7294	8.0609	7.1314	8.8807	5.3636	7.1317	5.4265	7.6229	8.2198	8.1507	6.9046	8.6266	9.6058
EA_G__KIAA1467	6.6315	7.5406	6.6624	7.2865	9.3605	5.8311	8.6582	6.745	7.3667	6.7519	7.505	7.9446	7.4237	6.29	6.3595	5.9867	7.0355	6.5908	7.377	7.3791	6.2821	8.4645	9.6294	9.3226	6.5187	8.4148	6.7367	8.5894	8.7607	6.8448	6.5345	5.8873	6.7214	6.6599	6.7002	8.4419	6.5175	8.1267	7.9241	8.2149
EA_G__CLDN7	10.3636	9.85	9.5351	9.1398	9.5023	4.9542	8.5019	9.5597	7.8989	5.1904	8.7904	8.7569	5.6529	9.9528	8.8823	9.2868	9.5516	5.3683	4.8213	10.2479	4.9616	8.9301	9.6298	8.4191	5.1725	9.2856	6.3708	8.4469	8.9547	8.636	9.9421	5.3195	9.7626	5.5576	9.8079	9.8201	9.0307	8.823	9.1229	9.5994
EA_G__SLFN5	6.3551	4.5627	3.6113	7.9279	3.3937	4.6782	3.8517	6.4659	5.4428	6.1726	3.1811	3.7721	5.7445	5.5597	6.1661	8.0224	7.6382	6.6715	5.8769	5.0148	6.1858	3.8609	3.6344	3.7697	5.5046	6.4506	5.5264	7.019	6.8036	5.2233	5.1094	6.6307	6.8766	6.7561	7.6172	5.8034	6.9799	3.166	3.9379	3.9261
EA_G__GGT6	9.0964	8.3135	8.655	7.006	8.0666	5.793	8.0847	6.0881	7.1068	6.1738	5.6971	7.3875	6.0567	6.2042	6.7551	7.6029	8.6305	6.0818	5.9579	8.1339	5.9044	7.6542	6.4003	6.2128	6.0818	7.0716	5.9307	8.2047	7.0393	7.5308	7.6895	5.9495	6.1742	5.9795	8.5388	8.5633	8.8248	6.812	8.1634	7.6006
EA_G__IRX2	8.5173	8.2061	8.6352	8.3716	7.4054	6.7802	7.908	8.4604	6.8686	7.5914	7.2388	7.1883	7.1409	7.8829	8.184	8.9985	8.6733	7.9823	7.2981	7.3122	6.8466	7.5982	7.7185	7.0101	7.6978	8.208	6.4527	7.7101	6.678	7.7619	8.356	6.9569	7.7958	10.7715	7.7253	8.5168	7.6102	7.6332	7.5843	7.5097
EA_G__TSPAN12	8.1459	4.8065	5.8963	7.7101	6.1921	4.3818	4.2948	4.7016	6.0141	4.4727	8.3821	5.7973	5.0621	5.3798	4.4833	5.7382	8.3077	6.0146	4.17	5.5669	4.8314	5.1698	5.8543	4.838	4.91	10.0466	6.9227	8.0057	8.1337	5.1424	5.347	5.4176	6.1065	4.1776	6.801	6.3377	6.1741	6.5665	5.9616	6.0829
EA_G__CDK5RAP3	8.0769	7.0657	7.0022	7.5364	7.9107	7.8547	7.8394	8.6243	7.1116	7.3997	10.176	7.8988	7.9888	6.9633	7.5531	7.1028	7.9227	7.4204	7.2929	7.5687	6.8329	7.8635	8.8183	7.3012	7.1384	7.2617	8.1751	8.666	8.6379	8.04	6.512	6.8064	7.0335	6.9849	8.8863	8.3218	8.1078	7.7401	8.6391	8.6733
EA_G__ABCD3	8.0706	8.5544	8.1513	7.6145	8.5018	7.8171	8.6562	7.2693	7.5809	8.6903	8.75	8.8656	8.5035	6.866	8.9051	8.1507	7.9655	8.0947	8.2058	8.9356	8.0793	6.8327	7.1561	9.1548	7.6698	7.2648	8.7925	7.6617	9.0646	7.2414	7.932	7.7466	8.6189	7.6636	8.3414	8.0512	7.576	7.7226	7.1523	7.1825
EA_G__TC2N	8.5979	9.0717	6.9775	9.3938	7.3508	3.3223	8.2578	6.9443	9.7443	3.7734	8.8806	7.6394	5.7542	7.1173	6.7638	7.7872	8.4157	6.5571	2.5474	7.8365	3.1031	7.5099	7.5506	7.6286	3.4834	8.7449	4.5382	8.6498	8.2854	8.3271	8.4929	3.1594	6.1981	2.9353	8.8122	7.8362	8.1402	8.2774	9.4791	8.1944
EA_G__FAM77C	5.5986	5.2746	5.141	5.8177	9.2404	6.2285	6.2276	5.3808	8.9727	5.7255	5.6698	8.9535	6.7136	5.356	5.6356	5.4778	5.3006	5.5056	5.3072	5.7193	5.0108	6.0272	7.3493	10.7015	7.2011	5.5719	5.2503	6.1178	5.1351	6.0575	5.6643	5.5834	5.2124	5.4421	6.579	6.0491	6.0703	7.1372	5.5503	5.5351
EA_G__GABRE	4.7424	8.6461	7.7588	5.6551	5.0391	4.3938	4.6382	4.1758	4.9124	8.2618	4.3276	5.3118	4.7007	5.8278	7.9141	9.1162	8.7248	8.8724	7.7033	8.6508	7.3543	4.7152	4.3835	4.7165	7.3917	8.2525	7.6055	4.2923	5.0037	5.1805	7.3929	4.7613	8.6802	7.5516	7.9522	5.0646	4.7438	6.7075	4.5927	4.6551
