Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	1
U133A__LOXL1	7.6117	4.1966	5.1158	4.3121	8.338	5.7862	4.933	8.9195	5.1848	5.3431	3.9845	4.0034	4.3856	4.1953	4.8002	6.8359	4.9628	9.1502	5.6646	8.9368	6.588	8.3756	3.6902	5.6773	6.3196	7.3211	4.5602	4.2818	9.7542	8.8104	6.6159	5.6259	3.9347	8.3171	4.6056	5.3135	5.2119
U133A__SLC39A14	6.6658	6.3508	8.5567	5.7462	9.7025	6.6078	6.3584	10.0436	5.8834	7.972	7.7405	6.3612	6.229	6.6312	7.0261	7.3375	6.1078	8.8219	6.2226	6.0328	6.4296	7.3106	6.5998	7.9923	5.6425	6.5311	5.5457	6.6012	10.1244	7.5401	8.3297	7.8884	5.1832	6.6665	6.7652	5.9987	8.1011
U133A__CLU	8.4866	9.6574	5.7652	8.3959	8.5782	9.8983	5.8172	5.9712	9.1287	6.7046	7.4377	7.591	6.1048	10.3969	8.8984	8.0404	5.3966	7.3871	9.4302	9.0676	9.8273	8.1812	9.9721	6.3767	9.5532	10.0333	8.4353	10.2838	7.7568	5.1932	6.4965	7.0545	9.8177	8.4618	11.489	8.2621	5.8636
U133A__DPYSL2	6.5499	4.3957	6.3934	5.6905	9.755	6.403	8.6685	6.876	6.4028	8.1874	7.4548	6.1458	4.9671	5.8342	7.3601	7.5697	6.8732	9.3498	4.9229	6.4398	8.4362	7.9753	6.9726	7.9353	6.4448	4.2048	6.5866	3.6449	9.0406	8.4346	8.7608	6.6997	7.2071	7.204	5.519	4.2719	7.339
U133A__MAP1B	5.2828	4.7448	6.4849	4.9262	7.9119	4.5738	6.6054	8.1982	4.5955	5.1547	5.4784	4.3322	4.8752	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	5.3466	8.6245	5.0681	8.226	4.7169	4.9647	4.3393	4.5124	7.7301	5.7202	8.3276	10.7187	6.9184	4.8221	4.5797	4.8576	4.5338
U133A__LEPRE1	6.2087	5.7091	6.5775	6.1438	8.4052	6.4342	6.4995	7.6492	6.3773	6.8821	6.2714	6.0789	6.569	6.3589	6.4817	8.1628	6.4934	8.3715	6.5539	6.4152	6.7285	8.5048	6.4054	7.3179	6.1017	6.1139	6.4774	6.1745	9.4289	6.5793	7.5538	7.6954	6.7493	6.6992	5.7279	6.3163	5.9634
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	5.0964	4.7406	6.6441	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6748	7.6835	6.0596	5.6751	7.0079	5.4811
U133A__KRT19	11.6554	11.9776	10.9191	11.935	3.995	11.6489	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.4618	11.0216	10.3341	11.7799	3.831	10.65	11.6347	12.2467	4.0939	12.0447	7.2772	11.6624	11.784	10.9377	12.0028	3.9802	10.1275	3.2941	11.8623	11.6439	11.4468	12.1604	11.9516	11.561
U133A__GCHFR	7.0875	7.7336	7.3299	7.4086	5.9174	7.0334	6.0695	5.6255	6.5892	6.057	5.9386	5.6697	6.4225	7.2153	6.4454	5.5521	9.3148	5.7151	6.6593	6.6104	6.846	5.6439	8.0588	4.8651	7.7018	7.5975	8.9348	8.3753	6.5251	6.4883	5.3529	6.5813	7.5842	5.7935	6.8521	8.7278	7.0875
U133A__CBS	5.9765	5.4492	7.8767	5.6544	7.3369	6.087	7.4403	8.4846	5.7384	8.0993	6.5391	5.9537	6.3435	5.1559	6.6224	6.4994	7.6089	5.9747	6.9595	7.2635	5.6818	6.6504	6.1478	5.3068	5.6614	5.2172	8.0108	5.5159	8.1012	5.822	5.7536	8.3385	6.9199	6.5534	5.6538	5.2268	6.395
U133A__PTPLA	5.6938	4.6823	8.4154	5.182	10.3468	6.3568	6.7459	5.8693	5.5657	8.0611	5.5909	5.7785	6.5564	4.9583	7.3047	7.8945	6.0142	6.1322	5.8509	6.5989	6.5047	9.4651	5.5866	7.4552	6.2385	5.0439	5.0779	4.2583	7.0215	6.8608	6.9817	6.4239	5.1713	5.2383	6.5071	4.9885	5.9094
U133A__ATAD2	6.8306	9.7425	6.8257	7.2074	7.5005	8.1133	7.5445	7.4831	9.109	7.4683	8.4138	8.6117	9.0584	9.6902	7.8008	7.7841	8.4046	7.5952	7.8972	8.2899	8.0551	7.8695	7.1376	7.9276	7.1281	6.9105	8.5164	9.6147	6.7236	7.8568	7.4166	5.1149	7.7748	6.8203	7.7042	6.7952	7.5119
U133A__MAP4K4	6.0673	5.1091	8.0032	6.3952	7.3226	5.7528	6.1253	7.425	6.5388	7.2464	7.61	6.8356	7.0288	5.4528	6.7248	7.8366	6.6207	7.9799	6.3307	6.1541	6.5299	8.1798	5.703	6.5193	5.9015	5.0642	4.9385	5.1327	8.1638	8.3236	7.7847	5.9041	6.5972	6.1144	6.0063	5.3321	6.2691
U133A__DAAM1	5.7712	6.9394	6.7256	7.4256	5.7426	6.5441	5.5412	5.8286	7.3134	4.3108	6.1768	6.3515	5.6336	9.0542	6.947	5.6935	6.8334	4.2798	6.7682	7.0736	7.5356	5.712	6.5563	4.2843	6.6937	6.402	7.1325	6.6966	5.278	5.2773	4.3674	7.2789	7.6872	5.4127	6.6933	7.2217	7.1886
U133A__ST14	6.2778	7.5491	6.1897	6.5451	3.9898	6.2206	6.3367	7.2561	6.6181	4.9063	6.9803	7.7047	7.101	7.1576	7.4406	4.7531	6.3258	3.7092	6.126	6.1322	5.9004	4.5615	6.1623	3.929	6.3002	6.4807	6.4503	7.2871	4.9825	6.7263	4.1953	5.3351	6.6592	5.1746	8.3697	5.7941	6.2579
U133A__MREG	7.2904	7.4837	6.8632	7.3162	4.1264	6.9158	4.9852	4.4452	7.6384	6.6941	7.6708	6.2989	5.9287	7.3828	6.2187	6.2332	6.664	4.6508	8.3801	8.8786	8.0033	5.5713	7.5852	5.3909	8.2337	7.7519	7.482	6.9532	4.3075	6.558	4.6489	4.8388	7.7298	7.2458	7.0424	6.0785	6.4466
U133A__DENND2D	7.4958	7.4556	4.9648	5.7265	4.6513	8.6196	5.5103	5.2798	7.1097	6.1298	6.2403	6.9926	5.5069	4.5585	4.9996	6.5644	7.7754	5.2324	7.2123	6.653	7.6433	4.7386	6.6939	5.02	7.1371	7.3444	6.518	7.5157	5.1945	4.5415	4.1664	5.338	7.6249	7.0955	6.6906	6.7653	6.5483
U133A__XBP1	10.8344	9.815	7.6964	10.7009	7.9069	10.6604	7.6036	7.9543	9.2154	7.8611	8.1184	8.313	7.637	10.5899	8.1677	7.1544	8.6517	7.6438	9.3516	10.7117	11.2426	7.2265	11.6896	7.889	11.5911	11.2322	11.2977	10.1574	7.1282	7.1631	8.0768	11.2015	11.1151	10.9035	10.9459	11.6974	10.5644
U133A__SGCB	5.8037	4.345	4.4165	4.5248	7.8458	4.0945	5.9386	7.1406	5.1858	7.0696	6.3675	4.4416	5.602	3.9234	7.0299	6.7798	4.7882	7.8291	5.4336	5.8159	8.2976	8.6534	5.0713	7.4406	4.5614	4.3851	4.0615	4.7536	6.9454	6.2714	7.184	4.3896	4.0284	5.3401	5.106	4.3728	5.1227
U133A__METTL7A	6.9451	7.266	6.3437	7.5847	4.3841	6.851	7.3172	6.7391	8.7913	6.6125	5.1798	8.321	4.1851	7.5515	8.8087	6.7329	6.9387	4.9186	4.7595	5.9162	8.1643	6.6631	7.4639	4.2725	9.2273	7.6442	7.6979	8.0295	4.2081	4.95	5.9051	4.6698	9.855	7.7331	8.8341	7.8531	6.9736
U133A__ZHX2	6.6374	9.2638	6.7542	7.8713	4.9952	6.5017	6.0232	7.4021	7.1239	5.0842	5.9716	7.2131	6.5772	8.4563	6.9501	6.0953	8.0637	5.4724	6.7913	7.4885	6.2762	4.9739	7.7711	6.05	7.6426	6.7416	7.0132	6.648	6.059	6.029	4.8623	6.4096	7.6708	6.0315	5.7254	7.2085	7.0087
U133A__UCP2	9.6294	10.6891	8.7103	11.051	9.2555	7.9243	8.9817	5.642	10.1599	7.6198	8.3911	5.8092	6.2556	8.7794	8.1962	9.2716	8.7817	5.512	8.6396	9.2632	11.818	7.505	10.7462	9.3588	10.4657	9.2304	9.6833	10.2665	6.2975	5.8019	5.5516	9.1125	9.8997	7.4515	9.3054	7.9376	8.6715
U133A__DCTD	6.7368	5.2551	7.543	5.1467	6.3193	7.0626	6.191	5.2222	5.2165	8.2899	7.0776	7.2563	7.3378	5.1893	5.3932	7.6038	6.9105	6.8982	5.9638	6.1875	3.9253	7.3325	7.087	8.1583	6.0793	6.8102	6.0422	5.4363	7.4175	8.6957	7.8895	6.5288	6.9611	7.7797	6.4909	6.6284	7.042
U133A__ATP1B1	9.9985	10.6555	8.987	9.0894	7.953	10.5124	10.7765	9.4161	5.5723	7.0005	8.0635	9.8683	9.024	8.4916	8.8909	8.4836	11.1555	5.7904	10.2571	8.5593	9.4818	4.4435	10.2751	9.3408	9.7824	9.7554	9.9854	9.7093	7.8881	8.672	7.3406	8.7469	10.6697	8.8248	8.5279	9.3935	8.2913
U133A__SERPINE2	4.1494	4.4242	7.97	4.9022	9.6075	4.4355	6.6807	6.0426	3.9813	8.4672	7.9594	4.2132	7.2359	4.2348	6.9187	8.2237	4.4336	10.6755	4.6808	4.5754	4.2682	9.6812	3.944	6.4409	6.9121	5.0607	4.343	4.6083	5.8042	7.156	4.8219	4.8116	4.3567	4.627	3.9897	4.3236	4.6368
U133A__PPP1R3C	5.3507	5.3831	5.4618	6.9823	7.049	7.3675	5.4099	5.1707	6.4353	5.3367	5.5783	6.4418	5.2825	5.6056	5.5377	6.2115	6.2363	5.8868	6.9161	7.2075	5.7518	6.3184	8.2775	6.2228	6.6878	8.1684	5.5832	5.8696	5.6742	5.4275	5.9204	6.3529	7.8932	5.4165	5.5653	6.3951	5.2313
