Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__COL6A1	6.9732	6.3156	6.0991	6.3956	7.7987	5.9948	8.9878	5.7568	6.6083	8.0962	7.3804	6.3507	5.6124	5.8936	6.4987	9.1927	5.4538	10.8531	6.5479	6.2493	5.8409	11.2448	6.8487	6.5369	6.4207	5.7732	6.0757	5.7873	9.5167	7.8725	6.8032	6.018	7.0157	6.5026	6.3931	5.7191	5.9583
U133A__LOXL2	4.6838	4.8373	7.2684	5.2765	11.2532	5.0339	5.1123	8.9399	4.9087	6.8644	4.7623	5.0723	7.4659	4.8991	7.0953	7.9161	6.9804	9.527	6.8229	5.5615	5.0457	9.013	4.8066	8.2858	5.1224	5.0076	5.0073	5.2823	8.7674	8.8033	7.5966	5.225	6.1602	5.0957	4.983	5.0515	4.9497
U133A__HSPB1	9.8381	11.9878	10.658	11.1392	10.9092	12.4619	9.7586	9.4377	11.9863	10.4327	9.9008	11.9422	9.7152	7.6241	10.821	9.9102	10.7294	10.9497	11.5674	12.3547	11.3351	10.3616	12.8993	10.0079	11.75	11.1248	7.7425	11.0928	10.9232	10.4221	10.3461	8.3736	11.3463	7.4763	12.0345	10.7593	11.8178
U133A__MB	7.4236	8.8244	7.795	8.3925	6.4009	7.7355	8.32	6.2043	7.2	6.8466	6.6614	7.0329	7.5746	9.3254	8.8972	6.5353	7.1009	6.1489	7.3687	7.2662	6.8012	5.9791	8.9188	5.6782	8.6018	8.4996	7.5244	9.1745	6.167	6.6543	6.5481	7.8482	8.0214	7.9644	7.1885	9.4389	8.2806
U133A__PDLIM2	6.1838	6.4469	6.5686	5.0195	8.445	5.1054	6.7985	7.5575	4.7108	6.3607	5.2325	5.6691	6.1512	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	5.8817	6.625	6.3894	6.7859	4.9201	6.5696	4.5589	7.137	7.7536	6.8021	7.2215	5.3168	5.6906	4.947	5.8226	6.1648	6.9082
U133A__FOXA1	9.1328	7.7572	6.523	9.0263	4.7595	8.7472	5.2283	5.7444	8.14	5.0961	5.822	6.5694	7.5076	8.8813	6.9658	5.4233	5.6401	5.6268	8.3942	8.6803	9.0814	4.7116	8.5308	5.3926	8.8057	8.3218	9.2428	7.9736	5.241	5.689	5.6432	8.73	9.3117	8.6746	8.6077	8.9553	8.3695
U133A__PPP1R3D	6.0376	6.2841	6.5806	5.8836	5.5115	7.3522	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	6.7862	5.4457	5.3754	5.7838	5.1445	6.6139	6.9967	9.3097	5.3464	7.7236	5.2928	7.7316	6.1594	7.5285	6.4306	4.8825	6.1016	4.8641	8.1589	6.6839	6.8287	5.7656	7.205	6.5275
U133A__HTRA1	6.7003	6.2736	6.3885	6.5619	6.4306	5.9744	6.5707	6.7075	5.904	6.5307	7.7992	8.3177	6.4915	6.4236	6.16	6.9112	5.9653	8.1098	7.5058	6.8794	6.3703	9.3958	6.821	6.888	8.4262	6.0692	6.4565	6.2344	11.4172	9.6218	7.5158	6.3811	8.6427	8.5513	6.7275	6.294	6.4095
U133A__NNMT	7.4816	6.4025	8.9292	4.3441	10.43	4.4886	4.4447	4.5027	4.0426	5.1421	4.462	6.0129	6.8071	4.2145	5.8981	7.0081	7.6329	7.5692	4.5485	4.4465	4.6024	10.1086	4.1548	4.4358	4.2956	4.9538	4.3555	4.6834	8.5814	8.774	9.9583	4.671	5.6167	5.758	4.3408	4.1626	4.082
U133A__LGALS8	9.6652	6.93	6.3346	7.7823	4.0492	6.3609	6.2438	4.4525	7.5037	4.2296	6.4287	7.3981	5.7325	8.0335	3.8314	5.7469	5.9013	4.1778	3.8058	5.3444	7.2931	3.8368	7.8755	7.5299	7.1015	8.0029	7.9816	6.8287	4.3027	6.2919	4.594	4.0473	8.7099	8.0004	6.0748	8.9952	6.5759
