Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__SULF2	5.3616	5.4193	8.725	7.0811	8.8036	5.4425	5.5604	9.4019	5.0992	9.8476	7.1048	7.5228	5.8056	6.1078	8.5899	8.4503	5.319	6.7196	7.1836	8.0557	8.8791	4.9672	10.108	9.9574	8.4334	9.2032	8.2053	5.1993	6.8745	6.811	5.8584	5.4766	5.0596	6.4834	5.3034	7.4592	6.6309	6.1569	5.4137	8.8395	5.2181	6.5123
EA_G__ANXA1	9.3451	3.6072	8.2376	4.0476	6.3945	10.2017	3.5434	10.6675	5.6443	9.7178	5.7747	3.241	9.4661	10.3797	10.7509	10.8582	5.3532	5.1369	10.5083	10.031	11.0436	10.0326	3.448	3.7029	7.6301	10.0666	7.3355	9.9841	4.7581	8.4359	3.764	5.1137	11.0653	10.5969	9.902	8.9069	10.2567	8.2487	5.7561	3.9458	3.0291	3.6732
EA_G__PRKAR2B	3.6639	4.751	7.6397	6.673	7.3892	4.2612	5.5339	6.1629	5.6519	5.6035	7.3352	8.2984	6.7023	3.924	7.0818	5.0653	4.5253	7.3375	6.4084	5.38	8.6228	5.2452	7.008	6.7479	8.6709	6.3269	7.4685	5.5951	6.3291	4.8747	4.7273	5.1911	6.4866	4.6942	3.6612	6.1377	6.4419	5.7235	5.3886	6.9424	6.823	6.4128
EA_G__F2RL1	7.5229	7.0777	7.9743	5.6143	7.2969	4.8537	6.6298	8.6187	5.9766	5.6359	5.5217	6.1085	6.6712	7.492	7.5467	9.0517	7.0372	7.198	7.7225	5.8382	7.2931	7.3569	6.9353	6.8548	6.2075	8.8065	6.6745	9.1391	6.4667	8.1978	5.5016	7.1023	8.367	7.1334	6.0605	5.9872	7.295	5.7391	6.7029	6.6517	5.978	6.7769
EA_G__KLF5	8.5255	7.652	8.2589	7.684	6.6646	6.3332	6.431	8.9231	5.9599	7.4141	7.6071	6.457	6.4916	9.4332	9.3723	8.6798	6.786	9.0117	7.6384	5.8379	8.4817	6.7928	7.0684	7.0685	7.0022	6.5565	8.4969	7.2973	7.8222	7.8355	6.6541	7.7837	6.5118	8.0507	7.7208	7.6409	8.6968	6.7986	6.6995	8.0027	7.0105	7.3024
EA_G__PXMP4	8.0834	8.9046	7.882	5.2497	7.8843	7.8873	8.6164	7.7706	6.0246	7.3667	9.3589	8.5329	7.1034	7.101	7.44	6.2103	8.5107	5.7135	7.4931	7.5792	5.2531	7.1659	8.1338	8.2939	8.034	7.0092	9.098	6.47	8.0163	8.7127	8.6084	8.904	7.1319	7.7288	6.6909	8.0563	8.6365	8.1254	9.6272	4.7825	9.4987	7.5512
EA_G__CNTNAP3	4.7443	4.1172	7.4826	4.142	4.2774	4.4703	4.015	8.0846	5.1941	6.7583	5.2287	4.0007	5.202	8.2941	7.786	6.8538	4.3365	6.649	8.3716	6.6659	5.9434	8.7955	4.3218	4.2363	4.0633	4.9848	5.1048	6.3487	4.1745	3.787	5.552	4.4674	4.3541	4.5422	4.9346	4.1382	5.3206	4.7668	4.6038	4.1425	5.8202	6.4722
EA_G__KRT16	6.4819	6.2502	7.9911	6.2564	6.5397	5.9624	6.8931	10.0834	7.5327	7.5744	5.6049	5.8852	6.2645	7.9418	10.9205	7.8769	6.2983	6.6671	9.2256	5.8457	11.3685	6.8225	6.6504	6.4479	6.0967	5.8917	7.3288	6.0919	6.1947	6.6879	6.686	6.6472	6.5071	9.4578	6.1099	7.0204	10.5835	6.8104	6.2684	6.1316	5.897	6.0403
EA_G__KIAA1754	5.6979	6.2297	6.5357	5.8518	5.2852	6.9463	5.4686	6.2887	5.9089	7.0913	6.134	4.8143	5.9613	7.0933	6.3267	6.952	5.9693	5.6172	6.357	5.9586	6.7698	8.4302	6.1948	5.7878	5.2799	6.2668	5.807	7.5315	5.084	5.6017	5.8272	6.0504	8.4361	6.3043	7.7256	7.0121	6.5976	5.8607	5.6484	5.4141	5.5	5.3359
EA_G__TTC19	8.6527	8.2419	9.1502	8.8749	8.2278	8.7502	8.0066	8.9872	8.1973	8.8045	11.2654	7.9345	8.8368	8.701	8.9498	8.4536	8.1676	8.3788	8.8937	8.1428	7.8048	8.3982	8.0098	8.7224	8.0369	8.7694	7.8061	8.8368	8.2474	8.4269	8.5385	8.4692	8.3053	8.2343	7.9473	8.2896	8.1058	8.6106	8.0567	8.1428	8.3585	8.3437
