Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__ARHGDIB	8.5293	8.1199	5.8842	6.4501	4.7304	4.7976	5.607	6.4063	8.0311	5.4551	9.4922	9.2045	7.5589	10.3184	8.841	4.8659	9.2277	6.0753	4.7729	5.4535	5.0219	5.5393	10.2407	10.0378	9.1753	10.118	6.7721	8.9124	5.2272	8.2832	6.2232	9.5105	7.7081	6.377	9.6437	8.9659	6.9107
U133A__DAAM1	5.7712	6.9394	6.7256	7.4256	5.7426	6.5441	5.5412	5.8286	7.3134	4.3108	6.1768	6.3515	5.6336	9.0542	6.947	5.6935	6.8334	4.2798	6.7682	7.0736	7.5356	5.712	6.5563	4.2843	6.6937	6.402	7.1325	6.6966	5.278	5.2773	4.3674	7.2789	5.4127	6.6933	7.2805	7.2217	7.1886
U133A__DNM1	5.6161	5.646	5.4321	5.8578	6.6942	5.6352	6.4943	8.8086	5.9955	6.2088	7.913	6.0178	5.36	6.3878	5.7923	8.6169	8.4682	5.7741	5.5244	7.1578	6.3168	7.6517	5.6249	5.6326	6.4587	6.9409	5.6904	5.7951	5.5233	6.324	5.5619	5.3328	5.5189	5.5842	5.462	5.8005	8.0049
U133A__MSN	3.841	4.5404	7.0857	3.5172	8.5121	3.3393	9.342	8.9229	4.7864	8.964	8.5521	7.2232	8.4309	3.4629	7.7602	8.5216	9.8294	8.6483	3.9182	3.857	4.7157	8.0642	3.6968	8.6962	3.3597	4.1423	3.5368	3.4264	8.8511	9.046	8.7758	3.5774	3.4357	3.3212	3.8634	3.5565	6.796
U133A__KRT19	11.6554	11.9776	10.9191	11.935	3.995	11.6489	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.4618	11.0216	10.3341	11.7799	3.831	10.65	11.6347	12.2467	4.0939	12.0447	7.2772	11.6624	11.784	10.9377	12.0028	3.9802	10.1275	3.2941	11.8623	11.4468	12.1604	12.1037	11.9516	11.561
U133A__GSTM1	10.6942	7.4512	7.2066	6.8005	6.3317	8.4332	6.293	6.6235	6.6232	6.6501	6.9337	6.508	6.082	6.2574	6.4025	7.346	7.1952	7.965	6.6059	6.5949	10.791	6.5556	6.4724	6.8404	6.4642	10.6691	6.9149	7.0285	6.7804	6.5098	6.5735	6.0815	7.4674	7.353	5.9339	6.3352	6.356
U133A__MB	7.4236	8.8244	7.795	8.3925	6.4009	7.7355	8.32	6.2043	7.2	6.8466	6.6614	7.0329	7.5746	9.3254	8.8972	6.5353	7.1009	6.1489	7.3687	7.2662	6.8012	5.9791	8.9188	5.6782	8.6018	8.4996	7.5244	9.1745	6.167	6.6543	6.5481	7.8482	7.9644	7.1885	8.5176	9.4389	8.2806
U133A__DUSP1	6.4053	7.7114	7.1752	8.9782	6.1533	7.4269	5.3717	5.2704	6.595	6.1984	6.4507	7.5507	5.8845	7.3325	7.7346	6.8596	5.6034	7.7844	6.4474	7.2639	7.0795	6.6723	6.1124	8.7086	8.8691	5.7835	6.1885	9.4192	8.3556	6.6147	9.4805	9.4117	8.4658	7.5289	7.3543	7.386	6.2795
U133A__RPS21	6.1004	7.5034	7.4561	6.0557	7.3912	7.8234	7.6523	6.791	7.8928	7.0698	8.2275	7.7594	6.7717	5.4152	7.0551	5.8405	6.8159	8.0306	9.0185	8.5384	7.8557	9.2664	6.3263	7.6396	6.6861	6.9282	8.0313	8.0577	7.49	9.3633	7.7215	7.5797	9.0903	7.8262	6.975	6.4278	7.2525
U133A__SERPINB5	5.4621	4.1249	4.5324	4.1814	4.475	4.0277	9.2067	4.8744	4.5562	7.8717	9.1435	8.3092	8.1107	4.0432	8.489	5.5129	7.3868	4.1973	4.7555	4.4754	5.451	4.3037	4.3547	4.0584	6.3604	6.9888	4.2257	4.2462	4.103	8.5359	6.4318	4.3845	4.8088	4.3172	4.1317	4.4617	4.6225
