Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__ME1	8.3567	7.7974	8.193	5.9976	6.2304	3.5126	5.2956	7.5277	6.3978	6.0968	8.6735	7.608	7.8782	6.6291	7.442	6.9336	7.1357	6.5106	5.9111	6.5939	4.2005	8.2989	4.2227	6.5132	6.5847	8.4861	3.7088	6.4531	6.6978	6.6297	7.1395	3.7365	8.4449	3.91	5.382	6.4445	7.0946
U133A__PHYH	6.4054	3.9401	5.8836	5.7494	6.3413	6.5331	7.3084	5.9319	6.3361	7.0474	5.2042	7.1477	6.3933	6.5928	7.047	7.8093	8.045	5.0085	5.1134	5.7047	6.6815	8.348	7.1058	5.4477	6.3779	5.1559	4.5231	4.0698	8.1582	5.766	6.2158	7.1574	5.654	7.3429	7.4979	6.3222	6.6848
U133A__CLIC3	4.5666	8.3548	7.3076	6.491	3.6425	6.6116	6.5625	4.1162	9.4396	3.2494	4.1193	7.3005	3.2852	7.8558	3.5136	3.8325	4.8032	3.4001	4.7747	7.6637	4.0788	3.6152	7.5984	3.714	6.3844	4.7366	7.8342	6.9665	3.6517	3.9377	4.0323	7.4723	4.2879	9.4402	9.412	5.9785	6.9891
U133A__THBS1	5.5343	5.001	7.0833	2.6537	9.244	5.7668	8.4849	4.4151	3.3894	3.7441	6.7656	3.75	7.6908	2.6702	7.1499	5.1664	3.2742	8.3906	4.5841	5.9715	6.4773	5.6089	6.0028	6.6098	3.9623	5.9902	7.2005	4.0472	2.661	9.1396	8.1503	4.1347	6.1984	6.842	4.6027	2.8948	2.6965
U133A__FAM129A	5.0158	3.7621	4.7228	4.3398	7.9531	3.6722	4.8097	5.2083	5.9292	4.647	8.5176	6.8051	3.6708	5.0773	6.7572	5.0536	8.9458	4.8652	3.935	3.6517	4.1287	6.924	6.5025	6.8604	6.0223	3.8873	3.8552	3.8009	6.1988	6.8953	4.1109	7.0005	4.7178	5.0793	3.9912	6.4028	4.0884
U133A__GCHFR	7.0875	7.7336	7.3299	7.4086	5.9174	7.0334	6.0695	5.6255	6.5892	6.057	5.9386	5.6697	6.4225	7.2153	6.4454	5.5521	9.3148	5.7151	6.6593	6.6104	6.846	5.6439	8.0588	4.8651	7.7018	7.5975	8.9348	8.3753	6.5251	6.4883	5.3529	6.5813	5.7935	6.8521	6.8993	8.7278	7.0875
U133A__AKR1C1	7.1431	7.4936	9.7287	6.9009	6.9592	6.8648	8.8214	9.5937	6.993	6.9124	13.1661	9.4036	9.5204	6.7947	9.3672	10.5533	8.2823	10.5717	6.8776	7.8026	10.3287	9.2501	8.2671	6.5743	7.7902	8.1125	7.0886	6.9583	7.1779	9.3422	9.1273	9.812	7.2018	7.2829	6.5776	6.7722	6.5749
U133A__C2orf54	7.7605	8.4685	6.5213	6.8355	5.7915	6.2505	6.405	6.0855	6.3454	6.0255	5.9557	6.8201	6.0669	7.6327	6.4253	6.0383	5.8493	5.9139	6.2292	6.1448	6.1992	5.841	7.4306	6.0411	7.0844	6.0172	7.549	8.1948	6.0615	6.1171	6.017	6.361	7.5534	5.9837	8.6595	8.4196	6.0049
U133A__TIMP1	10.3333	7.0824	8.6722	6.0084	10.3319	6.3865	7.5051	5.2107	9.0007	10.0557	7.8295	7.3896	9.965	5.853	8.1505	8.566	7.5314	9.0919	9.1396	8.942	7.7057	10.7712	9.0823	8.6568	8.1735	9.2124	7.044	5.6415	10.4042	10.5345	11.5046	6.6035	8.7976	6.351	8.9574	5.2706	7.571
U133A__CHN1	6.5311	5.9812	6.3268	6.8807	7.0345	7.4646	6.5837	6.6716	7.5815	6.5206	5.833	5.8687	6.1969	5.689	6.1582	8.0957	6.6152	6.58	7.1704	6.9188	6.3722	9.1868	6.0755	7.0938	6.8787	6.7295	6.1745	6.2256	6.4345	9.1519	8.3679	5.7574	6.5288	6.2308	5.9554	7.3065	7.0723
U133A__ZNF238	6.9296	3.6984	8.1969	7.2027	7.2082	4.9441	6.3162	7.6741	3.3173	8.3037	5.0206	6.5104	5.7289	7.2653	6.3071	4.5975	6.9448	5.6544	3.3741	3.5935	4.9768	7.0301	5.758	7.4201	6.4543	4.1213	4.6561	3.2385	4.123	5.4605	4.4145	7.3186	7.108	4.5444	8.6131	7.2481	4.7902
U133A__BTG3	7.0426	7.5953	6.0044	5.9703	7.0791	4.2233	8.9466	7.8792	5.0099	8.5942	7.5041	7.8742	8.5126	7.4848	7.8793	8.5847	8.5934	6.7906	4.2185	4.5037	7.1768	8.6345	6.7812	7.9845	6.3049	6.2882	6.0178	6.2314	7.0501	8.9104	7.0772	6.0982	7.1067	3.7357	7.3764	6.5325	7.4161
U133A__FAM174B	7.6688	7.039	8.6806	7.2556	5.5542	6.0659	5.9859	5.9155	6.0452	5.895	5.4407	6.3246	6.3647	7.2938	5.6754	5.7021	6.1376	6.1391	6.7886	7.0665	6.8153	5.7914	7.8239	5.7429	7.5637	7.1023	6.5758	6.7257	6.0008	5.608	5.8132	8.5023	6.56	6.7379	8.822	6.8445	6.1006
U133A__HES1	7.2466	7.8362	6.8655	7.9131	5.1651	6.9367	7.8518	7.9219	7.5594	6.5368	6.5024	7.6893	6.658	9.585	7.7168	6.5411	6.9986	6.0367	6.746	7.2969	6.5532	6.3761	7.2673	5.6609	7.8519	6.9642	6.1492	7.3558	5.9077	7.0221	4.6059	7.9363	7.3246	7.1297	6.625	7.1431	5.8228
U133A__QPRT	6.2711	9.4457	8.2145	7.4417	5.6007	6.3278	5.4435	5.1401	7.275	7.3774	5.6756	5.5612	6.3718	8.0511	8.7061	7.02	9.2734	5.9733	7.4239	8.1142	6.9332	8.6614	7.115	5.2379	9.1192	8.4536	6.314	8.5981	5.9379	5.4969	5.6873	7.2077	6.3381	7.7665	8.9526	8.0018	5.6556
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	4.6994	10.4767	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	10.506	7.5837	11.0665	8.3426	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.5897	9.9593	11.9459	11.5683	9.9995	11.4816
U133A__AIM1	6.2106	8.7963	9.3408	8.6813	6.0558	6.8131	8.9159	4.982	8.2196	8.2287	8.0492	8.7932	9.4742	11.7793	8.8987	8.7905	9.2289	5.3024	8.576	7.7136	7.7323	7.4837	7.2483	7.8501	9.1928	8.7391	8.6797	8.0793	8.5952	7.7807	5.5788	7.1878	8.4594	7.3956	7.2723	8.6011	6.7955
U133A__CCNE1	6.8741	7.656	7.5247	6.0468	6.8969	7.2893	7.2019	7.4141	6.8348	10.73	9.2363	7.2786	7.4831	6.9815	7.6167	6.8902	7.2455	6.758	7.6532	6.6415	6.293	8.9341	7.247	6.0525	6.3022	6.87	6.3794	7.0469	6.7699	7.6627	7.2453	5.2141	6.1398	6.3324	6.5824	6.3656	7.2583
U133A__PIP	6.4355	7.3069	6.3157	7.061	6.2596	6.2897	6.4685	6.4454	6.2459	6.3056	5.9752	6.0752	6.4284	6.7761	6.4129	6.1173	5.7083	6.2892	6.0998	6.2914	6.1608	6.1202	10.0061	5.8344	7.7157	6.8376	7.9615	7.0196	6.1485	6.3994	6.1424	11.8405	6.0735	11.2874	8.8185	7.5776	6.1976
U133A__TSPYL1	7.1208	6.83	8.2478	6.8499	6.8558	6.6155	6.3823	6.2805	7.2393	6.7611	6.3812	7.6203	7.1452	9.9714	7.4672	6.6912	6.8775	6.14	6.7769	7.2514	7.9883	6.4733	7.0354	6.9656	8.3367	7.0077	8.116	6.3896	6.688	6.094	7.0528	7.2503	7.8928	7.6083	8.0874	5.4603	7.6037
U133A__TNFAIP3	5.9295	6.7965	5.5933	5.7553	5.7218	5.7495	6.4198	8.9139	6.1028	6.7203	8.4994	6.6061	6.4225	5.9013	6.9691	6.7715	6.2094	7.2405	5.4449	5.5353	5.9057	6.3513	5.8423	5.564	5.8709	5.9297	5.7984	5.9432	6.3301	8.7543	8.0292	5.6503	5.5626	5.8664	6.2742	5.6705	5.6778
U133A__AKR1C3	4.5755	3.9471	7.9694	3.4576	3.5327	3.5596	5.9661	4.4479	3.8913	4.2299	11.0316	6.9613	6.4956	3.6174	8.1922	8.1221	9.9288	7.8707	3.9479	4.7752	5.2109	8.5158	5.1772	4.3366	5.6304	9.5174	3.4918	3.5267	3.8637	5.972	7.2755	9.2411	4.8461	3.8538	3.7663	3.6274	3.8302
U133A__TSPAN13	9.6774	10.0953	8.3777	10.249	5.511	9.5712	7.7338	7.6575	9.9233	6.7565	9.5285	9.5561	9.2752	10.611	8.413	7.5481	10.2011	5.4571	9.1734	9.4408	9.5767	7.3108	10.1409	5.6786	10.1128	10.3424	9.7301	9.8614	8.6711	6.8176	6.1061	11.0026	11.2545	10.2015	10.0762	10.0917	10.3821
U133A__KIF14	6.6803	6.4582	6.7575	5.5932	7.1136	4.9453	5.6646	8.1398	5.3265	6.9909	7.2605	6.414	5.3583	5.431	6.481	6.2668	7.5613	5.9016	5.7401	6.9772	5.3392	6.6024	5.8901	7.6284	5.4955	6.6597	5.9754	6.0151	5.7495	5.9024	6.1868	4.6193	5.3477	5.6868	5.8779	6.7918	7.0268
U133A__KRT4	6.9644	10.0722	8.7605	5.5598	5.6361	5.6631	6.5386	5.5032	6.0737	5.8991	9.4795	11.8723	5.6528	12.978	7.2059	6.06	11.0246	5.7431	5.5836	5.7032	5.4862	5.5855	6.3982	5.4281	5.8633	6.9905	5.5702	9.9403	5.9632	5.8219	5.4273	5.8027	7.1576	6.1567	7.2326	5.8672	5.5862
U133A__SPHK1	6.5756	6.2039	7.0171	6.0943	6.0261	6.3492	6.9162	6.4991	6.5431	9.0799	7.0979	6.5235	7.3219	6.0867	6.6053	6.6958	7.362	7.0201	7.6825	6.8751	6.2242	8.3971	6.2919	6.1954	8.0365	6.0921	7.3532	6.2097	9.1271	7.5901	6.415	6.2242	6.052	6.0584	5.9343	7.0085	7.0155
U133A__GAL	5.5668	5.0145	6.3931	5.1247	4.3321	5.1451	5.9986	7.9881	4.8284	8.7914	9.0261	6.4929	5.9047	5.3813	8.2046	6.7009	4.1139	4.7831	6.4596	6.1713	4.3119	4.8966	4.9348	4.4756	5.308	4.7313	4.5764	4.8875	4.9972	7.4613	5.5538	4.7111	4.6807	4.7853	4.9327	4.9922	8.7476
U133A__BRD3	8.0335	7.0552	7.9053	8.8741	8.1861	7.469	8.1703	8.9881	7.7792	6.9922	6.8743	8.1244	6.8308	8.0223	8.4947	8.351	7.6168	6.5313	7.3688	7.6875	7.6713	7.2378	8.1662	7.3083	8.1786	6.8757	7.9636	6.8199	7.1282	7.3145	6.6386	10.3884	7.558	7.3309	7.0895	7.6949	7.5907
U133A__COL6A1	6.9732	6.3156	6.0991	6.3956	7.7987	5.9948	8.9878	5.7568	6.6083	8.0962	7.3804	6.3507	5.6124	5.8936	6.4987	9.1927	5.4538	10.8531	6.5479	6.2493	5.8409	11.2448	6.8487	6.5369	6.4207	5.7732	6.0757	5.7873	9.5167	7.8725	6.8032	6.018	6.5026	6.3931	7.0413	5.7191	5.9583
U133A__BHLHE40	4.8137	9.0104	7.5841	7.9928	7.966	8.0251	9.1001	8.8729	7.9228	7.9559	6.8667	9.1255	7.9007	9.1491	9.1102	9.058	9.8461	6.9324	6.5935	7.2855	9.8204	8.4766	7.7957	6.2979	6.4938	6.725	9.0946	7.9858	6.6069	8.2761	6.3476	9.8552	5.9998	9.1508	10.0326	7.6047	7.3721
U133A__AKR1C2	5.4605	6.4464	9.0657	5.9221	6.1651	5.4722	7.525	8.0987	5.4578	6.006	12.3755	8.7393	8.1344	5.8194	8.3491	9.221	7.9785	9.3591	5.9496	6.9475	8.881	8.398	7.346	5.5549	6.8639	7.5265	6.1791	5.8097	6.0822	7.791	7.9192	9.6358	5.6004	5.3554	5.4338	5.3534	5.4075
U133A__PSPH	3.0836	2.8068	6.7289	8.8397	6.9781	3.9571	3.5236	4.0114	2.8876	4.9507	5.6603	5.337	4.8724	3.2991	8.5676	4.3599	6.2269	3.3834	3.9784	3.957	3.1641	7.7069	8.0686	6.9336	3.8532	6.5213	3.6251	3.3861	7.1978	6.3427	3.5548	6.222	3.3091	3.816	3.4727	2.8167	3.3359
U133A__ERBB3	9.0074	7.5004	6.4014	8.3846	4.1332	7.8718	7.0488	7.2396	8.1221	7.1116	6.5673	7.1065	5.2443	8.2884	6.1232	6.1179	7.809	3.9223	7.4837	7.907	7.5422	5.1573	7.8977	4.7362	8.49	7.7735	8.3471	7.8318	4.3134	6.0561	4.2768	8.8454	6.8618	8.571	8.2939	8.3354	7.6055
U133A__PPP1R3D	6.0376	6.2841	6.5806	5.8836	5.5115	7.3522	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	6.7862	5.4457	5.3754	5.7838	5.1445	6.6139	6.9967	9.3097	5.3464	7.7236	5.2928	7.7316	6.1594	7.5285	6.4306	4.8825	6.1016	4.8641	8.1589	6.8287	5.7656	8.1055	7.205	6.5275
U133A__ERBB2	9.3202	12.1579	7.8098	12.0098	7.0802	8.4009	8.7493	7.9295	7.6523	11.8139	7.294	7.8108	11.5446	9.3757	8.9136	8.1445	7.98	6.6782	7.0358	8.5128	6.8815	7.0918	9.2857	6.6117	11.035	7.8448	10.215	11.611	6.9193	6.6093	7.3643	8.4025	7.652	8.3078	12.1946	9.1095	8.3688
U133A__CDH3	7.4771	5.8198	9.8096	7.8882	6.043	5.968	9.171	6.7938	7.3889	7.5876	9.3404	9.1796	9.4736	5.595	10.0478	7.9629	10.7173	5.1299	7.5427	8.2078	5.9477	5.3993	8.3918	5.8738	8.9883	8.0795	6.1937	5.3708	9.2653	10.3897	6.1326	9.8329	7.8968	7.9784	8.8535	9.2606	8.2434
