Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__PSAT1	5.5922	6.1399	8.26	8.0258	5.861	8.3365	5.8022	7.4809	7.5477	7.3947	6.1203	8.0365	8.0175	9.2056	7.8975	7.689	7.0305	5.8761	6.9252	9.2504	7.682	6.5519	6.2562	5.9222	6.8654	6.9891	8.1257	6.2789	6.354	5.5266	6.6541	9.1564	8.6713	8.1064	10.4203	8.6947	6.019	7.2478	6.2581	6.1356
U133A__BTBD3	6.877	6.7463	6.2463	6.9788	7.7979	7.3751	5.4557	6.8743	7.5269	7.2278	5.7018	8.6077	6.5997	7.475	5.9069	5.1432	6.3204	6.3245	7.5103	7.5578	5.7128	5.0384	5.403	6.3836	5.318	6.3853	6.1573	5.5976	6.4031	6.3796	6.6153	5.4554	6.4899	6.3747	7.2173	6.4509	7.1558	5.6182	6.1618	6.4409
U133A__MEST	4.1765	9.1445	7.6999	8.9309	8.7516	6.6424	8.5033	8.9762	7.7862	7.8309	8.7083	4.5952	9.1663	7.8941	7.5623	9.1638	8.9105	4.5462	11.3108	3.7298	6.5437	8.65	8.9624	7.5797	9.3082	8.7994	7.1838	7.7	7.1751	9.0391	9.9474	5.8419	5.283	7.8764	7.8433	7.9864	3.8016	3.9968	7.7185	9.1736
U133A__INHBB	8.9319	9.0488	9.6677	9.0222	7.2062	4.1472	9.3761	5.0339	9.6701	5.4203	7.5198	6.4504	6.9645	5.8516	8.5289	9.0537	9.8052	7.5508	5.3406	7.9114	6.0214	9.2939	8.3263	6.5851	5.2305	8.5668	6.0086	6.9465	8.4557	9.7103	9.4064	5.8637	4.8836	5.3548	8.8214	9.2832	9.0283	8.3476	8.528	7.9564
U133A__BET1	6.457	6.8917	6.1	6.4871	6.6266	5.9282	6.3555	6.5993	5.9264	7.1228	5.9494	6.4942	6.1672	6.1476	5.602	5.7067	7.193	6.5846	6.7723	7.2706	6.6186	6.4599	5.748	6.1616	7.2448	6.7981	7.2339	6.0368	6.4559	5.7412	6.4165	6.3714	6.2335	6.4052	6.7489	9.3023	9.1437	6.3116	6.0472	6.3389
U133A__HES1	7.2466	7.8362	6.8655	7.9131	6.4896	5.1651	6.9367	6.6125	7.8518	7.9219	7.5594	6.5368	6.5024	7.6893	6.658	8.8103	9.585	7.7168	6.5411	6.9986	6.0367	6.746	7.2969	6.5532	6.3761	7.2673	5.6609	7.8519	6.9642	6.1492	7.3558	5.9077	7.0221	4.6059	7.9363	7.6559	7.3246	7.1297	7.1431	5.8228
U133A__COTL1	3.8873	6.1669	10.3469	4.9965	7.057	8.685	3.9985	8.114	6.2075	4.6672	5.8737	7.9639	9.1007	8.7132	9.1908	5.7679	4.9764	9.1278	8.7305	8.2581	8.4075	6.502	5.7289	4.8017	7.2017	5.5067	8.776	5.4758	5.1598	5.832	5.7785	6.831	8.3543	8.6649	5.26	7.8287	6.4731	6.115	4.3443	5.3925
U133A__AHNAK2	4.3732	3.6455	4.6633	3.7668	4.2833	7.8526	4.6283	6.6866	9.299	3.5509	4.9391	3.8991	6.3896	4.45	6.0159	3.693	4.1841	7.2624	6.7199	6.3673	5.4933	3.9157	4.2351	4.6591	8.267	4.9602	5.1847	4.0095	4.1542	3.6524	3.8567	9.5019	5.603	7.6929	8.3787	4.9678	4.0909	4.2427	3.8844	4.6233
U133A__ELF3	7.5457	9.7151	8.1411	8.6588	7.6365	4.5443	6.8332	5.2965	8.8709	8.6235	7.3098	7.955	6.3115	8.395	8.3632	9.1607	9.5127	8.8539	7.0033	8.8438	5.3407	7.0076	8.1508	5.7695	5.0759	8.4196	5.1225	7.6662	7.8192	7.1622	8.9949	5.89	6.1304	4.9205	8.3142	8.0164	7.5694	7.2921	9.5173	7.633
U133A__KLK6	5.4123	4.917	9.4507	4.8753	4.8251	4.9481	5.1348	5.1917	9.2735	8.0249	4.9307	5.5788	5.2118	9.1099	11.2762	5.5614	4.9339	8.6374	5.5375	4.5087	5.3166	5.1605	6.1085	4.7658	4.9606	5.3853	4.769	4.9731	5.1898	5.2134	5.3923	4.8629	4.7454	4.6814	5.0521	8.6083	6.9941	5.0235	5.0571	4.6177
U133A__FAM129A	5.0158	3.7621	4.7228	4.3398	5.5046	7.9531	3.6722	7.9585	4.8097	5.2083	5.9292	4.647	8.5176	6.8051	3.6708	5.0975	5.0773	6.7572	5.0536	8.9458	4.8652	3.935	3.6517	4.1287	6.924	6.5025	6.8604	6.0223	3.8873	3.8552	3.8009	6.1988	6.8953	4.1109	7.0005	8.3979	4.7178	5.0793	6.4028	4.0884
