Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__ATP1B1	9.9985	10.6555	8.987	9.0894	9.4873	7.953	10.5124	7.0071	10.7765	9.4161	5.5723	7.0005	8.0635	9.8683	9.024	10.2811	8.4916	8.8909	8.4836	11.1555	5.7904	10.2571	8.5593	9.4818	4.4435	10.2751	9.3408	9.7824	9.7554	9.9854	9.7093	7.8881	8.672	7.3406	8.7469	10.6697	8.8248	8.5279	9.3935	8.2913
U133A__NBL1	5.9735	5.5208	5.2898	6.5773	8.0088	6.4156	7.816	6.7587	6.1978	6.1135	8.2531	6.5199	7.0638	7.4328	5.614	6.2299	6.0307	6.2699	6.1127	8.421	6.6186	5.6648	5.5864	8.6762	7.2315	5.4859	6.2246	6.6967	8.0563	7.9575	5.6058	5.9892	8.1472	6.4818	5.802	6.6236	5.6896	6.7591	5.5293	6.3593
U133A__BPTF	6.8483	8.6408	6.3479	7.5001	7.6163	6.0281	6.4019	7.0439	6.6098	6.6248	7.1143	5.6327	6.1347	5.7794	5.5429	5.7568	5.7125	6.3422	6.9605	6.1183	5.9811	8.3108	7.9599	6.0414	7.5758	5.8278	6.3989	7.9848	5.5364	8.2596	8.0437	6.3576	5.6765	5.9499	7.0151	6.1885	5.641	6.9433	6.8825	6.4022
U133A__NDRG1	8.6805	9.5465	6.8656	10.7596	9.778	5.7369	8.7552	7.21	8.7441	8.9747	8.2843	8.3586	8.4558	8.8067	7.6502	10.4825	8.7344	8.4931	6.3697	8.1136	7.8216	6.8145	8.2818	7.5775	7.4456	7.5	6.9756	7.9262	7.0386	8.4733	10.6886	7.7033	8.1369	6.9465	8.0954	9.5387	8.3876	6.9584	10.0224	6.6565
U133A__MT1F	8.8457	8.4682	11.449	9.0415	8.2996	9.723	8.3702	10.1491	9.3606	7.3736	10.1497	8.895	9.2237	8.6485	10.1593	8.2385	8.1514	9.0099	10.0446	9.6652	10.7	7.8613	8.0034	8.7306	9.3064	8.6793	10.6159	9.1573	10.5503	8.8884	8.8961	10.4918	11.0993	11.1161	8.3957	9.5437	9.1751	8.0095	9.2106	8.4788
U133A__HDAC2	7.3362	7.244	8.606	7.6767	6.867	7.551	6.9395	7.3048	7.0874	8.1325	6.5409	7.9756	7.3507	7.9535	8.3325	5.4068	10.9012	7.9686	7.3425	7.7932	7.6404	7.0908	6.704	8.7541	7.7129	7.1234	8.2561	7.7281	7.5994	7.9039	6.9991	6.7312	7.6319	8.2541	7.5854	7.5802	7.4804	6.7918	5.8817	7.6247
U133A__ALDH2	9.3805	9.7677	5.4141	10.227	9.9024	6.8361	9.4075	5.4681	5.5016	8.2046	6.0363	8.5911	8.8455	5.5621	4.9952	9.9548	5.4287	5.4604	8.6838	7.2193	5.5024	6.2979	6.6812	6.8677	7.5525	6.3535	7.9242	10.2982	8.6058	5.4285	10.0471	7.2277	7.8676	5.8958	5.3037	10.5581	5.8761	7.3889	9.1299	7.0443
U133A__MARCKS	4.0846	7.9558	9.3462	9.0052	6.1751	9.3931	3.1121	7.6127	7.562	9.3508	6.1638	7.7138	7.8514	8.6914	8.1749	6.8248	9.5401	8.7765	9.5328	9.2564	9.3228	3.4705	6.1732	9.3868	9.2405	7.1593	8.4118	8.1083	8.134	7.7284	7.2272	7.9364	6.5351	7.3555	8.9721	8.9906	8.8831	2.8129	5.898	6.8807
U133A__IL6ST	7.5935	7.0793	6.0749	5.4211	8.567	8.125	7.0206	8.2546	5.2974	6.534	6.7419	6.7623	7.3269	7.0733	6.731	4.2533	6.9801	7.0261	7.9029	7.3889	8.7535	5.2886	5.2522	9.4937	7.2806	7.1899	7.3972	7.6621	8.1222	3.4946	6.5663	6.341	6.8491	8.4642	6.1815	7.4497	7.8678	7.8973	6.8129	6.5801
U133A__HMOX1	5.9805	6.3462	7.4205	6.2042	6.0583	9.3758	6.8273	6.1023	6.6101	6.269	6.5746	7.1662	6.0146	6.2742	5.9549	6.1698	6.7426	7.6179	6.5557	6.0875	7.9038	5.9175	5.8619	6.4551	6.459	6.0077	6.365	6.3473	6.6004	6.3751	6.243	9.709	5.7164	8.5448	6.5511	6.6615	5.9153	5.9068	6.4186	6.8615
