Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__MPP1	4.6323	4.6149	5.5659	4.1933	7.3661	5.2864	5.9491	6.1238	6.5432	4.0628	4.851	6.9422	6.5674	5.376	4.4365	5.2199	6.7918	7.3067	4.5936	7.6194	4.6365	4.6134	6.1798	8.3037	5.8638	7.4557	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	5.4014	4.4879	6.8111	6.0661	4.6406	4.793
EA_G__PTPRM	6.1723	5.206	6.3564	5.8235	4.3371	5.1707	6.9291	4.1798	6.622	4.0832	3.8877	6.3608	4.1431	5.9112	5.6496	3.9882	6.5661	8.2248	6.089	7.8979	4.417	4.1385	4.2472	7.2107	6.9261	8.0141	5.921	4.5732	5.0201	4.3981	6.7359	8.1968	7.0189	5.2382	5.5253	5.3613	4.3122	7.1118	5.9902
EA_G__COL6A1	6.4655	6.0794	6.43	6.468	7.7676	6.0711	9.0875	5.9974	10.3939	5.8722	6.1268	8.5582	7.8176	7.4242	6.2756	6.3333	6.5532	10.1632	6.3377	11.1987	6.6858	6.6419	6.122	11.506	7.7945	7.2708	6.5551	5.9473	7.0464	6.3821	8.3978	8.1566	7.3378	6.2869	7.2379	6.8732	6.525	6.361	6.6971
EA_G__ACSL4	3.8905	3.2437	6.8678	3.2175	8.1981	3.93	5.8474	4.9921	7.8339	3.2795	4.7223	6.0223	5.4391	5.9242	7.1514	3.2448	6.4566	7.5506	6.3064	7.7862	4.3467	3.4318	4.0505	6.5727	4.394	8.0383	3.8174	6.3426	4.0514	3.2697	7.359	6.9283	7.5937	6.0038	3.4226	5.8348	4.7256	3.3705	5.1109
EA_G__CCDC125	6.7241	6.9231	5.8437	8.2014	6.5806	7.5742	5.6801	6.3658	6.0105	8.1674	7.8031	6.378	5.856	5.009	6.1254	7.0037	6.4699	5.9728	6.3171	5.7122	6.9265	7.4992	7.8276	4.8539	7.4091	6.4407	7.3733	8.7571	6.9123	7.071	5.6281	5.3484	6.4832	8.3702	6.7762	6.4973	8.0046	8.289	7.827
EA_G__DPYSL2	5.7919	5.364	7.4747	6.5531	10.3808	7.342	8.2545	6.1583	8.9742	5.9297	7.6053	8.5864	6.9477	7.2433	7.0544	6.0442	8.2008	8.1649	6.9424	9.7881	7.6608	7.1866	8.4213	8.7065	7.6457	8.0483	7.6197	5.6238	7.8734	5.0121	9.7796	9.6176	9.3425	8.7012	6.9372	7.67	7.3599	5.1537	6.9799
EA_G__MSN	6.7845	5.5245	8.9289	4.0134	10.3783	4.1022	11.3117	10.2913	10.364	4.1309	7.0685	10.7693	10.103	9.5137	10.4191	4.4627	9.6207	10.8946	10.6461	10.7237	4.1429	4.7797	6.5085	10.1759	5.7957	10.8438	3.9279	8.4521	5.0086	4.469	10.7101	10.614	10.7822	3.9763	6.4413	4.674	4.3941	5.8385	7.8425
EA_G__KIAA1324	9.1151	8.7391	5.5267	9.9689	4.7668	10.7206	4.988	4.7104	4.92	9.8157	9.2718	5.0802	4.8433	5.3249	5.2066	8.9328	5.2349	4.8067	6.1461	4.7633	8.0162	10.4682	9.8777	4.8393	8.4161	5.5117	10.5581	11.1607	8.8761	8.3421	5.2686	5.0444	5.1043	8.8778	10.1644	9.1857	8.7249	9.4421	8.6387
EA_G__C1orf34	8.0896	8.7299	6.5143	8.6653	4.3849	7.8825	4.9498	6.4694	4.4875	9.621	10.7155	4.7666	5.4992	6.0973	5.9825	8.1981	5.8414	4.7716	8.2159	4.4583	7.4708	8.655	7.6569	4.7734	7.5177	4.9479	9.2873	8.812	7.8876	9.2993	4.8324	4.8993	4.8296	8.0572	7.8121	7.8552	8.6739	7.8377	8.6777
EA_G__TUBB6	6.692	7.2698	7.7018	7.4183	9.6368	6.551	9.5051	9.2748	8.7564	6.7473	7.8841	8.7984	8.9031	9.0863	7.9565	6.9209	9.1825	10.3276	8.0512	9.8505	8.3664	7.7207	7.2372	10.3152	6.4923	8.5128	7.6669	6.2429	7.2555	7.6011	9.9093	8.4349	9.9172	6.749	7.0652	7.1787	8.0286	7.0165	8.7717
EA_G__LARP6	6.5428	5.5659	6.7676	6.5078	7.1073	5.4248	7.0083	5.9575	8.956	6.0089	5.5778	8.0006	6.6088	6.8861	6.3143	5.8963	6.643	6.7771	7.3264	7.2463	6.5469	6.0363	6.6533	7.6928	5.9258	7.1621	7.2715	5.3831	6.1623	6.1477	9.1172	7.1147	7.1286	6.8268	7.5145	7.2592	5.9801	5.8008	6.3795
EA_G__TGFB1	5.3638	4.5484	6.9795	5.3055	8.6552	4.8695	7.9382	5.3512	8.1243	4.8967	7.1632	5.9921	7.3595	6.5109	5.8477	5.2968	5.5807	8.5133	7.4316	9.1035	7.528	7.3696	6.3607	9.3331	5.2601	7.5055	6.5085	4.5964	5.5747	5.0627	8.0166	7.9822	8.834	5.1563	5.9724	5.4959	5.4741	5.4676	6.8786
EA_G__GJA7	4.8989	4.8475	6.9278	5.84	7.4714	4.7178	8.5742	7.3874	6.8312	5.3196	4.6661	6.5742	6.9284	6.4528	6.9926	6.2159	6.8559	7.0645	7.013	7.5561	4.9328	4.7611	4.9592	7.6568	5.2429	4.7212	6.6205	4.4482	5.435	4.9082	8.624	6.5147	7.1838	5.9559	5.7329	6.474	6.7178	6.6005	6.5818
EA_G__CLCA2	3.7227	5.4736	3.9769	9.3552	7.4614	6.097	3.0589	6.5649	3.8866	3.2461	9.319	3.2042	6.093	7.2526	4.7088	7.1879	5.0093	3.2672	3.3105	3.8089	3.6486	3.4346	3.2976	3.1401	7.5734	3.3498	10.4045	11.2438	10.9482	4.7001	4.2562	4.0675	3.7224	4.6584	10.9404	10.2878	3.5201	8.0633	4.1802
EA_G__MAP7D3	5.3052	6.181	7.0881	3.7726	8.0335	4.1145	8.2134	6.6816	7.4399	3.8649	5.2828	6.9662	6.369	7.7975	7.3791	3.9768	7.9146	7.4129	6.0423	7.4841	5.9373	6.1096	3.8188	6.9765	4.3266	8.4972	3.8711	3.6075	4.4657	5.4472	6.6247	7.5826	7.2635	4.9255	4.3312	5.013	4.094	3.8949	6.3251
EA_G__FOXA1	9.78	9.0384	8.3542	10.3303	5.7805	10.2446	6.6946	6.2072	5.6298	10.1068	9.1466	5.6115	7.0308	7.1831	8.5271	9.8686	7.3927	5.4563	7.5836	5.5995	9.5923	9.8998	10.0039	5.6855	9.643	6.0524	10.1447	9.4248	10.0194	8.8238	6.1961	6.457	6.1073	9.5103	9.6063	9.8896	9.6996	10.3109	10.1618
EA_G__RNF144B	9.5968	8.8565	8.5396	8.5994	7.2063	7.5237	7.2487	6.0847	4.4629	8.5962	6.7525	6.8837	8.0438	8.72	7.472	9.8002	8.1066	4.8095	8.2938	5.6642	7.5151	7.3345	6.7088	4.7564	8.5415	7.7318	7.8801	10.3339	7.7682	8.6396	4.9335	7.5354	6.8467	8.6604	9.7307	8.7595	8.4892	8.2499	7.2098
EA_G__PRLR	4.5995	7.9719	3.7946	9.1863	4.9871	9.5426	6.8392	7.9902	5.3778	9.5253	9.6628	4.8155	3.4702	5.1603	5.2633	8.3946	6.1661	3.8892	6.4743	3.5713	6.7331	8.7018	9.5475	6.0702	7.3558	3.9288	10.1469	8.5814	7.4217	7.8099	3.7377	4.6704	4.4364	9.0648	6.4511	8.0691	11.1837	8.9712	5.9926
EA_G__XBP1	11.283	10.9214	8.6686	11.4285	8.6723	11.3432	8.5408	9.0517	9.4895	11.6752	10.8517	8.688	9.1233	8.734	9.1933	11.2423	8.6586	8.207	9.7409	8.5637	10.908	11.5332	11.3709	8.4505	11.6948	8.6487	11.8604	11.6993	11.4718	10.6695	8.502	8.3625	9.0461	11.0474	11.1889	11.1636	10.9799	11.6409	11.6006
