Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	1
EA_G__MRC2	9.5108	6.3393	6.5107	6.1911	8.4666	6.2529	6.9342	7.854	7.6383	6.094	6.172	6.5812	6.4211	6.1795	6.195	6.1677	6.3087	9.0085	6.3022	8.5076	6.5354	6.5896	6.3506	9.5693	6.3342	7.1079	6.09	6.0684	7.1592	6.5291	9.3857	7.3701	7.4802	6.2204	6.5062	6.9931	6.3224	6.3834	6.5285
EA_G__SIDT1	5.7225	7.4447	5.3904	8.8752	4.6729	8.5319	4.3608	4.6682	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.2688	7.114	4.5267	4.2934	6.0595	4.3148	8.2739	8.5397	8.675	4.4179	8.167	4.9182	8.5383	9.0785	8.1899	7.1021	4.6199	4.8109	4.4668	7.8236	7.9261	7.9518	8.588	7.6898	6.1964
EA_G__GLT8D4	5.4162	4.7151	6.1753	4.6364	8.5909	4.5511	6.4599	6.9925	7.8917	5.3506	5.6089	8.3612	4.909	5.3307	6.439	4.642	6.4971	7.7787	4.8082	7.0644	6.5883	5.5457	5.5823	6.3558	5.8193	6.3478	4.9884	4.4178	5.2385	5.3691	7.1987	7.6105	7.5528	5.0621	4.7053	5.652	5.7258	4.8007	5.769
EA_G__USP18	6.4502	7.6312	5.9496	8.1228	5.4966	7.592	7.7863	6.7528	5.3511	7.15	7.4145	6.6359	6.7563	7.453	6.9205	7.4281	7.1989	7.1833	9.0351	6.2376	6.6512	6.2841	7.3545	4.9911	7.97	6.2885	7.7328	7.5471	7.9046	6.6632	5.592	6.0274	5.9321	6.1311	8.9507	6.5481	6.5261	7.3981	7.0068
EA_G__CLU	7.2352	8.8649	6.2451	8.9068	8.9576	9.6033	6.8112	8.1157	7.4522	8.8358	9.7927	5.9431	7.7097	6.4074	6.824	9.5115	8.6745	7.7043	7.3793	7.2732	8.8706	8.885	9.1728	7.8152	9.6338	6.7991	9.3254	10.2466	8.8604	9.8643	7.6939	5.8874	7.0941	7.9162	8.5631	8.2237	10.2223	8.0166	6.5865
EA_G__ATP2C2	7.3612	7.1301	6.3762	8.2179	5.3497	7.7028	5.9351	5.1224	5.0997	8.4417	7.4719	5.2602	7.0346	7.169	5.8961	8.3016	6.6985	4.6332	6.8254	4.8393	8.5253	8.1187	6.7656	4.7757	7.7212	5.1175	7.5495	8.7963	7.9613	7.5787	5.4452	6.4738	5.2595	8.2752	8.3637	6.7796	7.0768	7.6677	6.6969
EA_G__GPR81	4.9668	6.0516	3.5022	7.939	3.5141	6.9006	2.868	3.5631	3.7151	8.6916	6.629	4.3242	6.9887	7.1222	5.8908	7.3637	3.5687	5.2175	4.6384	2.9743	7.6206	7.1395	6.8412	3.373	8.2863	4.1802	8.6643	7.4676	6.8526	6.064	3.7546	3.8905	2.7273	7.8144	4.8618	5.8669	6.462	6.8539	6.1376
EA_G__RND1	7.3143	8.2366	5.1518	5.5848	5.2959	7.5678	4.9253	6.6945	4.833	6.5432	5.3653	4.8394	5.688	5.355	5.6049	6.4109	5.1296	5.0251	5.5654	4.655	7.389	6.8855	7.5082	4.321	9.0383	5.229	6.9107	7.667	7.8736	8.9453	5.08	5.2271	5.1002	6.2484	6.2849	5.9817	7.1618	7.8627	6.9375
EA_G__KIAA1161	7.5336	8.5935	6.3491	8.0995	5.961	8.8216	7.4813	5.558	4.978	6.8816	8.6918	5.8828	6.5016	6.3173	6.5558	10.7468	7.2179	6.3672	7.4519	5.3607	6.8104	6.6223	7.1909	5.4313	7.8995	5.6807	9.0698	8.6115	7.4427	9.0701	5.6673	5.8678	4.9556	7.0576	6.2692	7.8144	8.5458	7.4192	6.7034
EA_G__LOXL1	8.8376	7.4349	7.7394	7.7773	9.0295	7.7618	7.752	10.6471	8.9133	7.4156	7.31	8.0085	7.5414	7.4587	7.4168	7.5758	7.4601	8.8739	7.7037	9.9236	7.5935	7.9409	8.9285	9.9529	7.5511	8.058	8.253	8.0283	8.322	7.6632	9.634	9.1346	8.9559	8.8333	7.528	8.7906	7.5289	8.0361	7.5038
EA_G__LRP1	7.3455	5.8054	6.5213	5.7512	7.2126	5.7528	6.4076	8.0052	8.9511	5.5205	5.6759	7.0528	6.8939	6.513	5.8578	5.5253	6.5772	8.0746	5.9964	8.4479	6.5123	6.3447	7.2488	7.5366	6.4919	5.8946	5.9961	6.6637	6.8374	5.9299	8.0212	7.0683	6.5519	5.6962	5.9237	6.8541	6.1843	6.0082	6.3535
EA_G__SRPX	4.8418	3.8166	4.7162	5.1588	4.4735	4.0039	7.2853	4.7073	10.396	4.3236	4.6318	9.3757	4.3267	4.0548	5.2999	4.527	5.7129	5.7652	4.6263	6.3779	4.5545	4.5687	4.7756	6.9883	4.2764	5.8279	4.3906	5.7889	4.9086	4.3626	10.949	6.1023	9.3259	4.8527	4.4114	4.3412	4.962	4.6042	4.6542
EA_G__MFGE8	7.6741	6.2973	7.9092	5.5622	7.8529	5.5358	8.7195	9.3836	9.1562	5.2872	6.4602	8.088	6.5464	6.5045	7.0548	5.6676	7.9345	7.665	8.5882	8.5229	6.1542	6.729	6.9641	9.626	6.8217	8.7395	6.6203	6.5256	6.2627	6.3128	7.3457	8.2244	8.164	5.8954	6.711	7.0257	6.2964	5.7129	6.0856
EA_G__PAM	6.5052	4.2314	5.5615	4.5272	7.0171	5.2683	7.2144	6.0641	8.2595	3.1025	4.9383	7.1762	4.9999	6.0377	6.6389	4.5273	6.7896	7.1617	8.613	7.5186	5.2341	5.5056	4.6225	7.5426	5.3885	7.1555	5.0625	4.3787	5.009	4.9324	6.9623	7.0458	7.0236	7.6836	8.1557	5.5748	6.8696	5.2083	6.1323
EA_G__SLC39A14	7.2392	7.0695	8.413	6.7073	9.7325	7.094	7.6136	9.8801	8.189	7.4083	7.1434	8.5716	7.6742	7.7243	6.9608	6.898	7.8345	8.1108	6.6582	9.4612	7.1446	6.7092	6.6707	7.542	7.0018	8.3485	5.9451	7.0796	6.3629	7.3537	10.7989	7.488	8.4903	7.7988	5.7332	6.6494	7.0208	6.2866	7.8622
EA_G__RAB27B	9.4487	8.5612	5.9879	9.7252	9.9569	8.8503	7.2326	6.9088	5.5529	9.6875	7.5786	4.7529	6.7212	7.2258	8.1578	8.5582	6.7514	6.7386	8.7507	6.4168	8.1154	8.2999	9.2784	6.2771	8.7808	5.1949	9.7182	9.0257	9.2615	8.2384	5.5805	6.4372	6.374	8.4761	8.9339	8.1278	7.9657	10.0686	9.0485
EA_G__LIPH	8.4661	7.5135	7.6606	8.2321	3.6755	7.9496	6.4182	3.6525	4.0753	9.3901	7.1827	3.6134	6.0356	8.0156	8.1393	7.5421	6.9907	4.983	7.9823	3.51	5.738	6.1944	6.2969	3.7329	8.8815	6.2542	7.8334	9.0871	5.0663	7.6077	4.2029	4.7425	3.8212	5.1787	9.8417	8.8942	8.1795	7.6	5.5122
EA_G__COL6A2	6.6302	6.6511	7.3117	6.9673	7.9296	6.6004	8.7589	6.7259	10.2792	6.5324	6.6504	8.1956	7.8025	7.4572	6.8103	6.8826	7.1181	10.0293	6.9764	10.7826	7.1572	7.2812	6.7611	11.3673	6.8377	7.0407	7.15	6.5697	7.5773	7.0053	8.328	7.9163	7.7346	6.9604	7.3515	7.384	7.0124	7.0345	7.4179
EA_G__ALDH4A1	6.6137	7.563	7.3057	9.6464	6.4231	8.4263	6.2446	7.1993	6.1997	8.3781	7.28	7.0017	6.8621	7.236	7.2316	8.1332	6.577	6.5174	8.276	6.5183	7.8706	7.9981	7.9767	6.5559	8.9964	6.44	8.6197	7.9773	10.1902	8.6634	6.6103	6.757	6.4059	8.2904	6.8675	7.3929	8.1326	9.4543	7.8978
EA_G__SLC35A3	6.8764	6.9759	7.094	7.2907	6.8804	8.5712	6.8258	5.0838	6.1417	8.3065	7.4292	6.5046	6.4687	7.3555	7.401	6.9591	7.1973	7.1317	7.6052	6.4983	6.4506	6.4749	7.5416	6.399	6.7088	7.0361	7.4263	7.7302	6.4726	7.0178	5.9109	6.6303	6.5504	7.5868	7.5872	6.8543	6.5599	7.2108	6.8161
EA_G__GSTP1	11.5172	6.0003	6.1295	6.0346	11.1308	5.8622	12.02	11.7468	11.734	5.8607	5.9335	11.77	12.0193	5.513	5.9581	11.1635	11.2713	11.265	8.5568	10.561	6.195	5.9383	6.017	11.1738	6.1668	8.9486	5.7978	11.6968	6.8557	9.2514	11.0721	11.5502	11.2948	11.9288	6.2721	6.4486	6.3612	6.0423	7.4988
EA_G__SLC26A2	7.3791	4.5994	5.7419	4.2698	6.0136	5.769	6.5436	4.9585	6.1319	3.9399	7.077	8.2402	5.6422	6.9328	5.1586	4.6197	6.0468	6.6715	5.0102	7.0947	4.8452	7.1932	5.0458	6.8703	4.9559	6.433	7.0172	7.4635	4.2682	4.7869	6.5838	7.8536	7.6033	5.1911	5.0668	6.9336	5.5745	4.5786	5.2931
EA_G__MB	5.5817	7.1763	6.3524	7.2958	5.2965	6.4939	4.99	4.7298	4.5217	6.6331	5.3755	4.4841	4.3542	5.2556	5.9544	8.1329	5.7617	4.0266	5.7767	4.4095	5.9646	5.6589	5.4337	3.8807	7.0531	4.2898	7.3515	7.1651	5.9651	7.5111	4.3969	4.8076	3.9391	5.781	6.2852	6.3506	5.5164	7.0086	6.8752
EA_G__PLA2G10	8.5249	7.4097	5.9502	6.2138	5.9734	6.4801	5.8603	6.1584	7.2084	6.4113	7.186	6.003	7.7286	6.572	6.2121	7.2149	6.2563	5.4353	7.149	5.9167	7.1404	6.5337	6.9787	5.2459	8.2977	5.5339	7.2334	10.1074	6.4499	7.7312	6.1785	6.1912	5.9954	6.0704	5.9926	5.8723	6.6205	6.6977	6.1379
EA_G__KIRREL	7.5887	5.9225	6.9042	5.6081	10.3544	5.5244	9.7389	9.3978	9.7405	5.3224	5.3906	10.1946	8.1	9.2642	8.6382	5.5174	9.3051	9.8443	7.0456	9.2853	5.8194	5.7806	5.2632	10.0757	6.4854	8.5703	5.2519	5.8751	6.4035	5.6421	10.2171	8.5799	9.3106	5.6723	5.8787	5.7361	6.8062	5.7109	6.6927
EA_G__CALD1	4.9976	5.3745	6.4921	4.0059	6.9477	4.1231	6.8428	7.5601	8.1298	3.9074	4.2596	6.0823	5.2906	6.3946	5.1864	5.3524	7.4511	7.9533	6.2922	9.3633	4.4971	4.3691	4.3982	9.1755	5.9927	6.51	5.4997	4.7735	4.7727	5.7915	6.303	6.8236	7.1648	6.5636	6.1459	5.5227	4.6722	4.3237	4.2804
EA_G__KIAA0040	7.8069	7.4789	6.7956	8.0575	3.8	8.4048	6.4704	6.2146	3.5663	7.7336	8.3521	5.6685	8.0741	7.745	7.301	6.8134	6.2849	4.5853	7.7369	4.0879	6.7133	6.7455	8.3812	4.2463	7.4731	4.9457	6.8716	7.5622	7.7957	7.5472	3.741	6.2459	5.6792	7.6424	7.7124	8.7967	7.0601	7.7549	6.7365
EA_G__MYLIP	6.7069	7.7441	7.2374	7.7961	4.455	7.8443	5.524	7.4104	6.0376	7.4993	9.1957	7.2494	6.5654	7.3278	6.8576	7.9226	6.8467	6.4026	7.0558	6.0263	7.3524	8.0793	7.5303	5.2059	8.449	6.7869	8.1069	7.8265	7.0391	7.6774	4.8163	7.2753	5.6734	7.6692	7.5201	6.3688	7.0329	8.0057	6.8543
EA_G__CACNA1D	5.1325	7.7334	5.8969	6.4883	4.3929	5.9883	5.0697	5.9576	4.3872	7.9984	8.2401	5.3635	4.4459	4.8797	4.8552	7.7626	4.6953	4.4363	5.9109	4.1169	6.6581	6.2977	6.8725	4.2473	7.3781	4.4991	6.9919	6.4139	7.5077	7.7938	4.5576	4.5211	4.5248	5.9556	6.0469	7.638	6.6987	7.5353	5.8883
EA_G__KLRG2	6.9239	8.089	6.5067	8.4057	6.4	9.6446	7.8073	7.8405	6.0509	7.7071	6.9473	6.3701	7.4151	7.5596	6.6501	8.4247	7.0207	6.3157	7.1726	6.2275	7.2573	7.355	8.1612	6.4254	8.7608	6.1478	7.9256	9.0586	8.2741	8.7105	6.5291	6.5715	6.701	8.0547	7.249	6.6918	7.2045	8.9974	8.1477
EA_G__ORMDL3	8.742	9.4661	7.4855	11.4831	7.3014	8.1979	6.6416	7.9055	7.2593	8.4602	8.1771	7.8021	7.2506	8.1827	12.4038	8.7695	8.0969	8.429	7.8199	7.3423	7.8046	7.8203	9.0599	7.7325	8.5764	7.4686	7.6291	8.4639	8.7947	9.477	6.7234	6.7856	7.2867	7.9185	7.7687	8.0333	8.8896	9.0178	8.2547
EA_G__KIAA0644	6.6204	7.8892	5.8869	7.22	5.0429	7.1733	4.6612	6.9032	4.7288	6.0241	7.1183	5.0476	5.3085	5.1206	6.1557	7.1336	5.2546	5.1951	6.8486	4.7598	5.9194	5.6884	7.036	4.7568	6.3434	4.8293	6.4892	6.3319	6.5456	7.9545	4.9716	5.2662	5.3064	7.3471	7.7024	6.1171	6.8002	6.8457	5.1298
EA_G__GPR160	6.7527	6.9782	5.0229	8.0657	3.3556	7.1076	4.229	4.4657	2.9609	9.3959	7.726	4.058	3.7191	5.921	4.7387	6.9804	4.7694	3.446	5.8982	3.5785	7.7744	7.445	7.3926	2.9737	8.141	4.3088	7.3759	8.3753	7.7969	7.1789	2.9307	3.3042	3.8572	7.0867	5.9659	8.1528	7.8124	7.6953	7.3985
EA_G__TIMP1	10.696	7.5359	10.0064	5.9828	10.6076	6.2943	10.4313	6.0579	11.5399	5.6373	10.8903	11.2532	9.662	9.3399	10.106	6.355	9.3984	9.7969	7.911	10.4885	9.3202	10.1272	8.893	12.1036	10.1588	9.8061	8.7353	10.5777	7.4083	6.8389	11.3341	11.0263	12.4699	8.2387	7.4412	9.8428	7.7003	5.4094	7.1138
EA_G__SLC7A8	8.5421	7.6746	4.869	8.8236	5.042	10.6962	5.0441	6.3737	6.0296	9.5636	7.2944	4.7488	8.4816	5.2606	5.1604	8.1148	4.7435	5.7111	5.5632	5.0076	5.3353	5.3922	10.8003	4.7921	10.2389	4.9899	10.2853	9.6818	8.7371	6.5396	4.8894	6.1091	4.9765	7.0086	8.4994	8.5397	9.0232	6.8407	5.1734
EA_G__SNAI2	4.1699	3.7124	6.6607	3.6871	9.1313	3.88	6.4837	3.2197	8.7471	3.8197	3.4385	9.9938	8.7811	7.6103	8.0586	3.6267	5.6992	9.113	6.23	9.6167	3.8127	4.5304	3.9551	10.2171	6.415	6.0717	4.3797	4.0291	3.8604	3.2179	9.5792	6.7031	8.0848	4.5561	3.8284	5.6708	3.7912	3.9037	4.1802
EA_G__STARD3	8.6038	11.0005	7.6703	11.6755	7.704	8.3756	7.7797	7.712	8.0941	11.6862	7.7375	7.0771	8.264	7.7935	12.1044	7.9649	8.4927	8.6671	8.2598	8.272	7.8381	7.7682	8.5094	7.7795	8.2495	8.4776	10.5954	8.2645	9.3549	10.7309	8.1765	7.3145	7.8384	8.3666	12.3685	7.7257	8.5737	8.1594	8.1242
EA_G__LTBP2	6.4939	5.7345	6.5526	5.8484	5.8612	5.9966	7.2573	9.4343	6.9893	5.5716	5.7214	6.0676	6.8141	6.828	6.5184	6.3254	6.36	8.5798	6.1362	8.6763	6.3948	6.1604	6.2484	8.5092	6.593	6.5464	5.7252	5.5235	6.3771	6.142	7.3028	6.7043	6.306	6.5798	6.8782	6.3072	6.3083	6.2503	6.0799
EA_G__PERLD1	7.9981	10.4494	7.2334	11.5309	7.0395	8.0143	6.7798	7.5363	7.5751	11.7835	7.7075	6.0197	6.9121	6.5128	11.3772	8.5531	7.9337	8.1056	7.9547	6.9567	7.2717	7.3187	7.6108	6.8706	8.1096	6.7476	10.1259	7.7315	8.2906	10.1853	7.6784	7.1932	6.6914	7.5985	12.8771	7.0808	7.6174	8.078	7.8159
EA_G__P2RY6	5.8658	8.7646	8.1342	6.6875	5.3199	6.1138	5.4422	6.5098	5.6812	8.2888	7.7752	5.6175	6.0433	5.9451	8.1152	8.6796	8.0907	5.2767	7.7315	5.7837	7.7124	7.6371	7.2822	5.2904	7.1436	5.8952	8.1293	8.0841	8.0435	9.1671	5.4074	6.0452	5.7602	8.617	7.9559	7.8561	8.0817	6.9486	6.7097
EA_G__EPB41L2	6.6357	3.5196	8.5143	5.0152	7.2057	6.1864	8.2547	6.4645	8.3694	7.0403	4.1389	9.0062	5.5827	6.685	7.1446	4.8245	8.3567	8.2745	3.269	8.2875	4.9766	7.0896	7.6184	7.2073	4.4167	8.3392	5.3878	8.5821	5.747	3.4058	8.1063	7.0184	7.3074	6.9073	4.428	6.6847	5.489	3.3655	5.0117
EA_G__C4orf19	8.0286	6.5288	6.1466	4.9878	4.1448	4.8124	4.6326	4.7271	4.2693	6.6724	7.2498	4.6081	4.8004	6.5168	6.2142	9.0779	4.6013	4.0473	6.2509	4.3065	4.9555	4.6187	6.4672	4.1932	6.5942	5.269	7.0548	8.0548	6.4595	6.9425	4.5201	4.0911	4.4877	8.2994	6.0957	6.5223	8.511	4.8186	5.6633
EA_G__PCOLCE	6.7534	6.7128	6.6846	6.712	6.7364	7.4607	6.9746	7.6908	10.842	6.4453	6.5451	7.4562	6.8707	6.4979	6.2802	7.2003	6.3125	6.7406	7.4144	10.6903	7.7289	7.314	6.9391	11.8645	7.3984	6.8586	6.6072	6.1781	7.129	7.0203	7.1821	7.4437	8.8205	6.6901	6.4911	7.396	6.5972	7.103	7.3112
EA_G__SACS	4.5844	5.5065	5.7151	4.387	8.2338	5.5884	6.3576	7.2455	7.5184	5.6008	4.9033	5.9435	6.2962	5.4477	5.9335	3.5737	6.839	6.8542	4.146	8.3747	5.1792	4.7755	3.6428	6.9225	3.9677	7.6452	4.2029	3.5922	4.7532	5.8038	8.5415	5.6956	7.7867	4.8587	4.2936	4.3439	4.6223	4.3278	6.2313
EA_G__NHEDC2	5.1404	4.6241	5.2315	5.0185	6.6627	4.1264	5.9421	5.7687	7.6438	4.8055	5.3737	6.7333	6.4724	6.1886	5.7758	6.4636	6.7411	6.1157	5.8529	7.1676	5.7495	5.4824	4.453	6.4926	5.3535	4.4558	5.0307	4.3183	5.1944	5.7618	7.2622	6.4832	7.8141	6.5272	4.9132	4.7038	5.6645	4.6542	5.4813
EA_G__SLC9A3R1	10.8284	10.4111	9.8632	10.9597	8.7121	11.6704	8.938	9.3166	7.8985	11.4576	12.2228	9.8097	9.4062	9.2397	9.4918	10.1126	9.0002	8.2983	10.211	7.7047	11.5891	11.5335	10.9539	7.5431	10.175	9.0363	12.6162	10.3807	11.9228	10.702	7.9923	8.16	8.1862	10.5458	9.9597	10.2024	10.9276	11.3238	11.858
EA_G__ABCC11	4.9799	5.0771	4.4868	8.9135	4.3409	6.068	4.3488	4.5022	4.3945	9.0536	6.4968	4.3846	4.531	5.3781	4.6172	5.5215	4.3978	4.2837	4.7067	4.5984	4.5406	4.9815	5.9853	4.152	8.7674	4.4954	7.3019	6.4495	9.0235	6.726	4.427	4.9806	4.4854	9.756	7.5508	8.4576	9.3681	9.5692	4.8818
EA_G__GPD1L	7.1581	8.4613	5.3985	8.9161	6.4188	7.7827	6.2488	5.9624	6.2165	8.38	7.4073	6.0314	6.2961	6.7928	7.0246	9.6036	7.1174	6.939	6.6889	6.1596	8.6801	8.5606	7.1846	6.3214	7.8672	6.7807	8.9259	7.8841	8.5556	8.1451	6.377	7.0466	7.118	8.1813	7.3485	8.142	7.77	8.385	7.5835
EA_G__LEPRE1	6.6604	6.106	7.0872	6.4096	8.8094	6.5042	6.8624	8.5287	8.9158	6.903	7.1955	7.9912	6.5855	6.995	7.2352	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	7.2675	9.3727	6.8462	8.1582	6.7103	6.9469	7.0673	6.3158	9.2172	7.4327	8.3081	7.7253	6.9598	7.4537	6.4544	6.5327	6.3042
EA_G__GGT1	7.5575	8.3568	6.9163	7.1065	5.3711	7.6542	5.7143	6.1119	5.8255	8.3686	6.7667	5.8302	6.2027	5.5974	6.1793	7.0078	6.4158	5.6441	6.8205	6.8466	6.2737	6.3007	7.403	6.0052	7.7936	6.8593	9.9959	6.1859	7.8444	7.6843	6.2313	5.996	6.5788	5.9141	7.6846	7.3051	6.8609	9.633	5.9641
EA_G__SGCB	6.7863	3.9197	3.4677	4.8878	7.0929	3.3793	6.6802	6.2512	7.1509	3.04	5.2005	6.2462	5.4632	4.7161	5.1028	3.212	6.5926	6.4121	3.5149	6.8	4.5618	4.753	7.5645	7.3587	5.2387	7.1684	4.7077	3.4655	3.4017	4.3251	7.1462	5.8862	6.8411	4.8611	3.9321	5.3476	4.7311	3.9669	4.9488
EA_G__CACNG4	8.4308	7.5358	5.5674	8.1032	6.8087	9.2541	5.6569	5.5719	5.8529	8.0835	9.0764	5.7716	5.8549	6.1478	7.1012	7.839	6.7572	5.5176	6.431	5.6094	9.1382	8.0995	8.3302	7.8307	8.431	5.7591	9.7756	8.0782	7.9557	7.3151	5.791	5.8689	5.7018	8.4194	7.8612	7.2037	8.0248	5.6487	6.6438
EA_G__PLCH1	5.2438	7.5273	3.3755	6.9586	3.9486	8.0482	4.651	7.1018	3.9777	7.7608	6.6251	5.4736	4.7252	4.4941	4.4556	8.1232	5.2036	3.6959	6.6154	3.6139	6.6504	6.832	4.0158	4.9347	7.0744	5.7583	7.2641	9.4761	6.8481	7.196	4.228	4.6713	4.1757	5.7348	6.445	6.0627	7.4294	8.1434	7.3769
EA_G__TMEM45B	7.6067	6.9318	4.8694	8.2607	4.0544	6.8897	4.1082	4.5358	4.32	8.2657	6.8742	4.5363	7.0629	6.5802	5.6247	8.1123	4.5414	4.0417	4.9594	3.8961	6.4895	5.7187	4.3127	4.1766	7.7764	4.7821	6.3274	8.0271	8.7181	6.6217	4.7421	4.5365	4.1764	8.6359	9.1021	8.3886	8.0495	5.7404	4.9571
EA_G__KIAA0984	6.3444	8.4452	5.9705	8.8413	4.2138	7.8078	6.3599	4.2813	4.2274	8.9468	6.8133	5.1804	6.9557	5.9346	6.8	8.0653	6.409	4.0248	5.8291	3.668	8.2604	8.3418	5.4775	4.4505	7.3813	5.864	7.8929	7.1228	7.3149	7.8815	4.4008	6.0266	3.9297	7.968	7.0509	6.4222	7.4861	8.3521	8.0007
