Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__SLC9A3R1	10.8284	10.4111	9.8632	10.9597	12.1339	8.7121	11.6704	8.938	9.3166	7.8985	11.4576	12.2228	9.8097	9.4062	9.2397	10.1126	9.0002	8.2983	10.211	7.7047	11.5891	11.5335	10.9539	7.5431	10.175	9.0363	12.6162	10.3807	11.9228	10.702	7.9923	8.16	8.1862	10.5458	9.9597	10.2024	10.9276	11.5295	11.3238	11.858
EA_G__TPCN2	8.8521	7.9813	7.1748	7.711	7.6641	7.3829	8.7998	7.9965	7.8396	8.0192	7.5535	7.3698	8.9345	7.5463	7.7012	7.6544	7.51	8.149	7.223	7.2046	8.0075	7.7043	9.9994	7.5842	9.0437	7.7263	7.5978	10.3492	8.0264	8.0715	7.3931	8.0012	7.5193	7.3771	7.2979	7.8551	7.7114	8.1412	7.9299	8.8507
EA_G__EMP1	7.3819	6.3911	7.2295	5.8153	5.7756	6.8032	4.0355	9.1487	4.3234	7.6364	4.3292	3.8499	4.3325	8.4222	8.4295	7.2113	6.964	5.7053	8.5989	7.4242	4.1604	3.8749	4.0779	5.7537	6.0598	7.2059	4.2582	6.4765	4.4231	5.8757	7.6785	7.6572	7.8355	4.3011	7.1448	6.9305	4.6827	4.4767	4.816	3.5023
EA_G__PFTK1	6.4434	4.6955	5.7636	6.7976	6.166	4.3015	6.6181	7.0255	7.2514	8.1983	5.1313	5.2688	5.6752	6.2696	7.1337	4.3274	7.3448	6.6948	6.5962	7.6551	4.7366	4.6529	6.7084	5.6797	5.2948	7.034	5.2519	7.2384	5.4197	4.6521	6.6485	7.9803	6.9505	6.8473	6.6428	8.2703	5.5371	5.1284	5.3968	5.376
EA_G__ELL2	6.8523	5.9738	8.4801	5.4848	6.3876	9.0239	5.5223	7.8213	6.2642	7.1177	7.3842	5.1636	5.7827	7.7042	7.7394	7.63	8.1983	8.1004	6.8832	8.7843	4.8266	5.4662	7.4627	7.4624	6.6419	7.7774	5.8231	9.4469	6.9037	5.7191	7.9853	7.358	9.1605	9.5203	7.4441	6.8344	5.428	6.024	5.6388	5.8718
EA_G__BARX2	6.797	8.389	5.7126	6.9133	7.188	6.252	7.5117	8.4559	11.1211	5.6323	7.5418	7.0128	5.4977	7.0286	8.5708	9.9251	7.6073	5.0948	8.4973	5.3841	6.5464	6.6153	6.1236	5.2814	6.9235	5.2849	5.4921	7.3107	6.1523	8.1563	6.0178	5.6598	5.5147	7.4181	6.2294	7.1511	7.0297	6.4968	6.1154	6.7537
EA_G__SLC7A2	4.1619	5.7925	3.7715	6.7311	8.2218	4.0757	8.7507	3.7876	4.1333	4.9639	5.9544	8.7823	6.0163	5.3979	3.8374	3.8787	4.037	3.7082	3.9158	7.6908	8.0985	9.9521	5.9318	4.9481	6.4416	6.383	6.6805	6.0503	4.4132	4.5285	4.1797	5.4227	8.1212	5.8559	4.2872	4.0673	3.9632	7.5091	7.2721	8.5677
EA_G__LPHN2	5.9496	5.9135	5.9626	4.8698	5.8907	9.8463	4.1827	8.8835	8.5265	8.1494	6.7013	5.553	4.0877	4.3555	6.0773	6.9108	7.0534	7.8955	8.7157	8.649	3.9831	4.0529	7.2988	8.6443	4.0015	9.052	6.601	4.6639	4.5698	6.4479	8.079	8.2552	5.8779	8.6784	8.7407	4.667	4.4183	8.4316	4.8237	5.4047
EA_G__ITGB8	7.0563	4.3345	6.4719	5.1465	5.9577	4.0873	4.1401	7.5286	5.774	5.2072	5.7826	5.2163	8.4625	7.1158	7.234	4.659	6.9491	5.0819	7.6877	5.151	4.2771	4.6015	4.2081	5.1207	5.038	4.0543	4.6954	4.9463	4.3102	4.6555	5.4208	9.0265	5.8961	5.499	7.0729	4.6554	4.8433	7.1037	4.1332	4.4104
EA_G__LOC493869	7.5675	4.5883	6.8253	6.5814	6.1373	9.9093	3.4796	6.1974	8.7434	9.0133	2.7338	6.9972	7.0989	7.0566	6.7197	4.9328	8.408	8.8576	8.31	8.9892	6.3644	5.0232	6.2845	9.1317	6.159	8.3857	6.483	7.7228	4.5915	3.9953	9.3612	8.0153	9.2636	9.5856	8.1735	5.9401	8.3805	5.4012	4.2873	7.5247
