Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__TRIL	6.45	7.691	4.9883	5.7803	8.2706	4.3206	6.0987	4.2621	4.8923	6.7164	6.9271	4.5574	4.0993	4.5377	4.618	7.1587	7.1386	4.4006	4.3815	4.3545	4.9991	5.0011	7.308	4.4089	5.3409	4.5657	5.6758	4.9838	5.7791	7.6403	4.4034	4.3459	4.6801	7.0693	7.903	5.9149	7.3008	6.3898	4.6888
U133A__TSPAN13	9.6774	10.0953	8.3777	10.249	10.7603	5.511	9.5712	6.4062	7.7338	7.6575	9.9233	6.7565	9.5285	9.5561	9.2752	10.1883	10.611	8.413	7.5481	5.4571	9.1734	9.4408	9.5767	7.3108	10.1409	5.6786	10.1128	10.3424	9.7301	9.8614	8.6711	6.8176	6.1061	11.0026	10.0425	11.2545	10.2015	10.0917	10.3821
U133A__ACAA1	6.1633	8.8997	6.6984	5.2632	6.5332	6.3551	7.0217	5.9495	6.3772	6.4261	7.1641	7.3011	6.5595	6.1541	6.6504	7.2811	7.0428	6.9482	6.9299	6.6822	7.7278	6.912	5.4479	7.0365	7.5844	6.3811	6.9764	7.9024	6.7552	9.1231	6.4906	6.7173	6.0876	7.3427	6.9957	6.6535	6.6359	6.6572	6.2702
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	11.8105	4.6994	10.4767	8.954	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.3477	11.4994	9.9269	9.5922	5.7145	11.6793	12.1159	10.506	7.5837	11.0665	8.3426	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.5897	10.994	9.9593	11.9459	9.9995	11.4816
U133A__EIF2S3	6.3171	6.1488	6.323	6.434	6.8048	8.3513	6.7127	8.3434	6.2297	6.0425	7.2102	7.0259	5.7992	6.53	8.2659	6.2587	5.7805	8.1589	5.5754	6.8843	4.8921	5.6091	6.3863	7.1686	6.7465	6.0282	6.882	5.9506	6.6388	6.2181	6.6393	6.6974	7.4484	7.9685	6.1071	7.6833	6.4436	7.5603	6.9873
U133A__GOLGA7	7.8627	7.1818	7.7299	7.3188	9.2393	8.597	9.1869	7.9219	7.8963	8.1613	8.3657	7.9391	7.8112	8.6586	8.9611	4.8743	7.9552	8.1564	8.4016	7.8128	6.9887	6.9504	7.3033	8.6761	8.0589	7.7669	8.218	6.831	7.5845	6.547	6.8417	8.3803	7.5855	8.834	7.4587	10.2354	8.4365	9.4111	9.0354
U133A__IL6ST	7.5935	7.0793	6.0749	5.4211	8.567	8.125	7.0206	8.2546	5.2974	6.534	6.7419	6.7623	7.3269	7.0733	6.731	4.2533	6.9801	7.0261	7.9029	8.7535	5.2886	5.2522	9.4937	7.2806	7.1899	7.3972	7.6621	8.1222	3.4946	6.5663	6.341	6.8491	8.4642	6.1815	7.4497	7.8678	7.8973	6.8129	6.5801
U133A__RANBP6	4.7934	5.0371	6.4418	4.2429	6.3425	6.7217	6.3532	5.6877	5.4548	5.4428	4.5938	5.5795	5.5374	6.4931	8.7863	6.1904	4.0948	6.9804	7.1459	5.7405	5.2136	5.2393	5.9539	6.3699	5.797	5.9788	5.2613	6.0678	5.228	5.0434	4.4442	5.6174	7.2921	6.6713	5.6587	5.6978	6.412	5.5102	6.0529
U133A__DPYSL2	6.5499	4.3957	6.3934	5.6905	6.9064	9.755	6.403	6.8983	8.6685	6.876	6.4028	8.1874	7.4548	6.1458	4.9671	4.0143	5.8342	7.3601	7.5697	9.3498	4.9229	6.4398	8.4362	7.9753	6.9726	7.9353	6.4448	4.2048	6.5866	3.6449	9.0406	8.4346	8.7608	6.6997	7.2071	7.204	5.519	4.2719	7.339
U133A__PSMD6	8.5665	8.6993	10.152	8.3642	8.8256	9.7455	8.3163	9.927	8.2829	8.6801	8.2862	8.5112	8.5596	9.2404	9.5267	7.448	8.3989	8.7111	8.5784	9.7554	11.9775	12.0073	9.7716	8.8803	8.9574	9.6493	9.3167	7.7253	9.076	8.5109	8.6482	9.3608	9.6836	8.4333	8.8076	8.7697	8.7334	9.3153	9.1403
U133A__BIK	6.79	6.6526	5.7028	7.7609	7.8101	4.4661	7.2407	5.8664	6.9484	5.4635	5.8565	5.8302	7.4245	6.541	6.2117	7.1457	6.5191	7.3676	5.0893	6.005	6.0503	6.236	6.6067	5.2379	7.4079	5.0096	7.3216	7.224	8.0241	6.3969	5.3947	7.7769	5.5715	10.0292	8.47	6.3561	5.6218	7.1572	6.2503
U133A__HIST1H2BK	7.8626	9.2518	9.6636	9.211	10.265	7.7061	10.2513	7.472	7.6802	8.4455	9.6962	8.8744	9.1657	10.3357	8.5626	10.2075	11.4476	8.3287	10.8107	7.4624	9.4798	10.0636	8.8671	9.2992	9.3189	8.3553	10.3908	10.9972	9.5832	8.6993	9.5496	8.6964	7.2105	9.793	10.1358	9.1875	10.0889	9.1856	8.8304
U133A__HIST1H2BG	4.8283	4.2641	3.7738	5.0005	8.9158	4.5763	5.5262	4.2147	4.4331	5.2718	9.2574	5.3945	5.7249	6.471	4.4167	7.7626	6.6603	4.5105	7.4535	4.0378	5.3949	6.6731	6.9855	5.2408	5.3898	4.1684	8.9951	6.9417	6.9214	4.4134	4.9449	4.4145	4.68	5.8657	6.7726	3.6731	5.8628	4.8942	4.9211
U133A__PRNP	6.1952	7.6265	8.3038	4.4988	6.3549	8.3473	2.8621	7.7789	8.8473	8.0052	3.5182	8.5845	9.0397	9.2202	8.6949	3.0417	6.9932	8.0449	9.5522	9.3616	5.659	4.5659	3.7609	8.366	6.9978	8.3535	5.8395	3.3305	4.0872	7.1137	7.4428	8.3248	8.0389	5.8058	8.428	8.4491	6.0263	4.5816	5.6471
U133A__FGFR1	6.1557	5.7798	5.7379	6.852	7.4678	7.5789	7.3779	7.6334	6.7737	8.6157	6.1787	6.737	5.9285	6.0116	5.8635	6.4269	6.623	6.2015	9.3113	7.4059	6.7359	6.0403	11.6578	8.0272	8.3604	7.1029	8.2599	6.0409	6.4628	6.1317	8.3245	5.7774	7.9791	6.489	7.6248	7.2695	6.4819	7.4521	7.6142
U133A__NEBL	7.1562	7.471	6.4486	7.9659	8.3793	4.4277	8.0852	4.1247	8.1581	5.8258	8.7265	4.729	4.5974	6.1047	4.8275	6.2376	8.4438	4.7794	5.3089	4.5196	7.2791	7.7379	7.7128	4.3245	6.2351	4.2596	7.1621	7.8028	6.5042	7.6328	4.692	4.966	5.6682	9.7977	8.5099	6.3427	7.0842	8.448	7.1828
U133A__ALDOC	6.5777	8.3205	6.2278	6.6705	8.4622	5.9173	6.748	8.2793	8.3786	7.6054	6.2571	8.268	6.8246	5.9627	7.5516	9.5103	6.3166	7.6059	5.9395	6.084	7.2912	7.7475	7.8802	5.3038	6.7481	7.1603	6.11	6.5345	6.1454	8.8374	6.2906	6.7714	6.409	6.929	8.0066	6.3134	7.7955	6.2557	6.2591
U133A__MT1E	7.8851	7.3809	10.9472	7.1994	7.283	8.052	7.2057	10.8902	8.2554	6.7525	10.3763	8.6888	9.325	7.7407	8.1952	7.4243	7.1704	8.6778	10.2166	10.4822	6.9449	7.3634	7.9805	8.8841	8.1675	11.072	7.7895	10.3548	7.9851	7.853	10.6588	10.8935	10.8512	7.4854	7.5278	9.3421	7.187	8.0755	6.722
U133A__PLXND1	8.0278	8.0521	7.2243	6.8569	8.0591	6.1152	6.932	6.9463	6.7389	7.6025	7.7119	7.432	6.9718	7.012	6.7294	7.4985	8.5089	6.3405	7.3005	7.1712	7.5315	8.1479	7.045	8.3326	9.6295	6.9015	7.1637	6.9815	8.0254	6.8911	7.248	7.013	6.1165	9.3213	7.7929	7.2942	7.5523	6.6068	6.7508
U133A__SASH1	6.8729	8.0514	6.5801	6.2097	6.3274	5.5121	5.0593	5.4916	6.3964	7.9624	5.8275	5.5587	7.1532	6.4264	4.9592	5.8088	8.5103	5.5314	5.4471	6.0764	5.3468	5.6008	4.5609	5.7093	6.2216	6.4312	4.7488	6.2194	8.058	7.0212	7.7444	5.3774	6.1138	6.2486	8.2544	6.7125	6.0433	5.8784	5.0383
U133A__RAB6A	8.3478	8.1354	7.602	9.6089	8.5203	8.235	7.0744	6.9855	7.5458	8.9785	9.6511	8.2605	8.7391	8.1772	8.2082	6.8947	9.3203	8.6921	7.8781	7.1215	8.4947	8.5233	10.7149	8.1531	8.4794	7.9162	7.769	7.67	7.9761	8.2774	7.0141	8.7486	7.4315	8.176	8.9419	8.722	7.9143	7.9982	7.7061
U133A__TGFB1	5.9513	4.8708	6.8974	5.4725	7.8468	7.6091	5.426	8.1271	7.5996	5.0132	6.1979	6.213	7.3059	5.6044	5.7321	5.3338	5.1609	5.4784	8.1482	9.5736	6.1038	7.11	6.7	9.5702	4.9982	7.0412	7.021	5.5408	5.1952	5.4666	7.4693	8.4618	8.5279	4.7022	5.8055	5.0334	5.4006	5.4893	7.0574
U133A__PSIP1	3.5886	6.4073	6.6162	5.1188	6.6778	8.2756	6.8945	8.4135	6.4199	7.555	4.4933	6.2788	6.1165	7.4217	8.1103	6.3365	4.5639	7.2935	9.1106	6.9717	5.5604	6.5724	7.9387	7.1031	5.4963	6.9404	4.8731	6.4635	5.4842	6.0784	4.2305	8.8722	6.341	5.5796	5.5895	6.4744	5.9734	5.742	7.0488
U133A__H2BFS	7.6939	8.14	9.1665	9.0151	9.4825	7.5511	10.0856	7.8887	7.4697	7.0381	9.6266	8.3781	8.1802	10.1758	8.4017	10.2471	11.3662	8.0953	10.2003	7.2868	9.2405	9.6227	8.6025	9.2039	8.9019	7.7851	10.0234	10.8112	9.3547	8.8394	9.4932	8.0654	6.9914	9.1738	9.0903	8.557	9.8876	8.7904	7.7033
U133A__AXL	4.5848	4.3447	4.36	4.6163	4.3957	9.7332	4.3709	9.0689	7.011	4.3959	4.4975	4.5981	4.2906	4.9826	5.1863	4.9555	4.2474	5.2312	9.2723	10.475	4.5906	4.4261	4.7784	8.3136	5.0443	10.3645	4.1508	4.614	4.2537	4.0831	9.5546	7.5369	9.6852	4.2137	3.971	4.2126	4.5153	4.2859	4.2316
U133A__MALL	5.9594	9.6574	8.4122	5.7996	5.7681	5.5609	5.355	5.4016	7.6983	5.6344	5.9818	6.1853	8.6162	9.3676	10.0543	8.2866	8.4348	6.8244	7.0931	5.675	8.3023	6.3252	5.9264	5.4322	6.7314	5.8379	5.7292	6.607	5.6076	6.8833	7.6292	6.4668	5.7006	6.9903	8.1516	5.6005	6.0371	5.5443	5.7131
U133A__LGALS1	9.2382	7.7525	11.1622	5.8446	8.8126	11.9757	12.336	12.3419	12.1952	11.1399	10.6651	11.5613	8.1987	9.9206	10.3303	10.8452	5.0472	11.7356	11.486	12.9455	7.8464	8.893	10.3526	12.5884	11.124	11.6327	5.2613	11.3986	10.2053	8.8885	12.472	11.6862	11.8188	5.4749	9.8542	9.5798	11.0411	6.0697	8.6626
U133A__MT1F	8.8457	8.4682	11.449	9.0415	8.2996	9.723	8.3702	10.1491	9.3606	7.3736	10.1497	8.895	9.2237	8.6485	10.1593	8.2385	8.1514	9.0099	10.0446	10.7	7.8613	8.0034	8.7306	9.3064	8.6793	10.6159	9.1573	10.5503	8.8884	8.8961	10.4918	11.0993	11.1161	8.3957	9.5437	9.1751	8.0095	9.2106	8.4788
U133A__MT1X	8.4084	8.2002	10.7098	8.1249	7.4471	9.3471	8.3782	9.6993	10.0479	6.6892	9.4273	8.2086	8.6822	8.4598	10.1523	7.0356	8.178	8.9091	10.0628	10.1184	6.7858	7.3453	7.4573	9.6321	8.505	10.0782	8.8258	10.9035	8.2451	8.777	9.7324	10.4715	10.7999	8.8989	9.62	9.7216	6.9663	9.2386	6.7383
