Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__ADAM9	7.4142	7.5275	9.0774	6.2804	7.4135	9.3027	7.6696	7.8921	7.9906	6.0137	5.9751	8.8245	8.3077	7.2497	8.5078	4.5828	7.6816	7.525	8.4688	8.2258	6.0776	6.0747	9.3548	8.2242	7.6408	8.4356	7.7889	7.5672	5.8249	6.8231	8.4699	7.364	7.1854	9.0709	8.6927	10.3643	7.8763	6.5808	6.9047
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	8.9626	5.5927	8.9031	6.2784	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	9.0573	8.5395	7.194	7.6429	6.6802	9.3437	9.2681	7.1592	5.5687	8.3507	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	9.4211	8.9541	8.2608	10.1651	9.5845	8.7069
U133A__ERBB3	9.0074	7.5004	6.4014	8.3846	9.4643	4.1332	7.8718	3.9425	7.0488	7.2396	8.1221	7.1116	6.5673	7.1065	5.2443	8.1957	8.2884	6.1232	6.1179	3.9223	7.4837	7.907	7.5422	5.1573	7.8977	4.7362	8.49	7.7735	8.3471	7.8318	4.3134	6.0561	4.2768	8.8454	8.2685	6.8618	8.571	8.3354	7.6055
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	11.4133	4.8801	9.5473	6.1277	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.0145	11.018	5.5521	4.8807	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	12.2035	10.6989	11.3355	11.4831	9.3155	10.4286
U133A__KRT19	11.6554	11.9776	10.9191	11.935	12.491	3.995	11.6489	4.3819	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.1027	12.4618	11.0216	10.3341	3.831	10.65	11.6347	12.2467	4.0939	12.0447	7.2772	11.6624	11.784	10.9377	12.0028	3.9802	10.1275	3.2941	11.8623	11.6439	11.4468	12.1604	11.9516	11.561
U133A__HIST1H3H	4.5987	5.0394	5.7959	5.2954	7.0262	5.1973	7.1901	4.9072	5.2309	5.1804	7.7752	4.9774	5.3258	6.7115	4.903	6.9369	8.3387	5.3894	8.3287	4.5073	5.3057	6.6563	5.6775	4.9412	4.668	4.3556	8.4879	6.8346	6.7291	5.1044	5.9021	5.0129	4.7309	5.8351	6.2272	4.5009	5.9355	5.2029	5.5379
U133A__VIM	5.8226	4.9592	5.965	7.7481	5.6063	11.6511	5.8908	11.3859	11.3821	8.7797	5.3502	10.7222	4.9413	5.8206	9.4913	6.0127	5.6946	10.5693	11.5151	12.5403	5.7703	5.8608	8.4895	12.7467	6.4138	11.4408	5.516	5.4939	5.091	5.6462	12.9893	9.5774	12.4633	5.4996	5.2009	5.4907	5.7024	5.528	5.1392
U133A__ITGA3	7.0347	5.904	8.7863	7.0003	6.2149	8.0259	6.2689	8.8922	7.8936	5.0259	6.8603	5.3603	7.6743	7.3976	8.3943	7.9867	5.562	7.1843	8.7137	7.4535	6.6455	6.406	6.3636	8.2664	6.2884	7.5132	7.5224	6.7249	6.8296	5.5944	6.0298	7.3832	7.7502	5.8839	6.4267	6.8074	5.8556	5.7229	5.9956
U133A__RAI14	5.8045	6.8528	7.6505	6.5191	4.7329	7.1977	6.3754	8.5524	6.2722	5.5801	7.0817	6.0818	7.393	5.9586	7.2175	5.1903	4.9184	8.4573	6.3942	6.5584	5.6957	5.9513	5.9509	8.3284	6.7127	7.995	7.088	4.6179	5.8292	6.033	4.3547	5.7551	7.8314	6.3683	4.7881	6.0277	5.7235	4.2361	5.793
U133A__PTPLA	5.6938	4.6823	8.4154	5.182	6.3219	10.3468	6.3568	6.56	6.7459	5.8693	5.5657	8.0611	5.5909	5.7785	6.5564	4.3065	4.9583	7.3047	7.8945	6.1322	5.8509	6.5989	6.5047	9.4651	5.5866	7.4552	6.2385	5.0439	5.0779	4.2583	7.0215	6.8608	6.9817	6.4239	5.1713	5.2383	6.5071	4.9885	5.9094
U133A__SGK1	4.5039	4.9334	6.1785	4.7827	5.0255	8.6493	4.9394	7.5162	7.9635	4.3632	4.5738	6.4205	8.1867	7.2171	5.7353	4.9836	4.2787	5.4377	7.4515	7.7563	5.059	5.5643	4.8025	7.6973	4.6129	7.0334	6.3626	4.4837	4.4109	4.9636	8.6062	6.7889	7.1807	4.5583	5.3698	6.1684	4.7328	4.6854	4.8292
U133A__PMP22	5.2565	4.7053	5.1463	5.1319	5.4801	8.5525	5.7927	6.8597	10.0992	5.4421	5.429	9.3067	5.4072	5.1737	5.345	5.2663	5.9816	6.3296	6.8562	8.2183	6.5357	9.0143	7.1606	8.7543	9.7452	8.7851	6.3452	8.5414	4.8371	5.3986	8.7837	6.0432	7.9716	4.706	4.6818	5.7261	4.7756	5.5308	5.6785
