Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__ST14	9.3704	10.0699	9.5095	9.4025	9.5064	5.3989	8.4103	9.1952	10.6256	5.1965	8.8454	9.6956	8.111	9.7844	9.82	10.1543	10.002	9.6359	5.0132	9.7185	5.5207	9.0798	8.8239	7.8911	5.3651	8.6958	5.8956	9.328	8.803	9.6571	10.0178	5.6156	9.5955	5.7331	8.6079	9.2113	8.7602	11.0696	10.1267	9.1367	9.6422
EA_G__SGK	4.2316	5.0406	7.2857	5.4106	5.3314	9.0838	4.1858	8.9248	4.3511	8.7011	6.361	5.0384	6.6596	7.7021	7.7639	6.6802	5.1726	7.019	9.4103	6.1623	9.2354	5.1628	5.3706	5.9424	8.3272	5.1426	8.4342	7.6622	3.713	5.0158	4.8986	9.7393	8.7562	8.0896	5.5156	6.1843	7.5815	4.7744	5.5835	5.6857	5.0778
EA_G__CAV2	6.8437	4.5018	8.4908	3.7097	5.5046	9.6475	3.2968	9.8419	4.7699	9.5411	3.41	6.384	6.665	9.7361	10.2366	8.8897	6.3564	9.7925	9.8782	9.1849	9.3055	6.8317	4.985	4.251	9.9149	5.9759	8.7015	5.0696	5.7687	3.9831	6.1201	9.4274	10.0236	8.9668	6.5462	7.0424	6.8936	3.7499	5.2992	4.0191	4.5273
EA_G__FADS2	5.5203	5.1836	4.6766	11.2866	8.1832	10.7062	9.6347	8.0137	10.8844	8.4065	5.944	4.895	11.2039	7.2327	6.9073	6.0754	6.8636	5.5278	8.4189	9.0812	6.2579	7.3093	8.6543	10.5743	6.5811	9.9779	8.8552	10.1211	10.3286	7.1607	4.3387	9.1821	10.3134	6.2067	10.128	9.645	10.6903	8.0701	7.969	8.508	10.2159
EA_G__LOC130576	8.0882	7.3051	7.5463	6.2817	5.9754	5.0178	6.4833	5.4715	5.8439	4.7804	7.28	5.9843	5.9264	6.0446	7.9167	7.2106	8.1629	5.5621	5.2542	7.1105	4.7645	6.3846	7.4118	7.5937	5.9617	7.968	5.3021	5.8741	6.6461	6.9476	7.3389	5.1582	6.8692	5.5754	6.7913	8.8915	6.3295	6.2426	5.5797	6.0156	5.5407
EA_G__PITPNC1	5.9581	5.5345	5.4744	7.8044	6.3762	5.2162	6.9251	7.0212	5.1425	6.6952	6.5773	9.4228	4.747	6.4283	5.6002	7.1111	5.9105	6.5611	4.5402	6.7923	5.8769	7.7613	7.2287	7.2535	7.215	6.1345	6.034	7.8241	6.7048	7.9891	6.3138	6.8045	5.0386	6.0261	6.8894	5.8866	4.687	6.4611	6.7829	7.1502	6.6286
EA_G__COL1A1	6.5423	6.2925	6.2508	7.0552	6.4358	11.619	6.3917	6.4123	6.3335	8.8737	6.885	6.5766	6.1846	6.4506	5.9671	6.0936	6.3913	7.8403	11.224	6.3257	11.5916	6.6991	6.6985	6.844	11.2898	6.7111	6.1738	7.2627	6.1977	7.9956	6.3813	11.2379	6.9361	10.7507	6.9765	6.3819	6.7742	7.2366	6.2342	7.0746	6.3556
EA_G__CCL28	6.3841	4.5541	6.9258	4.4882	5.5135	3.9286	3.9476	6.9018	5.03	3.7831	6.3095	9.8222	4.2333	6.598	6.3216	7.205	7.8981	4.3006	3.8536	8.3271	3.7685	4.202	5.9563	4.2058	3.8438	4.8442	5.0595	3.9539	6.7971	6.9669	4.5795	3.7521	4.022	3.8049	4.1642	7.147	5.9627	6.8893	7.1737	4.6225	4.278
EA_G__AZGP1	11.8674	10.2938	5.2477	6.3166	7.9619	5.1861	7.8483	10.5743	5.8672	4.8475	9.8598	5.393	10.1989	5.1734	7.6159	8.1158	9.9126	7.6711	4.5263	11.0381	4.8353	5.798	5.7386	6.463	4.8156	8.6593	4.9316	8.3578	10.6706	10.6377	8.0518	5.702	6.1725	5.9591	6.4786	11.3448	7.3664	9.6307	9.8486	10.4682	8.0104
EA_G__MMP2	4.619	4.7727	4.6578	4.5862	4.3656	4.9219	4.4867	7.6929	5.7732	10.9422	4.4826	4.4733	4.9088	6.0595	5.4077	5.6186	4.9941	4.6012	7.4544	5.7767	10.3265	5.0395	4.9834	4.8745	9.8229	5.0684	4.6176	4.5248	5.481	5.6996	5.2895	9.6213	7.411	9.4531	4.7076	5.1615	5.1411	4.8119	5.1935	4.914	4.563
EA_G__C21orf63	7.3258	5.7103	4.9068	5.2612	5.2604	4.9491	5.5532	7.3771	7.8351	4.9149	7.3169	4.4919	7.3015	4.8158	6.3262	7.1669	6.609	5.6132	5.4436	6.9256	6.3665	4.842	5.5903	4.732	5.1242	5.3627	6.429	4.8902	4.2435	4.4116	5.6244	4.458	8.4875	6.1941	6.347	6.7912	4.4131	5.6467	4.3879	6.0314	6.1272
EA_G__REEP6	7.2756	7.3124	7.8296	8.0118	9.1556	6.6815	8.2179	7.8251	7.3053	7.6152	10.3249	9.2159	7.4347	7.4881	7.4719	7.15	8.9474	7.5053	6.5065	6.8337	6.7464	8.4331	8.6279	8.0963	7.2691	8.1977	7.1275	9.1377	6.3806	10.0931	7.8307	7.1074	7.1343	6.4064	7.4075	9.6168	7.6949	9.7124	9.2173	9.9128	8.8387
EA_G__SYDE2	8.7276	7.3463	5.9708	5.604	7.034	6.0024	5.9226	5.5722	5.0472	3.7722	7.0862	7.2978	5.5218	5.3269	6.9457	6.5966	7.1275	5.9901	5.5281	6.3308	5.8378	7.0509	7.1789	6.0688	5.7826	6.1726	6.9786	5.907	8.1534	4.6872	6.9179	5.7729	5.8618	5.1916	5.9568	6.4802	7.7929	5.761	5.9615	7.4261	5.7937
EA_G__ALDH1A3	8.1307	7.1477	9.9419	5.5462	5.1046	5.1706	5.5215	10.5997	7.9756	6.3243	10.1103	5.3869	5.9514	8.1333	9.9057	10.7197	8.2221	9.5832	5.4772	8.5415	6.7888	6.6298	5.1017	4.9374	6.9108	7.7315	6.1897	5.2779	6.2757	5.6755	8.4467	5.2612	7.2848	6.2392	5.4542	7.7908	5.849	7.0659	5.5996	7.2203	5.9235
EA_G__TUBB6	6.692	7.2698	7.7018	7.4183	6.4048	9.6368	6.551	9.5051	9.2748	8.7564	6.7473	7.8841	8.7984	8.9031	9.0863	7.9565	6.9209	9.1825	10.3276	8.0512	9.8505	8.3664	7.7207	7.2372	10.3152	6.4923	8.5128	7.6669	6.2429	7.2555	7.6011	9.9093	8.4349	9.9172	6.749	7.0652	7.1787	8.0286	8.0785	7.0165	8.7717
EA_G__FAM83A	6.2667	9.2665	6.9613	6.4079	5.4584	5.1123	5.3789	5.0616	9.4749	5.205	6.0218	6.385	5.005	9.102	7.37	6.5828	7.5888	5.9004	5.0462	6.8265	5.0033	5.7755	5.9803	5.2402	4.9435	5.8912	5.5186	5.7117	4.9014	6.4144	6.7959	5.5079	6.2875	5.5004	5.4083	5.8496	5.8332	5.7875	5.6898	5.2744	5.1521
EA_G__SYK	6.4062	5.9849	7.3582	7.3327	7.0955	4.7423	5.0707	5.0835	6.2633	4.4833	4.4849	6.8967	4.6334	7.5505	7.6245	8.463	6.9189	8.076	4.409	4.8371	4.7997	6.8007	6.8805	4.6771	4.5247	7.3438	4.6861	6.3931	4.4987	5.1463	7.264	4.8881	4.8966	4.8173	5.6372	7.2579	7.2591	6.9358	5.5448	6.3764	5.6168
EA_G__CTSH	9.1657	7.8295	9.6938	8.0322	8.7116	8.5869	5.5315	8.4511	8.0863	6.4945	9.7603	8.0625	9.3242	8.5953	8.9432	9.5252	8.341	8.4416	7.2664	9.9204	5.6387	8.4003	8.9769	7.4055	7.5765	8.5307	7.2789	6.8818	8.5445	6.6818	8.1243	8.5227	8.5039	5.5465	5.5571	7.9805	8.151	8.5519	8.9272	8.1753	7.6677
