Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__C3	8.0106	6.2607	6.0817	5.8311	5.7648	9.0395	6.3784	5.6617	10.1816	7.4163	8.7858	5.9001	6.5894	8.5375	6.2009	9.4553	6.0739	5.9398	5.8497	6.0495	6.9302	7.2708	5.7467	6.1981	5.7035	5.7721	10.6532	7.3317	7.4113	5.9459	5.7433	6.22	5.8786	5.5469
U133A__EFEMP1	7.4576	3.9936	4.9476	7.2537	9.8537	11.5931	3.9406	9.5939	4.5082	9.0406	7.8452	6.2124	9.5684	8.5328	11.2032	9.9411	5.6562	6.8707	6.1881	4.3448	9.1576	7.5869	5.3781	9.5557	8.7332	3.8355	9.2272	10.0329	9.0876	4.2679	10.1096	7.0931	6.9504	7.616
U133A__PCK2	6.284	6.7969	7.826	7.0049	6.9382	6.6359	6.756	6.5554	5.8093	6.4794	7.416	6.5607	6.4475	6.7694	6.1271	8.2428	6.1926	7.1246	7.2563	7.2173	6.0304	7.2309	7.0416	6.961	6.43	7.0357	6.5541	9.2728	8.7286	8.2243	6.6431	6.8268	6.8368	7.7107
U133A__AKR1C1	7.1431	9.7287	6.9009	6.8428	6.9592	8.8214	9.5937	6.993	6.9124	13.1661	9.4036	9.5204	6.7947	9.3672	10.5533	8.2823	10.5717	6.8776	7.8026	10.3287	9.2501	8.2671	7.7902	8.1125	6.9583	7.1779	9.3422	9.812	11.7895	7.2018	7.2829	6.5776	6.7722	6.5749
U133A__SORBS2	8.936	5.4941	6.4401	5.4424	5.5175	8.6285	5.6054	6.2198	6.3474	6.0802	6.9047	5.4611	6.2066	6.4919	6.1776	7.7611	6.6186	5.7661	5.5938	5.7209	6.9767	6.1543	6.5877	6.2867	5.5737	8.6789	5.8552	7.5596	7.7492	6.8821	5.923	5.5824	6.4692	5.6689
U133A__AHNAK2	4.3732	4.6633	3.7668	4.2833	7.8526	9.299	3.5509	4.9391	3.8991	6.3896	4.45	6.0159	4.1841	7.2624	6.7199	6.3673	5.4933	3.9157	4.2351	4.6591	8.267	4.9602	4.0095	4.1542	3.8567	9.5019	5.603	8.3787	4.9678	4.0909	4.2427	4.4986	3.8844	4.6233
U133A__HDAC2	7.3362	8.606	7.6767	6.867	7.551	7.0874	8.1325	6.5409	7.9756	7.3507	7.9535	8.3325	10.9012	7.9686	7.3425	7.7932	7.6404	7.0908	6.704	8.7541	7.7129	7.1234	7.7281	7.5994	6.9991	6.7312	7.6319	7.5854	7.5802	7.4804	6.7918	7.5777	5.8817	7.6247
U133A__C6orf211	4.7061	5.6679	7.0185	8.9986	4.6285	4.5967	4.1924	8.487	5.0896	6.0769	4.6395	5.7836	6.7831	4.2786	4.0272	5.9741	4.6184	6.7797	7.9113	8.0697	4.908	6.42	8.5915	6.0873	5.1504	4.4327	4.8395	4.7754	6.2025	7.0532	6.7713	6.982	4.5541	9.4202
U133A__SNX3	7.4822	8.9435	8.0462	7.0702	8.3886	7.4899	7.8493	7.3454	8.4501	8.0451	8.4314	7.936	11.1678	8.4686	7.962	8.1692	7.7878	7.7229	7.6676	8.7653	8.4924	8.0632	8.4013	8.1024	7.9791	8.03	7.2657	8.0363	7.9844	8.681	7.3744	8.4575	7.824	7.949
U133A__SQSTM1	6.1244	6.1499	5.8091	5.7716	7.0833	5.9361	5.7784	5.8264	7.07	6.1	6.0029	6.0765	5.8535	6.5977	6.8556	5.5987	7.8553	6.1988	6.3496	5.823	8.1934	5.9877	6.465	5.698	6.2993	8.7397	5.8603	6.3011	7.6314	6.4299	6.2441	5.9149	5.7718	5.8185
U133A__TSPYL1	7.1208	8.2478	6.8499	7.5148	6.8558	6.3823	6.2805	7.2393	6.7611	6.3812	7.6203	7.1452	9.9714	7.4672	6.6912	6.8775	6.14	6.7769	7.2514	7.9883	6.4733	7.0354	8.3367	7.0077	6.3896	6.688	6.094	7.2503	7.8804	7.8928	7.6083	8.0874	5.4603	7.6037
U133A__FAM129A	5.0158	4.7228	4.3398	5.5046	7.9531	4.8097	5.2083	5.9292	4.647	8.5176	6.8051	3.6708	5.0773	6.7572	5.0536	8.9458	4.8652	3.935	3.6517	4.1287	6.924	6.5025	6.0223	3.8873	3.8009	6.1988	6.8953	7.0005	8.3979	4.7178	5.0793	3.9912	6.4028	4.0884
U133A__SLC16A2	6.3648	6.9674	6.6207	6.1898	8.4154	6.3528	5.8648	6.3431	6.1795	5.906	6.0403	7.6963	8.9505	6.0496	6.2589	6.7398	7.4172	5.6067	6.407	6.8717	6.5314	5.6734	6.4926	8.2316	7.2201	6.0533	5.9928	5.6637	6.4509	6.8085	6.0254	6.5951	6.8485	5.9475
U133A__NETO2	4.1866	8.556	5.5229	7.0904	8.3314	4.9915	7.0426	7.6731	6.7208	7.6539	7.7076	8.3348	6.592	6.4802	7.0906	8.0553	7.0052	6.605	6.4807	8.0547	5.8595	3.8496	7.2842	7.0955	5.1442	7.8191	7.5577	8.5558	7.8592	7.8868	4.4382	6.024	6.2995	7.593
U133A__CRABP2	7.7927	7.6984	7.1272	11.2478	7.1984	10.2575	11.042	10.4868	7.9145	5.679	11.2348	9.6855	10.9394	9.1947	9.329	11.2675	6.4565	10.9021	10.0104	10.3883	6.0832	10.5335	7.7354	10.3027	9.5601	7.2299	6.7276	9.2587	8.4121	9.1007	10.4822	11.9965	9.367	8.6028
U133A__C3orf14	9.0139	7.5754	9.212	9.6473	8.5361	4.2159	7.5311	8.7627	7.2165	6.6989	8.1664	4.05	8.792	7.421	6.3008	7.4875	8.1547	10.6072	10.2344	10.5387	6.6381	8.2917	9.1404	7.4683	8.9235	7.4175	8.1998	7.2508	8.5412	9.1302	7.7943	9.0827	9.2989	8.6747
U133A__PCTP	6.8289	6.6213	8.1664	6.5612	5.1232	9.315	5.6513	6.7262	7.3226	6.3297	6.1024	7.302	5.2925	6.4219	7.3253	7.702	5.4234	6.3381	6.567	6.1451	7.3843	7.1665	6.5636	6.578	5.4077	6.0721	6.2962	6.199	7.0656	6.584	6.8001	6.5245	6.6801	6.402
U133A__RUNX1	8.1168	6.7016	7.2102	7.6375	7.0667	9.4792	5.2955	6.473	6.4426	6.3102	6.968	7.4652	6.8471	6.2546	5.7046	7.1706	6.6078	7.3539	7.0636	7.7735	6.0855	7.126	6.7931	6.9141	6.3567	6.6728	6.5636	6.3903	6.8718	7.5332	6.8964	7.9102	6.91	6.9437
U133A__MT1E	7.8851	10.9472	7.1994	7.283	8.052	8.2554	6.7525	10.3763	8.6888	9.325	7.7407	8.1952	7.1704	8.6778	10.2166	7.6766	10.4822	6.9449	7.3634	7.9805	8.8841	8.1675	7.7895	10.3548	7.853	10.6588	10.8935	7.4854	7.5278	9.3421	7.187	7.2065	8.0755	6.722
U133A__UBAP2	5.4385	7.7345	6.0293	7.8019	7.284	6.5709	7.7504	7.1467	6.9458	6.9148	6.8468	6.2426	9.8684	6.9149	6.3077	7.8567	6.7469	6.2089	5.9218	7.247	6.867	6.6527	8.1591	7.0411	6.5173	6.3175	6.6482	6.8332	6.0548	6.2607	6.3922	6.805	6.7369	7.6546
U133A__COL1A1	4.8595	4.3453	6.7347	4.1388	11.3634	5.8092	4.8212	5.5465	4.0655	4.7173	4.1605	3.5882	4.5906	7.139	10.8683	4.5265	10.6014	3.8974	5.0738	5.193	10.155	4.7577	5.968	4.0965	3.9594	11.1959	5.4949	5.5253	4.1782	4.3818	5.6643	3.9736	5.6976	5.9443
U133A__GSTP1	10.2691	6.2737	6.0305	6.0116	9.0029	9.802	10.165	6.0055	9.9335	10.5334	5.7453	6.4435	9.7716	9.4364	8.9042	6.7726	8.5415	6.0689	6.0078	6.0434	8.826	6.3304	5.9938	9.6938	7.3166	9.2902	9.987	10.4558	5.822	5.7574	6.2469	5.6179	5.9376	5.7957
U133A__HK2	7.7927	6.0513	9.3905	8.5865	7.1092	6.3978	6.9276	5.9444	7.0521	6.4244	7.008	7.3448	7.8368	6.4973	5.5445	7.3185	6.4854	8.2568	7.2834	7.5312	7.3908	7.8934	8.0615	7.0305	8.5453	6.3299	6.9952	8.6042	6.437	7.3711	5.651	8.9271	9.8284	7.313
U133A__NMU	7.7687	5.3381	4.3252	6.8641	4.1752	8.636	7.3185	5.2777	6.318	7.1706	9.1284	4.9977	4.242	7.6872	6.8751	4.3367	4.0377	4.0093	4.3863	4.6474	5.4827	5.9742	6.7082	4.4051	3.9427	4.1099	7.0073	4.1234	7.0702	6.565	6.9468	5.598	7.6505	8.6929
