Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__LOX	4.0749	4.3528	4.0982	4.4889	3.8604	11.8002	3.914	6.3952	6.6246	6.7898	7.5504	3.5531	4.0064	8.533	6.0924	5.0426	3.8545	4.5193	6.5508	7.0379	9.1134	6.2016	11.1703	4.2671	4.1135	3.8759	8.062	4.1215	7.2851	4.4892	3.6242	4.1681	3.9021	11.4184	9.062	6.3026	3.8599	5.276	4.396	3.8898	5.2499	3.5707
EA_G__ISOC1	7.1234	7.7312	7.7099	8.4881	7.9468	7.1505	10.1811	6.5101	6.8003	8.3692	6.4391	7.8247	9.2481	8.0613	7.4609	7.6971	7.3787	7.5518	7.7585	7.7394	6.4754	6.4981	7.13	9.3042	9.2846	9.3326	6.4466	7.818	8.0524	8.6912	8.875	8.4946	7.982	7.6054	7.2698	7.2342	8.2947	7.5257	7.1917	8.0935	9.2017	8.2137
EA_G__DKK3	5.3981	5.5437	5.662	5.7281	5.4745	8.5109	5.6116	8.8344	5.7278	6.3657	8.1004	5.4808	5.5502	5.6327	6.9404	5.5621	5.7794	5.8143	5.638	6.2634	8.5884	5.6952	7.4382	6.0512	5.7428	6.6315	10.7195	5.8877	6.0222	5.2727	5.3942	6.4128	6.08	7.8756	5.8818	9.2136	5.5876	5.8885	6.1618	5.9572	5.8007	5.6656
EA_G__GHR	3.6065	3.4555	3.1078	7.0331	4.4249	3.2946	8.2991	3.8792	3.6146	7.3657	3.4598	6.2015	6.8667	4.7513	3.453	3.1757	3.2235	4.3375	4.0767	2.9606	3.0266	4.2527	5.2987	4.6304	7.0062	5.5601	7.6029	6.6707	3.0519	5.8397	7.612	7.7942	3.5592	3.7344	3.2773	3.4318	6.1368	3.7827	5.217	7.7204	5.4494	4.6905
EA_G__COBL	6.9315	7.3722	5.5295	7.4904	7.3429	4.9504	7.2341	5.1155	7.084	5.6151	5.0062	7.6344	6.6659	6.0049	5.1724	6.0185	6.5425	6.4602	6.9815	5.7516	4.7727	5.2075	4.9245	6.4901	6.7704	6.272	4.8492	6.4282	5.0952	8.0264	8.5046	6.01	6.9633	4.8804	6.3035	5.1492	7.1308	7.9556	6.8173	6.8655	7.0127	7.0229
EA_G__TFPI2	7.4112	5.7742	6.8889	4.1023	5.2059	7.6313	4.2376	5.8745	5.2724	5.6988	7.7972	5.5013	5.2292	4.3233	7.304	5.223	4.7209	4.4873	5.8133	5.139	5.3328	7.5073	4.2327	4.6548	5.44	4.2051	6.5637	5.4829	7.751	5.7575	4.3729	5.1626	6.729	6.8534	7.2202	6.8149	4.8815	5.8182	5.0564	4.7585	6.7052	5.6912
EA_G__DEPDC6	7.4503	6.6941	5.2717	9.1632	7.448	4.9752	7.5121	5.0898	6.4015	6.416	7.052	8.3884	8.0948	6.8441	4.7516	5.8902	5.8436	7.74	8.5968	6.2251	6.0457	7.4547	9.2139	6.8396	7.695	8.225	7.3615	8.3302	5.541	9.0918	9.6198	7.432	8.03	6.4449	6.1382	5.6161	7.127	9.8221	6.946	8.0294	6.7683	7.0533
EA_G__ABCC5	5.9535	8.05	7.5093	8.3158	8.0661	6.8239	8.6461	6.7479	6.9295	6.5499	7	7.9766	9.0062	7.5615	7.5179	8.4078	7.2503	8.0671	9.2941	6.922	6.4032	8.0915	7.2329	8.4363	7.7763	6.6309	6.5591	7.5629	6.0979	8.1434	8.4676	6.6576	8.1011	6.0554	6.2323	6.02	9.9184	5.7974	6.9504	7.7622	7.3995	7.4722
EA_G__NNMT	8.175	4.8089	6.7152	3.8271	4.1496	8.2242	3.6997	6.7616	3.8335	3.9479	6.2424	3.9401	3.567	3.7123	3.8429	5.4458	7.3319	4.2657	4.5212	4.3755	6.0984	6.0797	6.0012	4.1344	4.306	4.0165	7.3124	4.1152	3.8669	3.1296	4.1849	4.4702	4.3726	7.4463	8.63	7.9916	3.8228	5.2255	5.2161	4.3412	4.3434	3.8635
EA_G__HDAC2	6.7153	6.747	7.4914	7.0578	6.167	6.6431	6.4113	7.1337	6.9761	7.2984	6.983	6.4842	6.0039	7.0528	6.5693	7.1402	7.1866	6.2847	9.5415	7.1172	6.5033	6.7302	6.9559	6.6858	6.5704	7.2637	6.7192	6.2857	7.3268	7.0509	6.3683	6.6287	6.2293	6.5104	6.8425	7.5238	7.2283	6.426	6.4637	5.9981	5.7278	6.9298
EA_G__SLC1A4	6.5473	5.9221	7.3969	9.5614	7.3214	6.5813	7.7174	5.5915	7.5515	6.8238	6.5279	8.9692	8.7983	5.1599	6.5164	6.1471	5.0227	8.4291	7.5205	6.6816	6.0689	6.7585	8.1553	7.1356	6.2838	8.6605	7.9164	7.973	5.6469	9.6396	8.2052	7.6134	7.1734	8.4565	5.8662	5.6933	9.795	8.1427	7.5711	7.6858	9.4274	7.555
EA_G__PRKAR2B	3.6639	4.751	7.6397	6.673	7.3892	4.2612	5.5339	5.7103	6.1629	5.6519	5.6035	7.3352	8.2984	6.7023	3.924	7.0818	5.0653	4.5253	7.3375	6.4084	5.38	8.6228	5.2452	7.008	6.7479	8.6709	6.3269	7.4685	5.5951	6.3291	4.8747	4.7273	5.1911	6.4866	4.6942	3.6612	6.1377	6.4419	5.7235	5.3886	6.823	6.4128
EA_G__STARD10	8.7444	9.3189	7.1028	9.838	10.3464	6.9657	8.9884	6.4416	7.0812	7.6816	6.3309	10.6337	9.9114	7.9561	7.2257	7.6626	7.4036	9.0078	9.147	7.3262	6.4872	7.4777	6.0307	9.734	9.5739	9.1011	7.4208	9.3232	6.2262	9.903	9.0237	9.6166	9.3077	6.0593	7.4425	5.9183	8.838	8.704	9.3903	8.7334	9.2205	9.5445
EA_G__EDIL3	4.2675	4.4678	4.1222	4.2003	4.1091	10.3398	3.9199	7.9734	7.7527	10.7627	10.9328	4.1415	6.574	4.1486	5.3387	3.582	5.0077	4.1852	4.3808	6.4883	10.5374	4.466	10.2267	4.3709	4.7425	3.968	9.6383	4.9919	9.9608	3.9369	3.9483	4.4458	4.7088	7.9988	6.332	7.8969	4.3348	4.5551	4.1115	4.1293	4.2709	3.9187
EA_G__PARD6B	6.6898	7.453	8.2745	7.9356	10.2482	5.6462	9.0659	6.451	7.4407	7.1044	6.5166	9.1497	8.5948	7.3837	7.5392	7.1739	7.7258	7.5297	7.8017	7.1111	5.7964	7.4969	5.8639	9.8281	9.7913	7.6396	5.8916	7.8763	7.6107	7.4723	7.3893	7.1206	7.9257	6.5983	7.1532	6.0187	7.9875	7.3888	7.7564	8.7348	7.6213	9.8215
EA_G__PLAT	4.8795	5.2508	5.3138	5.6481	6.099	5.4087	4.9178	7.7892	7.7348	5.2681	5.081	4.9812	4.9954	5.1825	8.0439	5.7616	7.1291	6.8005	5.2285	6.5808	7.0983	5.8378	9.719	5.3008	5.2594	5.2905	8.1452	5.0758	8.0401	5.079	4.8066	6.0343	5.4405	7.2002	8.3147	9.0046	5.3745	5.346	5.6399	5.2868	5.262	5.2243
EA_G__APOD	9.195	8.4131	4.3529	4.576	6.0208	4.5205	4.8705	5.0811	4.8545	4.5494	4.4454	6.7594	5.1462	5.4408	4.5387	5.4509	4.809	4.775	9.674	4.7458	4.3722	4.5508	4.2252	6.0782	8.385	5.8081	4.9883	11.311	4.705	6.0232	11.749	5.2095	8.0318	4.3242	4.9073	4.892	4.5929	4.8909	9.5483	10.5135	12.4719	5.2026
EA_G__MYLIP	6.7069	7.7441	7.2374	7.7961	7.3174	4.455	7.8443	6.6097	5.524	7.4104	6.0376	7.4993	9.1957	7.2494	6.5654	7.3278	6.8576	6.7279	7.9226	6.8467	6.4026	7.0558	6.0263	7.3524	8.0793	7.5303	5.2059	8.449	6.7869	8.1069	7.8265	7.0391	7.6774	4.8163	7.2753	5.6734	7.6692	7.5201	6.3688	7.0329	8.0057	6.8543
EA_G__PRODH	7.1166	8.5848	5.3758	9.6968	6.5807	5.2856	9.8394	5.9356	7.3753	6.3146	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	5.347	7.6571	9.6035	5.5817	5.3378	5.6238	5.3479	6.1188	5.8214	6.8612	5.7096	10.3624	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	10.5858	9.7075	7.7263	10.3923	9.6963
EA_G__PDCD4	8.7451	7.2221	4.9274	9.1525	9.6114	6.9065	9.7468	6.1232	6.4642	9.1019	7.7495	8.5973	10.2921	6.4907	5.6176	6.6294	5.985	8.6672	8.9419	5.47	6.8651	7.9542	5.877	8.1806	7.8868	8.306	6.0254	8.0429	8.695	9.6332	10.4832	8.1844	6.4457	7.2904	6.741	5.8866	7.7702	8.4289	7.9408	8.9593	10.8018	10.2493
EA_G__XBP1	11.283	10.9214	8.6686	11.4285	11.4319	8.6723	11.3432	8.8291	8.5408	9.0517	9.4895	11.6752	10.8517	8.688	9.1233	8.734	9.1933	10.7393	11.2423	8.6586	8.207	9.7409	8.5637	10.908	11.5332	11.3709	8.4505	11.6948	8.6487	11.8604	11.6993	11.4718	10.6695	8.502	8.3625	9.0461	11.0474	11.1889	11.1636	10.9799	11.6409	11.6006
