Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__MTSS1	5.8587	5.6912	6.8843	7.0331	6.4919	5.8012	4.7009	5.3065	7.1918	6.2432	8.5811	7.0421	7.0883	7.5023	7.0308	5.9383	5.6926	4.9353	5.3388	5.1834	4.8634	5.7994	5.7517	6.2886	5.725	5.0317	6.4292	4.561	6.0564	8.121	6.0429	5.6778	5.9667	5.9113	5.2908	4.9113	5.8955	5.5815	7.5958	6.1442	7.246	5.3285	7.146	6.6464
EA_G__RAB11FIP1	7.7489	7.29	7.2374	10.9487	6.0996	8.0487	6.6306	7.7821	6.9453	5.8301	8.3145	8.4506	7.1372	6.5495	6.7129	6.7962	7.4883	8.1631	6.6448	7.058	7.0896	5.8517	6.8206	6.8315	9.8938	7.2036	7.6101	6.2077	7.9194	6.8136	6.1721	6.9053	7.3587	7.6757	6.0579	6.4956	6.959	7.013	8.072	7.7446	7.0056	6.9046	8.1997	8.3727
EA_G__ABCA12	4.3109	7.364	6.8238	7.0373	3.3572	3.9202	3.5168	3.4709	3.3851	3.4184	8.1267	8.8693	3.3669	5.5671	6.1363	6.2983	5.5426	6.998	4.6112	3.2091	5.7931	3.2291	6.2715	9.5323	4.7044	3.1101	6.8836	3.3908	10.1166	5.9646	3.3419	7.5299	5.4337	8.0032	3.6763	5.1243	3.733	6.1352	7.3809	7.9179	9.511	6.7682	9.895	8.4165
EA_G__B4GALNT3	7.1092	6.9649	6.0981	8.3395	5.8707	5.7563	6.2815	6.8101	7.5583	6.3181	7.2793	9.0251	6.5173	7.1681	7.1566	7.3057	6.2612	6.8762	7.7833	5.8952	8.2248	5.6841	5.8718	6.0511	6.8191	6.0185	5.9964	6.8599	6.3605	6.1138	6.1634	6.6364	7.7497	6.1034	5.842	7.6391	5.9322	5.8952	6.2917	6.4298	7.3841	7.0996	6.1195	6.4727
EA_G__SERPINE1	5.4251	5.8986	5.4065	5.5036	5.6132	5.2081	9.8133	6.988	5.5114	5.7937	5.0759	5.1916	5.1886	7.6995	7.0332	7.2798	5.9422	5.2755	7.7287	5.7854	5.5744	11.9346	5.8429	5.6226	5.5287	6.3332	8.3971	10.2428	5.0146	6.1282	11.7198	5.9937	5.8471	7.8398	8.1438	5.5569	11.8792	5.5559	6.5275	5.4098	5.4253	5.4968	5.331	5.4464
EA_G__LEPRE1	6.6604	6.106	6.4096	6.721	8.8094	6.5042	8.5858	6.8624	8.5287	8.9158	6.903	7.1955	7.9912	6.5855	6.995	7.2352	6.5996	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	7.2675	9.3727	6.8462	8.1582	6.7103	6.9469	8.4926	7.0673	7.5154	6.3158	9.2172	7.4327	8.3081	7.7253	7.4537	6.4544	6.851	7.4008	6.5327	6.3042
EA_G__PARD6B	6.6898	7.453	7.9356	10.2482	5.6462	9.0659	6.451	7.4407	7.1044	6.5166	9.1497	8.5948	7.3837	7.5392	7.1739	7.7258	7.5297	7.8017	7.1111	5.7964	7.4969	5.8639	9.8281	9.7913	7.6396	5.8916	7.8763	7.6107	7.4723	7.3893	6.4305	7.1206	7.3768	7.9257	6.5983	7.1532	6.0187	7.9875	7.7564	8.7348	9.9907	7.3238	7.6213	9.8215
EA_G__EPN3	8.6199	8.2278	9.6436	8.7561	6.3758	8.069	6.7939	7.4293	7.116	6.3802	8.672	8.7373	8.1351	7.9438	6.843	7.7746	10.1126	7.7472	7.1172	6.3093	7.9575	6.3471	8.673	8.446	7.6968	6.1877	8.7465	6.2349	9.6115	8.2606	6.474	8.6589	7.9364	8.2641	6.6755	7.3269	6.6283	8.2206	8.4764	8.7652	8.4147	8.7178	8.8978	8.7596
EA_G__HLA-DMA	7.7846	6.1096	5.4969	7.1099	5.3203	5.607	5.563	6.4711	6.846	7.1845	7.7241	6.4108	5.909	6.3016	6.3518	6.7919	5.8885	7.7145	6.1954	5.1876	9.0448	5.6239	5.6223	6.1193	6.8527	5.948	7.0516	5.2159	6.1346	10.3753	6.0115	6.3527	5.7338	6.7923	6.9763	6.6222	5.739	6.4534	7.3171	9.0091	6.8822	6.0733	6.2863	5.5486
EA_G__RNF145	8.2864	8.9906	5.9042	6.4469	8.2399	3.6986	7.9628	8.1927	6.4509	8.8975	4.383	6.8288	6.957	7.388	7.931	8.2957	7.1362	6.8248	7.964	8.0655	8.2727	9.2999	7.2541	5.8841	5.5607	8.7718	5.3762	8.5754	5.0477	9.0789	9.2572	5.5689	8.3803	8.0365	8.8456	9.6135	7.7868	7.1606	8.3063	7.5792	6.3729	8.0164	6.331	6.4106
EA_G__TOM1L1	9.489	7.6603	11.1528	8.9596	7.4255	9.1088	7.0603	8.7525	6.8062	6.4184	9.3334	10.0995	7.2869	7.4997	7.2579	8.116	7.9165	8.1689	8.1728	8.2532	7.2323	6.7395	8.5358	9.3382	9.1966	7.8329	9.1409	7.7808	9.9911	9.1808	7.4769	7.9222	8.1949	7.5116	9.1269	7.732	8.0915	8.2536	8.208	8.9751	8.6278	9.3554	9.847	9.8839
EA_G__AKR1B1	4.6938	6.0548	4.8622	4.4778	8.2157	4.4619	8.9961	4.565	6.3662	10.5992	4.6497	6.9879	7.0157	8.1308	9.1844	5.175	5.4781	4.7671	8.4129	9.049	9.0045	9.0431	5.1215	5.0227	4.6497	8.4728	6.866	8.1635	4.946	6.5897	10.773	5.4319	9.672	5.2901	8.4605	9.627	10.232	4.7564	5.1681	5.0863	4.8373	4.9859	4.9029	5.9326
EA_G__CRIP1	8.4336	5.31	9.7731	11.423	5.334	5.4641	5.5377	5.3474	8.9387	4.8935	11.7544	5.561	8.2598	7.0206	5.2656	5.5827	7.7479	5.8054	5.3255	5.4495	8.2606	5.0561	5.5382	5.4859	9.0144	5.3967	8.9139	4.9174	9.2424	6.8474	5.2885	7.5698	5.13	5.9588	5.2163	8.9972	5.2167	5.7411	5.2574	9.2766	9.2825	10.7322	9.7626	10.5449
EA_G__PSTPIP2	8.1593	6.3706	7.6426	7.4955	6.6895	7.2941	5.637	7.4507	7.6004	5.3047	7.2812	5.7749	6.4943	7.0623	6.3866	7.652	8.1594	5.1606	7.4375	6.6511	7.1926	6.3224	5.8662	6.3679	7.1748	6.8034	6.2879	4.9291	6.9576	6.2978	6.5597	7.5041	7.2591	7.2658	4.4207	4.512	4.9834	5.3472	3.9841	7.5519	7.4189	5.5231	8.2947	8.3701
EA_G__PPP1R1B	8.4134	6.6594	6.1717	5.4383	5.6037	5.3093	5.6866	5.3516	5.2893	5.3186	7.6849	5.235	11.3025	5.5556	5.7625	6.0975	6.3475	8.6293	6.3286	5.0789	6.2257	5.3275	5.5126	5.6913	6.3638	5.0928	7.4844	5.2927	6.0823	7.2346	5.0839	6.3522	6.6725	6.1086	5.3644	5.6562	5.7473	6.7821	7.6266	5.7833	7.1704	10.7772	5.5376	5.6609
EA_G__GPR110	9.7446	7.0704	3.7237	3.745	3.6985	3.7424	3.8281	9.0125	3.733	3.472	4.4485	4.4558	6.7612	7.5227	8.4464	8.9925	4.7165	9.3514	8.1791	3.2085	8.7699	3.8459	4.1206	3.9779	4.3228	3.6583	7.068	8.7401	3.5079	8.1907	3.5539	4.253	8.3863	6.7929	4.1236	3.5422	3.979	4.2127	6.5644	6.4813	3.5142	9.025	3.8201	4.2971
EA_G__ITGB8	7.0563	4.3345	5.1465	5.9577	4.0873	4.1401	5.3653	7.5286	5.774	5.2072	5.7826	5.2163	8.4625	7.1158	7.234	7.3067	5.7032	4.659	6.9491	5.0819	7.6877	5.151	4.2771	4.6015	4.2081	5.1207	5.038	4.0543	4.6954	4.9463	6.8836	4.3102	7.9301	4.6555	5.4208	9.0265	5.8961	5.499	4.6554	4.8433	7.1037	4.0936	4.1332	4.4104
EA_G__STC1	4.2023	5.8475	4.1757	8.2063	5.9901	7.028	4.1014	4.5059	4.7051	4.7755	4.4204	5.5825	6.1916	4.6151	4.2116	6.5629	4.4202	5.4927	6.3077	6.2183	6.5919	6.4939	4.4274	7.0916	7.9985	4.5744	5.1884	5.6217	6.2482	6.0242	6.345	5.9654	7.7742	4.519	8.2941	8.0628	6.9703	6.0986	5.5548	5.1707	7.1141	7.1934	5.2534	4.6737
EA_G__PERP	9.4157	8.4916	8.7471	7.7395	5.253	6.4862	7.5983	9.2823	9.4251	7.3117	9.712	5.6477	8.3126	9.9513	10.3279	8.8971	8.0849	10.1481	9.065	8.0827	9.5271	8.8947	8.6297	8.6221	6.9133	7.6294	8.8772	7.7237	10.1124	9.074	7.7453	7.7316	9.122	8.5246	7.2959	8.2908	7.08	8.7225	9.184	8.6028	8.5551	9.5149	8.3092	8.8196
EA_G__ITGA5	6.3772	6.5342	5.4102	7.6442	7.8303	4.9929	10.3861	6.7368	7.765	9.1896	7.0523	5.2835	7.3501	8.4005	6.6512	8.1923	5.8672	7.09	7.8664	9.0643	8.8209	11.1238	6.6621	6.3823	6.1907	8.059	6.6655	7.7972	6.2126	7.0346	8.5089	5.9778	6.9527	6.1176	8.4345	7.5599	10.4308	5.1878	7.1407	6.7302	6.2623	8.0146	5.62	7.8886
EA_G__LOXL2	5.4783	5.8448	5.6278	6.8917	11.5706	5.3784	9.6539	7.3672	8.3444	9.7971	5.3611	5.5669	7.4703	6.3969	7.012	8.4417	5.7226	5.7593	8.9623	8.3503	7.7097	10.4794	7.4047	6.4296	5.5399	10.1895	5.9609	8.8689	5.4797	5.8476	9.5549	6.3622	9.0558	6.7527	8.6472	9.8992	9.576	6.1699	5.9034	5.8065	6.9555	6.7612	5.6576	5.5175
EA_G__APOBEC3C	4.9575	4.3796	5.0079	4.3185	4.6432	3.9746	8.5489	6.252	7.5233	7.2601	4.2715	4.3922	4.4322	7.6314	8.0586	6.1462	4.3766	4.9659	6.7292	8.0813	6.5526	7.1948	4.5514	4.7951	5.3873	7.4161	4.4358	7.5841	7.6699	8.5436	6.6585	4.8073	7.4679	4.7309	4.6374	7.9769	7.4662	5.0818	8.9395	4.9317	4.2818	4.981	4.5283	4.3357
EA_G__TPD52	5.9209	8.4542	7.0653	6.6962	5.3719	6.8489	4.7685	6.829	4.9629	5.1704	7.2799	6.5672	7.0081	5.6315	6.5702	6.5929	6.3041	6.491	5.8988	5.8681	5.9646	3.9806	6.3341	6.808	6.5048	4.2657	5.5925	5.3093	6.894	6.7619	5.0152	6.1522	5.8764	8.3772	5.8053	5.8745	5.9066	6.8577	6.5493	5.7787	7.5175	7.1667	7.2785	6.8565
EA_G__GPR137B	7.3173	7.3696	7.4089	8.1599	7.0778	7.3259	6.5502	6.2259	6.8084	6.4613	8.107	8.2884	6.8585	6.7126	6.9986	6.5121	8.0507	7.6793	6.8539	6.108	3.5024	4.7996	6.656	7.7104	7.9816	7.3236	7.799	6.6327	7.212	5.9258	7.5814	6.6425	6.7756	7.1303	6.8735	6.4763	5.6081	7.6708	7.3033	7.8159	7.0711	7.502	8.8563	7.0471
EA_G__SLFN11	4.0289	7.3239	3.4401	6.6335	8.8063	3.6834	7.9094	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.7642	3.9415	3.8847	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	3.8369	5.043	7.1813	3.6201	7.8717	3.9968	7.7132	4.9768	6.3828	6.6291	3.8912	4.3298	8.1337	4.0513	8.2407	7.1963	5.6434	3.8951	3.6617	3.6138
EA_G__LRP1	7.3455	5.8054	5.7512	6.6153	7.2126	5.7528	6.9074	6.4076	8.0052	8.9511	5.5205	5.6759	7.0528	6.8939	6.513	5.8578	5.8021	5.5253	6.5772	8.0746	5.9964	8.4479	6.5123	6.3447	7.2488	7.5366	6.4919	5.8946	5.9961	6.6637	7.1023	6.8374	5.7432	5.9299	8.0212	7.0683	6.5519	5.6962	6.8541	6.1843	6.9752	7.747	6.0082	6.3535
EA_G__MMP2	4.619	4.7727	4.5862	4.3656	4.9219	4.4867	6.4642	7.6929	5.7732	10.9422	4.4826	4.4733	4.9088	6.0595	5.4077	5.6186	4.9253	4.9941	4.6012	7.4544	5.7767	10.3265	5.0395	4.9834	4.8745	9.8229	5.0684	4.6176	4.5248	5.481	7.0672	5.6996	6.143	5.2895	9.6213	7.411	9.4531	4.7076	5.1411	4.8119	5.1935	4.771	4.914	4.563
EA_G__NEDD9	6.0988	7.0541	6.369	5.6202	4.3702	6.2842	5.5287	6.296	8.1089	4.4978	7.6662	5.8265	4.8435	5.1507	7.3277	7.9067	6.1884	6.6483	8.7324	4.4449	5.8518	6.7673	5.6187	6.171	5.5023	5.6725	7.695	5.7837	7.1416	6.0837	4.8665	5.3281	6.5838	7.4896	4.4785	5.6738	7.5467	4.6345	6.7999	6.6815	5.1042	6.2367	5.6103	4.8497
