Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__S100A3	4.4039	5.3412	4.3282	4.2059	5.6023	4.3749	8.6903	6.6335	6.9833	6.4591	4.2712	4.0737	4.3869	5.8534	6.0279	5.0119	4.6463	4.5809	6.6095	7.8016	4.8696	7.5816	4.6237	4.3372	4.3606	8.4498	4.8696	6.8913	4.202	4.152	7.0581	5.2117	8.3333	6.455	6.0566	6.3403	6.9666	4.1692	4.8878	4.3484	4.3764	5.5405	4.3595	4.5112
EA_G__APOD	9.195	8.4131	4.576	6.0208	4.5205	4.8705	5.0811	4.8545	4.5494	4.4454	6.7594	5.1462	5.4408	4.5387	5.4509	4.809	4.775	9.674	4.7458	4.3722	4.5508	4.2252	6.0782	8.385	5.8081	4.9883	11.311	4.705	6.0232	11.749	4.6147	5.2095	4.0595	8.0318	4.3242	4.9073	4.892	4.5929	9.5483	10.5135	7.4462	10.9572	12.4719	5.2026
EA_G__TGFB1	5.3638	4.5484	5.3055	7.7729	8.6552	4.8695	8.5707	7.9382	5.3512	8.1243	4.8967	7.1632	5.9921	7.3595	6.5109	5.8477	5.5935	5.2968	5.5807	8.5133	7.4316	9.1035	7.528	7.3696	6.3607	9.3331	5.2601	7.5055	6.5085	4.5964	6.5541	5.5747	6.8408	5.0627	8.0166	7.9822	8.834	5.1563	5.4959	5.4741	6.0657	5.6436	5.4676	6.8786
EA_G__ID3	8.6637	8.7567	5.7685	7.4438	9.4338	9.0323	8.9134	7.5827	7.4201	8.5902	9.1811	7.0131	6.3124	9.0101	9.1004	7.5789	9.1814	8.559	8.2351	10.2381	8.8913	8.7089	7.9608	8.4088	8.5196	8.292	8.8033	8.4871	8.0057	10.8247	6.6418	8.3927	8.2816	9.5854	6.7457	10.0836	9.5694	7.3623	8.1312	7.3736	7.889	8.2707	7.0466	8.4828
EA_G__SLC40A1	6.8502	8.0701	8.1892	8.6575	3.7959	8.0269	4.7585	4.4506	4.0922	4.2159	7.8833	10.106	6.5779	5.4936	4.2927	5.1166	7.5421	8.1015	4.3603	6.1059	5.223	4.0297	4.289	4.0528	4.0146	5.7339	8.6986	4.346	9.6424	8.3737	4.5596	9.2989	4.0644	7.1985	4.2552	4.3975	4.2056	8.3935	7.0743	10.0715	6.5471	8.0754	8.6955	7.2722
EA_G__EHF	8.9418	7.9677	8.8702	8.3787	3.4608	7.0353	3.3098	8.5755	9.3891	3.7674	8.0012	6.4301	4.3068	9.4851	8.5171	8.2355	8.9472	9.4367	7.3563	3.5329	8.1561	3.837	7.2835	4.963	5.5786	3.0694	8.5866	3.5169	8.217	8.8245	4.1387	9.2446	8.1546	7.1737	4.1825	7.2807	3.8479	8.8579	8.1504	9.8011	8.7526	8.6954	8.8216	9.3806
EA_G__ELF5	4.2981	5.8202	7.3218	7.309	4.3044	4.9445	4.6138	5.2392	9.8355	4.3338	6.7358	7.7811	4.6943	4.4652	6.239	4.271	7.1992	7.4263	5.3967	4.094	4.411	4.0815	6.4913	6.7385	4.4565	4.0654	7.7369	4.2349	6.8165	4.3561	4.3397	4.6392	5.7308	6.1555	4.6482	4.6594	4.1047	8.7989	5.8785	8.5803	7.339	5.5081	5.3151	6.8873
EA_G__FKBP10	9.0546	9.6293	5.334	7.7281	9.2253	7.1871	9.1655	8.358	5.4329	8.8414	5.871	5.2026	8.8307	7.781	7.7694	5.4977	5.6494	5.8272	8.2079	9.792	8.7845	9.9719	8.8278	7.4578	8.6401	5.739	8.1887	8.5766	5.3066	8.4515	8.2329	7.6708	4.8688	9.5271	8.3804	8.5628	9.2679	6.4518	8.0723	6.9652	5.8348	7.926	6.6115	8.8754
EA_G__TMEPAI	9.0313	7.6306	9.54	8.6064	6.2846	7.0365	6.4014	9.0017	5.6839	8.1741	8.9912	5.7617	5.8511	7.0375	8.3055	9.528	7.79	7.3319	9.8654	7.7737	7.5938	7.1114	7.2926	7.102	7.431	8.911	8.2193	5.7113	7.5478	8.244	6.4626	8.6251	6.9829	9.7532	8.1357	8.1942	6.3423	8.011	7.8324	7.4014	8.2315	8.0319	7.8687	6.9058
EA_G__PTPRG	5.21	4.499	6.6243	6.3169	8.0079	5.5387	7.5815	7.4888	4.6346	7.7804	4.1773	4.0564	5.6861	5.5681	5.9594	4.0333	5.0223	5.3326	5.4838	5.8104	7.3366	8.2883	6.2363	6.1699	7.0743	7.2877	6.4314	7.5303	6.992	3.9613	7.0118	6.0453	6.1923	4.4986	8.4789	7.313	7.5088	6.5257	4.9075	4.399	7.2354	6.9494	6.022	6.6035
EA_G__NRAS	8.8555	8.6798	8.779	8.7419	10.1321	9.294	9.2691	8.8577	7.8488	8.7858	5.968	8.8714	5.4055	9.1916	9.9501	8.9914	9.1434	5.3664	9.5788	10.417	8.7148	9.4073	10.6152	11.0763	9.2199	8.9749	7.9395	10.0815	8.4322	7.5223	9.0286	8.2559	9.275	8.7267	9.918	9.3361	9.5803	5.4178	8.1186	8.3406	5.1291	8.0922	5.3785	4.6904
EA_G__ARHGDIB	9.3221	7.326	8.6407	8.325	3.5834	3.8462	4.6525	6.8161	7.5929	4.7367	9.4766	6.9428	5.5031	9.3852	8.6345	8.5931	9.1209	9.704	8.3655	3.2272	9.1806	5.202	3.6609	3.8323	3.6913	5.2038	9.2438	9.3124	8.8321	9.4396	3.7957	6.8991	8.5437	8.0265	3.7228	8.1047	5.9032	10.5161	8.6354	8.1153	7.3862	10.9793	9.6877	7.2359
