Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__CALD1	4.2559	5.8786	8.3527	3.9365	4.9682	7.9225	3.6763	6.2884	9.1905	3.4181	8.0223	6.0784	7.1754	4.4506	5.9083	5.5558	9.2409	8.6378	8.8403	9.3954	3.6019	3.9175	4.3435	7.5768	4.9728	7.2995	5.0421	4.1759	3.5041	4.7812	7.3616	7.3157	7.8436	8.0238	6.7517	4.3805	4.0465	4.0081	3.6434
U133A__NFE2L1	8.2804	7.7434	7.8276	8.2998	7.9707	7.6509	8.0389	9.8821	7.1355	7.8831	8.6673	8.0502	8.5971	7.4599	7.7905	7.9417	8.4717	8.445	8.0531	8.0109	8.4411	8.5213	7.4537	7.3248	7.4906	7.9701	8.893	7.935	7.7687	7.4362	8.4148	7.889	7.8649	9.2852	9.0828	8.5447	8.1149	7.9741	8.136
U133A__LY6E	9.8781	9.5357	9.268	9.4498	9.2443	7.4881	8.6046	9.6208	8.1823	7.094	10.4748	8.1025	10.8174	9.4792	8.7985	9.1314	8.5848	7.4401	9.2918	8.6573	8.4491	8.9779	8.4527	9.2958	11.0628	7.144	9.5073	8.8492	8.8044	8.6974	6.3992	8.3921	7.15	10.6976	10.3601	8.581	10.4302	7.4261	8.5009
U133A__TWF1	5.5084	4.4222	5.9488	6.6463	6.0045	5.5635	6.9623	5.9922	4.6291	6.6905	5.6328	6.1548	6.9483	8.4203	4.8132	7.0744	6.4329	5.2535	6.2329	5.6756	6.0343	7.2103	5.6348	5.244	5.2969	5.6623	5.5977	5.005	5.403	5.5177	6.2422	6.9222	7.1039	6.0657	6.9819	6.8472	6.2073	7.887	6.4851
U133A__ASPH	5.3746	6.8366	8.484	6.5254	8.1324	6.8716	5.3035	6.5755	6.2036	6.0212	7.3679	7.8645	7.2219	8.1345	4.4642	5.177	5.7293	8.8405	7.2005	8.9386	6.6102	5.3359	6.6341	7.0177	8.5437	7.5871	7.8154	6.9904	8.6886	6.7725	7.7094	6.3051	7.5512	8.0946	8.6961	5.212	8.2391	5.9685	5.6668
U133A__UGDH	6.482	6.7529	6.4419	6.8611	5.8761	6.321	6.038	5.7267	5.769	5.2899	5.8534	7.6982	5.3336	7.1465	5.2938	7.0645	5.7286	7.0553	6.1708	8.5648	8.4522	8.6115	7.238	6.6717	6.9367	6.677	7.7434	7.2057	6.0354	5.8508	6.5282	5.6305	6.2732	6.1272	7.3335	5.1217	7.0978	5.2124	6.2117
U133A__WWTR1	5.5378	5.4353	5.7299	3.966	4.1743	7.3987	3.3913	8.3892	5.0729	5.616	6.4266	6.3704	8.6394	6.8808	4.278	8.0557	6.9231	9.3347	8.5677	7.4314	3.8181	3.8193	3.4958	6.5088	4.0356	6.9541	4.5266	3.6265	4.75	5.0238	7.8837	6.1643	5.4187	6.5895	8.0272	5.8601	6.6523	5.1135	3.6301
U133A__NAMPT	5.9078	7.5425	7.6434	7.1369	6.1052	7.5271	6.5232	5.9372	7.4207	5.6088	6.7065	8.1311	7.3738	7.3141	5.4208	6.6757	6.4502	6.6746	7.6402	5.828	7.1487	6.4945	5.6817	6.255	5.5494	8.1958	6.5858	6.2031	4.6505	6.4053	5.6559	8.4488	7.3949	8.3478	7.0908	5.2057	6.5646	7.9709	6.2666
U133A__PIR	4.6997	6.0985	5.6555	5.1577	4.6415	5.9744	4.6417	4.5998	5.8591	5.8861	6.3592	6.5985	7.4658	4.0181	4.883	4.9194	7.3016	5.6805	6.7355	4.7965	5.0436	4.9141	4.1856	5.7721	4.0657	5.3994	7.2433	8.1638	5.4722	4.2441	6.8605	4.6306	6.0726	7.0525	7.6523	5.3672	5.9331	6.0265	7.9715
U133A__G6PD	7.419	10.257	10.9347	7.6085	8.2352	8.511	8.3055	7.1968	6.9496	9.2814	8.0679	9.3686	7.6264	10.5808	9.6087	7.7827	8.1939	8.8272	8.4124	9.0366	10.2266	10.4884	8.2878	7.8584	9.4783	7.5137	10.8347	8.9439	11.0569	9.6004	7.0779	9.3761	8.2127	10.6344	8.6083	7.5745	8.9033	8.575	9.736
U133A__RHOB	10.4942	9.873	6.3164	11.0388	10.4831	6.7962	11.0472	6.5967	5.3472	11.2735	6.8223	5.304	6.3977	6.8571	10.6523	9.5881	6.7605	5.6554	4.5314	6.3916	9.3614	9.9117	11.0411	7.4355	10.1894	6.7163	10.5222	9.9235	10.7721	10.9564	5.3243	5.6316	8.7454	8.1457	9.765	9.1037	9.9938	10.6561	10.3209
U133A__CTNNAL1	6.8072	5.2576	9.176	6.5586	5.9492	9.2333	6.7237	8.725	5.2291	7.0447	7.3007	9.0378	6.3929	8.7139	6.2145	6.4033	6.7594	7.8544	6.5949	8.1258	6.7643	6.5967	7.0346	9.6872	6.7579	10.2032	7.1815	7.3743	6.467	5.4645	8.052	8.7128	8.9356	4.743	6.401	7.5563	7.1744	5.9706	7.1552
U133A__GPRC5C	7.4235	6.1309	5.8727	6.7046	6.796	5.3902	6.9703	5.6507	5.5117	6.314	5.8513	5.5639	5.7202	5.8357	8.0014	6.4456	5.8599	6.2879	5.6807	6.194	6.4966	6.7739	7.9681	9.0957	7.5182	5.7214	8.3154	6.1173	7.1564	6.0889	5.7109	5.5935	5.16	6.437	6.2738	7.4572	7.4876	7.2886	6.3964
U133A__SCGB2A2	12.5001	9.593	3.0538	9.5207	3.1087	2.9103	5.8738	3.1328	2.8172	2.9434	2.9623	2.7929	2.8795	2.9099	3.0077	2.8891	2.8798	2.8879	2.7576	3.369	2.9816	4.6257	3.0305	2.8088	10.2856	3.165	12.2953	13.1034	3.0112	7.9518	2.8817	3.129	2.9541	12.1822	11.7075	2.9576	11.7693	8.7525	3.3738
U133A__MFAP2	6.1012	6.6076	6.4087	5.9402	7.111	7.5045	5.7163	6.9391	8.4452	7.7932	6.2262	8.1355	7.0665	6.1253	6.5223	6.7741	5.872	7.9716	6.0081	8.2035	5.8531	6.5901	7.7756	6.9779	6.299	6.5138	6.3103	6.1716	6.4924	6.7567	7.848	8.0483	6.2524	5.8981	6.033	6.5117	6.0933	6.4525	6.9361
U133A__MREG	7.2904	7.4837	6.8632	7.3162	7.6224	4.1264	6.9158	4.9852	4.4452	7.6384	6.6941	7.6708	6.2989	5.9287	4.3678	7.3828	6.2187	6.2332	6.664	4.6508	8.3801	8.8786	8.0033	5.5713	7.5852	5.3909	8.2337	7.7519	7.482	6.9532	4.3075	6.558	4.6489	7.7298	7.2458	7.0424	8.2713	6.0785	6.4466
U133A__CA12	9.2856	6.8362	5.5018	6.6024	10.0646	4.94	9.4907	5.3522	5.2704	9.9923	5.8997	5.8965	5.9293	4.8096	8.2238	5.138	5.3006	5.185	5.1204	6.4199	7.0757	8.7923	10.1694	5.1916	8.8035	5.7859	7.8998	10.1217	9.7319	8.5665	7.398	5.5183	8.3814	4.9204	8.1588	9.8759	9.6625	8.016	9.0498
U133A__LDHB	4.1912	9.5557	4.0631	7.7198	7.4019	11.1499	3.7442	10.2809	11.5671	9.3184	11.4528	11.4705	11.0616	3.5408	6.3778	11.1987	10.7072	11.2496	8.8148	11.0885	3.5489	4.7582	3.8705	10.5632	11.012	11.6052	10.7455	9.8168	3.3627	10.4303	10.9508	11.7129	11.5033	6.9071	10.3626	4.7713	8.3895	3.3083	3.6779
U133A__ANP32E	7.7696	7.1675	6.183	4.7827	8.1079	8.5756	6.3299	9.2043	9.8021	7.8249	7.8684	7.971	7.8101	3.4688	6.0967	7.0035	8.1617	7.4757	9.4891	7.3647	7.0967	7.6872	7.282	6.932	7.591	9.3323	5.9998	7.3604	7.4851	6.1264	8.0691	7.2748	8.2153	7.9594	7.1498	7.5878	8.6942	6.7701	8.739
U133A__PPFIBP2	6.7549	6.3345	4.8049	7.4348	6.1149	4.4968	6.0418	6.4455	5.3026	5.1869	5.4586	4.7554	5.4037	4.6165	6.349	7.4999	5.2311	4.6232	5.0742	4.2075	5.4242	4.8287	5.6702	4.5175	7.6244	4.6322	6.4314	7.3432	7.8022	6.3835	5.0991	4.7511	4.6531	6.6225	6.8047	4.696	7.4245	6.0795	4.9504
U133A__KAZ	6.887	9.3271	7.3713	6.8696	6.9423	5.0339	7.2092	7.3067	7.019	6.1357	7.4731	7.073	8.0966	6.6288	6.8015	7.2085	7.7884	6.4812	8.9155	6.7695	6.486	6.7372	6.1829	5.3989	6.2572	5.2274	6.6177	6.5172	6.8356	8.3375	8.3053	5.2192	5.4891	8.3304	7.1619	6.3025	6.7496	6.8171	7.1912
U133A__FADS1	5.3104	4.4739	5.6559	8.0702	5.4823	9.0096	5.3236	6.1392	7.5248	5.3496	7.8723	8.1328	5.7481	4.6693	7.3749	5.6732	4.5489	8.1703	7.1886	7.1482	7.4537	7.4987	6.9271	7.0149	6.0625	7.8986	5.6721	7.4793	5.9334	4.5959	7.3449	8.8393	7.1644	8.0054	4.7401	5.7566	6.9044	4.3667	7.3382
