Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__PHLDA2	5.3424	8.2473	7.9863	4.3806	6.72	3.5057	6.7397	5.2006	4.2696	5.6983	5.0851	7.219	6.1805	8.3388	6.6272	5.2793	7.7485	7.1033	8.0232	8.1311	8.3743	6.4542	8.5457	8.4178	8.7775	9.2722	6.4911	7.7236	7.0746	6.4241	2.9468	8.0806	7.9463	7.5742	6.0942	4.5074	7.5556	5.036	8.6972
U133A__HK2	7.7927	8.267	6.0513	9.3905	8.5865	7.1092	7.2637	6.3978	6.9276	5.9444	7.0521	6.4244	7.008	7.3448	7.9834	7.8368	6.4973	5.5445	7.3185	6.4854	8.2568	7.2834	7.5312	7.3908	7.8934	7.3739	8.0615	7.0305	8.3238	8.5453	6.3299	6.9952	7.351	6.437	7.3711	5.651	8.9271	9.8284	7.313
U133A__CRISPLD2	5.923	7.4687	6.8837	7.2715	6.6231	8.8524	5.9012	6.0864	9.8636	6.5173	6.1973	6.2995	8.7598	6.864	7.2833	7.1847	6.9195	8.9948	7.1804	7.4314	5.9925	6.5184	5.8596	7.0327	6.0859	6.0414	7.68	6.3421	6.3528	6.2556	5.9922	6.2245	6.4427	6.2122	6.1095	6.9753	6.1861	6.4316	6.7485
U133A__FSTL1	6.755	6.2572	6.8274	5.936	6.4877	11.5266	6.0422	6.8735	6.4112	6.7142	7.1585	8.8436	9.9158	7.9294	6.0962	8.8284	9.2432	9.4494	8.6058	10.846	5.9821	5.6398	5.7112	9.7716	6.2036	8.6291	5.7009	5.857	5.6561	5.9557	9.5334	9.6656	8.1824	8.1404	5.6432	6.6733	5.5658	5.9264	5.6587
U133A__PPFIA1	8.222	7.9599	7.9301	7.1884	7.8838	7.0274	8.5832	8.3418	8.344	7.1162	7.0373	7.8089	7.7219	8.2808	5.7476	7.2867	7.3136	7.6061	7.4591	6.8513	7.8672	7.3332	10.3877	7.0079	8.1786	7.4321	8.5446	9.1744	8.4555	7.0867	5.8705	7.8299	6.9337	8.1568	7.8003	6.829	7.449	8.544	8.682
U133A__OLFML3	9.97	5.3081	9.7144	5.3192	6.7218	5.3782	7.0703	5.1553	5.1984	5.6925	5.3028	5.0756	5.1815	5.923	5.6461	5.2178	5.2158	8.3868	5.0129	5.8138	5.7375	5.6236	5.083	8.1614	5.9918	5.1686	7.0991	11.2489	5.3198	5.5029	5.2177	5.0772	5.0617	4.9577	5.2839	8.6052	7.0747	5.4056	5.2026
U133A__EPAS1	7.5586	9.4435	9.3385	6.5628	6.6454	7.1099	6.6122	6.878	5.9279	7.9068	9.1876	9.0687	8.1309	8.2067	8.4481	11.134	8.0527	8.9875	8.7955	7.4187	9.242	7.7912	8.5965	8.4085	9.4821	6.3178	8.0953	7.8271	7.9185	9.5402	6.3055	8.8077	8.0257	7.1293	10.3129	7.6909	9.5309	7.7552	6.3461
U133A__TSKU	11.0637	8.2421	8.5092	9.0798	8.5228	7.578	7.5767	7.5938	7.6168	8.2058	8.1601	8.241	8.0502	8.5889	7.7331	7.7436	8.2928	8.165	6.5287	7.4395	8.035	8.24	8.9638	7.4804	8.8192	7.5084	9.0219	8.4862	8.7443	7.8671	7.6819	8.0746	7.4697	8.4816	8.7885	7.7775	8.559	7.7132	7.2394
U133A__ATP2B4	5.5028	6.4581	5.6892	6.2711	6.5316	7.4579	6.2252	7.9768	8.6033	6.5555	8.1858	6.1822	7.6065	6.2598	5.4094	6.0514	7.1387	6.0959	8.4166	6.8174	5.3141	5.5657	5.8025	7.2595	6.0334	5.3436	5.9318	5.2475	6.1616	5.4998	6.1145	6.4583	7.7021	5.834	6.194	5.4313	5.9803	6.754	6.4627
U133A__NEDD4	5.8766	5.7439	5.9958	5.8644	5.7051	8.7922	7.1953	5.5039	5.1218	6.4833	5.2576	5.4214	5.58	5.8284	4.7364	5.4936	5.4286	5.4974	5.2635	6.0369	6.1024	5.4419	6.1074	6.471	5.8631	8.2282	6.2391	6.6502	6.199	5.913	6.1135	6.0024	7.5448	5.6606	6.7903	5.6626	6.515	6.1297	6.457
