Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__PRSS12	4.3777	4.1768	4.706	4.5602	6.369	6.9948	5.4788	5.4348	4.3786	4.8573	9.1774	6.4117	6.7058	4.9165	5.8521	9.6837	6.4128	6.596	7.4233	4.8768	4.8229	4.9016	7.318	4.9399	4.5567	4.3978	5.0102	6.0849	8.1192	5.1428	5.0967	5.2435	4.672	4.4986	5.5805	5.0513
EA_G__ELF3	8.5748	8.8399	8.1308	8.1399	4.9138	7.729	8.3153	4.8811	8.1281	7.8905	8.1319	6.3321	7.717	8.7614	8.9846	7.547	5.2282	9.2539	4.9362	7.7912	7.3381	6.4985	4.9177	8.1983	7.7294	8.0609	8.8807	5.3636	7.1317	7.6445	7.6229	8.2198	8.1507	6.9046	8.6266	9.6058
EA_G__CRABP2	7.4296	7.8329	8.2111	10.912	4.4698	8.6534	10.6063	6.122	10.0004	9.994	6.1523	5.359	9.2933	9.5237	10.1017	7.2807	7.095	10.0598	5.7308	10.0904	10.2988	9.8344	5.4326	9.6052	6.9694	9.4935	8.4814	6.0872	6.2944	9.0317	7.6666	8.6722	10.4906	11.0984	7.8585	8.5211
EA_G__KCNS3	7.8232	8.0016	6.6148	6.2972	5.3846	7.0195	6.4153	5.0912	8.208	5.9488	4.9442	5.1645	7.7079	8.2604	7.0898	5.6055	5.807	7.5989	6.53	5.285	6.4881	6.8143	4.9836	7.24	7.387	7.7146	6.5381	5.0119	6.6703	7.602	7.3123	7.4014	5.9702	8.4243	7.2799	7.6228
EA_G__GRB7	8.5454	8.0083	11.1297	8.1717	6.2075	7.4261	7.5684	6.3606	11.6802	7.283	9.436	7.1132	6.9786	11.7721	8.4244	7.8473	5.9178	8.1182	6.2106	7.3692	7.4325	7.641	5.5442	8.1737	9.8138	7.8417	10.5391	7.3985	7.0859	7.9055	12.3691	8.1468	7.4714	10.6486	7.7878	8.0155
EA_G__CMTM7	7.8658	6.2141	7.1049	5.3678	7.6197	8.8032	7.0911	8.1796	5.1804	5.5291	8.2411	8.1877	7.9604	5.5399	5.849	8.9538	7.5776	8.2734	7.6982	6.3971	5.7649	5.2491	7.7657	6.7889	5.4139	6.5478	6.2854	8.5469	7.8743	7.0904	5.7507	6.2845	7.1193	7.5985	5.557	5.7201
EA_G__WDR32	6.688	6.9373	6.8804	10.0989	7.6017	7.7223	7.6852	6.7785	8.2107	8.427	7.466	6.4857	7.6113	7.4965	9.7947	6.7844	8.4793	8.3966	6.8673	7.0156	7.1314	10.1064	7.2606	7.121	7.3108	8.0252	7.0917	7.6321	5.6922	8.3833	7.1692	7.345	7.1693	7.718	7.6429	8.1755
EA_G__CD109	6.1416	6.5985	3.7921	5.5339	8.3527	9.8252	3.4962	9.2487	3.0817	6.5144	7.1157	8.0877	9.3691	3.591	3.7098	9.8537	8.8739	7.4854	8.6953	4.4126	5.5731	3.3263	8.0959	5.2943	6.1181	7.5862	4.357	10.4754	8.624	5.8117	4.6067	3.6874	4.1718	7.6538	4.3542	4.5237
EA_G__EIF5A2	5.0671	7.8413	5.3636	5.4876	7.0288	6.5229	4.6112	6.4989	4.0049	6.0151	6.4365	8.0195	8.5671	6.6962	4.1127	7.1292	7.9963	5.1445	8.1412	6.4023	6.2623	4.3311	7.3762	6.1378	3.7667	4.1613	5.9985	6.7265	6.2262	5.477	4.3927	4.1756	6.6644	4.8266	4.4717	5.0973
EA_G__CAPN13	7.1311	6.8198	6.7239	6.7757	4.5748	4.4929	4.5142	4.4092	7.9041	4.5065	4.7075	4.6089	5.0453	6.041	6.0129	5.6988	4.2756	5.5895	4.4542	5.7773	6.2634	8.6299	4.4638	6.1777	7.3388	6.8161	7.547	4.4298	4.957	8.1653	7.2106	8.5483	6.0565	6.693	5.6346	5.9757
EA_G__SLC43A3	10.2481	4.8909	5.0821	5.3367	8.7288	9.5914	8.4759	7.4993	4.7459	5.537	8.3557	7.4571	9.5336	8.8491	5.1464	9.1949	8.6046	9.0028	4.8926	5.3934	5.3535	4.8313	7.4724	6.1355	4.4632	4.8479	6.1848	8.0889	10.5361	5.3751	8.7748	5.2881	7.6478	6.5836	6.1981	5.3872
EA_G__ST3GAL1	7.479	8.1484	8.7443	9.373	6.1993	8.1524	6.6271	7.5554	8.8202	6.9143	7.3505	7.6057	8.1354	7.9493	8.5367	6.94	4.6327	6.9953	8.126	7.3542	7.3677	7.9515	5.9274	9.3343	8.2777	8.1796	7.6457	6.6256	6.4164	9.0394	7.2609	9.533	7.1798	8.272	7.5982	7.6796
EA_G__ARSJ	6.7046	3.7627	7.2598	4.4582	8.8682	6.9042	4.5932	7.8876	5.794	4.076	6.2482	7.0085	6.1297	6.2761	5.422	6.2652	6.6957	5.9446	7.9663	4.401	4.4831	3.7109	8.3193	6.0887	5.8497	5.4783	4.3994	6.8218	6.515	4.071	6.0963	5.9841	6.0991	4.5306	4.5496	3.8537
EA_G__C1orf34	8.0896	6.5143	8.6653	9.5229	4.3849	4.9498	6.4694	4.4875	9.621	10.7155	4.7666	5.4992	6.0973	5.9825	8.1981	5.8414	4.7716	8.2159	4.4583	7.4708	8.655	7.6569	4.7734	7.5177	9.2873	8.812	9.2993	4.8324	4.8993	8.0572	7.8121	7.8552	8.6739	9.9698	7.8377	8.6777
EA_G__COL1A1	6.5423	6.2508	7.0552	6.4358	11.619	6.4123	6.3335	8.8737	6.885	6.5766	6.1846	6.4506	5.9671	6.0936	6.3913	7.8403	11.224	6.3257	11.5916	6.6991	6.6985	6.844	11.2898	6.7111	7.2627	6.1977	6.3813	11.2379	6.9361	6.9765	6.3819	6.7742	7.2366	6.2342	7.0746	6.3556
