Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__FAM46A	5.9224	7.9312	6.9012	6.4989	6.5939	10.377	6.3097	7.2078	7.2304	7.6133	5.9835	7.5642	6.5371	6.9581	7.4695	6.5665	6.0447	7.5333	7.0531	7.658	7.6747	7.1067	7.8607	9.2415	8.8317	7.2835	6.583	7.8299	6.9538	7.1539	6.7306	7.5647	6.494	6.2832	6.2753	7.3458	5.9477	6.1602	7.6666	7.0118	6.554
U133A__EFHD1	9.5837	9.9173	6.1706	9.7862	10.4842	6.3996	10.6224	6.1782	8.6955	9.7906	10.8012	8.6042	5.8168	7.3487	6.7717	10.3858	10.3268	8.7539	6.6386	5.7835	6.4648	6.0895	7.4306	9.3281	6.4413	9.8417	6.5019	8.6508	9.4486	9.002	9.7556	6.3446	5.8119	6.6156	9.3171	10.3552	9.4809	9.9842	9.4813	9.006	8.7483
U133A__MAP4K4	6.0673	5.1091	8.0032	6.3952	5.9184	7.3226	5.7528	7.3885	6.1253	7.425	6.5388	7.2464	7.61	6.8356	7.0288	5.4933	5.4528	6.7248	7.8366	6.6207	7.9799	6.3307	6.1541	6.5299	8.1798	5.703	6.5193	5.9015	5.0642	4.9385	5.1327	8.1638	8.3236	7.7847	5.9041	6.5972	6.1144	6.0063	5.6747	5.3321	6.2691
U133A__SORL1	5.7086	8.3488	6.9424	6.2947	7.7962	3.6815	5.7057	4.7523	7.3847	5.8328	7.1687	4.6981	6.6514	5.1493	4.9174	6.5956	7.6933	5.6486	4.043	5.3373	4.3902	5.4828	4.6985	6.2511	4.3243	7.3687	3.9044	7.8562	7.1221	6.9027	7.7997	4.4591	4.9864	4.7273	7.0604	8.2421	7.5793	7.4088	8.5574	6.4981	5.8997
U133A__SNAP29	6.0753	6.8847	7.0222	6.6089	7.6741	7.0706	7.4019	7.2179	6.5554	7.2833	6.8021	7.1487	7.2073	7.9185	8.4478	6.9875	6.7032	7.5518	7.013	7.1292	7.5478	6.7251	7.0938	7.2318	7.2566	7.0695	6.7081	7.2875	7.2888	7.6468	6.3874	7.2314	7.0364	7.2486	6.6066	7.674	6.8386	7.0725	7.5151	7.0041	6.7427
U133A__ATP2A3	5.5132	9.319	5.7472	8.7249	7.3499	5.168	6.038	5.663	6.2331	5.3263	5.7661	5.3368	5.4256	5.7565	5.5403	9.0107	7.0559	5.6157	5.4054	5.0194	5.5112	7.0769	8.6257	5.5436	6.0057	8.129	5.3314	8.17	7.0926	5.6003	7.7102	5.4588	5.5272	5.605	9.8022	6.0152	5.9734	6.0096	8.4362	6.5268	7.4269
U133A__MGLL	8.2469	9.04	9.2583	8.5543	7.9714	5.7801	8.5358	6.1856	7.5087	6.1704	7.0151	7.2816	6.3151	7.9814	8.197	6.7506	8.2177	7.6209	6.0812	6.3137	9.439	6.4863	6.6796	8.7077	6.984	8.0526	7.4364	7.414	8.6103	5.7225	8.2169	6.1597	8.0148	7.7377	7.6289	7.3774	8.2178	6.3348	8.0407	6.7549	7.0911
U133A__MAP7	7.0294	6.9618	5.9371	6.2892	5.0622	3.3979	5.2062	3.4467	5.9871	5.1248	4.7305	4.9076	6.0043	6.1708	6.1226	3.6918	7.9469	5.9668	4.6054	5.9177	2.8929	7.3712	5.9184	6.9424	3.6628	6.5938	3.1392	7.5058	7.6036	6.3028	6.4188	3.2386	5.2887	3.0559	7.2239	7.2001	7.7799	5.1143	6.5055	6.9507	5.9986
U133A__SIK1	5.5407	6.6616	6.0677	4.9096	5.4238	6.6913	5.4221	5.3659	7.7282	8.163	5.4636	5.4409	6.6593	5.7017	6.0411	5.9479	5.3807	7.5037	6.582	5.9786	5.4702	6.3386	6.4975	5.7459	5.7844	5.5274	5.4881	5.517	5.6329	4.9697	5.7079	6.6356	7.7926	6.1986	5.6693	5.94	6.413	5.5653	6.0509	5.3543	5.5297
U133A__CDK14	8.6483	5.1017	5.5914	6.7216	6.7512	4.9859	5.9636	6.2085	6.0433	7.151	5.5382	5.5826	6.0146	6.2902	5.8351	6.0482	5.5811	6.4406	6.7865	5.4488	6.9009	5.2891	5.3301	6.5698	5.5064	5.8304	6.4005	5.6448	6.3828	5.0626	5.0038	5.8604	7.3179	6.1089	6.4645	7.2559	8.4385	5.6363	6.2927	5.5939	5.8693
U133A__CDKN2A	5.4592	5.6337	4.6481	4.6365	5.0078	9.7826	5.6669	8.3294	5.4065	7.8926	5.4771	8.3981	4.2781	9.1976	5.8929	6.2697	4.8747	8.6854	4.4747	9.9184	4.8437	4.4975	4.5033	6.0073	9.0399	5.1148	4.0997	5.1969	6.6681	5.4652	5.6444	4.5362	4.7548	4.9797	5.2966	6.2669	5.514	5.2599	4.5154	5.1321	5.1595
U133A__ALDH2	9.3805	9.7677	5.4141	10.227	9.9024	6.8361	9.4075	5.4681	5.5016	8.2046	6.0363	8.5911	8.8455	5.5621	4.9952	9.9548	5.4287	5.4604	8.6838	7.2193	5.5024	6.2979	6.6812	6.8677	7.5525	6.3535	7.9242	10.2982	8.6058	5.4285	10.0471	7.2277	7.8676	5.8958	5.3037	10.5581	5.8761	7.3889	6.6914	9.1299	7.0443
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	11.8105	4.6994	10.4767	8.954	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.3477	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	10.506	7.5837	11.0665	8.3426	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.5897	10.994	9.9593	11.9459	11.5683	9.9995	11.4816
U133A__GPX1	8.9739	4.0916	9.6587	9.13	4.1978	9.7074	8.7943	8.0487	8.6375	3.8954	7.8047	3.5472	8.4418	9.4091	9.7496	9.301	3.7548	10.5188	9.1911	8.6679	9.1332	5.2514	5.269	9.851	7.3749	3.9513	9.7794	9.7769	8.2842	9.6262	4.1969	8.82	10.2252	9.2677	3.2767	9.1704	3.978	3.5145	4.9552	3.7776	4.1642
U133A__SOX9	8.2497	7.1016	7.4328	6.4415	3.6997	5.1599	5.4662	6.9473	9.6309	7.8348	3.694	7.2584	4.6655	7.6915	8.1163	6.2873	7.6546	8.6772	8.0704	9.0411	7.0576	6.8808	5.2438	3.9939	7.05	7.7779	6.2797	7.1848	7.9098	4.4058	5.1836	7.2816	8.8149	3.9671	8.6517	7.8486	7.6821	5.5651	8.8612	7.6305	6.2065
U133A__INPP1	4.5957	4.4569	5.3404	4.9835	4.834	5.0794	5.1826	7.3585	5.963	4.6759	5.639	5.6827	7.4891	8.6164	5.1384	5.125	5.405	5.9736	7.2265	6.8993	6.1595	5.0695	5.2167	5.3192	7.3656	4.5652	7.1876	5.2332	5.0871	5.2625	4.6214	5.2558	5.5906	7.2272	4.1464	6.4462	4.8667	4.4657	5.4371	4.7565	4.867
U133A__FZD6	6.7006	3.9422	7.33	4.4868	6.9337	6.8117	4.9414	6.26	7.6804	7.2916	6.6098	6.2715	7.5106	7.7584	6.7087	4.3433	8.6151	6.652	6.87	7.1903	6.2951	6.915	6.7272	4.0099	5.152	6.1291	7.589	7.5488	5.7	6.7718	5.6747	5.1705	6.2643	6.0369	7.8236	8.4852	7.8036	3.7516	7.0703	6.2593	7.2885
U133A__TGFB1	5.9513	4.8708	6.8974	5.4725	7.8468	7.6091	5.426	8.1271	7.5996	5.0132	6.1979	6.213	7.3059	5.6044	5.7321	5.3338	5.1609	5.4784	8.1482	6.8518	9.5736	6.1038	7.11	6.7	9.5702	4.9982	7.0412	7.021	5.5408	5.1952	5.4666	7.4693	8.4618	8.5279	4.7022	5.8055	5.0334	5.4006	5.4102	5.4893	7.0574
U133A__MRPS28	6.3148	9.9042	6.7289	7.5316	7.7621	7.9969	7.3016	6.7121	6.5708	6.7955	7.8601	7.7391	7.601	7.6137	8.4394	7.1288	7.0749	7.9765	7.4404	7.147	8.4855	7.6176	7.205	7.5394	8.3022	7.1794	7.9059	7.6379	6.1268	7.3831	9.5315	7.0449	7.5931	7.2521	7.0073	8.2577	7.2485	7.3465	7.3301	7.2016	7.5669
U133A__NEBL	7.1562	7.471	6.4486	7.9659	8.3793	4.4277	8.0852	4.1247	8.1581	5.8258	8.7265	4.729	4.5974	6.1047	4.8275	6.2376	8.4438	4.7794	5.3089	8.8448	4.5196	7.2791	7.7379	7.7128	4.3245	6.2351	4.2596	7.1621	7.8028	6.5042	7.6328	4.692	4.966	5.6682	9.7977	8.5099	6.3427	7.0842	8.2432	8.448	7.1828
U133A__TTC39A	6.7363	7.9537	4.4192	6.888	8.6528	3.8361	6.2428	4.2693	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	5.2844	6.965	5.4051	4.311	6.2015	3.7661	4.5869	7.2805	6.8676	3.4222	5.9355	4.2968	7.8908	7.3398	7.8998	7.1437	4.1734	3.6019	4.3341	7.0522	7.0384	6.696	7.1654	8.5979	6.5769	7.4901
