Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__SLC16A1	4.1518	4.5175	8.7535	4.621	5.0518	8.3945	6.9479	8.2121	6.7131	8.0753	4.1803	6.0711	8.1756	8.6169	9.6833	7.5445	4.3803	8.5633	9.301	7.8102	8.2915	6.6982	6.3272	6.7496	8.5674	5.5971	4.2042	4.7554	9.2031	5.243	5.3943	8.0807	8.4519	8.8065	5.3618	6.7559	5.7245	3.8845	5.3972	7.3424
EA_G__EDG2	4.8556	3.3359	3.6404	4.2557	4.4188	6.8165	6.3432	4.4746	6.534	7.7048	3.9111	3.8116	6.6588	9.6996	8.5967	7.2909	4.6426	5.8024	6.667	4.1839	9.6511	4.3939	4.5068	9.2968	10.0297	7.5476	9.9468	6.2733	8.3355	5.6309	4.0072	7.897	5.2177	8.6128	3.9829	9.2136	8.0528	4.9111	4.7246	4.3526
EA_G__SSFA2	7.9	8.0602	9.7001	7.5702	8.2629	7.7693	7.2627	9.1545	6.9718	8.4744	9.7091	7.8514	7.9485	9.9051	9.3286	9.1135	7.8362	8.564	8.0507	8.5076	8.5876	7.3669	8.2823	7.4516	8.5337	7.8215	8.7472	8.2148	8.6012	7.4493	7.7685	8.9618	8.325	8.4449	8.6295	7.735	7.4827	7.6748	7.8001	10.9545
EA_G__ICA1	6.8007	4.2391	5.5241	7.7109	6.3638	4.2132	7.1927	4.9716	5.9258	3.7922	7.0962	6.1191	4.2211	4.1324	4.8164	5.9834	6.8093	5.7834	3.9633	4.0011	3.8101	6.8677	7.0587	6.9084	4.0082	5.8056	5.9475	6.8185	5.8066	6.6253	6.7251	5.4292	5.8257	4.0589	7.7989	6.9839	7.286	7.3446	7.8273	7.4766
EA_G__TC2N	8.5979	9.0717	6.9775	9.3938	7.3508	3.3223	8.2578	6.9443	9.7443	3.7734	8.8806	7.6394	5.7542	7.1173	6.7638	7.7872	8.4157	6.5571	2.5474	7.8365	3.1031	7.5099	7.5506	7.6286	3.4834	8.7449	4.5382	8.6498	8.2854	8.3271	8.4929	3.1594	6.1981	2.9353	8.8122	7.8362	8.1402	8.2774	9.4791	8.1944
EA_G__AKR1C3	8.0916	5.8327	8.5037	3.7726	4.7068	5.4481	3.7124	7.3325	6.3418	10.6601	6.7336	3.9747	3.603	9.7453	7.0165	8.7086	4.4783	8.7665	8.2096	9.9154	5.3562	4.0953	5.5774	4.9131	6.6928	6.7088	5.1815	4.8762	10.6157	4.4237	4.1457	4.9186	6.397	8.0434	10.3838	6.251	4.6757	3.9799	4.0118	4.8184
EA_G__A4GALT	5.7224	5.8089	6.1913	5.7502	7.6522	6.7222	5.4072	8.7285	5.9331	7.7788	6.5144	9.8981	6.3584	6.7694	6.1284	5.7258	6.3435	5.7712	5.9156	6.088	6.0808	6.8302	7.4518	5.9053	6.4745	6.4087	6.5983	7.1119	6.1523	6.0566	5.8012	6.3533	6.6638	7.4512	6.5881	6.8593	6.5861	7.9469	5.4932	6.1123
EA_G__MUC5B	9.6932	6.4361	5.9022	6.9314	7.7404	5.8684	6.7346	7.1014	5.912	5.8945	5.7874	6.5453	7.6719	6.1315	5.7623	5.913	6.0889	5.8992	5.7273	6.1171	5.8392	6.768	6.814	6.4839	5.7219	7.028	6.0495	7.1666	5.8982	6.7563	6.287	6.0671	6.2929	6.0471	6.0624	6.3067	6.072	9.8801	6.2141	7.8827
EA_G__S100A4	7.436	7.1974	5.1217	5.0732	4.9989	6.3472	7.2798	7.4983	6.2674	6.533	4.6036	4.3392	5.2873	5.2775	7.1519	4.9025	7.5715	6.4541	6.3144	6.0386	7.9102	5.121	5.1448	4.2527	7.3002	9.3419	5.6066	7.2439	7.4551	4.2037	9.3271	9.2706	6.0814	8.8714	5.8644	6.5472	6.6539	4.7041	4.8505	4.503
EA_G__MSL-1	8.3143	9.5621	7.452	8.0684	8.5439	7.6181	8.671	7.5438	8.1079	7.5239	7.0892	7.678	7.9667	7.5503	7.291	7.2022	7.4556	7.6121	8.1564	7.084	7.2103	7.5327	7.4885	8.1408	7.7784	8.0182	7.5154	7.0039	7.2696	7.5585	9.1093	7.3865	6.9794	7.651	7.271	6.9326	7.8802	10.7038	7.957	7.6873
EA_G__SLC44A4	11.6736	6.0217	5.1742	6.4575	6.28	5.1744	5.8406	5.1784	5.4359	5.1851	5.2161	5.3873	5.2039	5.4683	5.0755	5.4196	9.9478	5.5018	5.1499	6.7549	5.1958	5.7664	5.7798	8.0796	5.3333	8.6219	5.4313	5.9026	11.0876	7.5139	7.3705	5.4841	5.7716	5.4328	5.6014	6.6319	5.8825	6.0667	10.1028	9.7302
EA_G__WWTR1	8.5062	8.2368	8.9816	6.8254	6.4282	9.2967	6.3017	9.5252	6.9849	10.1663	7.4681	8.7618	8.6822	9.1395	10.0926	8.6425	9.9261	9.4158	10.9385	9.7446	9.7977	7.4116	7.6245	5.7242	8.8946	7.0799	9.0873	7.4909	7.9722	7.2931	7.9894	10.0168	8.4116	7.8581	7.8051	9.2749	8.2689	8.4534	7.9319	6.0988
EA_G__ZNF229	3.015	4.6623	7.1887	2.679	6.6821	7.6054	3.1535	3.2399	5.4165	6.0542	7.8117	7.9884	3.159	5.9597	7.2242	3.2274	6.9587	7.4403	7.8787	6.0636	7.3658	4.2696	5.8555	3.3461	3.4757	4.6122	3.2397	5.8217	6.1627	4.6086	4.8024	6.858	3.1826	4.5299	6.7068	5.4143	4.9974	5.5777	4.7369	5.4996
EA_G__CTSB	9.501	7.4211	6.8283	7.6199	8.1219	9.3317	7.7767	9.3496	7.1958	8.9493	8.4326	8.7649	8.2129	8.6363	8.7268	8.1096	8.3457	9.1987	9.0396	8.0125	9.6332	7.609	7.9978	8.1438	8.5369	8.5159	7.744	7.6151	8.7761	7.5629	7.8522	11.2144	7.9953	8.4264	6.9814	7.2367	8.0939	8.6439	7.7091	8.3084
EA_G__TRIP13	7.8157	8.1416	9.0187	8.2321	7.3633	8.6364	8.1903	8.6113	8.0736	8.981	8.1179	7.9184	8.4456	8.9683	9.4647	11.0174	8.1894	8.5695	8.627	8.8367	8.9072	7.4412	7.6605	7.9539	8.9576	7.3297	8.199	7.7935	7.3926	7.5408	7.639	8.0686	7.5311	9.5113	6.3098	7.6794	8.8534	7.6143	7.189	7.7185
EA_G__CDK6	7.6087	5.6752	6.3878	5.5281	6.6409	6.9192	3.5988	8.8538	6.6364	7.2937	6.125	4.3767	6.4356	7.7804	7.8837	6.7871	6.8198	7.98	7.6771	7.5952	8.5033	5.7383	5.2545	4.2023	8.4198	6.2835	7.8416	5.6047	6.5876	4.1059	6.5554	8.4041	6.9278	7.5734	8.3805	7.8478	4.3604	4.162	3.7064	4.1368
EA_G__ARNTL2	6.1217	3.8101	6.5916	4.8596	6.2176	6.4819	3.8273	7.7471	6.2038	6.5566	4.5198	3.7394	5.7917	9.3976	8.4682	6.7304	5.9108	7.6544	6.7791	6.4344	6.9847	5.4205	5.5538	4.4456	4.9612	4.6794	7.737	5.8374	4.5655	4.671	4.5466	8.1851	7.4415	7.0224	4.5638	5.8324	5.2486	4.1156	5.0043	5.9745
EA_G__EFNB2	6.2732	4.2123	5.8805	7.449	6.8216	7.8088	7.6087	9.4634	5.9782	6.3978	7.6795	6.1879	5.0019	8.5778	7.8717	7.0661	8.5742	6.675	7.7842	6.9406	7.8725	6.3033	6.2913	6.4386	8.3838	6.3951	6.6468	7.4016	6.648	7.1692	5.7584	4.591	7.7342	7.1411	5.9107	4.8588	4.9203	4.3397	5.2883	5.3353
EA_G__TSEN54	8.1719	8.2347	7.8821	7.9326	8.2435	7.3471	8.602	8.0255	7.8688	7.7773	7.9281	8.6685	8.0825	8.1462	7.6475	7.6268	7.7482	8.202	7.3186	7.7329	7.1781	9.233	9.0618	7.7048	7.5306	7.8915	7.7392	8.7507	7.4928	9.2291	8.6467	7.5815	7.3676	7.6907	7.5495	7.7498	8.2297	8.3159	8.2921	8.5669
EA_G__CRIM1	9.0196	8.3091	9.5842	6.5929	7.7545	9.7719	4.9514	9.4674	7.4445	8.0665	5.769	8.1182	7.7723	9.2139	9.9786	9.1736	9.1212	9.553	8.9683	9.1882	10.6462	6.9248	7.2872	7.1522	10.3139	7.9992	10.2066	6.0395	8.0396	5.5615	8.5579	8.5317	9.052	10.2588	7.6815	8.6219	8.7841	8.2763	5.0659	6.9187
EA_G__COL5A1	5.9662	5.8088	7.0409	5.9598	6.6038	8.5103	7.1445	5.9127	5.7567	8.008	5.5389	5.7337	5.8423	6.4536	6.5693	7.2131	6.946	6.8077	7.729	6.061	7.9768	6.4916	6.3881	5.8399	9.3623	6.6367	6.5929	5.7747	6.1722	6.8474	6.4904	6.3898	6.7325	7.8069	6.5122	6.4945	6.1985	5.9712	6.0887	6.061
