Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	UACC893	ZR751	ZR75B
EA_G__RNF43	5.5481	9.0024	6.2745	4.517	7.0424	5.2826	6.9704	4.5084	4.5124	6.8189	7.5374	4.6685	6.1754	5.8021	5.4243	7.392	6.6274	4.3808	5.6474	5.393	7.2004	8.5708	7.292	4.3806	6.8899	4.7247	9.1075	8.2078	4.8242	6.6093	6.1516	5.1643	6.4716	4.3623	6.1999	7.3213	6.4192	5.925	4.9051	7.8624	7.9528	5.3555
EA_G__USP32	6.0252	8.7771	7.7142	6.9611	7.6102	7.3388	7.0164	7.1632	6.6805	8.0627	7.6703	6.8973	6.7422	7.1184	7.184	6.7748	7.5601	7.8839	6.9035	7.2817	9.6178	10.0265	7.6124	7.3508	6.6289	7.543	8.3495	6.5092	7.2046	6.749	6.9835	5.4122	7.3244	8.3866	7.2609	6.4349	7.0706	6.7105	7.4956	7.779	7.1167	7.3782
EA_G__LOC342897	9.3215	6.5232	6.405	6.341	6.1959	6.632	5.9222	7.6628	6.4521	6.3118	6.4283	6.2297	6.6868	6.4686	6.7961	8.5321	6.0562	6.1129	9.8111	6.3895	6.4818	6.8347	6.4992	6.3021	7.7221	6.2784	6.5222	7.442	6.5193	7.3158	8.867	8.7168	7.9733	6.8808	6.6187	6.6136	6.3251	7.336	7.8893	6.4401	7.4687	6.4656
EA_G__ALDH1L2	4.6506	3.8029	4.0778	8.2493	3.8382	5.0807	6.0497	8.1465	8.2078	4.1275	3.7704	7.1758	6.5789	4.2326	5.146	4.624	6.2321	7.7076	8.421	7.2761	3.9378	4.2675	4.6066	7.2696	4.0337	3.8061	3.6811	3.6515	6.6819	4.2305	9.0307	6.1047	9.9614	8.7186	4.4385	5.1538	4.0616	4.5222	4.577	3.7395	3.9143	3.8966
EA_G__SLC6A15	7.1291	3.273	3.5835	3.7372	3.1815	3.6574	6.8971	5.2064	5.4965	3.1428	3.5551	7.6077	6.8517	3.4851	3.6928	3.4727	3.4102	7.1976	3.5516	3.4367	3.5232	3.5706	3.5068	5.6345	3.6135	3.5408	3.2714	3.3421	3.831	3.7884	3.3417	7.2049	8.6378	7.9561	3.8068	3.4867	3.4566	3.9042	3.4567	3.7111	3.4996	6.9265
EA_G__RAB38	5.0076	5.2149	5.7753	4.5026	4.7627	5.1081	4.9551	6.2294	5.0822	5.1297	7.9437	4.4994	9.1861	5.3936	6.6595	5.3835	4.7469	6.2689	6.6002	5.1511	4.7386	5.6053	4.7175	6.3813	5.8205	5.136	7.9365	7.8406	5.4896	5.0837	5.0345	5.1862	11.3379	4.9365	4.9034	4.7152	7.4903	4.9047	5.4012	8.5077	5.1026	4.7659
EA_G__CYP1B1	7.4445	5.4862	6.4642	8.2514	5.7087	5.2027	8.9724	10.3842	9.0891	6.3086	6.2613	5.1034	5.8905	7.9491	7.2763	7.1478	6.2324	10.699	7.801	5.9282	7.7071	6.7353	10.1153	9.3325	8.9592	6.4875	8.4356	7.4339	8.4687	6.9523	9.7765	8.0295	5.8194	8.0619	3.7017	7.7214	7.7989	7.7367	9.0846	8.7076	8.4196	9.0006
EA_G__NAV1	8.9354	5.4838	5.7925	7.8052	5.1032	7.2041	5.0575	7.9118	7.629	4.8157	4.8473	5.8443	6.4689	6.9431	5.6569	7.9222	7.0711	8.0474	8.2228	8.6572	5.6577	5.8182	8.033	8.6836	6.9589	6.4817	6.5266	6.955	6.9507	6.2838	7.576	8.7193	6.4595	8.8574	8.4718	6.3187	5.7277	6.2935	5.7713	5.9253	5.7746	5.8825
EA_G__PSPH	7.3902	8.985	6.9631	9.0737	8.3679	7.4947	8.7555	8.7772	8.3853	8.0849	7.9505	7.6698	7.865	8.7109	8.5525	8.078	8.4717	8.0389	8.4856	8.2638	8.3905	7.56	7.4143	8.7498	7.7325	8.7525	8.3302	7.5235	8.6181	8.1851	10.792	7.2295	9.1849	9.1561	7.7659	8.8248	9.0457	7.2878	7.1854	8.7858	7.4852	7.5738
EA_G__SERPINB1	7.7541	6.4707	7.2964	4.4188	6.6006	6.7183	7.2742	7.6098	4.0255	7.5046	6.4624	5.267	6.5104	8.3724	3.9921	6.7594	5.7175	7.9924	9.5053	7.508	7.3596	7.91	7.3792	7.3238	6.6565	7.751	7.4615	7.4533	6.5621	6.7136	8.9755	6.6575	8.9089	3.7412	8.1862	6.7992	8.1016	7.1054	7.4668	8.7961	7.115	3.7385
EA_G__ASAM	5.6733	4.7681	5.4879	6.7381	4.9316	6.974	4.7475	5.066	9.2454	4.715	5.2325	6.9802	7.9552	5.1787	5.0131	5.2943	5.2275	8.3252	5.3162	10.0925	5.1602	5.1685	4.815	7.6896	7.4335	6.0968	4.823	5.0188	9.8344	5.7042	6.3334	5.5786	10.2996	8.0168	10.0129	5.001	5.1988	5.3421	6.6321	4.9431	5.0912	5.1976
EA_G__EMP3	5.0197	5.1681	6.3225	10.1699	5.5899	9.5225	8.0838	4.9953	9.7662	4.5906	5.1911	4.8669	6.8768	5.197	5.3824	6.0581	5.5938	9.5156	5.8185	11.0961	5.6683	5.9556	5.3945	9.489	5.4398	9.6866	4.9836	5.1674	9.0077	6.1817	5.0252	5.9198	6.8478	9.6902	9.8346	6.533	5.1925	5.8618	5.7597	5.6629	5.2845	5.4276
EA_G__GPR124	6.2907	6.1908	6.7786	6.6865	5.9578	7.3058	6.2679	6.3984	7.2256	5.9889	5.9476	8.1697	6.24	6.2101	6.0348	6.7991	6.4929	6.6489	7.1157	7.4119	6.6003	6.3922	6.541	10.3343	6.8439	6.3286	6.0251	6.1809	6.6576	6.7951	6.924	6.4529	6.0167	6.7114	6.7205	6.3336	5.9646	6.7618	6.2505	6.2481	6.1435	6.1915
EA_G__MGAT4A	7.2337	7.9405	6.6441	3.5648	7.0458	3.4187	6.4377	7.0051	5.7811	8.3426	8.7133	3.9622	4.1821	7.0333	7.4289	7.2257	7.3125	6.0781	7.3453	3.4221	6.2895	7.3787	7.4632	4.2994	7.5161	4.4567	7.106	7.0817	5.0159	5.7758	7.1053	6.8743	4.5067	4.1153	3.4517	7.4609	9.0096	6.3828	6.6198	8.6996	5.7478	4.6306
EA_G__C16orf45	6.8769	6.0307	5.9063	5.9137	5.1053	6.9044	5.7484	5.3196	6.2622	6.2757	5.362	5.7197	6.1233	5.5949	5.4932	6.164	5.3603	7.1987	5.7951	8.7459	5.9573	6.1757	5.5124	7.548	6.6192	6.8892	5.5918	6.0186	6.9752	6.41	5.1508	6.7274	6.854	7.9713	6.6187	5.4728	5.3011	5.9732	7.8131	6.622	7.9662	6.7192
EA_G__TRAM2	7.4497	7.7429	7.2405	8.3778	8.3583	8.3202	8.7676	5.9855	7.3391	8.2415	7.5937	7.8997	7.765	7.6465	7.5642	7.4326	8.3299	7.2095	6.8508	10.1703	7.1988	7.4153	7.3019	8.4506	7.2469	9.3195	7.9978	8.0145	7.4508	7.3065	7.4074	7.4146	6.3612	8.1999	7.2903	7.6341	7.8315	6.9516	7.2498	7.601	6.8629	6.4375
EA_G__STS	6.7578	9.0473	6.5325	5.225	5.693	5.8278	5.4704	5.3683	5.3946	6.1455	9.8669	5.3857	5.7559	7.5128	6.6342	8.0108	6.1489	3.963	7.8473	6.9436	5.5505	6.341	5.6965	6.5913	8.3982	6.5483	10.4565	9.262	5.3317	8.2868	7.1627	6.7478	6.0158	5.2848	7.1699	7.0427	8.9439	4.632	7.854	8.5661	7.2758	6.1104
EA_G__CYBA	7.7799	8.3706	9.8861	6.4721	9.4842	8.8435	6.0497	9.8984	9.7419	9.5066	7.7059	9.6825	9.1328	5.9867	6.5907	9.4314	5.8755	9.5932	6.2478	5.9861	10.2372	9.9769	8.6067	8.5606	8.9937	9.0457	5.9595	6.8741	9.4322	9.5533	9.6955	8.482	6.0622	6.6512	8.1075	6.3268	6.1289	7.0429	8.2417	7.8154	9.8042	9.5474
EA_G__CCND1	9.3268	9.3457	9.8957	7.3944	10.0676	6.6398	11.4027	8.7569	8.04	9.2783	9.2807	5.4172	9.3223	10.8656	7.3837	9.2462	8.0863	8.1412	8.9279	9.0659	9.317	9.3855	11.9805	8.5732	9.7956	9.4326	9.5072	10.9368	7.7167	9.1561	7.8883	9.1446	8.0608	7.8095	8.9671	8.6034	10.0339	8.793	8.4978	9.4889	8.9741	9.6589
EA_G__FLJ20920	7.1581	9.6646	7.0663	6.8063	6.5851	7.2181	7.0211	7.0557	6.2582	6.7993	8.378	8.3126	5.946	7.1857	8.6435	7.4938	6.828	7.556	7.8085	5.8176	7.4273	8.3727	6.4941	7.1382	7.239	6.1648	8.3188	7.4817	5.0302	7.5119	8.3291	6.7165	6.9776	5.6882	4.8006	5.6394	7.9083	7.894	6.9796	8.4791	7.0515	6.945
EA_G__DST	5.6314	5.8496	6.8365	6.522	5.4187	7.2984	7.8516	4.2306	7.0187	7.1174	7.453	5.4133	6.8962	7.2884	7.3602	6.3799	7.9233	6.8408	6.4526	8.5037	5.407	5.7353	5.4619	7.1812	6.4687	7.7141	7.1402	8.3095	6.7303	5.1303	6.5537	5.9384	7.8887	9.1508	8.1101	5.6277	7.7752	6.6125	5.4791	6.1783	6.8436	5.1731
