Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__ACY1L2	4.4885	6.3544	5.2636	5.2117	7.1705	4.3953	6.9473	7.4794	6.8949	5.8679	4.2893	4.5942	7.0163	6.9582	7.6089	7.0387	4.4362	6.7671	7.8102	5.7572	6.2657	5.5172	6.373	6.3109	4.5518	5.1085	7.7561	6.9709	4.501	7.2062	4.6458	8.2808	6.8882	5.3066	6.6272	7.5867	5.6536	4.3923	4.8928	4.6226	4.7204	4.3433	4.5761	4.4612
EA_G__CYBA	8.6625	7.7799	8.3706	9.8861	6.4721	9.4842	8.8435	6.0497	9.8984	9.7419	9.5066	7.7059	9.6825	9.1328	10.0917	5.9867	6.5907	9.4314	5.8755	9.5932	6.2478	5.9861	10.2372	9.9769	8.6067	8.9937	9.0457	5.9595	6.8741	9.4322	9.5533	9.6955	8.482	6.6512	10.1354	8.1075	6.3268	6.1289	7.0429	6.4701	8.2417	7.8154	9.8042	9.5474
EA_G__ARNTL2	6.1217	3.8101	4.8596	6.2176	6.4819	3.8273	6.7977	7.7471	6.2038	6.5566	4.5198	3.7394	5.7917	9.3976	8.4682	6.7304	4.2247	5.9108	7.6544	6.7791	6.4344	6.9847	5.4205	5.5538	4.4456	4.6794	7.737	5.8374	4.5655	7.6837	4.671	6.0942	4.5466	8.1851	7.4415	7.0224	6.74	3.8659	5.8324	5.2486	4.1156	3.9983	5.0043	5.9745
EA_G__KRT16	6.4819	6.2502	6.2564	6.5397	5.9624	6.8931	6.6362	10.0834	7.5327	7.5744	5.6049	5.8852	6.2645	7.9418	10.9205	7.8769	6.2983	6.6671	9.2256	5.8457	11.3685	6.8225	6.6504	6.4479	6.0967	7.3288	6.0919	6.1947	6.6879	6.3046	6.686	9.3301	6.6472	6.5071	9.4578	6.1099	7.0204	5.9872	6.8104	6.2684	6.1316	7.059	5.897	6.0403
EA_G__ETS1	3.8667	4.805	3.8221	3.5321	9.1987	3.7611	7.9136	9.7835	5.4674	8.8179	3.5174	3.7092	9.0214	8.4312	8.6336	7.6481	4.1411	4.2609	8.9186	6.6496	6.1098	7.8626	4.2242	4.1251	3.6311	3.7782	8.8462	3.44	3.778	8.6385	4.6855	7.7448	4.7509	7.741	7.9709	8.314	4.3718	3.6491	4.288	4.0329	3.9583	3.7085	4.1234	3.7159
EA_G__PODXL	6.5338	7.0465	7.3009	7.4771	5.7421	7.7433	7.2504	7.7858	7.9623	6.375	5.9186	6.1199	7.3042	7.5714	8.7707	6.8597	6.2644	6.5362	7.7635	6.0348	8.0322	7.3219	7.3969	7.7025	8.049	7.3334	8.0699	7.5153	7.0734	9.0189	6.5859	6.9099	6.8237	7.3762	7.5898	6.6797	7.3501	8.9623	6.8752	6.2957	6.3991	5.78	6.2155	6.9749
EA_G__LYN	6.7091	5.0314	4.8348	5.1853	5.1028	5.0591	6.9144	6.6688	6.1794	6.2336	4.7252	4.705	8.3103	7.6061	8.3886	8.7529	4.7194	5.1541	7.3798	6.2885	9.3436	5.5146	5.3756	5.2372	4.5418	5.1404	7.6488	4.7925	6.2007	6.9986	5.3564	7.1565	5.3096	7.3032	7.3173	7.4683	5.287	4.6819	6.0271	6.1764	5.6508	5.1164	5.0276	5.7183
EA_G__KIAA1324L	7.0722	7.9291	6.1594	7.5937	3.7969	6.0241	3.8663	3.5405	6.1971	3.7839	6.1411	9.4615	3.8884	6.493	3.4786	5.0165	3.9549	3.8362	3.8949	7.1067	4.0078	4.4434	8.796	7.1592	7.6555	6.5206	7.1017	6.1845	7.6323	5.7491	4.5317	3.5683	7.5651	4.068	3.9375	7.2221	6.7877	6.9774	6.0238	7.1134	6.9685	5.4477	6.0639	6.3478
EA_G__DUSP4	9.9932	7.125	9.0568	7.6584	5.1766	4.955	5.6128	5.4292	5.0907	6.0878	10.2274	5.8229	5.2952	6.8068	5.9002	7.3766	7.5605	8.2583	6.3878	7.1002	5.4547	6.2007	6.8997	7.8034	8.0731	9.6518	7.5039	7.8407	7.3006	7.0633	7.5279	6.9196	6.9859	5.3203	6.7879	5.8581	9.2588	7.8626	8.1669	6.9486	8.3026	7.8666	7.7341	8.3719
EA_G__PIGS	7.5697	8.5192	7.5384	7.3005	7.0996	7.4286	6.7605	6.3865	6.7787	6.7768	8.2206	7.0898	6.9207	6.921	7.0373	7.7928	8.8838	6.9324	6.8199	7.1571	7.0957	6.2242	7.1866	7.6895	7.3205	7.3331	7.1863	7.4162	6.9111	6.5395	7.4132	6.4615	8.3361	6.8413	7.2873	7.503	8.072	6.2116	7.4937	8.455	9.3036	7.445	8.1412	7.9504
EA_G__C21orf63	7.3258	5.7103	5.2612	5.2604	4.9491	5.5532	5.4778	7.3771	7.8351	4.9149	7.3169	4.4919	7.3015	4.8158	6.3262	7.1669	6.5267	6.609	5.6132	5.4436	6.9256	6.3665	4.842	5.5903	4.732	5.3627	6.429	4.8902	4.2435	5.2942	4.4116	5.4456	5.6244	4.458	8.4875	6.1941	6.347	5.6502	4.4131	5.6467	4.3879	5.7319	6.0314	6.1272
EA_G__TH	6.264	8.0515	6.6092	6.609	6.1427	6.0421	6.448	6.294	6.2948	6.33	10.9318	6.2102	6.3139	6.5998	6.2511	6.5761	6.5354	6.8407	6.2144	6.1623	6.4761	6.1416	7.0274	6.8291	6.5394	6.4649	6.3252	7.2187	7.6232	6.2474	7.2658	6.0621	8.1688	6.4326	6.603	6.6092	6.5796	6.4016	6.9925	6.6708	6.4227	6.821	6.4724	6.5847
EA_G__P2RY6	5.8658	8.7646	6.6875	7.0986	5.3199	6.1138	6.0507	5.4422	6.5098	5.6812	8.2888	7.7752	5.6175	6.0433	5.9451	8.1152	7.4019	8.6796	8.0907	5.2767	7.7315	5.7837	7.7124	7.6371	7.2822	7.1436	5.8952	8.1293	8.0841	6.0033	8.0435	6.4152	9.1671	5.4074	6.0452	5.7602	8.617	8.7124	7.8561	8.0817	6.8568	8.6095	6.9486	6.7097
EA_G__GPX2	6.9093	8.9357	5.6689	5.0334	4.0395	3.727	4.581	6.7554	4.8049	4.2832	6.3298	5.7511	4.2277	9.9643	6.6701	9.5887	4.8756	7.7366	5.6015	3.9423	4.2268	4.3312	5.2706	5.462	6.3312	9.3185	4.4185	9.9389	7.6946	4.4255	4.6661	3.9761	7.2433	4.2492	4.9195	4.1064	9.5051	10.0657	9.4966	4.9059	4.7975	5.3958	6.788	5.2186
EA_G__RND1	7.3143	8.2366	5.5848	8.1345	5.2959	7.5678	5.2664	4.9253	6.6945	4.833	6.5432	5.3653	4.8394	5.688	5.355	5.6049	8.3402	6.4109	5.1296	5.0251	5.5654	4.655	7.389	6.8855	7.5082	9.0383	5.229	6.9107	7.667	4.8228	7.8736	5.2342	8.9453	5.08	5.2271	5.1002	6.2484	7.4987	5.9817	7.1618	8.9243	6.8513	7.8627	6.9375
EA_G__TMEM62	7.949	8.9841	8.7357	7.7995	6.6914	8.7591	6.2638	6.6112	6.9449	5.0083	9.6191	7.04	6.0806	7.8635	6.9773	6.5984	7.8723	6.7557	7.3482	5.8364	7.4666	6.7297	6.3817	6.9338	7.9144	7.9144	7.0368	8.9357	9.5611	7.4416	8.2279	7.3198	7.9178	5.5354	6.7559	7.2789	7.9863	10.1231	7.5937	7.7068	7.1573	8.7727	9.6225	8.3443
EA_G__MFI2	7.0499	6.5409	6.0195	6.6105	6.3816	6.3021	8.3283	7.3809	6.4432	6.6874	5.9597	6.1615	7.0176	6.8945	7.951	6.4751	6.2595	6.3599	7.6941	7.5084	8.2785	6.4218	7.2199	6.535	6.8241	6.7914	7.2458	6.2385	6.836	6.2722	6.8586	6.8011	6.774	6.2475	7.0638	6.2745	6.1146	5.8325	6.6	6.5608	6.5612	6.278	6.3968	6.7945
EA_G__SYDE1	6.3871	6.1369	6.3616	5.8841	8.4653	5.4574	8.481	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.6718	6.1217	6.9318	8.2904	7.7112	8.9081	6.0991	6.2731	5.5612	6.3382	8.9894	5.7382	5.0994	9.4121	6.1707	6.8988	6.551	8.0444	7.0048	8.2118	6.1916	5.1353	5.9689	6.0967	6.1051	6.1729	6.3412	6.0907
