Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
EA_G__PTRF	6.1378	5.9441	5.9461	5.7085	9.47	6.0342	9.4316	7.9379	6.2178	8.1509	5.8965	5.563	7.0871	8.0149	8.4522	8.1467	6.1849	6.696	6.8672	9.1449	6.8679	9.7016	6.208	6.3008	5.6737	5.9941	8.8381	5.6244	6.5879	8.0608	6.7201	7.0293	6.1917	8.0202	8.0864	8.6629	5.8363	5.4175	6.5439	6.4796	5.9012	6.0214	5.9419	5.7248
EA_G__GAL	5.663	5.1076	5.6671	6.8518	5.351	5.6496	5.3981	6.9161	7.531	5.9946	5.0022	6.2855	9.8244	9.3584	8.1175	5.8454	5.2346	6.1611	8.1456	7.1952	5.5051	4.9659	6.3427	6.921	5.262	5.4769	4.6978	6.0197	5.0283	8.9826	5.7312	6.6721	5.6401	5.2223	6.4893	5.6417	6.0155	4.7193	5.5239	5.4186	5.8586	5.3666	5.6344	7.9118
EA_G__KIAA0953	5.8011	7.1466	6.4823	6.4155	5.2019	5.9649	5.5206	5.0737	5.2215	5.2114	7.1887	6.4801	6.417	5.2006	4.9367	5.1337	7.245	6.7991	5.5015	4.9454	5.1521	4.9522	6.5841	7.1799	7.1045	6.4431	5.3853	6.697	5.4274	6.6405	6.3729	5.455	7.3694	5.9187	5.1845	5.2015	7.2702	9.1022	6.2853	5.4857	7.35	6.6109	6.0943	5.5729
EA_G__GALNT7	9.6749	7.791	8.5231	7.2484	7.1488	7.5272	7.9402	7.5228	6.4385	6.8623	10.4321	6.6273	7.0021	6.6653	8.244	8.7332	8.7577	8.5352	6.033	6.1371	8.4471	7.1081	7.7906	7.5339	8.0239	8.0309	7.7804	8.9969	9.1677	5.9588	8.3252	7.4612	7.6935	7.7995	7.7606	7.4331	9.9007	8.3426	9.738	7.0766	7.5746	9.8726	8.5319	8.2358
EA_G__MAP7D3	5.3052	6.181	3.7726	5.4351	8.0335	4.1145	6.7975	8.2134	6.6816	7.4399	3.8649	5.2828	6.9662	6.369	7.7975	7.3791	3.9067	3.9768	7.9146	7.4129	6.0423	7.4841	5.9373	6.1096	3.8188	4.3266	8.4972	3.8711	3.6075	7.271	4.4657	7.3858	5.4472	6.6247	7.5826	7.2635	4.9255	3.596	5.013	4.094	6.2554	5.2725	3.8949	6.3251
EA_G__RARRES1	6.9524	4.9938	5.4808	4.6972	5.1318	4.9996	4.9017	5.5363	7.9107	5.1588	4.5294	5.4825	6.4837	4.5616	9.337	9.7619	5.3507	9.473	7.1774	4.7131	11.4794	5.0363	4.7482	4.9179	4.6705	6.991	4.6488	4.7304	6.6189	5.8514	5.6596	10.3274	5.7265	4.9607	7.808	5.0319	4.7158	4.582	5.1869	5.1753	5.3781	4.846	4.7181	4.6711
EA_G__CLU	7.2352	8.8649	8.9068	8.992	8.9576	9.6033	8.0374	6.8112	8.1157	7.4522	8.8358	9.7927	5.9431	7.7097	6.4074	6.824	8.1629	9.5115	8.6745	7.7043	7.3793	7.2732	8.8706	8.885	9.1728	9.6338	6.7991	9.3254	10.2466	6.1144	8.8604	7.6067	9.8643	7.6939	5.8874	7.0941	7.9162	10.6695	8.2237	10.2223	8.7504	9.3567	8.0166	6.5865
EA_G__TMEM164	7.0979	7.7662	7.6781	8.5025	8.6222	7.5074	6.9499	6.4544	7.9946	7.5203	7.2907	10.3866	7.6298	6.9435	6.7799	7.3942	7.1179	7.5043	6.098	6.9625	8.2039	6.4079	7.2698	7.5322	8.1896	7.2051	7.0206	7.6833	8.395	6.8609	7.0973	7.6553	8.247	6.3434	7.049	6.8636	7.9599	7.8145	8.2506	6.4222	8.5694	8.3348	7.892	7.3908
EA_G__DLG5	8.5367	8.2051	7.6054	7.9137	7.4257	7.389	7.4203	7.1702	8.661	7.0411	7.5975	8.4243	6.8348	8.0736	7.2262	7.4377	7.6469	7.5578	7.6163	7.1961	7.3677	6.5017	8.0798	8.3969	7.8307	8.2111	7.1437	8.1074	8.0102	7.7008	7.7634	8.2485	8.54	7.7252	8.865	8.3913	8.8652	8.5995	8.1331	8.281	7.9264	8.4149	7.9025	10.8081
EA_G__IFITM1	4.955	6.0176	4.2124	8.3903	5.9383	5.4824	7.8038	9.0056	6.7403	8.4714	4.0937	4.8646	9.3887	6.6329	8.5115	8.9598	4.9523	7.7922	6.3744	5.4517	10.7138	7.2294	5.7593	7.4095	8.3769	6.8074	4.4739	4.9995	7.2448	3.8909	4.7663	8.6092	6.3415	7.0263	9.678	8.2737	6.4552	4.234	4.3998	7.0862	4.4135	4.484	4.1749	4.3142
EA_G__CCDC125	6.7241	6.9231	8.2014	7.8942	6.5806	7.5742	4.7052	5.6801	6.3658	6.0105	8.1674	7.8031	6.378	5.856	5.009	6.1254	7.7857	7.0037	6.4699	5.9728	6.3171	5.7122	6.9265	7.4992	7.8276	7.4091	6.4407	7.3733	8.7571	5.8635	6.9123	6.5052	7.071	5.6281	5.3484	6.4832	8.3702	8.3114	6.4973	8.0046	8.2983	6.692	8.289	7.827
EA_G__RNF152	7.4839	6.6624	7.0206	5.8025	2.8881	5.6834	3.9897	4.6579	5.0095	4.0383	6.5905	5.7642	4.0942	4.144	3.8961	4.7975	6.3558	6.3286	4.8239	3.7735	5.4662	5.6279	6.2533	6.3096	6.874	6.4137	4.3942	7.0318	7.0813	2.5353	7.0719	6.3133	6.9863	4.2134	3.9706	4.5148	7.6012	6.5447	6.7821	6.4101	5.7235	7.1371	7.0441	6.8405
EA_G__C17orf37	10.2627	12.1616	12.5067	10.0183	9.6297	9.9884	9.7241	9.7393	8.7276	9.4784	13.0107	9.7623	12.9521	9.5497	8.8984	13.0916	12.5341	9.1605	10.6536	10.2348	9.8217	9.1925	9.7035	9.7398	10.1657	9.5811	9.5775	12.0721	10.1387	9.3255	10.4964	9.7942	12.051	9.5708	9.2545	9.6907	9.4564	9.6917	9.9787	10.4971	12.8045	13.0424	10.2002	10.228
EA_G__MCAM	5.2407	5.7795	5.1883	5.2259	5.6003	5.1722	5.398	9.3743	7.982	7.1729	5.052	4.9842	9.6692	7.1972	5.6044	5.2324	6.005	6.1156	8.2544	7.2642	6.6063	6.1967	5.3892	5.3243	5.0364	5.3038	7.8638	5.0728	5.3592	5.5956	5.9372	5.9742	5.5648	6.5817	8.8252	6.4371	5.4652	4.8633	5.5898	5.4962	5.4539	5.4297	5.5286	5.1903
EA_G__LTBP2	6.4939	5.7345	5.8484	5.7214	5.8612	5.9966	6.7725	7.2573	9.4343	6.9893	5.5716	5.7214	6.0676	6.8141	6.828	6.5184	5.9301	6.3254	6.36	8.5798	6.1362	8.6763	6.3948	6.1604	6.2484	6.593	6.5464	5.7252	5.5235	6.4348	6.3771	6.076	6.142	7.3028	6.7043	6.306	6.5798	5.5191	6.3072	6.3083	5.977	5.9336	6.2503	6.0799
EA_G__RHOB	9.2793	9.3585	9.8896	9.3985	7.6395	10.3938	8.4008	7.6986	6.9264	7.1127	10.2289	10.0866	7.0769	7.524	6.9368	7.9047	9.6821	8.7278	7.261	6.7834	7.1452	8.2823	9.565	9.2465	9.8531	9.4573	7.5833	10.0124	8.9442	8.7425	9.8377	8.1129	10.0424	7.0709	7.9873	8.8352	8.6291	11.0616	9.0331	8.5103	9.1206	8.9406	9.1928	9.4859
EA_G__MAGED2	10.2764	8.1489	11.2059	9.1679	9.9061	9.181	9.0799	7.7178	8.9631	8.9439	10.8694	9.4801	8.287	7.1551	7.058	7.963	10.5076	9.874	7.8358	9.0836	7.9886	7.5896	8.8158	9.5837	11.1899	10.1298	7.5636	10.5231	10.9442	8.6867	9.3951	8.7111	8.0807	9.7287	8.416	7.7228	8.4196	10.7353	9.5787	10.1646	11.2238	10.0944	9.4135	8.8541
EA_G__GM2A	9.8004	10.2563	7.6431	8.2909	8.2948	8.4185	7.8437	8.1669	7.9006	8.703	8.8818	8.7994	9.0123	7.9275	8.7665	8.6642	8.443	9.624	7.9624	8.297	7.686	8.1518	8.3121	8.3783	8.9486	7.8479	7.4001	8.5323	10.764	8.5553	8.9791	9.1681	10.255	8.5844	8.7281	7.7697	8.7543	8.8742	9.9034	8.4702	9.1027	9.3699	8.3441	8.1889
EA_G__RET	5.1584	5.1814	8.6461	6.5209	4.9343	6.3232	5.3164	4.9258	5.2813	5.2108	8.4854	9.0567	5.1701	5.3684	5.0761	5.0234	5.2437	5.0703	5.0608	5.1166	5.135	4.9039	7.3403	7.6896	8.2195	7.4408	4.85	7.4975	7.579	5.479	6.8528	5.3912	5.1818	5.2849	5.3792	5.1132	6.894	9.336	6.6096	5.5486	8.0875	8.9737	5.3716	5.2921
EA_G__MSLN	6.0846	5.8443	6.0148	5.4905	5.777	5.7733	6.7361	6.005	5.7689	5.9122	5.6141	5.7351	6.0888	8.8011	6.3286	5.922	6.0949	6.2611	5.9409	5.4457	6.7022	5.9309	6.2498	6.2434	5.8649	6.258	6.1385	5.9786	5.8138	9.6431	6.7157	7.8122	6.403	5.9303	10.3918	6.0667	6.1104	5.7158	6.2533	6.092	5.9321	5.981	6.1848	5.7938
EA_G__PSCA	8.6778	6.808	7.4204	6.1323	6.2269	6.1241	6.4901	5.9762	6.1713	6.0065	8.8023	6.0835	6.1892	6.0919	5.9439	6.6586	7.7548	7.1563	6.4572	6.2267	6.4924	6.9031	6.978	6.2197	6.1779	8.5062	6.3328	9.3354	7.9842	6.2528	6.881	6.4338	7.2737	6.4886	6.825	6.8352	8.2749	6.3654	7.561	6.4259	6.1518	9.9306	5.9503	6.0552
EA_G__TMEM45B	7.6067	6.9318	8.2607	5.8827	4.0544	6.8897	4.4105	4.1082	4.5358	4.32	8.2657	6.8742	4.5363	7.0629	6.5802	5.6247	8.1369	8.1123	4.5414	4.0417	4.9594	3.8961	6.4895	5.7187	4.3127	7.7764	4.7821	6.3274	8.0271	4.735	8.7181	5.6974	6.6217	4.7421	4.5365	4.1764	8.6359	7.206	8.3886	8.0495	8.7831	8.5334	5.7404	4.9571
EA_G__NNT	8.9594	4.498	8.1961	7.7612	9.1154	7.1893	8.7763	7.8733	8.3974	9.0731	7.9295	8.0816	8.3827	8.8736	8.8486	4.1845	7.867	9.8433	8.4993	8.7518	8.5517	8.91	8.0412	8.4446	9.1262	8.2588	8.8528	8.1478	7.5189	9.0644	5.9494	8.0836	5.547	9.6096	7.8752	9.5736	4.8242	6.9971	4.7976	9.6352	8.1122	6.6735	6.3612	7.0369
EA_G__FSCN1	6.8308	6.9952	7.1701	7.1692	8.8985	6.7299	9.336	9.8533	9.8245	9.7445	6.454	7.0825	8.4576	11.4143	9.3293	9.3009	7.014	7.0833	8.7193	9.1685	9.4212	9.8571	7.5215	7.7422	6.5522	6.8572	8.4388	6.817	7.4765	10.2521	7.24	7.8643	7.0958	7.3337	9.286	10.5846	7.0571	6.9337	7.1431	7.0679	6.8991	7.9477	6.8126	8.0465
EA_G__BCAS1	7.6511	9.0168	10.5313	7.3913	4.4087	6.403	4.8708	4.3423	4.4869	4.5984	10.3867	6.7622	4.1964	4.6724	4.3328	5.14	7.4981	9.0372	4.5142	4.3656	4.3987	4.438	7.9077	7.2716	6.6171	7.9229	4.8844	7.3564	9.719	4.4918	5.6839	4.3173	9.8324	4.4616	5.0177	4.8637	7.8706	6.6977	7.9093	7.3722	7.4533	8.4832	8.0127	8.1104
EA_G__KIAA1370	8.0117	7.6169	7.3101	7.5285	5.8151	7.928	5.2997	5.5305	5.6156	5.1632	8.5057	8.3103	5.6178	4.1441	5.8594	6.7071	7.1959	7.7436	5.6434	6.0605	7.0426	5.3786	8.0435	7.6508	7.4509	7.9116	5.8793	7.546	8.121	5.4905	7.6939	5.5586	6.9794	5.6558	5.3833	4.6569	8.0614	7.8648	9.0775	8.1025	7.7791	8.588	8.678	8.4904
EA_G__SORL1	7.1139	9.3353	6.7621	7.7115	4.5057	6.8507	5.6516	7.8864	8.4908	5.0055	7.9672	9.1644	5.9951	6.6988	6.0576	7.7653	8.0121	8.3313	6.9777	4.0598	6.614	4.1406	7.2452	6.3815	7.5525	8.0603	4.6697	8.58	8.478	4.5705	7.6842	8.1485	9.0539	5.7856	5.9687	4.944	7.5012	7.2171	9.1107	9.1541	8.2153	7.8309	7.1949	6.5556
