Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	ZR751
U133A__BMI1	5.2627	6.2853	5.6401	9.3719	6.6391	6.0857	4.1594	5.3895	6.8203	7.5417	5.7456	5.0391	5.5369	5.7849	5.8791	6.4265	5.3789	5.998	6.2942	5.6207	6.3277	6.0755	7.9302	5.5347	5.2115	7.341	7.0147	5.6888	6.1813	7.2058	5.6715	6.5148	6.4517	5.8622	7.106	6.8014	5.8714	5.5429	6.1095
U133A__BTG3	7.0426	7.5953	5.9703	5.3371	7.0791	4.2233	6.8336	8.9466	7.8792	5.0099	8.5942	7.5041	7.8742	8.5126	5.082	7.4848	7.8793	8.5847	8.5934	6.7906	4.2185	4.5037	7.1768	8.6345	6.7812	7.9845	6.3049	6.2882	8.5612	6.0178	6.2314	7.0501	8.9104	7.0772	6.0982	3.6041	7.1067	3.7357	6.5325
U133A__PLSCR1	5.7683	6.133	5.6899	7.381	7.0623	5.5627	7.7485	9.5252	8.7953	6.0307	7.8496	7.6944	10.6908	8.7217	7.12	6.6667	8.7989	7.5371	10.1561	6.8395	6.7902	6.9671	6.7378	7.3472	6.7924	7.2952	6.6431	6.6225	6.6973	5.9994	5.5298	6.3075	8.9766	8.1261	4.5375	4.6893	6.4163	6.1377	4.9059
U133A__CKB	5.3442	7.7875	5.4548	7.2727	7.2986	7.9556	6.9587	7.8831	5.951	7.7218	5.4318	7.4084	6.4976	6.0638	8.1013	6.8017	5.8878	6.9659	6.6128	5.5701	5.7784	6.5721	8.3052	7.7159	5.8863	5.9212	7.0171	6.8611	6.2835	9.5775	7.0333	9.5311	5.9426	5.512	8.4104	7.1249	5.1422	6.9092	9.1697
U133A__IGFBP6	5.6731	5.3829	5.5177	5.4819	5.8921	6.136	9.5022	6.4634	6.072	5.3744	6.0119	8.7753	8.4806	5.5659	6.2527	5.5465	5.6679	9.4268	6.2516	8.8554	6.6417	6.2663	5.9126	7.9486	6.1228	6.8116	5.5454	5.6252	8.3815	5.7893	6.0209	5.8285	8.1014	8.1687	5.7392	5.65	5.5176	6.0702	5.9415
U133A__SPDEF	10.4241	9.495	10.1198	9.8359	5.8444	10.4996	6.3272	6.2908	5.8013	9.2013	6.2848	5.3899	6.8656	7.0677	10.3649	9.5734	6.6571	5.9869	5.2999	6.5909	10.0367	8.9085	8.9427	5.5694	9.9494	6.027	10.078	9.6299	6.3312	10.1262	9.8712	6.631	6.472	6.5064	10.0966	9.9933	9.9188	9.3052	10.8242
U133A__TPM2	2.9737	3.2967	2.7023	3.0083	9.2246	3.0307	8.8236	6.6508	2.7736	3.2918	9.0163	7.0455	3.3028	3.2698	3.2636	3.8763	6.7663	7.9299	8.1468	9.5375	3.3478	3.2518	3.2009	4.4389	3.1689	3.4678	2.8649	3.6268	5.1117	3.157	3.4752	8.5825	7.37	8.2812	2.8239	3.0921	5.6483	3.0476	3.4566
U133A__KRT81	11.938	11.7362	5.7523	6.3613	6.2318	6.3563	6.465	9.5941	5.9887	6.4382	11.5769	5.8215	9.4778	12.3672	6.2151	9.0579	12.2114	8.9762	6.0823	6.4617	12.3512	6.732	5.9285	6.3727	12.6895	6.72	7.5076	11.152	5.9612	5.9101	10.4556	5.9877	12.3689	6.5077	6.5763	5.8487	12.8064	5.8807	6.1844
U133A__DNM1	5.6161	5.646	5.8578	5.8727	6.6942	5.6352	7.1763	6.4943	8.8086	5.9955	6.2088	7.913	6.0178	5.36	5.3172	6.3878	5.7923	8.6169	8.4682	5.7741	5.5244	7.1578	6.3168	7.6517	5.6249	5.6326	6.4587	6.9409	5.3333	5.6904	5.7951	5.5233	6.324	5.5619	5.3328	5.2198	5.5189	5.5842	5.8005
U133A__C5orf13	7.5479	5.1369	6.7214	7.2221	10.5831	8.7053	6.6718	6.8127	10.1445	5.6449	7.1065	5.0964	5.3783	7.077	7.9666	6.914	5.561	7.2038	5.9763	8.7252	5.4808	5.8234	8.3707	9.2578	5.8943	5.5724	6.9229	7.5753	7.8776	8.2068	4.9232	7.1556	5.2497	9.5255	9.8606	8.5908	5.4205	6.0864	6.3202
U133A__FOXA1	9.1328	7.7572	9.0263	9.4147	4.7595	8.7472	5.2356	5.2283	5.7444	8.14	5.0961	5.822	6.5694	7.5076	8.5585	8.8813	6.9658	5.4233	5.6401	5.6268	8.3942	8.6803	9.0814	4.7116	8.5308	5.3926	8.8057	8.3218	5.1007	9.2428	7.9736	5.241	5.689	5.6432	8.73	9.0604	8.6746	8.6077	8.9553
U133A__DIP2C	6.0306	5.6	6.1426	7.3021	5.8184	7.2703	5.3375	5.9785	7.7083	7.6453	5.5877	6.3643	5.5528	4.2909	6.1653	5.8443	5.318	7.5229	3.946	5.2792	6.2597	6.5002	7.245	7.9021	6.0921	5.9908	7.1526	6.9179	5.8195	6.2128	5.3484	6.081	4.2421	5.8763	8.1831	6.9138	5.1349	5.6502	6.2191
