Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	ZR751
U133A__HIST1H2AC	6.6347	6.1315	6.5263	8.9285	6.3159	8.2325	5.5273	6.2668	5.7625	8.2922	6.892	6.4753	8.9315	5.4115	7.5241	9.1759	6.6311	9.0257	6.3429	6.1112	6.5974	7.5399	6.5756	7.5443	6.7217	5.4127	8.1253	8.7312	9.7477	7.1371	6.148	7.2614	5.7119	5.4892	7.0303	7.081	6.763	7.3041	6.201
U133A__CRIM1	6.6823	5.0556	4.5538	5.2347	6.6582	3.5903	5.9807	7.9088	5.0214	5.8645	5.4013	6.6716	6.0828	6.2967	4.8205	6.6118	6.6738	6.5511	6.4677	7.6681	4.209	4.0619	4.8435	6.3739	5.1213	8.3257	4.25	5.0642	6.0909	4.1324	4.8529	6.1856	4.9762	7.7736	5.3263	5.9058	7.3237	6.0612	3.0831
U133A__IGFBP5	11.2847	8.6852	11.7481	11.5887	6.1922	12.1021	5.0776	6.8264	6.4959	9.6121	5.288	4.8427	9.2046	5.4966	12.4229	11.1816	7.78	9.9612	5.5974	5.609	5.3545	8.3505	5.423	4.852	10.1337	5.0172	10.895	11.2849	5.3314	11.5891	8.5214	5.4366	4.9226	4.9351	6.1866	11.8361	8.988	10.8465	8.0394
U133A__ME1	8.3567	7.7974	5.9976	4.3669	6.2304	3.5126	6.2684	5.2956	7.5277	6.3978	6.0968	8.6735	7.608	7.8782	4.659	6.6291	7.442	6.9336	7.1357	6.5106	5.9111	6.5939	4.2005	8.2989	4.2227	6.5132	6.5847	8.4861	7.0108	3.7088	6.4531	6.6978	6.6297	7.1395	3.7365	3.5909	8.4449	3.91	6.4445
U133A__BAG2	3.9484	3.6233	3.847	3.6546	6.779	3.7302	6.7389	4.687	5.112	3.9445	6.6817	8.2798	6.0631	5.3853	4.0193	4.1116	5.402	5.1323	4.2779	6.4596	4.6848	4.244	4.0731	6.4698	3.909	7.9802	4.5399	3.9434	6.3208	3.9206	3.9939	8.1652	7.0594	7.9745	4.0376	3.9483	3.8011	4.8384	3.5252
U133A__CTGF	7.1473	7.1015	4.1421	3.9205	8.5961	4.3162	8.5365	9.9978	4.0779	4.3177	9.4636	4.2303	4.7664	5.4268	4.3982	6.0839	8.247	7.842	4.0585	9.9469	3.8967	4.0791	3.933	5.2649	5.107	9.6523	4.0025	4.9953	5.0738	4.3345	7.9564	9.3229	4.4806	7.7701	4.498	4.3251	7.0046	4.3973	4.4522
U133A__MYST4	7.0787	6.8894	6.0654	8.0895	5.6758	5.793	5.2378	5.4408	7.1973	6.6176	5.3211	6.4505	5.2011	5.0087	5.4608	5.5126	5.0508	5.4213	5.8407	5.1085	4.9302	6.0605	6.3682	5.4057	5.8903	6.1108	6.9664	7.4141	5.7057	6.5656	5.5771	5.5914	4.719	5.0868	7.9743	7.3526	5.7341	5.835	7.4708
U133A__FNBP1L	5.7282	6.3494	6.3034	7.1137	5.7258	7.0659	3.4285	4.9683	6.9366	5.9928	5.0314	4.7531	5.4856	5.0975	5.066	6.6526	6.1696	6.4593	6.5269	4.7117	4.8914	4.3192	7.5094	4.6485	3.3218	5.9207	6.0796	6.3206	3.9647	7.3428	5.9159	4.2674	4.7058	3.693	6.4658	9.0977	6.033	5.5292	5.9501
U133A__TOP2A	8.3218	7.635	6.7714	7.6466	7.4354	8.2835	9.1849	7.4427	7.6015	6.105	7.0173	6.9158	7.6242	7.2079	5.574	7.0333	7.8213	8.1878	6.9581	8.3969	7.9242	6.9241	9.1534	8.2413	6.8402	9.352	6.7271	7.4424	7.1308	6.3468	9.4954	7.4665	7.6737	8.2323	5.1247	5.6747	6.7477	8.6761	8.563
U133A__GALNT6	8.8821	7.3905	6.7568	9.7521	5.1143	8.8841	5.7714	6.8554	6.1052	8.3463	5.6143	6.7577	6.284	8.1603	7.455	8.2228	6.9834	5.9045	7.5279	5.4304	8.8602	7.768	8.6096	5.6215	8.65	5.8084	8.4236	9.1485	5.9203	9.1731	8.7939	5.665	7.8211	5.8236	10.0613	7.0845	9.245	7.746	7.8728
U133A__TUSC3	7.7061	7.3567	5.277	4.5591	4.9647	4.6926	8.0508	7.6665	6.4646	6.2996	8.2575	8.0232	7.9762	4.8685	4.7861	5.4514	8.2811	9.4858	4.5276	8.1364	7.6041	6.2045	7.4159	7.479	8.6055	8.0955	7.6463	7.7091	8.874	7.1886	7.1896	6.8362	7.6602	7.8885	8.4792	4.8708	7.8483	8.204	5.5605
U133A__MAFB	4.2939	5.2209	6.0526	7.1675	4.5699	8.118	4.2814	4.4545	6.0147	5.8886	5.9523	4.6033	8.0513	5.6472	7.7452	5.899	5.4665	8.7595	6.8573	6.4104	4.5053	5.7821	6.9794	6.131	5.4416	4.4014	6.1242	5.0501	5.8863	8.6345	4.3436	4.4115	6.6507	4.4563	7.0732	8.3306	7.4185	5.1496	5.6559
U133A__EGFR	6.5405	8.8087	9.1916	5.4966	8.9985	4.6032	7.5795	8.5853	8.75	5.4451	6.1574	10.0365	8.0004	9.7369	8.7474	10.2614	7.8659	7.3722	9.5572	8.9579	5.5013	5.3316	4.5102	8.86	6.0289	9.7841	6.2142	4.6987	8.8153	5.0824	8.0587	7.8138	9.152	8.0666	4.8664	5.0313	4.2139	6.1317	8.1672
U133A__TNFRSF21	6.9434	7.383	6.2411	5.8168	7.6132	6.2938	6.7414	9.4794	6.2643	6.3644	8.9963	8.8483	7.9123	8.4644	7.3763	8.9154	9.1783	7.7884	7.9115	10.028	7.0946	6.9593	7.6411	8.7664	8.4893	9.2021	7.3706	7.6864	7.8007	5.8836	6.6581	6.831	9.0621	5.5389	7.9016	5.326	6.9565	7.1457	5.8725
U133A__CD58	6.4278	6.9993	5.1218	5.9691	7.2698	7.0005	6.2556	6.5853	6.1494	5.5493	6.654	7.2465	7.9814	7.1512	4.8445	5.828	7.2986	7.4893	8.4123	7.5015	6.8778	6.6956	6.5988	7.6528	5.1406	7.857	5.4702	6.611	6.5498	5.2182	6.4312	6.6742	8.3999	6.6873	6.3553	6.3629	5.3401	6.1602	6.199
U133A__PTEN	6.0913	6.269	6.7616	6.5673	6.7866	6.3073	6.2833	7.0194	7.0259	7.696	6.2325	8.17	4.6058	7.0343	7.1806	5.6098	4.8611	5.0714	5.7272	7.3598	6.9642	7.2994	7.083	7.3628	6.987	7.1792	6.1864	7.1573	7.4404	6.7947	6.2051	7.5944	4.527	6.9457	7.5813	6.9045	6.3954	7.375	8.3939
U133A__IFNGR1	6.2688	7.5228	6.3571	5.4815	5.8801	5.2355	5.7804	6.8528	8.334	4.6056	6.7327	8.5441	8.1554	6.8216	4.8815	8.3696	6.9811	7.6443	8.2171	6.8533	6.2653	5.2145	6.2502	7.4998	6.6431	6.5338	6.6722	6.1714	7.2957	6.5028	6.212	6.5564	7.4746	7.0159	6.9089	7.1054	6.8947	5.0929	5.7274
U133A__PLAUR	7.2636	7.0817	6.3774	6.0661	7.9196	6.3478	7.0145	8.6018	7.3217	6.6571	6.7499	6.7768	7.13	8.4113	6.868	6.8516	8.1211	7.2534	7.3607	8.1234	6.4877	6.4579	6.6082	6.9693	6.7436	8.9904	6.1449	6.6998	7.9687	6.2084	6.715	7.4222	9.277	7.1697	6.0395	6.2115	6.7814	6.3108	6.3425
U133A__KIAA0040	7.4994	6.4763	6.3177	8.4261	5.5327	7.1961	5.7796	6.3227	5.7125	7.9873	6.0097	7.8512	6.4646	6.2896	6.8359	6.4563	6.0658	5.6974	6.5026	5.7298	5.6006	5.9483	7.6846	5.955	6.4962	5.278	6.0962	7.1032	5.7336	6.9009	7.0973	5.2923	5.7746	5.1966	6.184	9.5563	8.7619	6.5898	7.188
U133A__CAV1	4.2859	4.1942	4.49	4.2497	10.769	3.9335	9.4857	10.2245	4.1066	5.7522	4.5139	10.4314	9.7651	8.6141	5.5414	5.3759	8.5934	9.5218	8.7912	11.4435	5.6543	6.486	3.9209	10.4205	4.2274	10.5667	4.3654	4.8546	9.7885	3.8748	5.5985	10.5467	9.5059	10.8746	4.009	4.0188	4.2529	4.2671	3.9104
U133A__PPP1R3D	6.0376	6.2841	5.8836	8.9569	5.5115	7.3522	4.8917	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	5.6122	6.7862	5.4457	5.3754	5.7838	5.1445	6.6139	6.9967	9.3097	5.3464	7.7236	5.2928	7.7316	6.1594	5.2355	7.5285	6.4306	4.8825	6.1016	4.8641	8.1589	6.7296	6.8287	5.7656	7.205
U133A__CRIP2	8.2574	9.2634	9.209	9.9678	7.8746	8.3415	6.5901	7.7681	8.0402	9.0021	7.6044	5.5453	6.6722	6.6952	9.1442	8.8685	7.8221	7.9649	7.9883	7.3507	8.6357	8.6983	8.9642	6.3079	8.3729	5.1886	9.2302	8.0924	6.1297	7.8109	8.3547	8.1304	6.4487	5.4693	9.8773	9.3237	7.1792	9.294	9.0175
U133A__NFE2L1	8.2804	7.7434	8.2998	7.9707	7.6509	8.0389	8.6661	9.8821	7.1355	7.8831	8.6673	8.0502	8.5971	7.4599	7.7905	7.9417	8.4717	8.445	8.0531	8.0109	8.4411	8.5213	7.4537	7.3248	7.4906	7.9701	8.893	7.935	7.2601	7.7687	7.4362	8.4148	7.889	7.8649	8.3718	6.9966	9.0828	8.5447	7.9741
U133A__ALDH1A3	6.3501	8.1049	5.7829	5.558	5.0371	5.7541	7.5382	10.4029	6.9131	5.5586	5.9053	9.253	9.3821	11.1356	7.3345	7.2073	9.6541	7.0172	8.7778	6.3367	7.9258	5.9722	5.3213	6.7306	7.3828	5.8164	5.5605	7.0272	8.8539	5.6679	7.2823	5.5688	9.2197	5.8794	5.5785	5.2485	4.9809	5.821	6.0094
U133A__FUT8	5.6391	7.1577	7.0649	8.3524	6.9182	8.4013	7.987	5.8561	5.7352	6.273	6.072	7.683	5.5051	7.2262	6.7192	6.3162	5.7325	7.258	5.4207	7.0337	8.5833	8.8413	7.1088	7.2275	7.4477	6.6699	7.9813	6.5994	6.3685	8.5014	6.404	6.9045	6.0776	6.1045	7.824	7.8211	5.6915	5.9146	6.694
U133A__FBP1	6.8861	5.4407	8.7593	9.0806	5.8518	8.9571	6.0355	5.675	5.3145	9.223	5.9597	5.9596	8.9816	6.1031	8.462	5.4783	5.7636	6.0568	6.0106	6.2966	9.2997	10.2366	9.9675	5.5894	10.3739	5.6397	10.3698	8.9993	6.0119	6.1156	7.3014	5.5824	7.2633	5.8976	9.8817	9.0395	7.7395	7.7367	9.0869
U133A__FSTL1	6.755	6.2572	5.936	6.4877	11.5266	6.0422	9.2564	6.8735	6.4112	6.7142	7.1585	8.8436	9.9158	7.9294	6.0962	8.8284	9.2432	9.4494	8.6058	10.846	5.9821	5.6398	5.7112	9.7716	6.2036	8.6291	5.7009	5.857	10.7336	5.6561	5.9557	9.5334	9.6656	8.1824	5.4895	5.5608	5.6432	6.6733	5.9264
U133A__TSPAN13	9.6774	10.0953	10.249	10.7603	5.511	9.5712	6.4062	7.7338	7.6575	9.9233	6.7565	9.5285	9.5561	9.2752	10.1883	10.611	8.413	7.5481	10.2011	5.4571	9.1734	9.4408	9.5767	7.3108	10.1409	5.6786	10.1128	10.3424	5.3507	9.7301	9.8614	8.6711	6.8176	6.1061	11.0026	10.3678	11.2545	10.2015	10.0917
U133A__RHOQ	5.7676	7.464	6.6728	6.7051	8.246	6.4015	6.3382	7.7497	6.7259	6.1135	8.1764	8.5219	6.1786	6.3748	6.9106	7.5691	6.9454	8.572	7.5504	7.8128	7.1904	7.2712	6.8144	9.6917	6.7481	7.2082	8.0844	5.0555	8.6623	6.0637	7.0925	9.122	7.1437	7.3307	6.9376	6.6095	6.7023	6.4535	6.2841
U133A__FZD6	6.7006	3.9422	4.4868	6.9337	6.8117	4.9414	6.26	7.6804	7.2916	6.6098	6.2715	7.5106	7.7584	6.7087	4.3433	8.6151	6.652	6.87	7.1903	6.2951	6.915	6.7272	4.0099	5.152	6.1291	7.589	7.5488	5.7	6.079	6.7718	5.6747	5.1705	6.2643	6.0369	7.8236	3.9941	7.8036	3.7516	6.2593
U133A__PDCD4	6.1441	4.7881	6.8825	8.2694	4.4945	8.2124	4.4722	5.7415	6.9783	9.3378	4.8222	5.4742	6.1414	3.284	6.6053	6.8198	4.9423	4.4933	7.5575	3.7218	4.8931	6.3885	6.384	3.7962	5.9022	7.4032	7.8862	9.6151	4.4749	7.2734	3.8107	5.177	4.0607	4.2696	6.9303	6.6025	6.487	7.7569	9.0148
U133A__HIST1H3H	4.5987	5.0394	5.2954	7.0262	5.1973	7.1901	4.9072	5.2309	5.1804	7.7752	4.9774	5.3258	6.7115	4.903	6.9369	8.3387	5.3894	8.3287	4.9466	4.5073	5.3057	6.6563	5.6775	4.9412	4.668	4.3556	8.4879	6.8346	4.9477	6.7291	5.1044	5.9021	5.0129	4.7309	5.8351	4.9106	4.5009	5.9355	5.2029
U133A__FERMT2	6.0267	7.439	5.3801	8.2001	9.8437	6.2531	9.1807	6.9012	6.5681	6.2655	6.1023	4.3862	7.7149	6.2438	5.1273	8.7037	9.2104	9.7082	8.4669	8.7483	8.2909	7.0989	6.4247	8.4146	6.1627	9.5633	6.3958	5.8793	8.3969	7.5523	7.6505	8.7006	8.3695	8.7763	7.4012	5.6875	5.937	7.0412	4.5512
U133A__CSTA	3.3672	5.2138	4.492	3.8183	4.0291	3.9406	3.9232	3.8298	3.1942	5.5298	4.8696	10.7546	10.2411	6.2854	4.2378	4.0758	8.8013	5.8523	8.0961	4.0575	4.9609	6.884	3.5562	3.861	9.2798	3.9751	7.9998	4.3999	3.7416	3.701	4.7564	4.0488	8.603	4.9863	3.2478	5.9153	4.8553	4.1182	9.6093
U133A__STC2	5.7835	5.2543	6.8332	9.0626	8.0552	6.6726	6.0133	5.5681	5.9542	7.4131	6.0528	6.4054	6.3303	6.3772	6.0836	5.2081	5.032	5.3824	6.2904	9.6068	6.611	7.9495	6.8579	5.3597	5.4272	5.389	5.6758	5.3656	6.0906	5.4505	5.1138	6.5744	6.8228	6.9057	8.8888	8.1781	6.2151	9.9282	5.6601
U133A__TFF1	12.2913	8.7704	12.009	13.0647	4.5823	11.357	4.4645	5.0347	4.9526	12.0586	5.5069	4.6102	4.7953	5.1295	7.7444	6.8636	5.3196	4.6565	4.7428	5.032	12.5113	12.6032	7.2875	4.6427	11.0566	4.7941	12.0723	7.1696	4.5311	5.6426	6.7433	5.0684	4.859	4.9279	10.1664	8.3346	5.2403	4.7042	7.8516
U133A__CRYM	8.9131	6.4583	7.5231	6.4006	6.448	8.1342	6.5025	6.5711	5.9848	7.0052	6.0575	6.1414	6.1539	6.6828	7.7153	7.245	6.4	6.1823	5.9313	6.4998	6.2619	6.3051	6.5764	6.4642	7.5285	6.1593	7.7217	10.0657	6.278	6.3683	6.3247	6.5873	6.6463	6.4344	6.383	7.2611	7.7307	6.4716	9.6367
U133A__LCN2	9.7527	10.3037	5.6982	5.2882	4.8064	5.6482	5.7583	8.7478	6.1202	5.1708	10.8632	9.7416	11.5584	9.2947	6.0226	9.9002	9.4564	6.1647	10.2981	5.6309	5.6594	5.8038	5.3961	4.6992	7.3423	5.1681	5.168	5.1847	5.7672	5.507	7.1916	5.5594	11.2868	5.3011	5.9575	5.4799	5.5349	5.5872	5.6419
U133A__TTC39A	6.7363	7.9537	6.888	8.6528	3.8361	6.2428	4.2693	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	5.2844	6.965	5.4051	4.311	6.2015	3.7661	4.5869	7.2805	6.8676	3.4222	5.9355	4.2968	7.8908	7.3398	5.0521	7.8998	7.1437	4.1734	3.6019	4.3341	7.0522	7.8303	6.696	7.1654	6.5769
