Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__SLC39A6	7.7971	6.2623	8.41	9.7579	7.1998	7.8475	5.9221	7.3674	7.4381	7.3231	6.8048	6.6043	5.6466	7.0401	6.3356	6.5261	6.3182	6.9683	6.666	7.9931	10.5732	8.0261	5.5622	7.2093	6.5394	8.0151	6.4029	6.2922	6.5248	6.2491	6.2838	6.153	7.6162	7.6329	7.1446	7.6467	7.1279	8.8267	9.2532	6.6951	11.5676
U133A__S100A2	5.7104	5.2629	5.0266	5.1361	8.7308	5.1261	9.3678	11.8664	8.1017	4.6494	5.0442	12.1145	9.7223	9.938	6.7237	5.0393	12.6387	10.0914	6.775	6.5171	4.9131	4.8508	7.9401	6.4604	5.843	5.1111	6.0773	7.1644	4.8966	8.4703	5.6079	8.4846	10.926	8.9102	5.3655	5.9202	5.5082	5.3582	5.3529	6.4182	5.7302
U133A__NEBL	7.1562	7.471	7.9659	8.3793	4.4277	8.0852	4.1247	8.1581	5.8258	8.7265	4.729	4.5974	6.1047	4.8275	6.2376	8.4438	4.7794	8.8448	4.5196	7.2791	7.7379	7.7128	4.3245	6.2351	4.2596	7.1621	7.8028	3.7526	6.5042	5.5637	7.6328	4.692	4.966	5.6682	9.7977	6.3427	7.0842	8.2432	8.448	8.1131	7.1828
U133A__CAV1	4.2859	4.1942	4.49	4.2497	10.769	3.9335	9.4857	10.2245	4.1066	5.7522	4.5139	10.4314	9.7651	8.6141	5.5414	5.3759	8.5934	8.7912	11.4435	5.6543	6.486	3.9209	10.4205	4.2274	10.5667	4.3654	4.8546	9.7885	3.8748	8.9838	5.5985	10.5467	9.5059	10.8746	4.009	4.2529	4.2671	4.1429	3.9104	3.9215	3.9756
U133A__UPP1	5.0584	5.6322	4.9845	5.0589	6.9232	5.299	6.6679	5.9974	4.9958	5.0688	5.6954	7.8197	6.1613	9.6091	5.2682	5.0163	6.3642	6.4785	7.3965	6.2153	5.1453	5.9254	8.1145	5.4148	6.9723	4.8951	5.5995	8.0609	4.8817	8.3517	4.624	6.9538	8.4167	7.2426	5.2043	5.3043	5.2285	5.6796	5.0327	5.0486	5.1655
U133A__RAGE	6.0153	6.1349	5.6582	5.9482	7.2698	6.0013	6.7008	6.0206	5.8776	6.0351	5.5039	7.6833	5.9007	7.0987	6.3245	5.9309	8.8647	5.7582	8.3499	6.0592	5.9778	6.0999	6.24	5.936	7.0726	5.6932	6.5152	5.9202	5.9935	6.5255	5.614	7.5141	5.9461	7.6006	5.8088	5.7914	6.1698	5.6803	5.8604	5.3095	5.4439
U133A__STK17A	4.9501	5.586	5.9762	6.0216	6.566	5.4767	6.8878	6.4057	6.6561	5.4821	6.0291	8.4562	5.8604	8.8451	4.2898	5.3348	6.9874	7.9924	7.3272	6.1679	5.637	4.929	8.7568	5.3935	7.6759	6.849	5.6005	7.6556	6.2104	7.1288	5.4237	7.6464	7.6153	7.0711	5.235	5.8133	6.2781	5.7631	5.1737	6.1401	6.3458
U133A__GATA3	4.3432	3.6303	5.039	9.974	4.1358	8.5593	3.5801	2.9041	5.2215	8.0058	4.0984	4.9866	4.7334	5.0131	7.259	7.9089	3.0972	5.4572	3.2756	8.2784	9.0129	8.8407	2.9786	7.4635	3.0718	7.1761	6.9304	3.0294	9.0051	5.2047	4.2017	3.2494	3.2905	2.7796	8.2158	7.0477	8.5736	7.9187	6.4257	7.0591	8.156
U133A__IFNGR1	6.2688	7.5228	6.3571	5.4815	5.8801	5.2355	5.7804	6.8528	8.334	4.6056	6.7327	8.5441	8.1554	6.8216	4.8815	8.3696	6.9811	8.2171	6.8533	6.2653	5.2145	6.2502	7.4998	6.6431	6.5338	6.6722	6.1714	7.2957	6.5028	8.8206	6.212	6.5564	7.4746	7.0159	6.9089	6.8947	5.0929	7.0664	5.7274	6.1177	6.2415
U133A__FKBP4	7.8938	7.2314	7.8308	8.6332	6.4693	7.5977	6.5142	6.4888	7.6079	10.106	8.0188	7.4516	7.9534	8.2485	6.6807	6.7073	8.3906	7.4821	6.6219	7.3035	8.5173	9.1486	6.0714	8.2269	7.0025	8.2281	5.9213	7.899	7.3097	6.3919	8.068	6.4055	8.0056	7.8416	7.6881	7.2406	8.8391	7.4746	8.1696	8.2421	8.6481
U133A__GCLM	6.0291	7.5479	5.4249	5.7461	7.6196	7.7395	6.217	5.5992	7.0837	7.1773	7.0669	8.3129	8.4717	7.7987	5.9682	6.114	8.1152	8.4664	8.4537	6.8713	5.8763	6.9286	6.4362	5.0065	8.8706	6.9329	7.2826	7.292	6.7209	8.5339	6.6394	7.626	8.7869	8.1921	6.054	7.1043	5.0209	6.7278	4.8826	7.8625	6.8645
U133A__SLC16A1	5.5794	5.7645	6.0565	5.5591	7.9693	6.5954	7.3612	7.3152	6.2764	5.9809	7.3342	8.5427	8.3794	8.0237	5.8946	5.2666	7.0439	8.4403	7.6278	6.1698	6.5289	6.4164	7.8131	4.8744	5.4479	5.6483	8.4516	8.7246	5.5286	6.8735	5.5178	8.0539	8.2358	8.9896	5.3126	6.7675	5.835	6.0467	4.937	5.5224	7.0823
U133A__HDAC2	7.3362	7.244	7.6767	6.867	7.551	6.9395	7.3048	7.0874	8.1325	6.5409	7.9756	7.3507	7.9535	8.3325	5.4068	10.9012	7.9686	7.7932	7.6404	7.0908	6.704	8.7541	7.7129	7.1234	8.2561	7.7281	7.5994	7.9714	7.9039	8.3523	6.9991	6.7312	7.6319	8.2541	7.5854	7.4804	6.7918	7.5777	5.8817	6.6741	7.6247
U133A__SUV420H1	8.4184	6.2935	8.3197	7.3251	6.0152	8.0207	5.3438	5.9581	8.1196	6.0526	5.2183	5.9548	5.9755	5.019	5.5126	6.6016	5.1908	5.786	5.2395	6.1525	6.3096	5.3072	4.9307	7.1395	4.5903	5.949	6.2792	4.7395	6.8667	6.7692	6.0065	5.2142	4.8774	4.6831	6.5164	7.155	5.7848	6.6498	7.9656	6.3312	7.6793
U133A__CRIM1	6.6823	5.0556	4.5538	5.2347	6.6582	3.5903	5.9807	7.9088	5.0214	5.8645	5.4013	6.6716	6.0828	6.2967	4.8205	6.6118	6.6738	6.4677	7.6681	4.209	4.0619	4.8435	6.3739	5.1213	8.3257	4.25	5.0642	6.0909	4.1324	7.3998	4.8529	6.1856	4.9762	7.7736	5.3263	7.3237	6.0612	4.7611	3.0831	4.6988	4.056
U133A__CA12	9.2856	6.8362	6.6024	10.0646	4.94	9.4907	5.492	5.3522	5.2704	9.9923	5.8997	5.8965	5.9293	4.8096	8.2238	5.138	5.3006	5.1204	6.4199	7.0757	8.7923	10.1694	5.1916	8.8035	5.7859	7.8998	10.1217	9.4883	9.7319	5.0811	8.5665	7.398	5.5183	8.3814	7.6774	8.1588	9.8759	9.6625	8.016	9.0663	9.0498
