Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__SNX7	7.2258	6.9361	6.3575	7.242	8.2264	6.3147	7.9095	7.2735	6.4903	7.5596	7.2552	8.0102	8.1539	7.6537	6.9576	5.9321	7.1316	7.9242	8.5314	5.7752	7.1402	5.4831	8.5363	5.4501	9.0729	6.7602	6.3801	7.3863	7.3553	8.9996	7.4533	9.1969	8.5021	8.5449	5.1871	5.9201	4.634	7.2475	6.574	4.966	7.2083
U133A__EIF5A	6.1532	10.2322	6.6804	8.676	10.141	10.3505	9.8574	7.0561	6.2771	10.4307	10.9743	9.7164	7.3039	9.2206	10.7045	10.6954	11.0518	10.9733	11.4584	6.2508	7.0806	7.2351	10.9628	6.3987	9.8155	8.213	8.5732	10.7809	9.7217	10.5292	9.4725	10.7482	11.3354	10.6383	7.469	10.9772	6.6051	6.774	8.3558	6.3053	9.9089
U133A__LDHB	4.1912	9.5557	7.7198	7.4019	11.1499	3.7442	10.385	10.2809	11.5671	9.3184	11.4528	11.4705	11.0616	3.5408	6.3778	11.1987	10.7072	8.8148	11.0885	3.5489	4.7582	3.8705	10.5632	11.012	11.6052	10.7455	9.8168	11.3903	3.3627	7.3532	10.4303	10.9508	11.7129	11.5033	3.5016	10.3626	4.7713	8.3895	3.3083	4.5865	3.6779
U133A__PHLDA1	5.8382	4.4531	4.5088	4.1534	6.2364	3.6929	5.3714	5.9748	4.3261	4.9452	5.4819	8.5993	8.0713	8.0033	4.3273	5.8991	6.5052	6.6058	9.3967	4.738	4.353	4.468	7.4466	6.5506	9.4625	4.3342	4.674	8.6611	3.9009	7.3799	3.6627	8.757	7.7525	6.9589	3.8358	3.679	6.5088	4.2782	3.659	5.4414	3.5303
U133A__CDH1	9.4054	3.1026	10.1506	10.8025	2.7451	7.2616	3.7836	8.8869	7.6506	10.3047	8.1115	8.7079	9.9294	9.3213	10.668	2.9912	9.3955	9.9431	3.1604	9.7553	10.3314	4.8896	2.9383	10.1819	3.7691	10.7292	10.1856	2.9604	5.9099	7.8365	3.9307	3.1058	9.2079	3.5212	10.1757	9.7177	9.7436	10.2468	10.6202	4.1184	10.3636
U133A__INPP1	4.5957	4.4569	4.9835	4.834	5.0794	5.1826	7.3585	5.963	4.6759	5.639	5.6827	7.4891	8.6164	5.1384	5.125	5.405	5.9736	6.8993	6.1595	5.0695	5.2167	5.3192	7.3656	4.5652	7.1876	5.2332	5.0871	5.0822	5.2625	5.1707	4.6214	5.2558	5.5906	7.2272	4.1464	4.8667	4.4657	5.4371	4.7565	5.2376	4.867
U133A__TTC39A	6.7363	7.9537	6.888	8.6528	3.8361	6.2428	4.2693	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	5.2844	6.965	5.4051	6.2015	3.7661	4.5869	7.2805	6.8676	3.4222	5.9355	4.2968	7.8908	7.3398	5.0521	7.8998	5.7429	7.1437	4.1734	3.6019	4.3341	7.0522	6.696	7.1654	8.5979	6.5769	7.6768	7.4901
U133A__MT2A	10.9552	11.1401	10.4878	10.1506	11.974	9.7104	12.6273	11.2993	9.0299	11.5175	10.4585	11.412	10.5068	12.4137	9.6896	9.637	11.1486	10.5049	12.7479	9.4434	9.8433	9.9102	11.5674	10.5695	12.3499	11.3019	12.5433	12.2377	10.9416	12.3951	11.1928	12.3549	12.769	12.9115	10.216	11.154	9.7036	9.4884	10.4759	12.5701	9.1116
U133A__KIAA0100	8.8681	9.2054	8.8628	8.6047	7.4282	8.9246	7.5337	7.7525	7.5068	7.9503	8.0312	8.2047	7.8415	8.2902	9.0749	8.4022	8.2701	7.6288	7.6848	8.8026	8.3881	7.8276	7.2512	8.327	8.6738	9.0547	7.8274	7.5392	8.4813	7.605	9.7569	7.9615	8.3141	8.6067	7.8017	8.3358	9.2605	10.2621	8.2115	10.903	8.5997
U133A__ODC1	7.2658	9.8365	8.4784	6.9821	9.6858	8.5726	9.7688	8.7274	9.1805	7.4758	9.8632	10.1008	8.6725	9.8299	8.3002	11.1687	9.0012	8.249	10.7288	10.2742	8.7641	8.0235	8.4529	6.0289	10.6684	8.4585	8.5167	10.4742	8.8369	8.9036	8.9235	9.6933	9.8585	11.6096	8.7049	10.6549	8.7207	7.7962	6.2178	7.3623	8.5418
U133A__BCAM	10.151	8.1702	8.9493	8.1994	6.1925	7.2428	7.4964	8.1735	7.7114	8.0871	7.3462	6.5328	7.6031	6.7278	8.1161	7.4603	7.2592	6.6556	7.1254	7.5406	7.3836	8.8748	6.9566	8.1709	6.6431	9.5823	7.5033	6.4178	7.9197	7.0762	9.1546	6.9064	6.5732	6.4991	9.2367	9.1207	8.013	8.2831	7.997	9.1362	7.2864
U133A__GPRC5C	7.4235	6.1309	6.7046	6.796	5.3902	6.9703	6.1972	5.6507	5.5117	6.314	5.8513	5.5639	5.7202	5.8357	8.0014	6.4456	5.8599	5.6807	6.194	6.4966	6.7739	7.9681	9.0957	7.5182	5.7214	8.3154	6.1173	5.323	7.1564	5.6728	6.0889	5.7109	5.5935	5.16	6.7736	6.2738	7.4572	7.4876	7.2886	7.2206	6.3964
U133A__NNMT	7.4816	6.4025	4.3441	4.2984	10.43	4.4886	8.6418	4.4447	4.5027	4.0426	5.1421	4.462	6.0129	6.8071	4.8556	4.2145	5.8981	7.6329	7.5692	4.5485	4.4465	4.6024	10.1086	4.1548	4.4358	4.2956	4.9538	7.6063	4.3555	4.7903	4.6834	8.5814	8.774	9.9583	4.671	5.758	4.3408	8.3456	4.1626	4.4202	4.082
U133A__TAP1	5.7327	7.5006	6.3813	7.6236	5.9818	6.3709	7.4078	6.5781	9.653	6.8374	6.8908	8.2561	7.7278	8.4082	7.8418	5.7944	7.9218	9.3298	6.9324	6.4186	6.1383	7.2276	9.1618	6.1234	6.0921	6.3952	7.2535	6.5874	5.9068	9.2916	6.5505	7.8065	7.5458	7.6768	5.8906	6.2797	7.491	6.9934	6.2227	5.7339	6.26
U133A__MUC1	10.1555	9.7623	8.1214	10.3854	6.7355	8.7127	6.3368	8.4463	6.4213	9.1046	5.7418	5.1906	6.0486	7.3453	8.4879	7.7259	6.8365	9.5673	5.6403	7.1832	7.3812	6.1272	6.3008	10.2523	5.2223	7.5387	9.6077	4.8726	5.4753	8.5079	6.9283	6.0402	6.3749	4.8389	5.6669	7.0484	9.262	11.7763	9.5261	7.7096	10.3378
U133A__MT1P2	10.1084	9.8881	9.719	9.2436	10.5395	9.2019	11.5542	10.3683	8.2837	10.6617	9.531	10.1679	9.6322	10.9101	9.1045	9.0536	10.1399	10.1722	11.5302	9.2927	9.0609	9.141	10.3507	9.5369	11.052	9.9655	11.5305	11.07	9.8421	10.8688	10.038	11.0822	11.8502	11.6559	9.2834	10.1061	8.6721	8.6118	9.5654	11.309	8.5364
U133A__ALDH4A1	6.0591	7.4246	8.3471	6.7169	6.082	7.9374	6.3639	5.962	6.3012	7.4468	6.466	6.4855	7.1706	5.8314	9.2661	7.2935	6.2652	7.3004	6.2349	6.5478	7.738	7.2079	6.0012	7.847	5.8512	7.521	6.2685	6.068	9.9506	6.211	7.4964	5.9475	6.3586	5.7202	7.4961	6.5002	7.6683	7.696	7.7586	5.9932	7.7793
