Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__IGFBP2	8.5819	7.265	8.5701	9.2045	10.6598	5.7406	9.0647	7.9946	7.7249	6.7037	9.6491	9.7208	8.1824	6.5365	7.6499	7.3055	7.1166	7.7549	8.2099	5.7756	6.114	6.1845	8.9304	9.2132	7.7601	5.934	10.1046	8.3743	9.0101	6.3136	5.7437	6.0489	6.0078	8.2235	7.9551	8.6306	8.9587	9.4836	8.4837	9.1231
EA_G__NRAS	8.8555	8.6798	10.3366	8.779	8.7419	10.1321	9.294	8.8577	7.8488	8.7858	5.968	8.8714	5.4055	9.1916	9.9501	8.9914	9.1434	5.3664	9.5788	10.417	8.7148	9.4073	10.6152	11.0763	8.9749	10.0815	8.4322	7.5223	8.2559	8.7267	9.918	9.3361	9.5803	5.4178	5.0209	8.1186	8.3406	5.1291	5.3785	4.6904
EA_G__TFF3	9.2227	5.933	5.6996	10.0034	10.7125	5.7698	6.0317	5.2869	5.5149	5.2225	11.1718	9.6618	5.4121	5.8319	5.6036	5.5634	8.4004	6.5691	5.6123	5.5181	5.8234	5.3069	7.253	7.5253	5.1884	5.6698	10.8538	8.3961	6.3143	6.2639	5.6818	5.5285	5.7962	10.7256	6.6908	7.1122	7.4428	11.8709	7.4014	9.3846
EA_G__C17orf28	9.3617	9.729	7.4386	9.6197	10.0389	5.5952	9.5722	6.3666	6.9129	5.2734	10.3721	9.0304	5.4402	6.5831	7.025	7.3859	10.3392	8.2773	7.1557	5.8027	7.1023	5.3634	9.1167	9.277	5.3589	6.1912	11.1353	8.8997	11.0475	9.6716	5.6045	6.3796	5.9321	9.479	9.5063	9.3071	9.6105	9.9773	10.4072	10.4021
EA_G__C9orf52	5.4336	6.3541	5.4953	4.4137	7.8017	5.4187	5.4913	5.2176	6.1326	4.9922	7.0446	6.233	6.1965	4.829	5.2363	8.3683	7.254	5.0067	6.3737	6.5044	8.2294	5.0142	5.7081	6.4979	5.6911	5.3056	5.1317	5.4161	4.8514	5.5256	4.9481	6.4278	4.239	7.2634	7.006	6.6735	7.4269	6.4038	6.5127	6.1107
EA_G__KIAA0040	7.8069	7.4789	6.7956	8.0575	9.0121	3.8	8.4048	6.4704	6.2146	3.5663	7.7336	8.3521	5.6685	8.0741	7.745	7.301	7.8004	6.8134	6.2849	4.5853	7.7369	4.0879	6.7133	6.7455	4.2463	4.9457	6.8716	7.5622	7.7957	7.5472	3.741	6.2459	5.6792	7.6424	7.7124	8.7967	7.0601	8.0289	7.7549	6.7365
EA_G__IRF6	9.1696	8.0282	7.5604	8.1633	10.1843	3.8128	9.1797	10.0554	6.7037	4.5638	8.2055	9.4594	8.5462	9.872	9.6737	8.8168	8.5601	8.441	8.7425	4.26	8.7031	4.1966	7.1606	7.4177	4.2715	4.6084	8.7099	9.4025	8.2687	8.274	4.6999	8.2688	5.0442	8.089	8.7285	9.079	8.3038	7.8424	9.1979	8.3068
EA_G__SERPINE2	4.0868	4.5291	7.1362	5.0367	4.5921	8.5856	4.3339	6.6648	6.196	10.0503	4.0924	4.3624	6.511	6.4522	5.0436	6.2877	4.351	4.4667	7.9244	5.5267	4.4716	8.6674	4.8736	4.5462	7.5002	6.157	6.2779	4.8582	4.7758	4.3674	6.3207	7.4697	5.5084	4.4828	4.7034	4.6027	4.4743	4.4909	4.3197	4.6893
EA_G__FAM77C	5.5986	5.2746	5.141	5.8177	9.2404	6.2285	6.2276	5.3808	8.9727	5.7255	5.6698	8.9535	6.7136	5.356	5.6356	5.4778	6.8957	5.3006	5.5056	5.3072	5.7193	5.0108	6.0272	7.3493	7.2011	5.2503	6.1178	5.1351	6.0575	5.6643	5.5834	5.2124	5.4421	6.2118	6.579	6.0491	6.0703	7.1372	5.5503	5.5351
EA_G__TSPAN13	8.9952	9.6423	8.1642	10.1182	9.6628	5.2331	8.9285	7.1263	8.3643	6.2564	10.0071	9.488	7.0469	8.4981	8.9186	8.9	10.0359	9.8295	7.9678	6.1771	9.4757	4.5718	8.6216	9.4154	6.6857	5.7384	9.4215	9.7858	9.0558	9.2686	9.1487	6.0293	5.9884	10.2356	9.635	9.965	9.7869	9.9264	9.7648	9.4508
EA_G__GYG2	7.8871	7.1576	5.0908	6.2027	6.4853	5.2693	5.7758	5.0278	5.4435	5.294	6.8818	5.6047	7.0613	5.6904	6.3938	5.9091	5.2829	6.7178	4.9633	6.8701	5.4592	4.9197	6.1102	6.7559	8.9014	5.5224	7.9013	5.0136	6.0633	5.6047	5.4549	5.4488	5.136	5.1981	6.3422	5.6961	5.9374	7.7537	7.8063	7.0443
EA_G__LOC100049076	7.0936	7.0762	6.7879	6.3557	7.0575	6.2671	7.8785	6.241	7.2365	7.6562	8.0347	8.0606	7.9715	6.8279	6.8261	6.4388	6.8744	6.2467	7.4016	6.368	6.2444	7.2473	6.6934	6.7555	7.1619	7.0123	7.754	8.6545	6.3745	6.662	6.4034	6.3731	7.1051	8.438	6.6784	8.4421	7.3706	8.4095	8.8073	7.8687
EA_G__CTGF	7.8838	7.0133	5.9156	5.884	6.0218	9.3777	5.681	7.7782	6.5942	7.1026	5.7885	5.882	8.7018	6.664	6.8898	6.9109	5.8146	7.1419	8.6485	7.6684	6.5018	10.62	6.0448	6.3716	7.6168	8.8141	5.7406	6.065	6.5061	6.6274	9.1454	7.3645	8.134	6.5749	6.6338	6.6145	6.0636	6.0606	5.9837	6.0465
EA_G__ZNF552	7.4897	6.2846	5.0135	6.6113	8.7231	5.7557	7.2646	5.9294	6.3298	5.1079	7.3401	8.9754	5.1354	5.9876	6.8188	6.4273	8.1867	6.7368	5.6621	6.2769	5.7796	5.5615	5.8853	5.7611	4.8218	5.4258	7.2799	7.4622	5.5762	6.7348	5.4915	6.2575	5.7401	8.0396	6.6779	6.4069	7.702	7.8214	5.5955	6.8744
EA_G__ASH2L	8.3695	7.5032	8.8317	8.7541	11.3249	9.0738	9.9881	7.9064	8.8671	8.6079	8.9691	8.9276	9.3402	7.9872	8.3893	7.9697	8.5692	8.6524	8.3482	9.6057	7.7414	8.9074	8.2283	8.1755	9.0545	8.812	9.2976	8.2044	8.7109	7.7592	7.9237	8.0788	8.1687	9.0115	8.2323	9.8576	8.6394	8.8618	9.9775	9.9512
EA_G__IGF2BP3	3.6624	4.2122	8.2012	3.8851	3.6266	4.6605	3.6779	7.2037	4.1296	7.5191	4.0699	3.6299	7.7252	8.3337	6.971	7.5306	3.9006	4.3622	6.5162	8.1443	7.9738	7.2336	4.1652	4.2482	8.6283	7.7226	5.4133	4.7006	4.2992	4.4079	8.7171	4.3408	5.2561	3.7931	4.4225	5.3115	4.8538	3.948	3.8747	4.3159
EA_G__ADM	6.4321	7.8699	8.2549	6.7316	6.3919	9.2873	6.4248	8.2428	6.6451	7.5044	6.2464	7.0564	6.6729	7.9741	8.8778	8.7503	7.8693	7.2347	7.2128	7.2707	6.52	10.4389	7.4329	6.5314	8.6667	8.0916	6.7527	7.0205	6.9918	7.7146	8.0335	8.0033	7.3379	6.5653	7.3322	7.1694	7.7755	6.1965	6.2225	6.2827
EA_G__MME	3.7488	4.2193	3.9441	5.8745	3.8299	5.8503	3.7392	4.4121	4.1589	5.4356	3.8361	3.8756	4.0762	4.4176	7.8495	4.8749	5.7301	3.9929	4.2718	10.0839	9.1142	5.8842	4.1751	5.6371	10.2583	4.1547	3.6984	3.8362	6.2662	4.2118	10.1735	8.6152	7.2612	4.1969	4.1179	4.223	3.8639	3.7725	3.6667	4.0496
EA_G__RND3	10.1573	7.8999	8.9547	6.1271	6.4514	9.3787	6.5605	9.1991	7.1835	8.7782	9.0163	5.1647	6.6321	8.5989	9.4839	9.9065	8.1357	10.6716	9.4119	9.059	9.3223	10.8501	8.1155	8.1217	9.0663	9.5673	7.2105	7.5672	7.4692	7.9216	7.9453	9.0072	8.2004	7.6541	8.8924	8.1492	7.8509	4.3407	5.9197	5.8057
EA_G__MPP1	4.6323	4.6149	5.5659	4.1933	4.53	7.3661	5.2864	5.9491	6.1238	6.5432	4.0628	4.851	6.9422	6.5674	5.376	4.4365	4.4762	5.2199	6.7918	7.3067	4.5936	7.6194	4.6365	4.6134	8.3037	7.4557	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	5.4014	4.4879	6.8111	6.0661	4.9223	4.6406	4.793
EA_G__LTBP2	6.4939	5.7345	6.5526	5.8484	5.7214	5.8612	5.9966	7.2573	9.4343	6.9893	5.5716	5.7214	6.0676	6.8141	6.828	6.5184	5.9301	6.3254	6.36	8.5798	6.1362	8.6763	6.3948	6.1604	8.5092	6.5464	5.7252	5.5235	6.3771	6.142	7.3028	6.7043	6.306	6.5798	6.8782	6.3072	6.3083	5.977	6.2503	6.0799
EA_G__SYCP2	7.275	5.8983	4.4894	6.4484	7.8828	2.9936	6.9637	8.0918	3.8402	6.6285	9.2616	7.9569	7.1003	2.8373	5.943	6.7598	7.9079	3.9092	3.2976	7.3214	7.2432	2.5679	6.2527	6.8523	5.076	2.5324	5.136	7.891	7.1419	4.9946	6.3317	4.3206	2.547	8.7546	8.0635	7.9788	7.4247	9.02	5.1181	4.4648
EA_G__PLTP	5.0073	8.5711	5.2753	5.2791	5.2349	10.3023	5.2284	4.7825	8.4926	6.2465	5.1712	4.9001	5.0077	9.6842	6.7248	4.9769	5.2512	5.1362	5.2193	8.4584	7.8778	7.0504	5.3973	5.4912	5.7376	5.4134	5.2568	5.2596	6.0475	9.1856	5.2902	6.5947	5.3555	5.1643	5.662	5.5689	5.832	5.2921	5.1842	5.1372
EA_G__KIAA1754	5.6979	6.2297	6.5357	5.8518	5.2852	6.9463	5.4686	6.2887	5.9089	7.0913	6.134	4.8143	5.9613	7.0933	6.3267	6.952	5.9693	5.6172	6.357	5.9586	6.7698	8.4302	6.1948	5.7878	6.2668	7.5315	5.084	5.6017	5.8272	6.0504	8.4361	6.3043	7.7256	7.0121	6.5976	5.8607	5.6484	5.4141	5.5	5.3359
EA_G__MAML2	5.1654	6.667	7.8134	4.6254	4.5892	7.6742	3.8292	7.95	6.2085	7.2799	3.5172	3.7807	8.8662	6.2387	7.5965	8.5358	5.4807	8.6942	7.8364	7.5118	8.6885	7.9423	4.9397	5.5006	7.8878	6.8569	5.7608	3.7884	4.3487	6.4097	6.6754	7.3799	7.2715	6.203	5.7587	4.7606	6.1689	4.2942	5.1283	4.2388
EA_G__INHBA	4.4157	5.1581	8.1871	4.5395	5.5901	8.8598	4.8232	7.3236	6.0828	7.322	4.2724	4.7245	4.8786	6.9908	6.3432	8.1192	4.7776	4.7682	7.6801	5.3617	6.0516	8.9587	5.1789	4.9393	8.3441	5.4346	4.3707	4.4921	5.5462	5.3421	4.2383	8.171	4.7614	4.6445	5.0442	5.0919	5.2185	4.3351	4.6254	4.2807
EA_G__PLAC8	7.5849	4.3784	5.5335	4.6404	4.3999	10.3303	4.3519	5.8883	4.8316	4.5305	4.5206	4.5626	5.6797	6.7942	9.6931	8.6522	4.341	4.9466	4.7212	5.0038	5.431	6.1799	5.5596	4.9022	8.1083	10.2787	4.2949	5.6506	5.2538	7.0254	5.0214	8.0194	10.047	7.6014	4.7039	7.0826	5.2624	5.1686	4.2791	4.7688
EA_G__LARGE	7.5776	7.6411	6.3724	8.2811	8.8172	6.4327	9.2071	5.23	7.0295	7.4912	8.5957	8.6586	7.3338	5.688	5.8935	6.4137	7.4822	9.0514	5.108	4.9343	7.5548	5.6162	8.0168	8.493	6.9842	5.0348	9.7924	7.8886	8.0502	7.5051	6.4651	5.3077	5.0334	7.6831	7.6621	6.5147	7.7088	8.4373	8.51	9.0378
EA_G__ERBB3	9.6684	9.5479	7.8567	9.4394	10.4453	4.3498	9.8292	7.4364	7.8742	4.4095	10.05	9.2441	9.4138	7.239	7.3572	7.9625	10.1738	9.7082	7.3935	4.2979	8.8706	4.0683	9.4649	9.439	3.9776	4.5784	9.6653	10.1482	9.5168	9.1277	4.1238	6.8843	4.2234	9.5831	8.8726	9.2288	9.7254	9.7608	9.5803	9.1455
EA_G__VIM	5.3344	5.158	5.9012	5.9379	5.5988	10.7977	5.4171	11.3817	8.0182	11.1534	5.2627	5.1136	9.4485	5.5819	6.772	7.9764	5.239	5.4915	9.8841	10.9289	7.2613	11.442	5.4061	5.6065	11.8277	10.3946	5.2262	5.1511	5.8853	5.6673	11.8249	7.839	11.273	5.4748	5.4106	5.6659	5.91	6.5815	5.3475	5.5621
