Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__CES4	-0.627	-2.149	0.18	-0.004	0.161	0.179	0.089	-0.05	-0.2	0.091	2.452	0.254	0.626	0.919	0.504	-1.56	-0.316	-0.113	0.877	0.916	0.442	-0.133	-0.436	2.724	-0.074	0.245	-0.22	1.808	0.158	-1.816	1.372	1.53	0.026	-0.24	0.86	-0.145	-2.051	2.179	2.961	1.452
EA_G__HIST1H4F	9.3096	10.1766	6.6891	6.5893	6.1192	6.0342	6.9893	6.2196	6.8731	6.789	6.1668	6.2814	6.5782	10.2247	6.2046	6.3489	6.6103	6.7268	8.9075	9.4822	6.246	5.4877	8.2487	8.3599	9.5996	5.8309	6.5338	9.9472	7.8608	9.833	6.1433	5.8144	6.5602	6.362	5.685	6.2002	8.1842	5.9407	6.568	6.1126
EA_G__BRF2	6.6475	6.2276	6.4428	7.0071	9.4145	7.2164	7.8488	7.1488	6.7196	6.3591	8.1825	7.3209	8.0953	7.5814	6.3615	6.3304	7.0358	7.0131	6.7187	8.2402	6.0198	6.7729	6.6952	6.6157	7.437	6.5626	8.153	6.7856	6.8661	6.5485	6.3313	5.8399	6.6518	7.0016	8.8859	8.022	7.1646	6.5129	7.7892	8.2845
EA_G__C1orf218	7.4242	6.7585	6.6478	7.7296	7.8377	4.8299	6.1538	5.7539	6.1505	5.7112	7.0907	6.9728	6.1713	6.676	6.6411	6.7272	6.9322	7.6856	6.7783	5.7804	8.1156	5.8114	6.2471	6.7206	6.1616	6.2937	7.1937	7.2887	9.2348	6.5456	5.1798	6.2832	5.6584	7.7131	7.6903	7.2075	6.4256	7.7697	8.9776	10.3715
EA_G__NPR3	5.053	6.2791	4.3066	8.8301	6.5755	7.1153	7.7103	6.7764	7.8595	9.2488	4.0526	4.1831	4.8551	4.542	3.9992	4.2357	7.6376	8.6244	6.8258	8.5735	8.2467	7.9171	4.6729	4.8031	8.9189	4.4893	5.0461	4.2088	5.8023	6.4772	4.3789	4.7253	6.205	5.898	4.3344	4.9976	4.9285	4.4669	5.0264	4.4551
EA_G__CMTM7	7.8658	5.9188	6.2141	7.1049	5.3678	7.6197	5.935	8.8032	7.0911	8.1796	5.1804	5.5291	8.2411	8.1877	7.9604	5.5399	5.3654	5.849	8.9538	7.5776	8.2734	7.6982	6.3971	5.7649	7.7657	8.3036	5.4139	6.5478	6.1254	6.2854	8.5469	7.8743	7.6306	7.0904	5.7507	6.2845	7.1193	7.5985	5.557	5.7201
EA_G__S100A2	4.9938	4.9619	5.4168	4.3304	4.8145	6.0816	4.8565	9.6017	5.8766	6.2329	4.4923	4.5089	4.6254	9.9432	7.9132	6.2996	4.9466	5.0789	9.6456	6.3764	7.9301	5.4236	4.7519	4.6769	6.233	5.8	4.2069	4.6835	5.3593	4.8616	7.3285	8.6077	6.9381	4.8188	5.1131	5.1742	4.6866	4.7369	4.5623	4.7572
EA_G__DSE	6.5087	4.9218	7.4749	5.6022	4.7233	8.355	4.9347	7.6562	6.4394	6.6805	5.0587	4.8985	7.5324	6.6408	7.9313	5.3415	5.3874	7.9374	7.4554	7.7246	8.003	8.3474	5.6499	5.7104	8.2435	7.6652	6.1001	5.1929	5.5859	4.9368	7.761	8.7834	8.6778	5.2952	5.4813	5.2387	5.0241	5.9327	4.7765	4.927
EA_G__WHSC1L1	8.2211	7.3636	8.0191	7.5646	8.6371	8.6315	9.4188	7.6437	8.5728	7.8112	8.2073	8.4367	8.4292	7.9034	7.5394	7.3496	8.0128	7.92	7.4006	9.3632	6.8412	7.8864	7.3858	7.3099	8.5908	7.543	8.563	7.8817	7.3956	7.3029	7.3875	7.5827	7.7311	8.1722	8.6743	9.7484	7.8569	8.2919	9.1075	8.918
EA_G__BST2	8.4769	6.3047	8.0706	4.4654	8.9227	4.6655	7.9335	5.4972	8.8686	4.3777	6.0733	7.9336	8.705	5.4719	8.4786	7.8429	7.819	4.5329	5.7838	4.2178	9.7105	5.6067	6.2145	5.7087	5.6229	4.88	4.5129	7.7721	8.045	4.8064	4.4884	8.2782	7.314	8.1446	8.8466	7.2096	7.1554	5.081	7.4286	8.4525
EA_G__SLC9A3R1	10.8284	10.4111	9.8632	10.9597	12.1339	8.7121	11.6704	8.938	9.3166	7.8985	11.4576	12.2228	9.8097	9.4062	9.2397	9.4918	10.8515	10.1126	9.0002	8.2983	10.211	7.7047	11.5891	11.5335	7.5431	9.0363	12.6162	10.3807	11.9228	10.702	7.9923	8.16	8.1862	10.5458	9.9597	10.2024	10.9276	11.5295	11.3238	11.858
EA_G__FLJ33790	6.6866	7.7222	7.3971	7.557	7.2318	6.5064	8.2235	6.9082	6.9404	7.3245	6.6492	7.3755	9.4994	6.7278	7.2245	6.7675	7.8922	7.2427	6.7291	6.6399	7.2212	6.2331	6.5074	7.7906	6.9103	5.9928	6.5489	6.2324	9.313	7.5911	6.9989	8.1377	6.4363	6.4097	8.3494	7.2226	7.5509	8.5104	7.5982	7.5542
EA_G__WNT5A	4.2203	5.7588	8.2415	4.3574	4.0287	4.6156	3.8004	4.9342	4.0127	7.1312	3.588	3.8275	4.9674	4.6742	6.1426	5.2261	4.0126	8.387	5.6833	8.2455	5.7529	9.2519	4.0882	4.4068	6.9374	5.785	4.2147	5.1055	4.6322	7.5613	6.4118	6.8442	7.2737	5.3906	5.0865	4.6946	4.6565	3.9395	5.703	4.3353
EA_G__DCBLD1	8.0507	7.3596	8.504	6.569	5.4158	6.654	6.1741	7.8853	7.573	8.619	7.2112	6.2603	8.716	7.3743	8.3283	9.1338	6.5455	9.7068	8.8283	8.211	8.1033	9.1712	7.6008	7.0742	7.9422	9.4711	7.2718	7.6412	7.4242	6.6999	8.6572	10.4023	9.4362	6.8646	7.1366	7.0277	6.9867	7.219	6.199	6.7029
EA_G__PLAUR	7.9049	6.7309	7.8258	6.0771	6.1861	8.4203	6.2934	9.2084	6.8231	6.865	5.7579	6.4228	5.9058	7.5242	8.1222	8.9373	6.4397	7.2079	8.2427	6.86	7.5313	9.1235	6.3205	6.2248	6.8885	9.49	5.3804	6.6653	6.2359	7.1679	8.7702	7.8366	7.568	6.2077	6.9525	7.3476	5.9986	6.1998	6.0948	6.4607
EA_G__FBN1	4.0325	4.4696	3.7873	4.3114	3.7441	9.1291	4.5158	3.9745	4.8806	9.1111	3.8068	3.7206	3.7491	5.0767	5.1934	3.7998	4.1794	3.9682	4.7343	7.9714	4.2928	10.7199	4.1196	4.204	8.9657	7.4142	3.7385	3.8478	4.9919	5.3032	8.5241	4.622	7.1987	4.0836	4.0056	4.4269	4.0175	4.0932	4.4051	4.1226
EA_G__B4GALNT3	7.1092	6.9649	5.6312	6.0981	8.3395	5.8707	5.7563	6.8101	7.5583	6.3181	7.2793	9.0251	6.5173	7.1681	7.1566	7.3057	6.2612	6.8762	7.7833	5.8952	8.2248	5.6841	5.8718	6.0511	6.0185	6.8599	6.3605	6.1138	6.6364	6.1034	5.842	7.6391	5.9322	5.8952	8.1763	6.2917	6.4298	7.3841	6.1195	6.4727
EA_G__PDCD4	8.7451	7.2221	4.9274	9.1525	9.6114	6.9065	9.7468	6.4642	9.1019	7.7495	8.5973	10.2921	6.4907	5.6176	6.6294	5.985	8.6672	8.9419	5.47	6.8651	7.9542	5.877	8.1806	7.8868	6.0254	8.695	9.6332	10.4832	8.1844	6.4457	7.2904	6.741	5.8866	7.7702	8.4289	7.9408	8.9593	9.1703	10.8018	10.2493
EA_G__ABCA12	4.3109	7.364	7.1095	6.8238	7.0373	3.3572	3.9202	3.4709	3.3851	3.4184	8.1267	8.8693	3.3669	5.5671	6.1363	6.2983	5.5426	6.998	4.6112	3.2091	5.7931	3.2291	6.2715	9.5323	3.1101	3.3908	10.1166	5.9646	7.5299	8.0032	3.6763	5.1243	3.733	6.1352	9.0577	7.3809	7.9179	9.511	9.895	8.4165
EA_G__LRIG1	9.1612	8.4644	7.5392	8.7042	8.5962	7.0764	8.4047	7.6769	8.3325	7.3526	9.3453	9.2857	7.6133	6.3691	7.9605	7.5204	8.2662	9.2238	7.7319	6.9662	7.6377	8.0083	7.897	7.9151	6.6753	7.0332	9.4991	6.4779	9.8144	7.5698	6.9521	7.7575	7.6009	7.4641	8.9085	8.3308	9.4649	8.0402	8.882	9.1154
EA_G__SLFN5	6.3551	4.5627	3.6113	7.9279	3.3937	4.6782	3.8517	6.4659	5.4428	6.1726	3.1811	3.7721	5.7445	5.5597	6.1661	8.0224	5.4493	7.6382	6.6715	5.8769	5.0148	6.1858	3.8609	3.6344	5.5046	5.5264	7.019	6.8036	5.2233	5.1094	6.6307	6.8766	6.7561	6.619	7.6172	5.8034	6.9799	3.166	3.9379	3.9261
EA_G__ATP7B	6.2045	5.8567	5.7373	8.4859	7.6758	5.5861	8.0376	6.1909	6.562	5.3359	7.9776	9.3079	6.3782	5.2183	4.7565	5.8059	7.0642	5.7551	5.9086	5.888	5.2875	4.8425	6.5883	6.4678	6.1273	5.1534	9.4854	8.2401	5.8082	6.645	6.3643	5.7143	5.6434	6.7281	6.2771	6.1749	6.2514	9.3683	7.6427	6.5602
EA_G__SERPINE1	5.4251	5.8986	5.9074	5.4065	5.5036	5.6132	5.2081	6.988	5.5114	5.7937	5.0759	5.1916	5.1886	7.6995	7.0332	7.2798	5.9422	5.2755	7.7287	5.7854	5.5744	11.9346	5.8429	5.6226	6.3332	10.2428	5.0146	6.1282	5.9937	7.8398	8.1438	5.5569	11.8792	5.5559	5.6639	6.5275	5.4098	5.4253	5.331	5.4464
EA_G__EFHD1	9.6927	10.4897	6.7838	10.8877	11.0855	6.4363	11.3552	8.4531	10.9246	7.5588	10.9769	10.5969	8.0806	6.5687	7.1335	7.0749	11.1351	10.7681	8.1233	6.512	6.812	6.1904	7.6784	9.8691	6.8011	7.1188	10.1568	10.3331	10.1827	10.9819	6.6063	7.3525	6.5382	10.5168	10.3753	10.2061	10.8369	10.3846	11.0058	9.4912
EA_G__SLFN11	4.0289	7.3239	5.1422	3.4401	6.6335	8.8063	3.6834	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.7642	3.9415	3.8847	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	5.043	3.6201	7.8717	3.9968	4.9768	6.6291	3.8912	4.3298	8.1337	4.0513	4.9569	8.2407	7.1963	5.6434	3.6617	3.6138
EA_G__PNPO	8.7882	8.1562	8.3341	8.2753	8.9159	7.7222	9.2247	10.6234	7.8616	7.9387	11.3371	8.8667	8.2731	8.2194	8.6054	8.5096	9.0508	8.3666	5.1365	8.9765	8.508	8.3284	9.3787	9.8038	7.5153	8.4429	9.8215	8.2369	9.3371	8.0346	8.2333	8.4208	8.7819	7.4562	8.8604	9.2944	9.1859	8.9543	9.8133	10.073
EA_G__EPHA2	9.1154	8.5414	9.6508	7.3461	6.8444	9.4567	7.1665	8.6973	7.4528	7.6542	8.0337	6.4815	6.9884	9.9389	10.0314	10.1517	7.8157	8.3948	9.354	9.0916	8.7865	9.6476	7.7947	7.5449	9.4881	10.4042	6.9463	7.1418	7.4838	8.3671	8.6969	9.6151	9.4186	8.7254	8.4036	7.5725	7.0417	7.2961	6.8289	7.5115
EA_G__FXYD5	9.087	8.4722	10.1501	5.1452	6.8194	10.3061	5.212	9.9677	7.5861	9.9666	4.9676	5.8157	8.678	10.7836	9.0929	10.6352	5.4508	7.316	9.7402	8.2865	10.1781	9.7392	5.3102	5.5668	10.1368	9.7893	5.2174	5.9207	8.6977	8.8892	7.4253	9.2964	9.4217	8.919	8.5269	5.7418	8.3542	7.2186	5.8579	5.2807
EA_G__ICA1	6.8007	4.2391	5.5241	7.7109	6.3638	4.2132	7.1927	4.9716	5.9258	3.7922	7.0962	6.1191	4.2211	4.1324	4.8164	5.9834	7.7682	6.8093	5.7834	3.9633	4.0011	3.8101	6.8677	7.0587	4.0082	5.9475	6.8185	5.8066	6.6253	6.7251	5.4292	5.8257	4.0589	6.974	7.7989	6.9839	7.286	7.3446	7.8273	7.4766
EA_G__MMP2	4.619	4.7727	4.6578	4.5862	4.3656	4.9219	4.4867	7.6929	5.7732	10.9422	4.4826	4.4733	4.9088	6.0595	5.4077	5.6186	4.9253	4.9941	4.6012	7.4544	5.7767	10.3265	5.0395	4.9834	9.8229	4.6176	4.5248	5.481	5.6996	5.2895	9.6213	7.411	9.4531	4.7076	5.1615	5.1411	4.8119	5.1935	4.914	4.563
EA_G__SYDE1	6.3871	6.1369	6.3992	6.3616	5.8841	8.4653	5.4574	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.6718	6.1217	6.9318	8.2904	7.7112	8.9081	6.0991	6.2731	8.7207	8.9894	5.7382	5.0994	6.1707	6.551	8.0444	7.0048	8.2118	6.1916	5.8197	5.9689	6.0967	6.1051	6.3412	6.0907
EA_G__ODC1	8.2896	10.465	9.5627	8.3575	7.6785	9.4687	9.336	10.0973	10.0351	9.0722	8.0106	7.8639	10.349	10.8011	10.2312	9.4858	9.4118	11.5169	10.2391	9.2002	8.7508	10.8136	10.032	8.9614	9.2352	10.9698	8.5127	8.4729	8.582	9.2004	9.8319	9.299	11.1664	9.3759	8.589	10.2758	8.5891	8.4029	6.8497	8.8356
EA_G__HOXC10	4.74	6.9683	8.1828	7.8332	9.4461	6.9178	5.1939	6.9379	5.1428	7.1737	8.5486	5.3777	8.2195	7.3622	7.208	7.7071	8.2843	7.6059	7.2768	6.7651	7.9149	6.8844	6.6844	5.3594	6.5243	4.9652	8.4344	8.7743	8.7311	6.6801	6.7435	7.9778	7.779	9.1746	7.9355	8.816	8.9938	8.9917	9.3653	8.1466
EA_G__DEGS2	10.094	7.8298	7.062	10.9171	11.1362	6.9738	11.1875	6.9282	7.169	7.3682	7.8178	11.8243	7.0946	7.2195	7.4204	7.132	9.2692	9.1281	8.1767	6.9468	7.466	6.9471	8.7706	10.052	7.0186	7.0805	9.9454	11.6743	10.5058	8.2788	7.3888	7.2168	7.1113	10.6843	10.3998	9.5285	10.7139	10.7919	11.6494	11.3238
EA_G__FN1	5.8877	6.6198	8.3686	4.0288	6.9699	9.8478	3.7438	6.8731	6.5156	11.9001	4.4044	8.4649	5.1783	6.5823	5.5249	6.3209	6.4661	8.3059	11.3179	10.8315	7.74	12.354	8.0092	6.6245	11.7706	8.224	6.684	4.5648	4.8693	9.218	9.6008	10.5618	11.1685	7.1705	4.5006	7.7977	7.2817	8.5263	5.625	3.9594
EA_G__FRMD6	6.6327	4.9002	6.7991	5.8569	6.512	8.4921	7.1865	7.9292	7.2846	7.5991	5.8319	5.2792	4.6289	7.4696	7.3778	7.3328	5.4074	5.7482	7.2501	8.1602	5.44	8.0414	6.187	6.0322	8.9032	8.4847	5.2365	6.2746	5.5398	4.9049	7.829	6.5761	8.0209	6.1144	6.2193	5.4363	4.5013	5.7171	5.2584	5.2336
