Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812	UACC893
EA_G__SELENBP1	9.3821	11.1376	7.9104	9.1265	9.3341	5.4145	10.1056	5.5815	5.6859	8.0894	8.1306	9.097	8.0519	8.1768	5.6338	7.0976	7.4304	10.2276	10.3951	5.9801	5.5176	9.058	5.8776	10.0174	9.0404	5.6347	8.8152	7.434	9.528	10.4363	5.4518	10.1032	8.6213	10.6142	5.3724	6.0275	6.422	9.7696	9.591	10.2494	9.8577	8.6891	10.0604	9.9978
EA_G__SYDE1	6.3871	6.1369	6.3992	6.3616	5.8841	8.4653	5.4574	8.481	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.6718	6.1217	6.9318	8.2904	7.7112	8.9081	6.2731	5.5612	8.7207	6.3382	8.9894	5.7382	5.0994	9.4121	6.1707	6.8988	6.551	8.0444	7.0048	8.2118	6.1916	5.8197	5.1353	5.9689	6.0967	6.1051	6.1729
EA_G__LOC493869	7.5675	4.5883	6.8253	6.5814	6.1373	9.9093	3.4796	9.1786	6.1974	8.7434	9.0133	2.7338	6.9972	7.0989	7.0566	6.7197	7.9293	7.2688	4.9328	8.408	8.8576	8.31	8.9892	5.0232	6.2845	9.1317	6.159	8.3857	6.483	7.7228	9.177	4.5915	7.9309	3.9953	9.3612	8.0153	9.2636	9.5856	8.1735	6.7163	5.9401	8.3805	5.4012	7.5894
EA_G__C20orf23	6.6434	7.0294	6.5902	8.5777	7.7217	6.111	6.1433	5.0456	6.0096	5.5281	5.8938	7.6529	7.4873	6.7683	5.7552	5.4711	5.6375	6.6432	6.4804	5.8272	6.818	6.417	5.6887	6.8451	7.7531	5.0611	7.0432	5.4199	8.0795	8.5849	5.5292	5.696	5.9288	7.2235	6.1562	5.674	5.9679	6.9491	6.6013	8.3955	7.4319	6.3719	7.427	6.4546
EA_G__AKT3	5.4271	3.2222	7.2162	3.773	3.8132	7.5447	3.1311	7.2564	7.6527	3.2315	5.8267	3.0579	2.8806	7.8016	3.9619	7.2247	3.3549	3.173	5.0257	6.1725	4.2506	3.4701	7.9436	3.5124	3.3863	8.4968	4.1188	7.2533	4.1802	3.0785	7.1819	3.6666	7.2924	3.7047	3.2738	7.3988	4.088	4.44	2.7296	3.498	3.81	3.4691	5.0022	3.3841
EA_G__HBEGF	5.9666	5.7872	5.8554	4.9068	5.1174	9.3836	5.6136	7.0576	5.5354	5.6776	5.656	4.9952	5.2972	5.4996	8.232	7.5528	5.0328	5.0985	5.4704	6.2009	5.3934	5.9594	7.3717	5.3204	5.4978	6.9636	5.6472	9.1191	4.8683	5.0741	6.3229	5.512	5.5494	5.1797	6.7088	5.5459	7.5776	5.4672	6.9455	5.1159	5.2866	5.6012	5.0115	6.2568
EA_G__KIAA0644	6.6204	7.8892	5.8869	7.22	7.5292	5.0429	7.1733	5.0666	4.6612	6.9032	4.7288	6.0241	7.1183	5.0476	5.3085	5.1206	6.1557	7.8377	7.1336	5.2546	5.1951	6.8486	4.7598	5.6884	7.036	4.7568	6.3434	4.8293	6.4892	6.3319	4.9349	6.5456	6.5529	7.9545	4.9716	5.2662	5.3064	7.3471	7.7024	8.2211	6.1171	6.8002	7.5086	7.4458
EA_G__KIAA1467	6.6315	7.5406	6.6624	7.2865	9.3605	5.8311	8.6582	6.7441	6.745	7.3667	6.7519	7.505	7.9446	7.4237	6.29	6.3595	5.9867	8.131	7.0355	6.5908	7.377	7.3791	6.2821	9.6294	9.3226	6.5187	8.4148	6.7367	8.5894	8.7607	6.7415	6.8448	6.259	6.5345	5.8873	6.7214	6.6599	7.8531	6.7002	9.9174	8.4419	6.5175	8.1267	7.6874
EA_G__LHFP	6.1614	5.3139	5.5954	5.4274	5.774	8.7766	5.1859	6.8483	7.2268	5.5358	7.5145	5.1002	7.5025	6.0825	7.0349	6.7126	5.8718	5.7881	5.3806	6.8659	7.1626	5.8128	7.4787	5.6178	4.9328	7.6395	5.7058	7.2848	5.1617	5.2191	7.3001	6.2937	5.5278	6.4466	7.4815	5.9507	7.0226	7.117	5.2327	4.9586	5.7135	6.1764	5.4187	5.4316
EA_G__ANXA1	9.3451	3.6072	8.2376	4.0476	6.3945	10.2017	3.5434	9.8127	10.6675	5.6443	9.7178	5.7747	3.241	9.4661	10.3797	10.7509	10.8582	5.3532	5.1369	10.5083	10.031	11.0436	10.0326	3.7029	7.6301	10.0666	7.3355	9.9841	4.7581	8.4359	10.6138	3.764	9.3598	5.1137	11.0653	10.5969	9.902	8.9069	10.2567	3.3449	8.2487	5.7561	3.9458	7.7779
EA_G__FJX1	8.3967	5.5806	6.0986	4.9649	6.9083	9.0274	6.719	8.1159	9.9085	6.8217	6.0156	5.9123	6.1875	9.0239	10.8651	7.8271	8.5625	6.4561	7.6401	8.2594	7.1323	6.3296	8.4796	5.7965	7.8509	8.9907	7.6792	8.713	6.5637	7.2206	7.8603	7.9145	8.3947	6.3355	8.3063	8.4438	8.6121	7.8131	7.6374	6.8218	7.4963	7.972	7.0963	7.5435
EA_G__ERBB2	9.7997	12.3532	8.5748	12.3566	10.2935	7.7806	9.1247	7.8804	7.7491	8.9829	7.1261	12.6526	8.5876	11.3467	7.4832	7.6512	12.3708	12.1521	10.2349	8.7512	8.1322	8.6875	7.0841	8.7417	8.307	7.9542	9.8661	7.3805	11.4924	9.0715	7.2558	10.6304	8.1444	12.0992	8.1194	7.4859	7.6326	8.7176	12.6826	8.4119	8.6454	9.1608	12.2493	12.3737
EA_G__ACSL4	3.8905	3.2437	6.8678	3.2175	3.0199	8.1981	3.93	7.1792	5.8474	4.9921	7.8339	3.2795	4.7223	6.0223	5.4391	5.9242	7.1514	3.1844	3.2448	6.4566	7.5506	6.3064	7.7862	3.4318	4.0505	6.5727	4.394	8.0383	3.8174	6.3426	7.9804	4.0514	6.2929	3.2697	7.359	6.9283	7.5937	6.0038	3.4226	3.1458	5.8348	4.7256	3.5077	5.4632
EA_G__CTNNAL1	6.2431	4.2542	7.954	6.4387	5.6072	8.7735	6.3931	8.6011	8.1612	4.1256	7.0137	7.1051	6.4816	7.2239	8.0383	7.9871	8.3836	6.2664	5.4545	6.4832	7.6805	5.2114	7.9664	5.6676	6.3907	8.9997	5.5644	8.7663	6.723	5.544	7.9306	5.0793	5.3456	5.2778	7.4006	6.8008	8.0664	7.008	3.6217	6.4481	5.7089	6.5608	6.3006	5.7769
EA_G__GATA3	6.1846	6.0285	7.7046	9.1018	10.8993	4.9681	10.7896	6.1487	5.7457	8.0649	4.7885	9.427	10.3545	5.8406	7.0576	7.0787	7.9689	10.1018	9.3687	5.6591	6.5915	8.1065	4.9955	10.9892	10.6143	4.5959	9.7188	5.609	9.224	9.5855	5.1752	9.916	7.3519	7.2562	6.9	7.9032	5.883	10.1592	7.7068	9.661	9.5042	10.5263	10.2285	8.1247
EA_G__FAM126A	6.3818	4.5794	7.043	7.153	4.3663	8.6294	6.0958	8.0276	6.8821	7.6573	8.533	3.5746	4.3202	7.0721	8.1954	7.9781	8.1677	5.2757	4.5708	7.4622	7.9965	6.1561	9.3766	4.3029	2.9915	9.1447	5.9057	7.9583	6.4401	5.131	9.254	4.7284	7.8763	4.2539	8.47	5.9557	9.0501	6.6312	5.0043	6.518	6.138	7.4823	6.8191	3.0637
EA_G__DFNA5	4.4375	4.9524	5.0814	4.5784	4.6557	8.4986	4.6876	7.3801	4.6458	5.1282	6.5279	4.5264	5.0703	5.5616	7.8414	5.9883	5.1072	4.7021	4.5042	5.8293	6.3843	4.7786	6.9984	4.6266	4.4233	7.4631	5.4062	8.2468	5.284	4.3728	7.8173	4.9581	5.6487	5.0627	7.5676	6.6997	8.1967	5.0913	6.9021	4.3623	4.6634	5.3806	5.5044	4.7345
EA_G__CRIM1	9.0196	8.3091	9.5842	6.5929	7.7545	9.7719	4.9514	9.4051	9.4674	7.4445	8.0665	5.769	8.1182	7.7723	9.2139	9.9786	9.1736	8.4351	9.1212	9.553	8.9683	9.1882	10.6462	7.2872	7.1522	10.3139	7.9992	10.2066	6.0395	8.0396	9.5237	5.5615	9.1829	8.5579	8.5317	9.052	10.2588	7.9147	7.6815	7.8056	8.6219	8.7841	8.2763	8.9244
EA_G__ITGA3	10.2433	7.1625	10.7598	9.4809	8.6867	9.988	7.9646	10.5504	10.8488	6.3057	9.4156	8.263	9.152	5.7255	10.145	10.5788	10.1378	8.7805	6.9766	10.3045	10.4508	9.1873	9.405	8.6604	8.2649	10.2717	8.3754	10.0401	9.1213	8.7804	10.2193	9.1269	8.903	7.8483	8.8705	9.4272	9.9778	7.6624	8.5305	7.5868	8.3121	7.9009	7.8484	10.1927
EA_G__CYR61	8.1331	7.5718	8.3996	6.2582	7.0497	10.1687	6.6562	8.8855	8.8232	5.6125	7.8517	6.3522	6.707	7.4924	7.1965	9.2169	9.0015	6.8394	7.3317	9.6694	10.232	7.091	10.623	5.982	5.9694	8.6434	7.9536	11.0584	6.8937	6.6652	8.3874	6.7454	7.6251	8.1061	10.084	8.4031	9.4395	6.6971	7.8889	5.7186	6.4717	6.9073	7.0874	7.2997
EA_G__FOSL1	5.7631	6.0413	7.5462	6.1458	5.9209	7.919	5.8606	9.2825	9.0589	5.8613	8.9972	6.4142	5.6608	6.5225	9.6121	8.7498	8.1476	6.1033	5.9831	8.443	7.8496	6.2968	9.5414	6.2266	5.9202	7.7186	6.2518	9.0294	6.0945	5.7333	9.5263	6.9064	6.5409	6.1028	9.2315	7.675	8.8965	6.0134	6.702	5.7734	6.2235	6.2177	6.1091	6.2048
EA_G__ERMP1	9.1233	9.4537	9.421	7.7073	9.4053	7.401	9.5278	4.5378	6.7848	9.633	7.2208	9.9716	8.4253	7.4714	6.4361	8.3757	10.7532	9.7341	8.2505	8.196	8.1311	9.9705	6.7102	8.7303	9.5828	4.9347	9.7925	6.0482	8.8685	10.2583	8.241	8.723	8.7512	9.3062	5.3658	8.9447	7.3782	9.6522	8.6249	8.7353	10.0875	9.0246	8.9602	9.0445
EA_G__EPHA2	9.1154	8.5414	9.6508	7.3461	6.8444	9.4567	7.1665	9.5499	8.6973	7.4528	7.6542	8.0337	6.4815	6.9884	9.9389	10.0314	10.1517	7.8157	8.3948	9.354	9.0916	8.7865	9.6476	7.5449	6.8313	9.4881	8.1785	10.4042	6.9463	7.1418	9.3141	7.4838	8.4318	8.3671	8.6969	9.6151	9.4186	8.7254	8.4036	7.0295	7.5725	7.0417	7.2961	8.9298
EA_G__SPDEF	9.8828	10.1908	7.4018	10.7931	10.5658	5.6685	11.013	6.2657	5.9359	6.1425	5.7703	10.7443	9.8237	6.0475	6.0136	6.4407	7.5494	10.9979	10.0929	6.9762	5.6718	6.3194	5.7139	10.246	9.7584	5.6466	10.4039	7.0764	10.5661	10.3098	5.6631	10.5877	9.537	10.0553	6.1331	6.4231	5.9152	10.0886	9.922	10.5479	10.6581	9.6624	10.226	10.1083
EA_G__STARD10	8.7444	9.3189	7.1028	9.838	10.3464	6.9657	8.9884	6.4416	7.0812	7.6816	6.3309	10.6337	9.9114	7.9561	7.2257	7.6626	7.4036	9.0078	9.147	7.3262	6.4872	7.4777	6.0307	9.5739	9.1011	7.4208	9.3232	6.2262	9.903	9.0237	6.5342	9.6166	7.8873	9.3077	6.0593	7.4425	5.9183	8.838	8.704	10.6034	9.3903	8.7334	9.6701	9.8082
EA_G__OBFC2A	8.663	7.6101	9.2122	5.7752	5.5617	8.0921	4.5264	9.0573	8.1177	5.6774	8.5995	6.3325	5.6037	7.6901	9.0276	8.7656	8.7563	5.6341	6.3893	8.8214	9.7788	7.8827	9.2412	6.7442	5.6996	8.2834	6.6746	9.4543	5.5142	6.1973	8.7939	6.3699	8.0521	6.996	8.5565	8.4307	9.0169	7.7607	7.9834	7.2367	6.1808	5.7689	6.4453	8.2263
EA_G__FXYD5	9.087	8.4722	10.1501	5.1452	6.8194	10.3061	5.212	8.8935	9.9677	7.5861	9.9666	4.9676	5.8157	8.678	10.7836	9.0929	10.6352	5.4508	7.316	9.7402	8.2865	10.1781	9.7392	5.5668	5.4603	10.1368	5.6902	9.7893	5.2174	5.9207	8.4884	8.6977	10.0869	8.8892	7.4253	9.2964	9.4217	8.919	8.5269	6.5645	5.7418	8.3542	7.2186	9.7864
EA_G__REPS2	6.5275	6.2241	6.9314	7.1806	7.7358	4.5458	8.1946	5.5475	6.6843	6.0354	4.9365	8.4365	8.1252	6.6802	5.4402	5.4823	7.2127	6.5473	7.2935	8.2511	4.7054	7.2418	5.2193	6.8378	8.1829	4.8785	6.7219	5.5902	7.2359	9.1659	4.8798	6.6638	7.7952	6.8168	5.0851	6.4284	5.6297	5.5005	6.558	8.9882	7.4447	7.3572	8.9063	5.8714
EA_G__WWP1	8.0302	8.9967	7.7907	8.8018	9.7101	8.1978	8.8679	6.5657	8.3785	7.5529	7.4231	11.3334	8.4612	8.6495	7.1267	8.5063	7.861	8.4297	8.3236	7.9304	8.7833	8.4192	7.9482	9.7243	9.689	7.8338	9.6395	7.7268	9.4123	8.1499	6.2912	8.3365	7.6886	9.3644	7.2959	8.2918	7.7756	9.3304	9.3449	8.8954	8.0658	7.9781	8.6656	8.4128
EA_G__ERBB3	9.6684	9.5479	7.8567	9.4394	10.4453	4.3498	9.8292	4.7561	7.4364	7.8742	4.4095	10.05	9.2441	9.4138	7.239	7.3572	7.9625	10.1738	9.7082	7.3935	4.2979	8.8706	4.0683	9.439	9.5575	3.9776	9.4408	4.5784	9.6653	10.1482	4.6712	9.5168	8.6211	9.1277	4.1238	6.8843	4.2234	9.5831	8.8726	10.0047	9.2288	9.7254	9.7608	8.9509
EA_G__RND1	7.3143	8.2366	5.1518	5.5848	8.1345	5.2959	7.5678	5.2664	4.9253	6.6945	4.833	6.5432	5.3653	4.8394	5.688	5.355	5.6049	8.3402	6.4109	5.1296	5.0251	5.5654	4.655	6.8855	7.5082	4.321	9.0383	5.229	6.9107	7.667	4.8228	7.8736	5.2342	8.9453	5.08	5.2271	5.1002	6.2484	6.2849	7.4987	5.9817	7.1618	8.9243	6.8513
EA_G__ORMDL3	8.742	9.4661	7.4855	11.4831	8.9199	7.3014	8.1979	7.672	6.6416	7.9055	7.2593	8.4602	8.1771	7.8021	7.2506	8.1827	12.4038	8.1391	8.7695	8.0969	8.429	7.8199	7.3423	7.8203	9.0599	7.7325	8.5764	7.4686	7.6291	8.4639	7.2511	8.7947	7.5371	9.477	6.7234	6.7856	7.2867	7.9185	7.7687	8.1312	8.0333	8.8896	10.8822	12.4916
EA_G__XBP1	11.283	10.9214	8.6686	11.4285	11.4319	8.6723	11.3432	8.8291	8.5408	9.0517	9.4895	11.6752	10.8517	8.688	9.1233	8.734	9.1933	10.7393	11.2423	8.6586	8.207	9.7409	8.5637	11.5332	11.3709	8.4505	11.6948	8.6487	11.8604	11.6993	8.5579	11.4718	9.2858	10.6695	8.502	8.3625	9.0461	11.0474	11.1889	11.1986	11.1636	10.9799	11.4501	10.4703
EA_G__ADM	6.4321	7.8699	8.2549	6.7316	6.3919	9.2873	6.4248	7.5952	8.2428	6.6451	7.5044	6.2464	7.0564	6.6729	7.9741	8.8778	8.7503	7.8693	7.2347	7.2128	7.2707	6.52	10.4389	6.5314	6.9772	8.6667	6.6563	8.0916	6.7527	7.0205	8.7047	6.9918	7.2145	7.7146	8.0335	8.0033	7.3379	6.5653	7.3322	5.9805	7.1694	7.7755	6.1965	7.7787
EA_G__RAB11FIP1	7.7489	7.29	6.7556	7.2374	10.9487	6.0996	8.0487	6.6306	7.7821	6.9453	5.8301	8.3145	8.4506	7.1372	6.5495	6.7129	6.7962	7.4883	8.1631	6.6448	7.058	7.0896	5.8517	6.8315	9.8938	7.2036	7.6101	6.2077	7.9194	6.8136	6.1721	6.9053	7.3587	7.6757	6.0579	6.4956	6.959	7.013	10.2659	10.6124	8.072	7.7446	7.0056	6.9046
EA_G__GPR160	6.7527	6.9782	5.0229	8.0657	6.759	3.3556	7.1076	3.909	4.229	4.4657	2.9609	9.3959	7.726	4.058	3.7191	5.921	4.7387	7.6326	6.9804	4.7694	3.446	5.8982	3.5785	7.445	7.3926	2.9737	8.141	4.3088	7.3759	8.3753	3.5646	7.7969	5.6179	7.1789	2.9307	3.3042	3.8572	7.0867	5.9659	7.6062	8.1528	7.8124	7.3001	7.9019
EA_G__DENND1B	6.8796	6.6791	6.7675	7.167	7.3121	4.7193	6.0054	5.6419	5.8785	5.9951	5.7859	6.8062	6.8071	6.1834	6.5026	6.5064	6.6765	6.7352	7.4498	6.5538	5.7247	7.5458	5.444	6.4954	6.4321	5.8145	6.9989	5.6087	6.7896	7.0417	5.8056	8.8044	6.7764	6.7401	5.1312	5.7658	5.6866	7.0638	7.1235	6.8754	6.6987	5.8053	7.2246	6.7071
EA_G__PLEKHC1	6.508	7.6212	6.2125	6.5678	8.1282	10.1065	6.5099	10.0149	8.6203	6.7251	9.1988	6.9412	7.494	6.2784	5.351	7.8608	7.7456	7.2737	7.8623	9.0216	9.8995	7.9162	9.7294	7.2733	6.3482	9.1124	6.7528	9.3856	6.827	5.8237	8.7524	6.9659	8.1827	7.9629	9.0052	10.0159	9.4771	8.1901	7.8979	6.7567	6.5226	7.7571	8.2164	8.7572
EA_G__ANXA9	8.5276	6.7661	8.291	6.2682	9.5791	4.8888	9.4956	5.7138	5.0476	5.9137	4.926	8.2202	8.4838	6.7228	5.7918	5.6264	7.0057	8.458	6.7506	5.056	4.9114	7.3041	4.9863	9.9914	8.5984	5.2292	8.5816	5.3425	8.1028	9.0798	5.6182	8.036	7.5301	7.942	5.0301	6.1862	5.2573	7.8449	6.669	9.6682	8.2312	8.9961	8.5833	8.3673
EA_G__KDELC2	6.195	4.3773	8.1197	5.9275	6.452	7.6967	3.8076	7.2702	7.0908	3.834	7.3746	7.0664	5.2272	8.6469	7.2625	6.6468	5.9378	7.0852	7.1883	6.2686	7.4909	5.9922	7.7477	5.6485	4.099	7.9831	5.9974	8.4462	7.1548	5.4826	7.1842	5.0437	6.441	5.7329	7.8354	6.7742	5.803	7.1242	6.6623	5.5381	5.9204	8.2453	7.5465	5.7044
EA_G__MARVELD1	6.3862	5.3113	5.9748	5.5142	6.3847	7.6134	5.3264	7.7939	7.1404	5.7017	7.7105	6.0777	6.1142	6.5362	7.5039	6.5506	5.3668	5.4092	5.8617	5.7939	6.82	6.0213	7.1847	7.3092	7.5172	7.7933	6.0998	7.0751	6.4668	6.1576	5.6635	7.2206	5.8848	5.5818	8.5826	7.8275	6.9251	6.5543	6.0294	6.8491	5.574	6.505	5.7338	6.859
EA_G__MAP7D3	5.3052	6.181	7.0881	3.7726	5.4351	8.0335	4.1145	6.7975	8.2134	6.6816	7.4399	3.8649	5.2828	6.9662	6.369	7.7975	7.3791	3.9067	3.9768	7.9146	7.4129	6.0423	7.4841	6.1096	3.8188	6.9765	4.3266	8.4972	3.8711	3.6075	7.271	4.4657	7.3858	5.4472	6.6247	7.5826	7.2635	4.9255	4.3312	3.596	5.013	4.094	6.2554	5.2725
EA_G__UPP1	5.4549	6.1015	7.1467	5.448	5.1849	6.6737	5.1357	6.4721	6.9823	5.3696	6.6838	4.889	5.2305	5.3407	7.4135	7.397	7.9997	5.1198	5.3149	6.9028	6.8339	6.2895	6.4335	5.127	5.3567	6.8378	5.5727	6.9034	4.8709	5.1442	7.6244	5.3505	8.3399	5.686	7.1274	6.5287	6.8426	5.5523	7.256	4.8525	5.5613	5.6237	5.6119	6.1904
EA_G__COL4A2	6.36	6.061	6.9582	5.9927	5.6818	9.1358	5.6938	8.3588	8.5657	5.8659	8.1435	5.706	5.736	8.5431	8.8082	7.6081	6.3498	6.3264	6.3447	9.6397	9.1724	6.1702	9.4784	6.2593	5.9015	11.3453	6.2475	7.8284	5.8093	5.7943	7.3773	6.9666	5.9812	6.5292	6.5386	8.0359	6.3432	6.0159	6.3401	5.6192	6.3543	6.1933	5.9988	6.0303
EA_G__KIAA1754	5.6979	6.2297	6.5357	5.8518	5.2852	6.9463	5.4686	7.0273	6.2887	5.9089	7.0913	6.134	4.8143	5.9613	7.0933	6.3267	6.952	5.9693	5.6172	6.357	5.9586	6.7698	8.4302	5.7878	5.2799	6.2668	5.807	7.5315	5.084	5.6017	7.639	5.8272	6.4147	6.0504	8.4361	6.3043	7.7256	7.0121	6.5976	5.2602	5.8607	5.6484	5.4141	6.0296
EA_G__SERPINE2	4.0868	4.5291	7.1362	5.0367	4.5921	8.5856	4.3339	6.949	6.6648	6.196	10.0503	4.0924	4.3624	6.511	6.4522	5.0436	6.2877	4.351	4.4667	7.9244	5.5267	4.4716	8.6674	4.5462	4.2566	7.5002	4.6258	6.157	6.2779	4.8582	7.752	4.7758	5.2379	4.3674	6.3207	7.4697	5.5084	4.4828	4.7034	4.0603	4.6027	4.4743	4.4909	4.3923
EA_G__LARGE	7.5776	7.6411	6.3724	8.2811	8.8172	6.4327	9.2071	5.4424	5.23	7.0295	7.4912	8.5957	8.6586	7.3338	5.688	5.8935	6.4137	7.4822	9.0514	5.108	4.9343	7.5548	5.6162	8.493	8.7988	6.9842	8.3543	5.0348	9.7924	7.8886	6.1636	8.0502	4.5818	7.5051	6.4651	5.3077	5.0334	7.6831	7.6621	8.0174	6.5147	7.7088	8.4373	7.478
EA_G__PARD6B	6.6898	7.453	8.2745	7.9356	10.2482	5.6462	9.0659	6.451	7.4407	7.1044	6.5166	9.1497	8.5948	7.3837	7.5392	7.1739	7.7258	7.5297	7.8017	7.1111	5.7964	7.4969	5.8639	9.7913	7.6396	5.8916	7.8763	7.6107	7.4723	7.3893	6.4305	7.1206	7.3768	7.9257	6.5983	7.1532	6.0187	7.9875	7.3888	8.1638	7.7564	8.7348	9.9907	7.3238
EA_G__ALDH4A1	6.6137	7.563	7.3057	9.6464	7.5347	6.4231	8.4263	6.7041	6.2446	7.1993	6.1997	8.3781	7.28	7.0017	6.8621	7.236	7.2316	8.1565	8.1332	6.577	6.5174	8.276	6.5183	7.9981	7.9767	6.5559	8.9964	6.44	8.6197	7.9773	5.9803	10.1902	8.2098	8.6634	6.6103	6.757	6.4059	8.2904	6.8675	9.6215	7.3929	8.1326	7.6348	7.9587
EA_G__BICC1	5.5056	3.3395	3.1232	3.186	3.0672	9.2576	3.2192	5.2463	7.1799	9.4832	8.4845	3.3896	3.2324	4.44	3.5713	4.5865	7.9741	3.3248	3.4973	8.2072	8.5706	5.0546	8.9907	3.6597	3.4591	8.841	4.1768	7.1383	3.1319	3.288	6.8634	4.176	5.6618	4.6651	8.5162	8.1251	4.0463	3.5392	3.8033	3.3799	3.624	3.4661	3.342	3.5607
EA_G__PTPRG	5.21	4.499	7.3722	6.6243	6.3169	8.0079	5.5387	7.5815	7.4888	4.6346	7.7804	4.1773	4.0564	5.6861	5.5681	5.9594	4.0333	5.0223	5.3326	5.4838	5.8104	7.3366	8.2883	6.1699	7.0743	7.2877	6.4314	7.5303	6.992	3.9613	7.0118	6.0453	6.1923	4.4986	8.4789	7.313	7.5088	6.5257	5.2016	4.4617	4.9075	4.399	7.2354	6.9494
EA_G__HGD	6.292	6.1701	3.7824	7.6492	5.5405	3.7536	7.1472	3.9809	3.8709	3.8208	3.6315	8.002	8.7179	8.6658	3.8689	3.4665	4.1149	5.727	8.0684	3.8546	3.7892	4.0083	3.6706	5.1745	8.727	3.4955	4.5873	3.8207	9.1095	8.8747	3.9482	5.3693	3.892	4.2486	3.9795	3.876	3.8261	5.1101	8.751	8.5861	4.4323	4.1422	5.0669	6.8034
EA_G__TBC1D2	9.2376	7.7515	8.2597	6.9082	7.0838	8.3025	6.9648	9.1583	9.3809	5.8309	6.9009	7.5223	6.8364	6.3296	8.9686	9.385	8.6838	7.2801	6.9966	8.3051	7.0549	6.7734	7.2753	7.1429	6.7825	7.3263	7.583	7.2943	6.9501	7.7684	8.2633	7.1429	7.5591	8.2747	7.7864	8.2385	8.2072	7.9272	6.4277	6.8182	7.9677	7.4045	6.4661	7.4983
EA_G__DENND2D	9.997	9.4962	6.4338	7.6366	9.6926	5.0582	10.5443	5.0932	6.6694	5.7422	5.009	8.94	8.9067	8.0075	7.518	8.247	6.8982	8.6752	5.336	4.9887	7.6662	9.91	5.1395	9.3336	9.4078	4.9272	8.8728	5.2654	8.4821	9.6716	4.8617	8.3451	9.9052	9.1582	5.3816	5.7459	5.3505	7.6687	9.1889	10.1282	9.5729	8.9438	8.6823	7.7926
