Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812	UACC893
EA_G__SFRP1	4.6986	5.0319	5.765	4.5424	4.5532	6.6239	4.3125	6.8256	7.3617	5.3977	5.5117	4.5348	4.5497	7.4503	5.8191	7.7735	4.5245	5.1112	4.7684	8.1133	5.4268	4.9546	5.1001	4.8744	4.6306	7.8071	4.9372	4.6774	5.3745	4.4019	5.6935	5.7847	7.6785	4.9286	4.7019	8.6736	4.8084	5.3775	5.3896	4.3521	5.2089	4.9447	4.5128	4.6594
EA_G__PPFIBP2	7.8433	6.5176	5.6898	8.685	6.6337	5.3909	6.8131	4.6677	5.2124	6.2853	5.3868	7.7925	5.6154	5.8536	4.9366	5.4374	5.497	7.8702	7.7047	5.6356	5.98	5.7397	4.7978	6.3397	6.9949	4.0523	8.1624	5.0389	7.4755	8.9514	5.6215	7.7945	6.1771	6.9673	5.7632	5.0592	4.8184	8.3164	7.5942	7.8271	7.3962	6.0261	6.8366	7.3742
EA_G__FOXA1	9.78	9.0384	8.3542	10.3303	10.2426	5.7805	10.2446	6.389	6.6946	6.2072	5.6298	10.1068	9.1466	5.6115	7.0308	7.1831	8.5271	10.1683	9.8686	7.3927	5.4563	7.5836	5.5995	9.8998	10.0039	5.6855	9.643	6.0524	10.1447	9.4248	5.3936	10.0194	7.6926	8.8238	6.1961	6.457	6.1073	9.5103	9.6063	10.3092	9.8896	9.6996	9.7959	9.5918
EA_G__RORC	7.6294	7.8594	5.6786	7.0519	7.5726	5.514	5.6777	5.7643	5.6198	6.0853	5.5107	7.422	7.2508	5.5734	5.5397	5.5921	6.1229	6.4823	6.9352	5.5364	5.4595	8.2631	5.482	7.2834	6.8486	5.1718	7.0259	5.7918	5.6745	5.7574	5.35	6.3865	6.7972	6.4728	5.2525	6.2949	5.6901	7.2421	6.84	7.3572	6.987	6.9613	8.9875	6.7633
EA_G__AGPS	8.9363	4.5517	9.653	7.2311	5.8532	8.6021	7.7053	9.966	9.7677	7.5441	8.9797	8.0721	7.7352	8.2133	10.1761	9.4607	8.6283	5.8763	8.5532	9.0848	9.1475	8.4572	9.3307	3.3336	8.3692	9.0361	7.3817	9.4937	5.9847	8.784	8.8559	6.8236	8.5514	5.0358	9.7549	8.9906	9.4369	8.3386	7.3149	7.8373	7.8151	3.4863	7.9964	4.4635
EA_G__SLC9A3R1	10.8284	10.4111	9.8632	10.9597	12.1339	8.7121	11.6704	9.4501	8.938	9.3166	7.8985	11.4576	12.2228	9.8097	9.4062	9.2397	9.4918	10.8515	10.1126	9.0002	8.2983	10.211	7.7047	11.5335	10.9539	7.5431	10.175	9.0363	12.6162	10.3807	7.9427	11.9228	10.2745	10.702	7.9923	8.16	8.1862	10.5458	9.9597	11.481	10.2024	10.9276	11.5295	11.2349
EA_G__PHLDA1	7.264	5.5624	8.6994	5.4323	6.0387	7.1715	4.5343	7.064	8.4106	6.9458	7.8576	5.8538	7.0573	5.0523	9.211	9.0987	8.5591	5.5543	7.6233	7.8731	8.6225	7.3199	9.1532	6.4868	7.1009	7.7793	8.4937	9.2009	5.3553	5.2952	9.5721	5.3613	7.7881	5.4233	9.2377	6.425	6.9972	5.2608	7.1747	5.995	5.2914	7.144	5.156	7.5104
EA_G__GPR176	5.2765	5.0352	5.7606	4.458	5.1443	7.1887	6.8504	7.1559	7.4156	4.6433	6.7334	4.2781	5.7714	5.2195	6.5779	6.6746	5.21	4.3614	4.4455	6.8578	6.1532	4.8029	8.7365	5.7415	6.1286	7.3208	5.634	4.5928	4.5879	4.3922	6.9895	5.6259	5.5059	5.0005	7.254	6.2727	8.3008	4.8269	4.2057	6.169	5.2999	6.1686	4.6943	5.6276
EA_G__CFL2	5.5759	6.2396	6.251	6.3734	6.0658	8.7936	4.5717	8.0565	7.1761	6.166	7.4999	7.3432	6.5647	6.9818	6.4944	6.1673	7.0448	5.8519	6.2266	7.5471	8.3928	5.6348	8.126	4.952	5.0397	7.5996	5.2804	8.0775	5.6671	5.3072	6.7426	4.1366	6.0417	5.8516	7.78	6.119	7.9761	6.6884	4.9737	5.9476	5.9966	6.4361	6.0929	6.7096
EA_G__EIF5A2	5.0671	6.2951	7.8413	5.3636	5.4876	7.0288	3.9816	7.3298	6.5229	4.6112	6.4989	4.0049	6.0151	6.4365	8.0195	8.5671	6.6962	4.3065	4.1127	7.1292	7.9963	5.1445	8.1412	6.2623	4.3311	7.3762	6.1378	6.8793	3.7667	4.1613	6.5628	4.6846	6.2653	5.9985	6.7265	6.2262	7.4626	5.477	4.3927	4.2021	4.1756	6.6644	4.8266	5.2126
