Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__DAB2	6.0574	6.362	4.4007	9.6669	4.0868	7.4827	6.3865	10.8663	10.103	5.6433	6.1758	4.7337	6.9188	7.4558	7.2915	9.8138	3.729	5.115	4.1987	9.5508	6.6207	7.8924	4.6273	8.6039	4.8335	6.3081	8.1656	5.948	8.5452	6.1107	7.4008	6.5954	4.5375	3.8524	6.5683
EA_G__LMX1B	7.0005	7.2729	9.3656	6.9439	7.6305	7.1723	6.8839	8.6262	8.5572	6.8858	6.9417	7.4215	6.8074	6.8958	7.5919	6.4544	7.7392	8.5642	7.4095	6.6147	8.2031	6.5912	8.4106	7.433	7.7919	6.7515	6.5205	6.695	6.3187	8.6843	7.5381	7.564	7.6533	7.8472	7.4231
EA_G__RNF152	6.6624	3.2702	7.0206	2.8881	5.6834	4.6579	5.0095	6.5905	5.7642	4.0942	4.144	6.3286	4.8239	3.7735	5.4662	5.6279	6.2533	6.3096	6.874	5.7009	6.4137	4.3942	7.0318	7.0813	7.0719	6.9863	4.2134	3.9706	4.5148	7.6012	7.6321	6.7821	6.4101	5.7235	7.0441
EA_G__GLT8D4	4.7151	6.1753	4.6364	8.5909	4.5511	6.4599	6.9925	5.3506	5.6089	8.3612	4.909	4.642	6.4971	7.7787	4.8082	7.0644	6.5883	5.5457	5.5823	6.3558	5.8193	6.3478	4.9884	4.4178	5.2385	5.3691	7.1987	7.6105	7.5528	5.0621	4.7053	5.652	5.7258	6.6445	4.8007
EA_G__CTNND2	8.1316	5.8497	7.5316	5.4046	7.6145	5.578	5.923	7.9285	5.2685	7.2004	5.5369	7.6463	5.6685	5.1254	5.7386	8.1424	7.963	7.877	7.7465	5.4372	7.0886	5.2979	8.3406	8.2045	7.5643	7.5688	5.3627	5.7529	5.5902	6.5579	5.7347	5.943	5.4129	7.3165	6.9607
EA_G__C20orf42	4.7787	6.7008	3.8664	6.0366	3.6472	7.5292	6.0665	3.3863	5.1534	6.995	8.7192	4.6405	6.635	6.317	5.5793	5.9733	3.838	3.8146	3.6969	3.6306	6.0091	7.1876	3.542	4.684	4.2703	3.8293	5.3947	7.4157	7.0976	4.1238	4.2218	3.7979	5.7945	4.0094	3.5256
EA_G__SYDE1	6.1369	6.3992	6.3616	8.4653	5.4574	8.3258	6.6153	5.8161	5.3023	6.2033	6.9579	6.1217	6.9318	8.2904	7.7112	8.9081	6.0991	6.2731	5.5612	8.7207	6.3382	8.9894	5.7382	5.0994	6.1707	6.551	8.0444	7.0048	8.2118	6.1916	5.8197	5.9689	6.0967	6.1051	6.3412
EA_G__SLC44A4	6.0217	5.1742	6.4575	5.1744	5.8406	5.1784	5.4359	5.2161	5.3873	5.2039	5.4683	9.9478	5.5018	5.1499	6.7549	5.1958	5.7664	5.7798	8.0796	5.3333	8.6219	5.4313	5.9026	11.0876	7.5139	7.3705	5.4841	5.7716	5.4328	11.6179	5.6014	6.6319	5.8825	6.0667	10.1028
EA_G__RASD1	6.1676	6.394	6.5453	6.0506	6.3027	6.267	6.6028	10.0301	6.0734	6.4639	6.9674	6.7778	6.2638	6.2943	6.5352	6.2211	7.3434	8.4994	6.6702	6.4789	8.4693	6.8716	6.6444	6.5733	7.3102	6.9225	6.3977	6.5661	6.4334	6.3495	7.9752	6.8529	6.3664	6.6657	6.5584
EA_G__MYLIP	7.7441	7.2374	7.7961	4.455	7.8443	5.524	7.4104	7.4993	9.1957	7.2494	6.5654	7.9226	6.8467	6.4026	7.0558	6.0263	7.3524	8.0793	7.5303	5.2059	8.449	6.7869	8.1069	7.8265	7.0391	7.6774	4.8163	7.2753	5.6734	7.6692	7.5201	6.3688	7.0329	5.6494	8.0057
EA_G__CUL4B	7.0274	8.4121	6.2287	9.3472	7.0256	8.1315	7.2752	7.6102	7.6919	7.0614	6.7863	7.2735	7.3667	10.0552	7.1003	7.8513	6.5622	7.0789	7.0753	8.6142	6.8373	7.2966	6.404	7.2378	6.5199	6.8767	7.1544	6.4288	6.9163	6.5287	6.3816	6.6166	6.3577	7.0476	7.0727
EA_G__REPS2	6.2241	6.9314	7.1806	4.5458	8.1946	6.6843	6.0354	8.4365	8.1252	6.6802	5.4402	7.2935	8.2511	4.7054	7.2418	5.2193	6.3946	6.8378	8.1829	4.8785	6.7219	5.5902	7.2359	9.1659	6.6638	6.8168	5.0851	6.4284	5.6297	5.5005	6.558	7.4447	7.3572	8.9063	6.1953
EA_G__TPD52L1	9.0262	9.1708	8.3592	6.2365	7.8629	7.9181	9.0282	8.5648	9.8594	7.6164	7.7196	8.4093	8.1532	5.9294	9.421	6.1162	9.7039	9.0037	8.9357	4.6259	7.8134	4.4767	9.4654	10.4202	7.0741	9.0714	4.5757	8.3261	6.5931	8.4985	9.6596	9.4114	8.3839	8.9009	7.5603
EA_G__EPB41L4A	4.8197	5.9817	7.0521	3.9585	5.7618	5.0865	4.4588	8.3309	7.5778	3.9447	4.723	7.9628	5.5236	3.7847	6.6248	4.0786	4.8247	4.7297	7.9019	3.733	7.1104	5.7975	7.6741	9.1353	8.1433	5.9446	3.8929	8.5043	4.0766	8.46	8.061	7.4104	6.8676	6.1666	5.3605
EA_G__SLC16A1	4.5175	8.7535	4.621	8.3945	6.9479	8.2121	6.7131	4.1803	6.0711	8.1756	8.6169	4.3803	8.5633	9.301	7.8102	8.2915	6.6982	6.3272	6.7496	8.5674	5.5971	4.2042	4.7554	9.2031	5.243	5.3943	8.0807	8.4519	8.8065	6.2744	5.3618	6.7559	5.7245	3.8845	5.3972
EA_G__CDC42EP3	7.1684	8.2816	6.4466	6.0591	5.2021	8.6114	5.8992	6.1762	6.0531	6.2691	8.2591	7.0087	7.4932	6.3863	6.5898	9.4579	5.4725	5.3958	6.2346	7.5972	6.5662	9.2612	6.0781	7.1779	5.7903	7.6114	6.5633	7.1839	7.8793	6.2241	7.028	8.4548	6.881	6.5467	5.3772
EA_G__RPS6KA5	8.0658	5.191	8.1655	5.2338	6.4882	7.1299	5.8809	7.1847	5.6692	4.724	4.4826	6.7649	4.6007	4.9486	5.3804	5.1103	5.8616	6.1026	6.8394	4.4464	6.0764	5.6492	6.3334	6.3431	6.7969	7.5541	5.1374	4.589	4.2275	7.5026	6.121	5.5336	6.9348	5.867	6.0061
EA_G__S100A3	5.3412	4.9353	4.3282	5.6023	4.3749	6.6335	6.9833	4.2712	4.0737	4.3869	5.8534	4.5809	6.6095	7.8016	4.8696	7.5816	4.6237	4.3372	4.3606	8.4498	4.8696	6.8913	4.202	4.152	5.2117	6.455	6.0566	6.3403	6.9666	4.1692	4.1719	4.8878	4.3484	4.3764	4.3595
EA_G__COL6A1	6.0794	6.43	6.468	7.7676	6.0711	9.0875	5.9974	5.8722	6.1268	8.5582	7.8176	6.3333	6.5532	10.1632	6.3377	11.1987	6.6858	6.6419	6.122	11.506	7.7945	7.2708	6.5551	5.9473	7.0464	6.3821	8.3978	8.1566	7.3378	6.2869	7.2379	6.8732	6.525	6.6154	6.361
EA_G__DDAH1	8.0848	8.152	6.8764	8.5481	6.7475	7.913	5.1987	7.6645	7.6054	7.5138	6.8342	7.9016	7.528	8.1061	7.6799	9.8182	6.4586	7.2951	8.4799	7.6619	7.2348	10.0483	7.3886	8.5508	7.5272	8.303	7.6419	6.6042	8.2063	8.1604	7.7275	8.0472	7.3595	7.8989	7.4722
EA_G__GLIPR1	3.7756	3.3277	3.4702	8.225	3.4968	6.1064	6.1439	3.3575	3.7556	4.2416	6.6397	3.5767	6.5325	8.5465	4.8932	8.9965	3.6517	3.3135	2.8019	7.2825	5.5198	6.9605	3.1331	5.5399	3.7158	3.6556	7.0461	6.3423	9.0025	3.6353	4.0555	3.3701	4.2331	3.4115	3.1647
EA_G__MIPEP	6.7835	7.1329	8.3486	7.9982	7.4577	7.0585	6.8196	9.1829	6.9938	7.2814	6.5371	7.4639	7.5026	7.2798	6.5412	6.6633	6.846	7.1347	6.5897	6.2694	7.3512	6.953	9.0417	7.2708	7.9343	7.1788	7.671	8.1321	7.2004	6.8241	7.5816	6.9328	7.2435	7.6996	7.7388
EA_G__ABCC4	7.9015	4.1881	5.887	7.9337	4.8344	7.9145	4.1608	4.2718	3.7883	7.984	6.0505	4.194	6.9176	7.1819	4.3603	7.2826	6.884	5.8639	4.3607	8.2748	5.4801	6.8775	5.2767	6.6107	4.9413	5.1307	6.5936	6.4059	7.3103	6.1696	4.4039	4.3086	4.4926	5.0538	4.9592
EA_G__RAB25	10.4334	10.1003	9.9079	3.8607	10.7159	9.6031	10.1822	9.7437	9.4452	6.1522	9.1054	10.1648	9.5767	3.8849	10.5599	3.9126	10.2002	10.0905	9.4475	3.7434	11.0147	4.0552	9.3272	9.9948	9.7709	10.1201	4.0278	9.2791	4.5403	10.7285	10.0699	10.2789	10.6313	10.6547	10.5913
EA_G__PLS3	8.5034	10.6252	5.8148	10.2417	6.775	10.178	8.0677	8.9161	8.5303	8.6841	9.4534	9.0918	10.7811	10.4548	9.9395	9.3095	7.2571	2.9423	2.9913	8.6509	6.9315	9.6195	7.9502	9.2696	7.3506	8.6755	9.637	8.4954	9.0071	6.3094	7.9355	8.0676	7.7958	3.0837	7.5616
EA_G__ABAT	5.4464	7.4779	8.575	5.3302	9.2967	5.496	5.4262	7.6306	10.8312	5.688	5.6851	5.2465	5.5203	5.3154	5.3766	4.9875	9.1146	8.6121	7.7509	5.7589	7.5396	5.0792	10.0971	8.0442	7.7377	5.8369	5.7817	5.8305	5.4758	6.1131	5.8015	7.1274	7.9643	9.9256	7.7029
EA_G__PAK1	5.7876	7.5725	6.1028	7.2208	5.7292	6.8378	6.3034	4.2157	6.4608	7.7411	8.7149	6.1986	7.7684	7.6308	7.6557	7.5158	4.6218	6.0492	11.1391	7.7746	7.3823	7.5296	6.4291	6.8502	6.2824	5.2566	5.7809	7.3487	7.6047	7.2088	7.9232	9.3218	7.9048	7.2703	6.7669
EA_G__MPP2	6.2134	6.0063	5.3463	6.776	6.3588	6.5849	5.6217	4.9561	8.105	6.8007	6.2796	5.5303	5.8452	7.423	6.4743	6.5471	6.62	6.5894	8.2721	6.6649	6.0583	6.5197	5.5904	5.3955	6.0175	5.7428	5.9556	5.4923	5.7716	5.8514	5.6234	7.7935	6.9553	7.2392	5.8677
EA_G__GABRA3	7.195	7.4992	3.5926	4.0153	3.9212	3.5361	3.5182	3.0698	7.5554	3.5344	5.5103	6.679	7.4329	3.515	4.5329	6.819	3.8283	3.9856	3.8184	5.4322	9.5611	7.2023	3.9977	5.971	4.458	6.5951	7.6812	3.8109	6.4307	10.7726	7.0942	7.363	4.8882	3.7147	5.777
EA_G__AKR1B1	6.0548	11.1521	4.8622	8.2157	4.4619	4.565	6.3662	4.6497	6.9879	7.0157	8.1308	4.7671	8.4129	9.049	9.0045	9.0431	5.1215	5.0227	4.6497	8.4728	6.866	8.1635	4.946	6.5897	5.4319	5.2901	8.4605	9.627	10.232	4.7564	4.8857	5.1681	5.0863	4.8373	4.9029
EA_G__EDIL3	4.4678	4.1222	4.2003	10.3398	3.9199	7.7527	10.7627	4.1415	6.574	4.1486	5.3387	4.3808	6.4883	10.5374	4.466	10.2267	4.3709	4.7425	3.968	9.6383	4.9919	9.9608	3.9369	3.9483	4.4458	4.7088	7.9988	6.332	7.8969	4.3348	4.5551	4.1115	4.1293	3.8469	4.2709
EA_G__MET	8.4888	9.8576	6.907	8.3625	3.2377	9.2522	5.3249	3.2698	6.3495	6.1792	8.7101	6.3674	8.9764	6.0304	8.9068	9.9443	6.8639	7.1523	4.6219	7.3588	5.4183	9.002	7.5613	6.2826	3.9662	7.0874	9.5923	8.4591	9.0204	5.2276	7.3053	6.7738	4.1065	3.6661	5.8882
EA_G__MAML2	6.667	7.8134	4.6254	7.6742	3.8292	7.95	6.2085	3.5172	3.7807	8.8662	6.2387	8.6942	7.8364	7.5118	8.6885	7.9423	4.9397	5.5006	3.9579	7.8878	6.8965	6.8569	5.7608	3.7884	4.3487	6.4097	6.6754	7.3799	7.2715	6.203	5.7587	4.7606	6.1689	4.2942	5.1283
EA_G__QPRT	9.6019	9.5325	8.9451	6.9316	8.0386	5.7749	6.3975	9.5699	7.932	8.8023	6.6334	9.5354	8.7244	8.0401	10.1308	7.2664	9.5191	9.4338	8.7666	9.1491	8.806	6.3479	10.1789	9.9551	7.9166	9.1913	6.0334	6.343	6.3583	8.9326	8.3707	8.5354	9.3878	9.4065	9.4188
EA_G__TCEA3	5.9539	5.5222	6.0256	5.0487	8.8314	5.0673	5.5704	8.0815	7.159	8.4022	5.5647	5.1551	5.0747	5.9317	8.4357	5.064	6.9062	6.2141	6.8153	5.6284	7.255	6.534	6.4577	8.4136	7.6133	5.6212	5.6072	5.5857	5.4579	6.1439	8.918	8.5451	7.826	7.9185	9.0069
EA_G__GRB7	10.9211	8.0083	11.1297	6.2075	7.1224	7.4261	7.5684	11.6802	7.283	9.436	7.1132	8.4244	7.8473	5.9178	8.1182	6.2106	7.3692	7.4325	7.641	5.5442	8.1737	6.1796	9.8138	7.8417	8.799	10.5391	7.3985	7.0859	6.2713	7.9055	12.3691	8.1468	7.4714	10.6486	7.7878
EA_G__GSTT1	4.6299	4.8137	8.0168	7.6019	8.4776	4.7123	4.377	8.8024	4.5306	4.5116	4.9129	7.3671	7.6961	7.5309	4.753	6.9702	6.5317	7.7158	4.9566	6.9876	7.636	4.0882	8.3665	7.6046	8.6851	6.5673	5.1682	7.0605	6.4598	7.5391	7.2578	4.7409	4.6702	7.7072	9.7679
EA_G__COPS8	7.6287	8.5364	7.7598	8.5485	7.7398	7.6158	7.3489	8.003	8.2763	8.0118	7.6235	7.4184	8.1777	8.985	7.7039	8.5295	7.9888	7.9185	8.7738	8.5887	7.4272	8.2657	7.9461	7.522	6.7061	7.357	8.175	8.882	8.7343	7.6282	7.8201	7.8232	7.7211	7.7819	7.7286
EA_G__C20orf54	7.0549	7.58	8.7599	4.561	7.0352	7.1855	6.3617	7.3675	5.81	5.7621	7.1471	8.6817	6.6259	4.5418	9.0217	4.4105	5.525	5.5658	7.5515	4.7941	9.2928	5.1877	8.0301	7.9836	7.323	7.5251	5.0305	5.8399	4.8263	8.2048	7.281	7.4639	8.2019	7.7561	8.9315
EA_G__GHR	3.4555	3.1078	7.0331	3.2946	8.2991	3.6146	7.3657	6.2015	6.8667	4.7513	3.453	4.0767	2.9606	3.0266	4.2527	5.2987	4.6304	7.0062	5.5601	7.6029	6.6707	3.0519	5.8397	7.612	7.7942	3.5592	3.7344	3.2773	3.4318	6.1368	3.7827	5.217	7.7204	4.3278	5.4494
