Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__TOX3	5.974	4.6551	8.5875	4.4321	6.5337	5.4214	4.4642	7.6402	4.4988	4.116	4.7216	7.3639	4.4069	3.9878	4.5242	4.2514	4.6907	4.7136	5.1155	4.1138	7.0533	4.2706	8.4109	9.1685	7.8902	5.2199	4.6364	4.374	4.3532	7.696	7.7374	7.5964	4.397	6.9844	8.4415
EA_G__SLC9A2	8.0221	5.0906	9.0313	4.6153	4.537	6.1778	4.6843	9.2135	6.766	4.2235	4.6564	7.9773	4.8629	4.0912	4.4798	4.0015	8.3374	7.752	5.095	4.5882	8.1974	4.1751	9.4528	7.6961	7.0623	8.3122	5.8374	4.8527	6.3365	8.3496	6.9643	7.0853	8.7918	8.1692	8.7367
EA_G__PLA2G10	7.4097	5.9502	6.2138	5.9734	6.4801	5.8603	6.1584	6.4113	7.186	6.003	7.7286	7.2149	6.2563	5.4353	7.149	5.9167	7.1404	6.5337	6.9787	5.2459	8.2977	5.5339	7.2334	10.1074	6.4499	7.7312	6.1785	6.1912	5.9954	6.0704	5.9926	5.8723	6.6205	7.9511	6.6977
EA_G__CHDH	5.7765	6.8422	8.0397	5.5535	7.8047	7.3454	7.4832	5.4023	7.3578	8.4609	5.9458	7.2342	6.9515	6.0461	7.5888	5.1343	7.4567	6.7619	6.0203	5.6341	8.1154	5.4675	8.361	7.9733	7.7363	5.5396	6.7458	6.3557	5.3534	5.9997	7.0313	5.8103	7.2057	7.6034	7.8407
EA_G__MPP7	7.201	6.8077	7.6254	3.5809	7.1178	6.0094	6.4583	7.6765	8.069	7.0109	4.702	8.1318	6.4942	4.974	6.8515	4.1343	6.835	7.312	7.3818	3.4258	7.7846	4.8621	7.4319	7.8872	4.7048	6.7447	3.9781	5.7979	4.8244	7.7533	8.0238	5.708	8.7197	7.3438	7.4885
EA_G__DENND1B	6.6791	6.7675	7.167	4.7193	6.0054	5.8785	5.9951	6.8062	6.8071	6.1834	6.5026	7.4498	6.5538	5.7247	7.5458	5.444	6.254	6.4954	6.4321	5.8145	6.9989	5.6087	6.7896	7.0417	8.8044	6.7401	5.1312	5.7658	5.6866	7.0638	7.1235	6.6987	5.8053	7.2246	7.9649
EA_G__CACNA1D	7.7334	5.8969	6.4883	4.3929	5.9883	5.0697	5.9576	7.9984	8.2401	5.3635	4.4459	7.7626	4.6953	4.4363	5.9109	4.1169	6.6581	6.2977	6.8725	4.2473	7.3781	4.4991	6.9919	6.4139	7.5077	7.7938	4.5576	4.5211	4.5248	5.9556	6.0469	7.638	6.6987	6.9375	7.5353
EA_G__TMEM45B	6.9318	4.8694	8.2607	4.0544	6.8897	4.1082	4.5358	8.2657	6.8742	4.5363	7.0629	8.1123	4.5414	4.0417	4.9594	3.8961	6.4895	5.7187	4.3127	4.1766	7.7764	4.7821	6.3274	8.0271	8.7181	6.6217	4.7421	4.5365	4.1764	8.6359	9.1021	8.3886	8.0495	8.7831	5.7404
EA_G__LAMB1	7.9713	8.3495	7.5613	8.178	7.7319	9.1946	8.0114	7.368	8.1479	9.7851	8.6398	8.0677	8.7155	7.9749	7.6611	10.0733	8.0096	5.3777	6.556	10.6895	6.1294	7.6222	6.0822	8.1012	5.867	9.4446	6.7632	8.4329	8.9308	8.3119	5.3253	8.4389	8.0109	4.8772	6.7571
EA_G__ARL4C	6.4043	8.6446	7.8979	8.6542	6.5207	8.5419	6.249	7.2395	5.713	6.9818	7.8644	8.1788	8.3581	8.8294	7.832	8.4905	6.8551	6.4925	7.0841	9.064	7.1587	7.769	6.7918	5.7117	6.6629	7.184	10.1983	7.1131	6.0957	7.0154	6.579	7.5063	5.9402	6.3704	6.6452
EA_G__TMC4	6.5461	7.9944	6.2488	6.0186	7.9932	7.4768	6.8929	8.9858	7.8696	7.7434	7.1081	8.0437	7.3004	6.301	9.6454	6.3986	8.2183	9.2347	8.4141	6.5111	9.0318	6.0146	8.9193	9.6407	8.511	6.7853	6.3755	8.8233	6.0398	8.8164	8.6888	8.9131	8.8138	7.8806	8.7088
EA_G__PLAUR	6.7309	7.8258	6.0771	8.4203	6.2934	9.2084	6.8231	5.7579	6.4228	5.9058	7.5242	7.2079	8.2427	6.86	7.5313	9.1235	6.3205	6.2248	6.007	6.8885	6.5361	9.49	5.3804	6.6653	6.2359	7.1679	8.7702	7.8366	7.568	6.2077	6.9525	7.3476	5.9986	6.1998	6.0948
EA_G__ZNF552	6.2846	5.0135	6.6113	5.7557	7.2646	5.9294	6.3298	7.3401	8.9754	5.1354	5.9876	6.7368	5.6621	6.2769	5.7796	5.5615	5.8853	5.7611	6.1936	4.8218	5.5589	5.4258	7.2799	7.4622	5.5762	6.7348	5.4915	6.2575	5.7401	8.0396	6.6779	6.4069	7.702	7.8214	5.5955
EA_G__AKT3	3.2222	7.2162	3.773	7.5447	3.1311	7.6527	3.2315	3.0579	2.8806	7.8016	3.9619	5.0257	6.1725	4.2506	3.4701	7.9436	3.0857	3.5124	3.3863	8.4968	4.1188	7.2533	4.1802	3.0785	3.6666	3.7047	3.2738	7.3988	4.088	4.44	2.7296	3.81	3.4691	5.0022	3.0935
EA_G__TMEM16A	7.2916	6.4055	9.4332	4.9702	5.3162	9.8919	8.7183	9.0278	8.6188	6.5456	7.9563	7.5129	6.7371	4.7918	5.8483	5.1414	5.324	5.5073	6.9861	5.098	7.6208	4.7971	8.0768	11.1144	7.8885	8.0278	5.0673	5.1832	5.1206	5.3765	8.6544	5.3902	7.2997	5.773	10.4323
