Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__C20orf54	7.8454	7.0549	7.58	8.7599	4.561	7.0352	7.1855	6.3617	4.0836	7.3675	5.81	5.7621	7.1471	7.8136	6.9528	8.6817	6.6259	4.5418	9.0217	4.4105	5.525	5.5658	7.5515	4.7941	9.2928	5.1877	8.0301	7.9836	7.323	7.5251	5.0305	5.8399	4.8263	8.2048	7.281	7.4639	8.2019	7.7561	8.9315	7.757
EA_G__SLC44A4	11.6736	6.0217	5.1742	6.4575	5.1744	5.8406	5.1784	5.4359	5.1851	5.2161	5.3873	5.2039	5.4683	5.0755	5.4196	9.9478	5.5018	5.1499	6.7549	5.1958	5.7664	5.7798	8.0796	5.3333	8.6219	5.4313	5.9026	11.0876	7.5139	7.3705	5.4841	5.7716	5.4328	11.6179	5.6014	6.6319	5.8825	6.0667	10.1028	9.7302
EA_G__CACNA1D	5.1325	7.7334	5.8969	6.4883	4.3929	5.9883	5.0697	5.9576	4.3872	7.9984	8.2401	5.3635	4.4459	4.8797	4.8552	7.7626	4.6953	4.4363	5.9109	4.1169	6.6581	6.2977	6.8725	4.2473	7.3781	4.4991	6.9919	6.4139	7.5077	7.7938	4.5576	4.5211	4.5248	5.9556	6.0469	7.638	6.6987	6.9375	7.5353	5.8883
EA_G__XBP1	11.283	10.9214	8.6686	11.4285	8.6723	11.3432	8.5408	9.0517	9.4895	11.6752	10.8517	8.688	9.1233	8.734	9.1933	11.2423	8.6586	8.207	9.7409	8.5637	10.908	11.5332	11.3709	8.4505	11.6948	8.6487	11.8604	11.6993	11.4718	10.6695	8.502	8.3625	9.0461	11.0474	11.1889	11.1636	10.9799	11.4501	11.6409	11.6006
EA_G__SPDEF	9.8828	10.1908	7.4018	10.7931	5.6685	11.013	5.9359	6.1425	5.7703	10.7443	9.8237	6.0475	6.0136	6.4407	7.5494	10.0929	6.9762	5.6718	6.3194	5.7139	10.0469	10.246	9.7584	5.6466	10.4039	7.0764	10.5661	10.3098	10.5877	10.0553	6.1331	6.4231	5.9152	10.0886	9.922	10.6581	9.6624	10.226	11.1169	10.8329
EA_G__LLGL2	9.3921	8.6915	7.7394	9.2172	6.2317	8.8119	8.2638	8.0503	6.7246	8.8674	9.3444	7.2747	7.7949	7.7966	7.8608	8.3801	7.9179	6.2965	8.1822	6.0368	9.5561	9.9449	8.5159	6.5672	8.6457	6.5173	10.4167	8.8447	9.2616	9.2767	6.1906	7.5902	6.2778	8.6172	8.4538	8.1435	8.5877	8.313	9.276	9.4724
EA_G__GPD1L	7.1581	8.4613	5.3985	8.9161	6.4188	7.7827	6.2488	5.9624	6.2165	8.38	7.4073	6.0314	6.2961	6.7928	7.0246	9.6036	7.1174	6.939	6.6889	6.1596	8.6801	8.5606	7.1846	6.3214	7.8672	6.7807	8.9259	7.8841	8.5556	8.1451	6.377	7.0466	7.118	8.1813	7.3485	8.142	7.77	7.872	8.385	7.5835
EA_G__C4orf34	8.8336	7.5189	6.7831	9.2875	5.2272	9.1582	4.721	5.3837	8.1851	9.7532	7.4229	7.588	5.1128	6.5668	7.6648	9.1999	5.4193	6.848	8.0783	6.629	8.3072	8.1002	9.1603	6.5726	8.8801	5.1194	9.9662	9.103	8.0987	7.3907	8.1597	7.0955	5.3506	8.451	9.2518	9.4196	8.058	8.6313	9.0896	8.1182
EA_G__KIAA0984	6.3444	8.4452	5.9705	8.8413	4.2138	7.8078	6.3599	4.2813	4.2274	8.9468	6.8133	5.1804	6.9557	5.9346	6.8	8.0653	6.409	4.0248	5.8291	3.668	8.2604	8.3418	5.4775	4.4505	7.3813	5.864	7.8929	7.1228	7.3149	7.8815	4.4008	6.0266	3.9297	7.968	7.0509	6.4222	7.4861	8.208	8.3521	8.0007
EA_G__FSTL3	6.2606	6.7712	7.4701	6.6243	8.29	6.6981	7.3862	6.3513	6.9988	6.7904	6.481	7.0656	7.7062	6.8675	6.8262	6.3215	7.57	7.4797	6.2131	8.9828	7.7468	7.4046	6.4834	9.5208	6.8041	7.4653	6.6931	5.9216	7.1502	7.1409	7.4427	8.0244	8.7911	6.6813	7.3778	6.5094	6.7341	6.7612	6.8778	7.3586
EA_G__EDARADD	6.0612	6.1693	4.8408	6.7034	5.2139	5.4741	4.8861	5.7205	4.9636	5.558	5.9031	5.6679	7.6485	7.1277	4.9895	9.7576	5.308	5.2763	4.9989	5.3651	6.5377	6.8792	6.7378	5.8785	7.3308	4.8031	6.4493	7.5426	6.4147	6.3641	5.0378	6.1074	5.3734	4.704	6.2779	8.6739	7.0946	6.762	6.6416	5.3495
EA_G__CD44	5.0643	6.221	10.4901	5.8402	9.4203	5.0229	11.129	6.7431	8.6542	5.9841	8.2408	10.1261	11.6066	10.3665	10.8891	6.5189	10.2825	8.6214	8.932	10.7718	5.0212	5.5111	8.1534	9.6122	6.1197	8.8998	8.3912	8.3341	5.0009	5.3355	9.4761	9.5375	9.1489	4.4169	9.289	4.2538	7.4487	7.7525	7.9545	4.4431
EA_G__ETS1	3.8667	4.805	5.9815	3.8221	9.1987	3.7611	9.7835	5.4674	8.8179	3.5174	3.7092	9.0214	8.4312	8.6336	7.6481	4.2609	8.9186	6.6496	6.1098	7.8626	4.2242	4.1251	3.6311	8.5584	3.7782	8.8462	3.44	3.778	4.6855	4.7509	7.741	7.9709	8.314	4.3718	5.9158	4.288	4.0329	3.9583	4.1234	3.7159
EA_G__ELF5	4.2981	5.8202	4.2489	7.3218	4.3044	4.9445	5.2392	9.8355	4.3338	6.7358	7.7811	4.6943	4.4652	6.239	4.271	7.4263	5.3967	4.094	4.411	4.0815	6.4913	6.7385	4.4565	4.0654	7.7369	4.2349	6.8165	4.3561	4.6392	6.1555	4.6482	4.6594	4.1047	8.7989	7.3541	5.8785	8.5803	7.339	5.3151	6.8873
EA_G__KLF6	8.7243	6.8794	6.9784	7.7831	8.7483	8.4806	9.7852	8.0524	7.7242	6.8614	7.7285	7.477	7.8185	7.554	8.3736	7.7119	8.1123	8.1562	8.3758	8.9625	6.4859	6.1177	8.6016	8.4701	6.786	7.631	7.6206	7.3374	7.12	7.1219	9.565	7.6361	9.1098	7.3667	7.9498	6.2908	6.5741	6.8629	7.392	8.3775
EA_G__ROR1	5.1251	5.3372	7.9662	5.2175	6.5973	5.439	7.28	10.4317	8.9012	4.743	5.6664	5.7236	6.7942	8.3774	7.9003	4.7319	7.7308	6.1285	7.9918	9.5253	5.5238	5.0728	7.0798	7.725	5.7081	9.3852	4.8051	6.7134	5.6738	5.391	5.9191	7.2763	8.7107	5.8718	6.3405	6.0622	5.2006	5.3266	4.955	5.4154
EA_G__AGR2	10.388	9.9764	3.2404	10.5253	3.1745	6.0439	3.5567	3.1734	3.3399	10.6695	6.7701	3.4557	6.1162	5.8644	7.6477	10.1249	3.6198	3.3258	5.9674	3.3756	6.4972	9.3306	6.4599	3.0206	10.5625	5.2088	9.6312	11.0565	8.4022	8.7004	3.9941	5.3017	3.7281	11.9063	10.5448	10.4962	10.2239	11.303	8.8069	8.6101
EA_G__COL4A2	6.36	6.061	6.9582	5.9927	9.1358	5.6938	8.5657	5.8659	8.1435	5.706	5.736	8.5431	8.8082	7.6081	6.3498	6.3447	9.6397	9.1724	6.1702	9.4784	6.189	6.2593	5.9015	11.3453	6.2475	7.8284	5.8093	5.7943	6.9666	6.5292	6.5386	8.0359	6.3432	6.0159	6.3401	6.3543	6.1933	5.9988	6.2438	5.8257
EA_G__ATP6V1B1	8.431	8.806	5.902	7.3183	5.9325	5.7772	6.4595	6.2043	6.3031	6.1353	9.5806	6.3115	6.287	6.7994	6.0559	9.4686	6.157	6.0111	9.3752	5.722	6.8148	6.4098	8.1139	5.9892	6.9745	5.9529	7.875	9.1033	6.5552	8.2919	6.0271	7.2476	6.1054	7.2345	8.1543	6.8779	6.3264	7.0163	6.1973	6.1065
EA_G__MUCL1	9.7015	9.6708	5.4032	11.9418	4.8957	8.9223	4.5051	8.786	4.9442	8.2638	6.8099	4.7529	4.7936	4.5822	5.1223	8.4609	4.7998	4.6962	4.8549	4.861	6.192	7.9264	7.538	4.9978	10.2647	4.8186	11.1491	8.2536	10.2257	5.8615	6.5654	5.2871	4.4087	5.4239	12.5835	9.5991	5.3747	11.7143	10.7729	5.1542
EA_G__ABCA12	4.3109	7.364	7.1095	6.8238	3.3572	3.9202	3.4709	3.3851	3.4184	8.1267	8.8693	3.3669	5.5671	6.1363	6.2983	6.998	4.6112	3.2091	5.7931	3.2291	6.2715	9.5323	4.7044	3.1101	6.8836	3.3908	10.1166	5.9646	7.5299	8.0032	3.6763	5.1243	3.733	6.1352	9.0577	7.3809	7.9179	9.511	9.895	8.4165
EA_G__C19orf21	9.6189	9.4483	8.9019	8.7564	5.9232	8.5724	8.5302	5.5468	5.8788	9.3517	5.2243	6.8438	8.0179	8.5636	8.8702	9.7186	5.4781	5.5555	6.6279	5.5706	8.7843	8.5778	8.8654	5.7745	9.6936	7.9411	8.8758	8.9668	6.591	9.9506	5.9944	6.0195	5.6263	8.618	7.5417	8.3524	7.9338	8.3996	8.8792	9.0596
EA_G__ALDH4A1	6.6137	7.563	7.3057	9.6464	6.4231	8.4263	6.2446	7.1993	6.1997	8.3781	7.28	7.0017	6.8621	7.236	7.2316	8.1332	6.577	6.5174	8.276	6.5183	7.8706	7.9981	7.9767	6.5559	8.9964	6.44	8.6197	7.9773	10.1902	8.6634	6.6103	6.757	6.4059	8.2904	6.8675	7.3929	8.1326	7.6348	9.4543	7.8978
EA_G__FAM120C	6.734	6.9119	6.4205	6.9027	7.5805	6.9332	6.2679	8.4703	6.4023	7.0268	6.7884	6.3034	5.144	5.782	7.0889	7.8624	4.9352	6.3925	6.2466	6.2966	7.8199	7.3178	6.909	6.2234	7.9999	6.1857	6.9862	6.9113	7.2472	7.2245	5.878	6.9624	6.042	6.8034	6.3654	6.0982	7.9788	7.8176	7.9865	7.5028
EA_G__EFHD1	9.6927	10.4897	6.7838	10.8877	6.4363	11.3552	8.4531	10.9246	7.5588	10.9769	10.5969	8.0806	6.5687	7.1335	7.0749	10.7681	8.1233	6.512	6.812	6.1904	7.6784	9.8691	9.5217	6.8011	10.6784	7.1188	10.1568	10.3331	10.1827	10.9819	6.6063	7.3525	6.5382	10.5168	10.3753	10.2061	10.8369	10.3846	11.0058	9.4912
EA_G__C1orf106	9.1783	7.6581	6.8747	6.0784	5.4879	5.6203	6.0007	8.2173	5.3896	6.9857	6.0968	7.9856	7.0319	7.718	7.5064	8.2185	7.3373	5.8561	8.145	5.1319	6.0339	5.5105	5.2071	5.0412	7.9015	6.0522	6.4293	7.5807	6.6293	8.2673	5.2901	7.0118	5.4937	7.2321	5.8293	8.3952	7.1907	6.4185	7.3009	6.7258
EA_G__BAG2	3.8525	4.3299	5.1524	3.8546	7.7073	3.4446	6.687	6.4005	6.3219	6.2911	4.5582	8.1386	7.9545	7.1173	6.8822	4.381	6.3286	7.4399	6.2299	7.9982	5.0232	5.4682	4.334	7.5584	3.3871	8.1211	5.4731	4.2242	4.7056	4.5241	8.2828	6.9224	8.5168	5.2833	6.1298	3.6269	5.8246	5.7192	3.7646	3.4296
EA_G__RERG	6.304	5.7883	5.1813	7.0617	6.9909	7.1023	5.2465	9.1777	6.389	7.4429	6.875	3.3728	3.7	7.0141	4.2244	8.5667	3.7031	3.7498	8.8424	4.2458	5.4949	7.6464	9.2628	4.9248	6.5258	3.7492	8.2545	7.997	5.7481	4.6398	3.8895	7.7126	3.8277	7.7315	6.8926	4.3393	7.2201	6.6304	6.0999	6.942
EA_G__ESR1	7.8103	5.949	6.0559	7.1801	5.6039	8.4071	5.601	5.7796	5.8403	7.5436	9.7789	5.8332	6.1272	6.5118	5.9623	6.2441	5.6586	5.4846	6.0553	5.6479	8.4338	8.7397	9.4422	5.3713	6.9678	5.413	8.6907	8.0188	6.1198	5.8501	5.7046	5.9209	5.8721	5.7063	6.0028	7.9154	8.6844	8.1235	6.081	8.4263
EA_G__CXorf6	4.6909	4.703	6.0288	5.4679	8.3684	4.5585	5.4825	6.7759	5.7365	4.5194	4.6782	6.0019	5.1329	5.4703	7.0092	4.9661	6.908	5.1928	6.5742	7.0185	5.8373	5.9203	7.2788	7.3823	5.2577	7.3093	5.8459	4.8433	6.0344	4.9336	6.8324	6.1706	6.6113	5.2559	6.9658	5.3975	4.9226	5.3042	4.7027	5.0711
EA_G__HIG2	7.7193	10.3182	7.6916	9.7982	7.1806	8.8925	6.8114	9.2443	7.6533	8.9429	8.8777	8.7612	7.0476	7.034	6.886	9.728	7.6702	6.7164	7.1713	7.7054	9.4173	8.7386	7.9982	7.3557	9.539	7.2633	9.5566	8.4201	8.6189	9.6608	7.134	7.2611	7.6784	8.9239	8.0475	8.4674	9.1108	7.9012	8.5845	8.2687
EA_G__AXL	5.6804	5.1611	5.4463	5.4209	10.2739	5.2109	9.8631	5.2949	9.4468	5.1746	4.9087	5.3032	6.6145	8.9208	6.9786	5.6583	8.6491	9.9664	5.4233	11.2512	5.5361	5.534	6.7552	9.689	6.5073	11.0247	5.0726	5.1294	6.1472	5.743	9.8877	7.8036	9.9992	5.5417	5.5984	5.7637	5.5023	5.4593	5.4104	5.3293
EA_G__SLC39A11	8.0039	7.6914	6.4328	7.5502	6.5108	9.2791	6.8888	6.8928	7.3307	7.5156	8.6527	7.168	6.3672	7.0764	7.36	8.1172	7.0266	7.0961	7.8446	6.3549	7.9397	7.9691	7.1896	7.3801	8.435	6.5379	7.9556	9.0344	6.4632	8.3686	7.2705	6.1905	6.1289	7.8538	8.5277	6.7183	7.9721	9.1536	9.6432	8.6471
EA_G__DOPEY2	8.2239	7.9457	6.5423	8.2781	6.7292	6.8553	6.4959	7.261	5.4701	8.972	8.176	5.1726	5.2203	5.5628	6.4086	8.0014	5.6175	5.1986	6.0869	5.9919	7.9673	7.5194	7.1617	6.3299	8.384	5.0722	7.8844	7.5647	7.2843	7.5263	6.4388	5.1658	5.6352	8.4635	7.2463	8.5448	7.6241	7.9335	7.2307	6.2296
EA_G__MPP1	4.6323	4.6149	5.5659	4.1933	7.3661	5.2864	5.9491	6.1238	6.5432	4.0628	4.851	6.9422	6.5674	5.376	4.4365	5.2199	6.7918	7.3067	4.5936	7.6194	4.6365	4.6134	6.1798	8.3037	5.8638	7.4557	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	5.4014	4.4879	6.8111	6.0661	4.9223	4.6406	4.793
EA_G__STEAP4	8.7208	8.8261	8.2268	3.6065	3.5677	3.5754	4.1022	7.0677	3.6997	6.8604	5.1387	3.3645	3.6121	8.0281	9.744	3.9855	4.4083	3.3684	9.233	3.3895	4.1094	4.5633	3.5896	3.4877	7.5717	3.6511	3.6823	8.3019	4.0973	6.8116	4.0102	10.6528	4.3021	3.5768	9.1109	3.8375	5.9035	4.1422	4.1833	4.1754
EA_G__TMEM63A	10.3392	9.9042	8.8139	9.2252	7.9009	8.9321	8.0876	8.6713	7.8552	9.8166	7.6708	8.6227	8.3271	8.8127	8.4558	9.0724	8.6764	7.9149	9.794	7.6274	8.0926	8.3874	8.1943	8.1384	10.2093	7.9491	9.2452	9.2999	9.5319	9.8231	7.2609	9.6586	7.7197	9.4813	9.5874	9.3064	8.91	8.3396	8.9229	8.1762
EA_G__CDH2	4.0251	4.0411	3.9336	6.1279	9.8299	4.4929	10.0761	7.0983	9.3912	3.6812	4.1157	6.1737	6.6884	3.977	4.3982	4.3469	9.5028	11.0385	4.1055	10.6677	4.2581	4.3672	8.5006	9.341	5.4302	4.6632	9.0445	4.2375	5.3076	4.4986	6.1511	7.001	10.2831	6.7609	4.2568	4.0943	4.3249	5.1323	5.1626	5.225
EA_G__GPR160	6.7527	6.9782	5.0229	8.0657	3.3556	7.1076	4.229	4.4657	2.9609	9.3959	7.726	4.058	3.7191	5.921	4.7387	6.9804	4.7694	3.446	5.8982	3.5785	7.7744	7.445	7.3926	2.9737	8.141	4.3088	7.3759	8.3753	7.7969	7.1789	2.9307	3.3042	3.8572	7.0867	5.9659	8.1528	7.8124	7.3001	7.6953	7.3985
EA_G__TRIP13	7.8157	8.1416	9.0187	8.2321	8.6364	8.1903	8.6113	8.0736	8.981	8.1179	7.9184	8.4456	8.9683	9.4647	11.0174	8.1894	8.5695	8.627	8.8367	8.9072	7.4412	7.6605	7.9539	8.9576	7.3297	8.199	7.7935	7.3926	7.5408	7.639	8.0686	7.5311	9.5113	8.3058	6.3098	7.6794	8.8534	7.6143	7.189	7.7185
EA_G__ANKH	4.7353	6.1321	8.0863	5.4319	7.5366	6.1278	8.4813	9.0894	8.5155	4.6888	6.49	7.8379	8.1721	8.2302	6.7129	5.1636	6.8831	6.3625	8.2345	8.8695	6.0957	5.1663	7.006	7.9234	5.9965	7.4819	6.675	4.8461	5.6252	6.0369	7.6275	6.1743	8.3735	7.4034	7.0396	7.2997	4.911	7.1822	5.0068	4.9094
EA_G__GPR176	5.2765	5.0352	5.7606	4.458	7.1887	6.8504	7.4156	4.6433	6.7334	4.2781	5.7714	5.2195	6.5779	6.6746	5.21	4.4455	6.8578	6.1532	4.8029	8.7365	5.2116	5.7415	6.1286	7.3208	5.634	4.5928	4.5879	4.3922	5.6259	5.0005	7.254	6.2727	8.3008	4.8269	4.2057	5.2999	6.1686	4.6943	4.4512	5.0169
EA_G__INHBA	4.4157	5.1581	8.1871	4.5395	8.8598	4.8232	7.3236	6.0828	7.322	4.2724	4.7245	4.8786	6.9908	6.3432	8.1192	4.7682	7.6801	5.3617	6.0516	8.9587	5.1789	4.9393	4.6262	8.3441	5.2086	5.4346	4.3707	4.4921	5.5462	5.3421	4.2383	8.171	4.7614	4.6445	5.0442	5.0919	5.2185	4.3351	4.6254	4.2807
EA_G__SERPINA1	8.4084	6.0914	5.1733	6.926	4.8651	4.5021	5.2038	4.6022	5.1433	4.7795	6.7707	5.5588	4.9026	5.508	4.7926	5.0654	5.4058	4.9145	5.1516	4.6727	5.6835	5.3772	4.9932	4.8065	5.1902	4.6721	8.3465	5.8342	5.5057	5.5763	4.8264	5.8225	5.1528	5.5648	6.2194	6.9738	8.3627	7.8604	7.3305	5.8752
EA_G__MSN	6.7845	5.5245	8.9289	4.0134	10.3783	4.1022	11.3117	10.2913	10.364	4.1309	7.0685	10.7693	10.103	9.5137	10.4191	4.4627	9.6207	10.8946	10.6461	10.7237	4.1429	4.7797	6.5085	10.1759	5.7957	10.8438	3.9279	8.4521	5.0086	4.469	10.7101	10.614	10.7822	3.9763	6.4413	4.674	4.3941	4.086	5.8385	7.8425
EA_G__RAPGEFL1	8.115	7.7646	6.1236	6.1232	5.978	6.5795	4.9558	6.0299	5.6241	5.6552	10.077	6.4717	5.3366	7.5171	5.0197	5.3794	5.4444	6.4008	6.1792	5.1847	7.0274	6.1289	8.0831	5.5754	7.4461	5.9926	5.5345	5.1585	5.0997	7.8168	5.8965	7.0462	5.6465	4.9533	5.2732	7.3086	7.7411	12.0503	6.1056	7.5132
EA_G__S100P	11.3731	10.1247	7.9615	7.2864	5.7465	5.557	6.9423	5.8348	5.7318	9.1996	5.8917	6.7804	6.0665	7.9226	7.2762	9.8817	8.8998	5.1913	7.8569	5.8489	7.6831	6.3119	5.3577	5.5392	9.0019	6.1748	6.4696	7.9889	5.8328	9.015	5.4877	8.6915	5.2488	9.6301	9.9677	9.2091	7.4099	6.8574	7.2725	9.0204
EA_G__HLA-DMA	7.7846	6.1096	7.2135	5.4969	5.3203	5.607	6.4711	6.846	7.1845	7.7241	6.4108	5.909	6.3016	6.3518	6.7919	7.7145	6.1954	5.1876	9.0448	5.6239	5.6223	6.1193	6.8527	5.948	7.0516	5.2159	6.1346	10.3753	6.3527	6.7923	6.9763	6.6222	5.739	6.4534	6.8265	7.3171	9.0091	6.8822	6.2863	5.5486
EA_G__GDPD3	7.8908	10.4052	6.3847	6.7364	5.6402	7.6914	4.9636	5.2361	5.4538	8.6563	5.6591	5.4878	5.9923	6.9928	6.7062	7.5969	5.7434	5.8015	6.0767	5.2536	7.5701	8.3603	5.6607	5.2069	7.7961	5.0645	6.1261	6.5886	6.0817	9.2665	4.9981	7.3888	5.4316	8.3237	5.3763	5.6547	5.3216	7.0946	6.1323	5.6659
EA_G__SNAI2	4.1699	3.7124	6.6607	3.6871	9.1313	3.88	6.4837	3.2197	8.7471	3.8197	3.4385	9.9938	8.7811	7.6103	8.0586	3.6267	5.6992	9.113	6.23	9.6167	3.8127	4.5304	3.9551	10.2171	6.415	6.0717	4.3797	4.0291	3.8604	3.2179	9.5792	6.7031	8.0848	4.5561	3.8284	5.6708	3.7912	4.4566	3.9037	4.1802
EA_G__FMNL2	4.0253	5.0374	5.7022	4.32	6.8369	4.8322	7.2053	7.5584	6.6338	4.2885	5.597	6.4228	6.6403	7.5557	7.599	6.2067	7.1766	7.6335	5.0551	6.8236	5.6056	5.0364	5.5033	6.5388	4.567	6.9875	4.9813	3.8189	4.6063	5.199	8.2269	6.307	6.8317	4.3607	6.313	5.0518	4.1588	5.4521	5.0902	4.4453
EA_G__7A5	10.3607	8.9896	8.1824	8.3314	3.2606	7.2942	7.6597	5.6095	3.7134	9.2592	6.5231	3.7622	8.2988	8.3687	9.8414	8.9054	8.2759	4.0236	9.6757	3.4441	6.8545	7.4974	5.2953	3.1486	9.6105	4.0122	7.6718	8.5499	7.1	8.7273	3.9994	6.9247	3.9668	7.1495	9.2352	7.0569	8.1383	9.6843	7.3096	9.2036
EA_G__OBFC2A	8.663	7.6101	9.2122	5.7752	8.0921	4.5264	8.1177	5.6774	8.5995	6.3325	5.6037	7.6901	9.0276	8.7656	8.7563	6.3893	8.8214	9.7788	7.8827	9.2412	6.4123	6.7442	5.6996	8.2834	6.6746	9.4543	5.5142	6.1973	6.3699	6.996	8.5565	8.4307	9.0169	7.7607	7.9834	6.1808	5.7689	6.4453	5.6546	6.4721
EA_G__BCAM	9.8674	8.5352	7.2259	9.581	6.2673	8.0224	7.1544	8.0057	6.9655	10.324	8.5515	6.7296	7.6049	7.9327	7.5802	8.0228	7.377	7.7845	6.7104	7.3065	8.3757	8.9779	9.6798	6.5678	9.3828	6.643	10.3764	9.5041	8.8674	9.7229	6.3302	7.3465	6.1911	10.1589	9.4881	10.6832	9.4485	8.6028	9.8222	7.872
EA_G__SYT12	6.5702	8.4842	7.2923	6.4667	5.6842	7.9997	5.3679	8.048	5.0011	5.5349	7.2782	6.3472	5.9473	6.3003	7.3051	8.2401	5.853	5.1824	7.0638	5.2108	8.037	7.7083	6.7108	5.4029	6.0574	5.6268	6.4297	7.8238	8.001	7.193	6.263	8.7831	5.9885	5.3229	6.7599	7.2041	6.3496	8.237	7.9768	6.5939
EA_G__ITGA3	10.2433	7.1625	10.7598	9.4809	9.988	7.9646	10.8488	6.3057	9.4156	8.263	9.152	5.7255	10.145	10.5788	10.1378	6.9766	10.3045	10.4508	9.1873	9.405	8.6618	8.6604	8.2649	10.2717	8.3754	10.0401	9.1213	8.7804	9.1269	7.8483	8.8705	9.4272	9.9778	7.6624	8.5305	8.3121	7.9009	7.8484	7.2278	7.4981
EA_G__ITGA6	6.7446	3.5983	8.8761	6.6671	7.6542	5.1661	9.2656	5.7846	8.5126	7.5573	5.6742	7.6857	10.5288	10.3204	8.9874	3.6557	8.6883	6.2079	7.0879	7.2968	4.2723	3.9472	7.6904	6.793	5.9178	8.1442	6.6046	8.5089	7.7496	4.1794	7.3789	8.221	8.2275	6.6701	9.4133	7.5001	6.7193	7.6797	6.882	4.358
EA_G__LEPRE1	6.6604	6.106	7.0872	6.4096	8.8094	6.5042	6.8624	8.5287	8.9158	6.903	7.1955	7.9912	6.5855	6.995	7.2352	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	7.2675	9.3727	6.8462	8.1582	6.7103	6.9469	7.0673	6.3158	9.2172	7.4327	8.3081	7.7253	6.9598	7.4537	6.4544	6.851	6.5327	6.3042
EA_G__C17orf28	9.3617	9.729	7.4386	9.6197	5.5952	9.5722	6.3666	6.9129	5.2734	10.3721	9.0304	5.4402	6.5831	7.025	7.3859	8.2773	7.1557	5.8027	7.1023	5.3634	9.1167	9.277	9.1052	5.3589	9.2435	6.1912	11.1353	8.8997	11.0475	9.6716	5.6045	6.3796	5.9321	9.479	9.5063	9.3071	9.6105	9.9773	10.4072	10.4021
EA_G__DSP	8.4184	8.5174	8.3555	9.7781	4.438	8.3945	8.8684	9.8838	4.326	9.484	6.301	8.4854	9.2614	9.8513	8.9699	10.249	9.2227	6.8289	9.9116	6.0849	9.2346	9.4662	10.0598	6.8075	8.9583	6.9698	9.1769	8.8104	5.5198	8.8651	4.3964	9.6506	5.7489	8.7123	9.5311	9.3918	9.3757	9.3323	9.2241	8.0323
EA_G__PHF8	7.432	7.4992	7.1941	8.277	7.2066	7.3436	7.0351	8.1385	6.6316	8.829	8.0481	7.5933	7.2677	6.7328	7.239	7.7279	6.3823	7.1054	6.4405	5.9305	7.6451	7.324	7.7133	7.3858	7.8437	6.9463	8.6278	7.5576	7.5714	7.3043	6.3657	7.0032	6.7677	7.1694	6.4064	7.9412	7.6525	7.6297	8.6022	7.9915
EA_G__CLDN4	9.5613	9.7004	8.4153	9.1411	5.3261	7.699	8.2254	9.351	4.9589	9.9183	9.0487	8.5706	7.9375	8.5209	9.5097	9.2804	7.8583	5.3519	9.8327	4.7374	9.318	8.7885	8.585	5.0731	9.9284	5.8818	9.0956	8.7312	8.1256	9.8194	5.5932	6.9152	5.0136	9.936	9.3751	7.8684	9.4915	8.5326	8.105	8.707
EA_G__LARGE	7.5776	7.6411	6.3724	8.2811	6.4327	9.2071	5.23	7.0295	7.4912	8.5957	8.6586	7.3338	5.688	5.8935	6.4137	9.0514	5.108	4.9343	7.5548	5.6162	8.0168	8.493	8.7988	6.9842	8.3543	5.0348	9.7924	7.8886	8.0502	7.5051	6.4651	5.3077	5.0334	7.6831	7.6621	6.5147	7.7088	8.4373	8.51	9.0378
EA_G__ELK3	6.214	5.7875	6.4343	5.0173	6.3793	6.0668	6.2242	5.6844	6.4943	6.0164	6.0869	6.0582	6.9747	5.8821	6.9185	4.5117	6.5217	6.7734	6.2157	7.2924	6.2209	5.6102	5.2898	6.1929	5.6212	8.1946	5.6704	5.4659	5.4923	6.0903	8.2677	6.319	8.0026	5.7072	5.567	5.9615	5.5961	5.5168	5.4524	5.4035
EA_G__FAM46C	7.2034	6.5679	5.0716	7.2736	4.4742	6.598	4.9588	8.1081	4.7892	7.1412	8.3311	4.2893	4.5706	4.9818	4.9152	7.3574	5.1651	5.1344	6.0986	4.6335	5.6979	7.4742	6.9553	4.5008	7.298	5.9973	6.2513	7.0994	4.7529	5.5045	4.2856	4.9044	4.4957	8.0851	5.8403	8.0227	5.1973	6.326	6.6373	5.9488
EA_G__SATB2	5.9807	4.9968	6.4479	5.0371	6.9835	5.111	6.2984	5.1495	4.9582	4.8519	5.0624	6.9973	6.531	5.6969	5.896	5.6052	6.2428	4.569	4.8822	7.8537	6.7478	7.0652	7.4869	7.5473	6.2936	8.8773	4.9597	4.3184	6.2106	5.1857	8.181	6.3682	6.9949	7.1939	5.2308	5.8839	5.813	6.8878	5.2493	5.8126
