Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__GADD45A	6.0251	6.3877	7.29	6.2489	7.0816	5.5713	7.2169	6.2905	6.627	5.9471	5.5842	6.46	7.4015	8.8588	7.7404	5.5864	7.7197	6.6974	6.4102	8.2647	6.0858	6.2982	7.2958	7.206	5.9708	6.8756	5.9687	6.3753	6.3945	6.1844	8.4067	6.1507	8.2315	5.9881	7.382	5.9993	5.571	5.8913	6.1594	5.5673
EA_G__ATP9A	7.7378	8.4259	8.4643	9.6947	4.9667	7.2076	7.3539	7.6664	7.4794	9.2023	7.5494	7.3262	6.8931	8.1434	7.4705	7.6805	7.2789	6.4211	8.0206	6.994	8.2624	10.0036	8.2567	8.236	8.8712	5.8528	8.9556	8.3913	5.0926	8.6902	7.0679	6.8544	6.6104	7.7354	8.3107	7.6248	6.9771	7.7443	7.5794	7.9673
EA_G__NR4A1	7.0106	8.5142	6.4987	7.7492	6.1782	6.5968	6.4658	5.8281	6.2776	7.4587	6.4468	6.6935	6.3044	6.1826	6.3809	7.2553	6.2234	5.8215	6.1123	6.041	7.225	7.2685	6.542	5.7641	7.5251	5.9098	7.1353	6.7565	6.7356	7.0525	6.0845	7.8922	6.6425	6.9256	7.2672	7.5309	6.7901	6.6764	6.9464	8.454
EA_G__CREB3L4	8.1311	8.1722	6.239	8.8266	5.1526	8.4914	5.7882	5.6323	6.0428	8.1729	6.4823	6.4278	5.55	5.5635	6.0272	7.1548	5.7115	5.4265	6.6527	5.4111	6.6146	7.3017	6.9522	5.3083	7.8557	5.5882	7.768	7.4532	8.0278	7.7082	5.6583	5.9138	5.4051	7.0025	7.9691	7.4838	8.0176	7.745	8.8611	8.2783
EA_G__PVRL4	8.9017	8.8387	7.5802	8.6614	6.0215	8.4399	7.6435	8.619	6.0006	7.4022	6.9983	5.9267	6.4973	7.5051	7.1911	8.8506	6.8664	5.7394	9.0419	6.0255	8.6467	7.9387	7.8324	5.9404	9.5825	6.0246	7.6553	7.9653	8.7386	8.6132	6.1518	6.6455	5.8878	9.0033	8.5554	8.2224	8.8527	8.4894	7.7461	7.9785
EA_G__CRISP3	11.8733	10.7282	2.8746	3.95	3.5119	3.7243	3.5679	3.6285	2.9264	9.1329	4.5771	6.8703	3.445	4.0638	3.7873	9.1617	3.83	2.8707	5.3739	3.0338	4.3007	4.6077	5.2876	3.0894	7.7198	3.4906	4.8833	6.9258	4.6858	6.4852	3.5474	4.4543	4.2318	5.763	5.6706	12.7812	6.7331	3.9612	7.2417	4.3452
EA_G__ELF3	8.5748	8.8252	8.8399	8.1308	4.9138	6.864	7.729	8.3153	4.8811	8.1281	7.8905	8.1319	6.3321	7.717	8.7614	8.9846	7.547	5.2282	9.2539	4.9362	7.7912	7.3381	6.4985	4.9177	8.1983	5.4539	7.7294	8.0609	7.1314	8.8807	5.3636	7.1317	5.4265	7.6445	7.6229	8.2198	8.1507	6.9046	8.6266	9.6058
EA_G__CADPS2	7.5792	7.7456	4.908	7.4979	4.0964	6.4627	4.4223	5.6493	4.16	7.0315	4.4205	4.0071	4.8258	4.1246	5.3083	6.7121	3.9804	3.6804	6.6876	4.1893	5.843	6.0549	4.6595	4.342	7.6282	5.1269	5.4529	8.4842	6.1528	6.7688	4.2951	6.5761	6.4273	7.7822	6.6469	5.8467	5.8717	6.468	6.224	5.6319
EA_G__RND1	7.3143	8.2366	5.1518	5.5848	5.2959	7.5678	4.9253	6.6945	4.833	6.5432	5.3653	4.8394	5.688	5.355	5.6049	6.4109	5.1296	5.0251	5.5654	4.655	7.389	6.8855	7.5082	4.321	9.0383	5.229	6.9107	7.667	7.8736	8.9453	5.08	5.2271	5.1002	6.2484	6.2849	5.9817	7.1618	8.9243	7.8627	6.9375
EA_G__HMGCS2	4.5544	5.8913	4.3406	10.0884	4.296	4.3704	4.3897	4.5313	4.5194	7.4041	4.6301	4.2111	4.6196	4.2624	4.3031	4.8674	4.6161	4.3498	4.6828	4.1835	4.5064	4.7543	5.1079	4.1742	7.9965	4.5988	9.1804	10.6013	4.9517	5.0354	4.5088	4.4993	4.4967	8.0871	5.7396	6.6758	5.8813	7.594	7.4631	4.9667
