Cell lines	AU565	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__SHB	6.8733	6.1711	7.2606	6.1796	6.4954	6.4016	6.8149	6.1061	7.1242	6.5164	7.1248	9.4468	6.3557	7.5118	8.0176	6.6858	6.4005	6.5346	6.4142	6.7529	6.5025	6.3874	6.546	7.5095	6.2702	5.2957	5.9911	6.1421	7.0421	7.0962	6.027	6.3154	6.456	5.9912	5.9384
U133A__SDF2	7.8829	7.8306	7.654	7.6603	7.7701	7.4071	6.8821	7.8707	7.3082	7.6121	8.0018	7.3506	7.6774	8.1304	7.2951	7.6302	7.522	7.5795	7.8303	7.9851	7.4936	7.9517	7.635	7.3677	8.152	7.4198	7.2358	7.2845	7.5697	8.1691	7.5493	8.2573	8.6775	7.5268	7.6639
U133A__IL6ST	7.0793	5.4211	8.125	7.0206	5.2974	6.534	6.7419	6.7623	7.3269	7.0733	6.731	6.9801	7.0261	7.9029	7.3889	8.7535	5.2886	5.2522	9.4937	7.2806	7.1899	7.6621	8.1222	3.4946	6.5663	6.341	6.8491	8.4642	6.1815	7.4497	7.8678	7.8973	8.0668	6.8129	6.5801
U133A__WSB1	8.2551	7.3675	6.8786	5.492	5.8212	7.4104	5.3262	5.914	6.7034	5.8728	6.6474	6.0542	6.0579	7.2149	6.6716	5.7828	5.4442	7.4005	6.4023	7.1279	6.0259	6.9722	6.3978	6.2506	6.6178	5.9927	5.4897	5.5857	7.1261	8.1811	5.8337	6.0556	8.813	6.2851	6.3934
U133A__TSC22D2	6.555	6.2358	7.2597	6.4885	5.8246	6.053	6.8661	5.6752	7.1136	6.8426	6.7639	6.0701	5.5327	8.1915	7.3849	5.2765	6.721	7.2701	5.9181	6.4636	6.4781	6.5618	6.7302	5.7727	5.0045	5.4239	5.5303	5.0904	5.8154	7.1069	6.3707	5.3398	7.9903	6.0871	9.7676
U133A__TPBG	9.3082	10.0326	9.0389	8.1457	8.6684	8.0417	9.4877	7.0253	9.8269	9.1174	9.7268	8.3264	9.6879	7.878	9.2793	10.0826	8.4052	10.3529	11.3764	9.4309	9.3753	11.2864	9.3918	8.2486	8.6674	6.8472	9.796	9.0604	8.4863	9.5087	7.8683	10.1331	10.3387	9.525	9.7759
U133A__ATP1B1	10.6555	9.0894	7.953	10.5124	10.7765	9.4161	5.5723	7.0005	8.0635	9.8683	9.024	8.4916	8.8909	8.4836	11.1555	5.7904	10.2571	8.5593	9.4818	4.4435	10.2751	9.7824	9.7554	9.9854	9.7093	7.8881	8.672	7.3406	8.7469	10.6697	8.8248	8.5279	8.5607	9.3935	8.2913
U133A__ASH2L	7.106	7.6494	8.5314	9.22	7.5736	8.1569	8.175	8.2125	7.7153	7.5994	7.691	8.0986	7.5654	8.62	7.1897	8.0532	7.6117	7.6926	11.06	8.0895	7.7328	8.1322	7.3696	8.1864	7.1923	7.7714	7.6423	7.6905	7.7051	7.6894	9.0066	7.6147	7.9134	8.7789	8.7874
U133A__ASPH	6.8366	6.5254	6.8716	5.3035	6.5755	6.2036	6.0212	7.3679	7.8645	7.2219	8.1345	5.177	5.7293	8.8405	7.2005	8.9386	6.6102	5.3359	6.6341	7.0177	8.5437	7.8154	6.9904	8.6886	6.7725	7.7094	6.3051	7.5512	6.0606	8.0946	8.6961	5.212	8.2391	5.9685	5.6668
U133A__ADM	8.0616	6.529	7.8679	5.4283	7.2131	7.8738	6.5466	6.1613	7.8844	8.3814	8.7626	6.6973	6.3123	7.5305	5.4869	10.3763	6.8255	6.2425	7.0655	8.2545	7.1649	6.2133	6.6996	5.353	6.5454	8.4176	7.0588	7.011	5.4331	7.1671	6.3307	7.7379	7.1417	6.1264	5.0025
U133A__TBC1D9	7.496	6.0691	4.8144	7.0148	4.3359	5.6622	8.2883	5.4965	3.5309	5.9846	5.0743	7.5382	5.0659	6.6908	7.3101	6.1223	6.8606	8.7386	8.2356	5.9894	7.447	8.4877	7.2127	5.1711	6.5539	5.0828	4.6908	6.4141	8.6955	7.7167	6.6034	5.0197	7.5227	6.7933	7.8456
U133A__IFITM3	10.0146	6.7167	10.6016	9.229	11.5006	11.4092	5.8711	11.2889	9.9326	10.9547	11.2264	10.0473	10.7809	9.3056	11.5373	10.4908	8.4582	9.9587	8.9131	11.2401	10.3228	8.0254	9.296	7.2387	8.8782	8.5192	10.2196	10.8664	5.7721	10.4517	5.3276	7.5005	10.6263	6.3289	7.5159
U133A__SORD	7.5338	7.4334	7.6924	10.2448	6.5448	6.994	6.3619	8.3127	8.8706	6.6022	6.8983	5.5765	7.2783	6.9989	6.9431	5.7191	6.3213	7.0173	8.0913	6.2285	7.1018	8.0685	7.9099	9.6373	6.7424	6.6238	7.842	8.0155	7.3665	5.8317	7.1819	7.3664	7.0094	8.6978	9.2856
U133A__GOLGA7	7.1818	7.3188	8.597	9.1869	7.8963	8.1613	8.3657	7.9391	7.8112	8.6586	8.9611	7.9552	8.1564	8.4016	6.6522	7.8128	6.9887	6.9504	7.3033	8.6761	8.0589	8.218	6.831	7.5845	6.547	6.8417	8.3803	7.5855	8.834	7.4587	10.2354	8.4365	8.9759	9.4111	9.0354
U133A__CTSH	7.8723	7.1516	7.6416	5.9081	8.2239	6.6067	7.394	8.0708	7.8029	9.1521	8.9282	7.4304	8.2436	7.9671	9.1895	6.2436	7.3984	9.0816	6.3329	6.9505	8.1891	6.8663	7.6441	6.3931	7.6669	7.427	8.1701	6.6331	5.5263	8.3996	7.2394	7.1167	9.3313	7.7488	7.101
U133A__GOLGA8A	5.624	7.8406	7.9159	5.1443	6.1268	6.5558	3.9995	6.2642	7.0239	4.5668	5.7512	6.4569	5.5296	6.6093	6.9683	4.5496	4.7798	5.7913	4.5748	6.1873	5.6399	4.7992	4.7586	6.2041	5.4125	5.9638	7.2451	4.9087	7.7159	7.0286	8.1643	5.205	7.8459	8.5237	7.3475
U133A__DECR1	9.0064	7.3199	7.0909	7.5545	7.8356	5.9952	7.8875	7.8221	5.3596	7.6481	6.4086	7.8985	7.6777	8.2614	7.4609	6.9361	6.6044	7.7078	7.3777	7.9482	8.3211	6.9448	6.9046	7.1159	9.7578	7.3422	5.6397	6.2275	3.9487	8.2313	3.9781	7.355	7.5332	6.7474	6.8056
U133A__TRPS1	7.3827	7.0458	6.9494	8.2062	8.634	5.392	8.5305	7.8165	3.8643	6.1183	4.2236	8.4291	7.4467	7.9026	6.7044	5.5976	7.4086	7.1694	8.6372	5.0367	7.8186	6.8585	7.5954	8.5243	8.38	7.5346	3.3148	4.1508	10.0281	7.8115	9.272	9.1202	8.4461	8.5384	8.6575
U133A__BRD3	7.0552	8.8741	8.1861	7.469	8.1703	8.9881	7.7792	6.9922	6.8743	8.1244	6.8308	8.0223	8.4947	8.351	7.6168	6.5313	7.3688	7.6875	7.6713	7.2378	8.1662	8.1786	6.8757	7.9636	6.8199	7.1282	7.3145	6.6386	10.3884	7.1802	7.558	7.3309	7.0895	7.6949	7.5907
U133A__GDPD3	10.0153	6.1503	5.7463	7.4532	6.4548	5.9638	6.4119	6.4377	5.6627	7.0271	6.539	7.2005	6.6596	6.229	6.574	5.8339	8.0906	6.7648	6.1995	6	7.6927	6.4612	7.043	5.897	8.9869	6.01	6.9427	6.2605	7.4305	6.4492	6.1856	6.1103	6.7211	6.0486	6.5637
U133A__SLC39A14	6.3508	5.7462	9.7025	6.6078	6.3584	10.0436	5.8834	7.972	7.7405	6.3612	6.229	6.6312	7.0261	7.3375	6.1078	8.8219	6.2226	6.0328	6.4296	7.3106	6.5998	5.6425	6.5311	5.5457	6.6012	10.1244	7.5401	8.3297	7.8884	5.1832	6.6665	6.7652	7.3475	5.9987	8.1011
U133A__SNAP29	6.8847	6.6089	7.0706	7.4019	6.5554	7.2833	6.8021	7.1487	7.2073	7.9185	8.4478	6.7032	7.5518	7.013	7.1292	7.5478	6.7251	7.0938	7.2318	7.2566	7.0695	7.2875	7.2888	7.6468	6.3874	7.2314	7.0364	7.2486	6.6066	7.674	6.8386	7.0725	7.5151	7.0041	6.7427
