Cell lines	AU565	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__G6PD	10.257	7.6085	8.511	8.3055	7.1968	6.9496	9.2814	8.0679	9.3686	7.6264	10.5808	7.7827	8.1939	8.8272	8.4124	9.0366	10.2266	10.4884	8.2878	7.8584	9.4783	10.8347	8.9439	11.0569	9.6004	7.0779	9.3761	8.2127	10.0446	10.6344	8.6083	7.5745	8.9033	8.575	9.736
U133A__FAM174B	7.039	7.2556	5.5542	6.0659	5.9859	5.9155	6.0452	5.895	5.4407	6.3246	6.3647	7.2938	5.6754	5.7021	6.1376	6.1391	6.7886	7.0665	6.8153	5.7914	7.8239	7.5637	7.1023	6.5758	6.7257	6.0008	5.608	5.8132	8.5023	7.6422	6.56	6.7379	8.822	6.8445	6.1006
U133A__DHRS2	11.0353	9.9415	5.6319	3.4445	3.8597	3.4835	8.886	3.8089	4.3762	6.9515	3.9461	5.3919	4.6408	6.2546	3.3749	9.8464	9.1799	6.4362	3.6246	3.8142	9.5706	10.9648	4.9896	3.8658	11.0403	3.5322	5.7199	3.7635	4.1461	7.0288	3.9059	4.3709	4.7984	6.5961	4.5859
U133A__PAPSS2	5.8816	5.3602	6.6711	3.8394	4.8937	4.6984	3.9281	5.1435	5.5366	3.971	6.3733	4.9065	3.897	5.6995	8.2559	6.008	6.3637	6.5578	3.9412	7.408	6.6677	6.8324	5.2034	4.2712	5.4182	4.7146	5.0383	4.0733	11.0443	7.0197	7.4545	6.4273	9.8404	8.3648	5.2131
U133A__CEACAM6	9.4214	10.8388	4.9611	5.2365	5.2078	4.8552	4.8702	5.0137	6.169	7.6943	7.9434	9.7564	6.0992	4.9348	7.757	5.6867	7.1518	7.4223	4.6502	4.7137	7.7183	10.5666	10.2236	4.9072	5.7482	4.7969	5.0174	4.96	9.9143	11.0544	6.1476	5.309	10.9951	6.6025	5.6763
U133A__SLC12A2	7.0721	8.1968	6.6955	7.2458	6.6463	6.6633	6.7385	7.2896	7.4138	8.0077	7.9024	7.6004	7.1788	6.4072	6.7053	7.944	8.54	8.2854	7.0651	6.5537	8.7772	10.0865	9.2415	7.9819	6.782	6.9139	7.3307	6.6781	7.7796	9.7845	6.9059	6.7363	7.6067	6.5298	7.0343
U133A__LY6E	9.5357	9.4498	7.4881	8.6046	9.6208	8.1823	7.094	10.4748	8.1025	10.8174	9.4792	9.1314	8.5848	7.4401	9.2918	8.6573	8.4491	8.9779	8.4527	9.2958	11.0628	9.5073	8.8492	8.8044	8.6974	6.3992	8.3921	7.15	9.6714	10.6976	10.3601	8.581	10.4302	7.4261	8.5009
U133A__GAL	5.0145	5.1247	4.3321	5.1451	5.9986	7.9881	4.8284	8.7914	9.0261	6.4929	5.9047	5.3813	8.2046	6.7009	4.1139	4.7831	6.4596	6.1713	4.3119	4.8966	4.9348	5.308	4.7313	4.5764	4.8875	4.9972	7.4613	5.5538	4.7111	4.4203	4.6807	4.7853	4.9327	4.9922	8.7476
U133A__MRPS28	9.9042	7.5316	7.9969	7.3016	6.5708	6.7955	7.8601	7.7391	7.601	7.6137	8.4394	7.0749	7.9765	7.4404	7.147	8.4855	7.6176	7.205	7.5394	8.3022	7.1794	7.6379	6.1268	7.3831	9.5315	7.0449	7.5931	7.2521	7.0073	8.2577	7.2485	7.3465	7.3301	7.2016	7.5669
U133A__COL1A1	4.5017	6.7347	11.3634	4.9378	5.8092	4.8212	5.5465	4.0655	4.7173	4.1605	3.5882	4.5906	7.139	10.8683	4.5265	10.6014	3.8974	5.0738	5.193	10.155	4.7577	5.968	4.0965	6.6127	3.9594	11.1959	5.4949	8.7142	5.5253	4.1782	4.3818	5.6643	3.9736	5.6976	5.9443
U133A__TMEM97	7.4968	8.0862	8.169	8.1593	6.9567	8.4639	6.6066	8.3934	7.6408	6.7473	7.9736	7.4076	7.1745	7.9142	7.8347	7.7135	8.5816	8.5359	9.5737	7.8827	8.5164	7.8895	7.5503	8.4304	7.6014	6.1747	7.2433	7.5153	7.243	10.8166	6.1129	8.4702	9.4899	6.622	8.3972
U133A__DERA	5.9419	6.1925	6.0295	5.272	6.1059	6.7801	6.0139	6.0557	7.4637	8.1627	5.6616	7.1835	7.0636	6.7477	7.7884	5.9393	5.0626	5.592	6.2087	5.1167	5.362	7.2845	4.8626	5.9168	5.1172	5.9513	8.5474	6.6315	5.7685	7.1535	6.6148	8.9576	5.3098	7.4364	7.1865
U133A__GOLM1	6.9699	6.1436	7.6162	6.9619	6.097	6.8168	4.7724	7.2941	6.293	7.9946	8.2171	10.0582	6.9203	7.2777	7.3807	6.7465	6.279	5.3774	8.0129	7.4232	8.809	5.4568	9.5048	5.0972	8.7597	7.0625	7.1676	7.1221	8.1662	8.2527	8.4265	7.2974	10.2189	5.9218	5.7551
U133A__MREG	7.4837	7.3162	4.1264	6.9158	4.9852	4.4452	7.6384	6.6941	7.6708	6.2989	5.9287	7.3828	6.2187	6.2332	6.664	4.6508	8.3801	8.8786	8.0033	5.5713	7.5852	8.2337	7.7519	7.482	6.9532	4.3075	6.558	4.6489	4.8388	7.7298	7.2458	7.0424	8.2713	6.0785	6.4466
