Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
U133A__TFPI2	7.557	4.6395	8.3102	4.7191	4.3087	6.5383	4.1132	3.9849	4.0743	4.199	4.0486	4.0854	4.3796	4.6333	5.0358	4.0053	6.1919	6.6266	4.2509	4.1836	6.2286	4.2252	8.7661	4.6738	7.4605	7.1817	4.1103	4.1122	4.4394	6.8177	7.5053	5.1922	3.9556	4.0933	4.5088	4.8398
U133A__GDPD3	6.5019	10.0153	6.477	6.1503	6.642	5.7463	7.4532	6.4548	5.9638	6.4119	6.4377	7.0271	6.539	7.1794	7.2005	6.6596	6.229	6.574	5.8339	8.0906	6.7648	6.1995	6	7.6927	6.1031	6.4612	7.043	5.897	8.9869	6.01	6.2605	7.4305	6.1856	6.1103	6.7211	6.3816
U133A__TUBB6	4.8682	6.5678	8.0465	6.253	4.4901	9.8768	4.9213	8.3339	9.2657	7.3934	8.5949	8.7762	7.6112	5.3791	6.6415	9.8152	9.8057	8.0943	9.7499	8.3425	7.4325	7.8191	10.4802	5.4732	9.0045	7.5802	5.0843	5.1846	6.5456	10.1106	9.6441	5.1798	5.5564	7.8651	8.1612	7.0332
U133A__SLC24A3	5.6004	5.5097	4.5251	7.0284	8.6046	4.2919	7.6789	5.7657	8.3801	7.8815	6.0192	4.5344	4.5142	6.0343	7.7085	4.6155	4.9532	6.8012	6.2703	4.6445	6.0407	7.2196	4.3953	5.5787	4.6406	6.2134	5.5668	7.404	5.3517	4.4037	4.696	7.0271	6.5218	6.8955	5.7622	8.3469
U133A__PLEKHF2	7.8227	5.5542	5.4206	8.353	9.5772	5.3539	7.7758	6.2048	6.0169	8.5369	6.5492	8.251	6.1642	5.9198	9.5057	6.5501	5.6869	6.6621	5.3134	7.6518	7.2111	8.3373	5.1421	7.3073	5.4357	9.0386	6.3531	8.0942	4.8166	4.8152	5.4296	6.1804	9.1234	7.8132	8.0893	6.5008
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	11.4133	4.8801	9.5473	4.7238	4.9574	5.6983	5.7322	7.8487	8.9628	11.0145	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	4.7808	12.2035	11.3355	11.4831	10.6889	11.2101
U133A__RBPMS	8.4422	7.9156	6.0086	7.3213	7.5491	4.6263	6.6453	6.3405	4.8493	6.4751	6.9032	7.4236	7.5177	5.9548	8.9011	8.4347	5.1093	6.4882	7.4314	6.3886	7.9839	6.0911	6.3852	9.3425	5.4828	6.0819	7.1503	5.089	6.5809	4.624	7.1047	6.7866	6.643	6.4984	9.0655	8.2877
U133A__ISYNA1	7.373	6.2368	7.8092	6.2863	7.5215	6.4988	6.4888	7.3933	9.9775	7.7952	7.6356	6.6568	5.7452	6.9705	5.6818	6.726	7.5231	7.9347	5.4531	6.6	7.3573	8.4527	8.1286	8.0915	5.4333	7.097	6.0186	8.8166	6.7392	8.9433	5.4694	8.0671	5.3948	7.7728	7.9949	5.3419
U133A__PLAU	5.5718	5.8756	5.2088	5.6696	5.1491	7.8668	5.3929	6.0278	5.2362	5.2184	5.332	6.7758	5.664	6.2216	5.9968	5.3077	7.0242	5.1726	7.9917	5.4641	5.6808	5.4287	6.8126	5.511	7.6491	5.3504	5.7285	5.3338	5.507	10.1668	5.9627	5.292	5.2565	5.5545	5.8024	5.4286
U133A__PBK	7.0274	6.7703	6.752	7.0826	6.4642	9.2891	7.091	6.6403	8.3205	5.9385	7.6548	6.4	7.1569	4.3151	7.7515	6.5833	7.6571	6.0256	8.8112	7.1445	6.782	7.9008	7.4454	7.6348	8.4175	6.0122	7.1833	6.8715	7.02	7.6933	8.7212	5.2544	4.2319	7.3545	7.3338	6.7081
U133A__GCLC	5.843	7.7352	8.5104	7.0728	7.3417	4.4612	8.2977	6.4867	6.2695	7.3886	7.0978	7.6686	8.2588	6.9616	7.4149	7.2031	7.159	7.8009	7.0854	7.2652	7.0561	7.2205	6.7749	5.4782	7.1358	7.9446	7.7615	7.1739	6.5993	7.1532	6.4673	5.7956	8.8522	7.1964	6.587	7.6594
U133A__NMU	7.7687	4.1757	5.3381	4.3252	6.8641	4.1752	4.6813	8.636	7.3185	5.2777	6.318	9.1284	4.9977	5.9509	4.242	7.6872	6.8751	4.3367	4.0377	4.0093	4.3863	4.6474	5.4827	5.9742	7.7496	6.7082	4.4051	6.521	3.9427	4.1099	4.7095	4.1234	6.565	6.9468	5.598	5.377
U133A__CEBPD	6.6929	8.6335	8.0005	6.0731	7.3742	9.5029	6.3522	8.0968	9.7249	7.1484	7.2111	8.6922	7.3539	6.7642	6.9569	9.2087	8.8963	8.6788	6.0953	6.5099	7.0844	6.2396	8.7538	7.4876	5.9531	6.0972	6.213	6.2153	6.6089	8.2928	8.7118	7.0693	5.3927	7.6899	7.834	5.6782
U133A__CYP1B1	7.5192	6.2606	8.5069	4.9105	5.5792	8.151	4.1785	5.7873	9.7315	5.5791	4.312	7.1729	8.4376	9.2661	5.8894	4.2552	10.1131	8.1797	3.837	7.9674	7.8669	9.832	10.1758	7.9074	5.0661	9.6657	8.156	7.3836	7.387	8.1346	3.6701	8.3413	8.6291	8.2634	8.1212	8.884
U133A__HTRA1	6.7003	6.2736	6.3885	6.5619	6.5603	6.4306	5.9744	6.5707	6.7075	5.904	6.5307	8.3177	6.4915	6.4617	6.4236	6.16	6.9112	5.9653	8.1098	7.5058	6.8794	6.3703	9.3958	6.821	6.888	8.4262	6.0692	6.4565	6.2344	11.4172	7.5158	6.3811	8.5513	6.7275	7.4804	6.4264
U133A__PPID	5.7543	5.0949	7.5725	4.7081	6.3369	6.4077	6.4478	5.1869	5.9801	4.6728	6.5156	7.1278	7.2762	4.8877	4.8359	4.6655	5.973	4.7282	5.6947	6.2058	5.1748	7.1153	5.4494	5.3947	6.7744	6.0593	5.3653	5.694	6.1165	5.3484	7.1574	5.5997	5.023	4.7731	5.0992	5.1149
U133A__KRT14	4.4711	4.4747	4.6419	4.6816	4.2547	4.3247	4.5264	12.3349	4.6936	4.8159	5.3676	10.5614	4.854	5.407	4.4493	9.9678	4.7483	10.3774	9.2974	4.8152	4.5092	4.4467	4.1072	4.4478	4.2376	4.4884	4.9099	4.823	4.8535	4.6689	4.1673	4.4201	4.4949	4.6096	4.2088	4.8643
U133A__NEBL	7.1562	7.471	6.4486	7.9659	8.3793	4.4277	8.0852	8.1581	5.8258	8.7265	4.729	6.1047	4.8275	6.2376	8.4438	4.7794	5.3089	8.8448	4.5196	7.2791	7.7379	7.7128	4.3245	6.2351	4.2596	7.1621	7.8028	6.5042	7.6328	4.692	5.6682	9.7977	6.3427	7.0842	8.2432	8.1131
U133A__FGFR1	6.1557	5.7798	5.7379	6.852	7.4678	7.5789	7.3779	6.7737	8.6157	6.1787	6.737	6.0116	5.8635	6.4269	6.623	6.2015	9.3113	5.9031	7.4059	6.7359	6.0403	11.6578	8.0272	8.3604	7.1029	8.2599	6.0409	6.4628	6.1317	8.3245	7.9791	6.489	7.2695	6.4819	7.8946	6.1931
U133A__TSPAN13	9.6774	10.0953	8.3777	10.249	10.7603	5.511	9.5712	7.7338	7.6575	9.9233	6.7565	9.5561	9.2752	10.1883	10.611	8.413	7.5481	10.2011	5.4571	9.1734	9.4408	9.5767	7.3108	10.1409	5.6786	10.1128	10.3424	9.7301	9.8614	8.6711	6.1061	11.0026	11.2545	10.2015	10.0762	10.4436
U133A__CITED2	6.5982	7.7415	6.0367	6.6171	6.2217	8.6066	6.6819	8.129	5.4857	5.8681	6.4711	7.2761	5.0942	5.6045	9.6672	5.0741	7.2485	5.5668	7.7101	6.7048	7.0532	7.0748	6.3869	7.4172	7.5293	6.8764	6.7352	7.2716	8.0474	7.6179	7.6259	7.8132	8.3585	6.9528	9.1731	6.2483
U133A__MFAP2	6.1012	6.6076	6.4087	5.9402	7.111	7.5045	5.7163	6.9391	8.4452	7.7932	6.2262	7.0665	6.1253	6.5223	6.7741	5.872	7.9716	6.0081	8.2035	5.8531	6.5901	7.7756	6.9779	6.299	6.5138	6.3103	6.1716	6.4924	6.7567	7.848	6.2524	9.4332	6.033	6.5117	6.0933	6.3861
U133A__TIMP2	6.9407	8.1437	7.5463	5.9061	6.7268	6.8093	6.4559	7.4862	6.1842	6.645	7.2158	6.6229	7.8937	6.3703	6.1997	7.5739	7.5759	6.5576	6.9703	6.4701	6.6941	6.911	9.6382	6.6629	6.7168	5.6529	6.2677	5.5385	7.5049	8.0501	6.5791	5.934	5.9121	6.6794	7.9524	6.304
U133A__BAG2	3.9484	3.6233	4.2663	3.847	3.6546	6.779	3.7302	4.687	5.112	3.9445	6.6817	6.0631	5.3853	4.0193	4.1116	5.402	5.1323	4.2779	6.4596	4.6848	4.244	4.0731	6.4698	3.909	7.9802	4.5399	3.9434	3.9206	3.9939	8.1652	7.9745	4.0376	3.8011	4.8384	4.0353	4.6713
U133A__SLC43A3	8.4498	6.0402	5.8992	6.212	6.1253	6.9124	6.1527	7.4181	7.4411	6.0274	7.9581	8.1366	6.946	6.7228	5.7151	8.4918	7.4582	7.9368	5.8347	6.1997	5.9817	6.1113	7.6993	6.2875	8.9615	6.1498	5.9736	8.3214	6.166	7.6939	6.3855	6.2893	6.2692	6.843	6.1697	6.3803
U133A__RGS3	7.3396	7.3194	7.4449	7.1317	6.8211	7.9865	7.1868	7.3192	6.932	7.2255	7.079	7.0754	6.7835	7.4189	6.8538	6.6612	7.1936	6.9064	7.5345	6.4823	6.5597	7.2539	6.4331	7.161	6.9934	7.1745	7.2838	9.0562	7.3575	9.8179	7.3523	6.5829	7.8599	7.1022	6.2931	7.3774
U133A__ASPH	5.3746	6.8366	8.484	6.5254	8.1324	6.8716	5.3035	6.5755	6.2036	6.0212	7.3679	7.2219	8.1345	4.4642	5.177	5.7293	8.8405	7.2005	8.9386	6.6102	5.3359	6.6341	7.0177	8.5437	7.5871	7.8154	6.9904	8.6886	6.7725	7.7094	7.5512	6.0606	8.6961	5.212	8.2391	8.1709
U133A__NR3C1	5.0765	6.954	7.0652	5.1788	5.9925	8.9925	6.6683	6.9561	9.1735	6.103	6.7952	7.5877	6.4	5.6993	5.6099	4.8193	7.9143	7.896	7.9943	6.4699	6.8241	5.5863	8.052	4.8591	8.189	5.6192	5.6545	7.9997	5.85	7.6812	7.9483	5.625	6.4618	4.868	6.6686	6.0963
U133A__SYDE1	6.8379	7.2472	6.8609	7.0885	6.6727	8.0843	6.5162	7.3569	6.8825	6.6175	6.6774	6.9342	6.5962	7.7383	6.8248	6.8539	7.4273	8.6698	7.7618	7.0502	6.8468	6.2236	7.6436	6.8661	8.3824	6.3775	6.5334	6.6439	7.3526	7.8582	8.1386	6.6154	6.431	6.8578	7.313	6.6359
U133A__BIK	6.79	6.6526	5.7028	7.7609	7.8101	4.4661	7.2407	6.9484	5.4635	5.8565	5.8302	6.541	6.2117	7.1457	6.5191	7.3676	5.0893	5.7594	6.005	6.0503	6.236	6.6067	5.2379	7.4079	5.0096	7.3216	7.224	8.0241	6.3969	5.3947	5.5715	10.0292	6.3561	5.6218	6.5498	6.6471
U133A__GATA3	4.3432	3.6303	5.3574	5.039	9.974	4.1358	8.5593	2.9041	5.2215	8.0058	4.0984	4.7334	5.0131	7.259	7.9089	3.0972	5.915	5.4572	3.2756	8.2784	9.0129	8.8407	2.9786	7.4635	3.0718	7.1761	6.9304	9.0051	4.2017	3.2494	2.7796	8.2158	7.0477	8.5736	7.9187	7.0591
U133A__CEACAM6	11.5329	9.4214	4.7174	10.8388	5.5429	4.9611	5.2365	5.2078	4.8552	4.8702	5.0137	7.6943	7.9434	5.5081	9.7564	6.0992	4.9348	7.757	5.6867	7.1518	7.4223	4.6502	4.7137	7.7183	5.1115	10.5666	10.2236	4.9072	5.7482	4.7969	4.96	9.9143	6.1476	5.309	10.9951	10.1623
