Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
U133A__CSTA	3.3672	5.2138	4.1429	4.492	3.8183	4.0291	3.9406	3.8298	3.1942	5.5298	4.8696	10.2411	6.2854	4.2378	4.0758	8.8013	5.8523	8.0961	4.0575	4.9609	6.884	3.5562	3.861	9.2798	3.9751	7.9998	4.3999	3.701	4.7564	4.0488	4.9863	3.2478	4.8553	4.1182	3.3322	3.6782
U133A__SDF2	8.2388	7.8829	7.5004	7.8306	7.8227	7.654	7.6603	7.7701	7.4071	6.8821	7.8707	7.6121	8.0018	7.8745	7.3506	7.6774	8.1304	7.2951	7.6302	7.522	7.5795	7.8303	7.9851	7.4936	7.8295	7.9517	7.635	7.3677	8.152	7.4198	7.2845	7.5697	7.5493	8.2573	8.6775	10.3621
U133A__CYB561	9.3231	8.9941	7.8642	7.9717	8.632	6.2388	8.0748	7.6969	6.9168	8.6582	8.3664	7.8981	7.7693	9.4771	7.5397	7.7448	7.7648	8.0632	6.9285	9.7372	9.1411	8.1277	7.0833	8.4517	7.3983	10.3813	8.2127	8.7824	8.5366	5.2097	6.7225	10.2413	9.4326	8.5092	8.6084	8.2033
U133A__ISOC1	5.1663	6.6553	6.119	7.541	8.1396	5.287	9.2407	5.7943	7.3405	8.0976	6.9094	6.761	6.1868	5.981	6.9766	6.6684	5.8931	5.609	5.2129	7.5138	8.045	8.8911	5.4164	6.7959	6.9834	7.4249	7.287	7.952	6.9193	5.8083	6.1968	6.8505	5.616	6.3399	6.6446	5.5126
U133A__HES1	7.2466	7.8362	6.8655	7.9131	6.4896	5.1651	6.9367	7.8518	7.9219	7.5594	6.5368	7.6893	6.658	8.8103	9.585	7.7168	6.5411	6.9986	6.0367	6.746	7.2969	6.5532	6.3761	7.2673	5.6609	7.8519	6.9642	6.1492	7.3558	5.9077	4.6059	7.9363	7.3246	7.1297	6.625	6.8896
U133A__BMP7	5.505	7.1792	6.1026	10.2899	5.9915	5.5804	5.844	5.7479	5.7537	6.1111	6.2167	7.6113	5.7656	5.9684	8.3614	7.0256	6.2535	5.3106	5.8496	8.2441	8.6872	5.7141	6.8215	5.6201	5.4503	5.7334	5.8301	5.615	8.7775	6.0241	5.5064	5.6985	5.9278	5.9429	6.7478	5.8642
U133A__COL4A2	6.4635	5.4771	6.2726	4.9197	4.4398	9.5328	4.7309	6.7139	4.8079	4.9894	7.5194	5.6191	5.1904	5.6325	5.0157	9.3085	8.3007	4.2182	8.3461	4.7889	4.7039	4.7941	9.7331	5.177	5.9915	4.8098	5.2981	4.7465	5.4106	6.024	4.8637	4.61	4.8703	4.9757	4.6655	5.0212
U133A__DPYSL2	6.5499	4.3957	6.3934	5.6905	6.9064	9.755	6.403	8.6685	6.876	6.4028	8.1874	6.1458	4.9671	4.0143	5.8342	7.3601	7.5697	6.8732	9.3498	4.9229	6.4398	8.4362	7.9753	6.9726	7.9353	6.4448	4.2048	6.5866	3.6449	9.0406	8.7608	6.6997	7.204	5.519	7.3291	6.0031
U133A__SLC12A2	10.8301	7.0721	7.4859	8.1968	7.0689	6.6955	7.2458	6.6463	6.6633	6.7385	7.2896	8.0077	7.9024	7.706	7.6004	7.1788	6.4072	6.7053	7.944	8.54	8.2854	7.0651	6.5537	8.7772	6.7589	10.0865	9.2415	7.9819	6.782	6.9139	6.6781	7.7796	6.9059	6.7363	7.6067	8.1544
U133A__MED24	6.9285	9.2036	6.3673	9.9268	7.0736	6.0922	6.891	5.784	8.2819	5.4771	6.6253	6.381	6.6928	6.5315	6.5348	7.3363	7.2212	6.7101	6.2124	5.7215	6.6214	7.3983	6.8359	6.0875	6.6819	6.1646	5.9338	7.5758	8.7567	6.3423	6.9219	5.7808	5.8922	6.9161	9.9358	5.8114
U133A__S100A4	8.2788	9.1945	5.5449	6.979	6.0435	6.8913	8.9847	11.7528	8.2919	5.0293	6.0555	8.4597	5.8536	6.4269	9.2656	8.6688	6.4832	7.1612	8.8848	6.2022	5.6404	5.3011	8.5526	11.2909	5.8488	8.4842	9.7073	6.064	10.4085	11.1483	10.0084	7.4983	8.0744	7.2883	8.4956	9.9088
U133A__ASNS	5.7555	6.9915	8.9025	8.6184	7.1894	8.7816	8.0217	7.2217	8.7944	7.2405	7.4364	7.3351	6.7055	8.3372	7.0562	7.619	7.5599	9.0102	8.0987	7.5216	7.197	7.7174	7.4411	6.7424	9.2835	6.6397	8.0286	6.3197	7.3892	8.7993	7.3568	10.555	11.7898	6.9057	7.4767	6.7488
U133A__MT2A	10.9552	11.1401	13.2516	10.4878	10.1506	11.974	9.7104	11.2993	9.0299	11.5175	10.4585	10.5068	12.4137	9.6896	9.637	11.1486	12.017	10.5049	12.7479	9.4434	9.8433	9.9102	11.5674	10.5695	12.3499	11.3019	12.5433	10.9416	11.1928	12.3549	12.9115	10.216	11.154	9.7036	9.4884	12.5701
U133A__PSMD6	8.5665	8.6993	10.152	8.3642	8.8256	9.7455	8.3163	8.2829	8.6801	8.2862	8.5112	9.2404	9.5267	7.448	8.3989	8.7111	8.5784	8.739	9.7554	11.9775	12.0073	9.7716	8.8803	8.9574	9.6493	9.3167	7.7253	9.076	8.5109	8.6482	9.6836	8.4333	8.7697	8.7334	9.082	9.5647
