Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
U133A__SORL1	8.3488	6.2947	7.7962	3.6815	5.7057	4.7523	7.3847	5.8328	7.1687	4.6981	6.6514	4.9174	6.5956	7.6933	5.6486	4.043	5.3373	4.3902	5.4828	4.6985	6.2511	4.3243	7.3687	3.9044	7.8562	7.1221	4.3067	6.9027	7.1802	7.7997	4.4591	4.7273	7.0604	6.1339	7.5793	8.5574	6.4981	5.8997
U133A__CALML5	4.9355	7.506	5.0858	4.3927	4.4391	3.9667	7.0081	4.7674	4.4988	3.976	7.0929	4.7763	6.2877	4.6611	5.6873	4.1746	7.6889	4.3762	4.2787	4.7548	3.9299	4.0226	5.8142	4.3322	9.4476	4.2781	4.9079	8.6032	6.8571	3.8489	4.0363	4.5789	10.2072	5.8136	4.1725	4.8753	4.1623	4.0767
U133A__WIPF2	9.6083	7.5985	8.5238	6.9901	7.5467	6.9138	7.046	7.4943	7.0421	7.2034	7.7741	7.0628	6.6369	7.8499	7.4139	8.121	8.031	6.801	6.8968	7.2167	7.3216	6.9982	7.2732	7.0631	6.9269	7.0783	6.8133	6.7501	6.8131	9.2517	6.8638	6.4372	6.7552	6.9064	7.3093	11.4709	7.2703	8.1868
U133A__SH3YL1	7.6952	9.2864	7.4904	5.2336	7.0931	4.8884	9.887	6.1393	6.2999	7.4269	7.9322	6.3395	8.0232	9.4126	7.2892	7.2825	9.0259	3.7104	7.45	7.8371	6.4369	5.2003	8.1147	4.1523	7.4942	6.9545	5.4848	8.6375	8.2604	7.9384	5.1517	4.371	9.2451	7.9218	8.7861	9.2607	9.9867	8.5619
U133A__HLA-B	6.5287	8.4347	9.7896	8.1642	8.915	10.3122	9.9839	12.112	8.8869	10.6615	9.8035	10.0633	10.1819	6.3218	9.5062	10.8249	12.3107	8.5989	6.9006	8.3908	9.4948	11.9091	8.045	8.1669	9.2382	9.8055	8.963	7.5816	11.9884	6.226	9.7036	9.7905	9.8309	9.1929	8.6981	9.7333	7.8149	7.1263
U133A__SYBU	7.1378	6.5622	5.2884	4.403	6.7934	5.142	7.1796	6.7974	5.8583	5.5895	6.0793	5.9371	6.4785	9.1381	6.3094	6.2101	5.5562	4.806	5.187	5.4624	5.308	6.1226	6.7923	5.5903	7.0347	6.491	4.4301	5.8738	7.6029	6.9754	4.5873	4.8434	5.5518	6.3625	6.6599	4.8361	5.1108	6.1545
U133A__MYH10	7.0683	7.7365	8.0332	9.7416	5.8115	8.0637	6.4076	8.7884	6.8916	7.9537	8.356	7.1923	6.6651	7.5968	7.6521	8.4861	6.6804	8.1849	7.1557	7.4958	6.7144	8.8112	6.7401	7.0599	7.7911	5.3969	9.3994	6.3497	7.7655	6.0481	7.4316	6.0291	7.5215	6.1791	6.4442	8.1056	6.0016	7.2706
U133A__PPP1R3C	5.3831	6.9823	6.0548	7.049	7.3675	6.7619	5.4099	5.1707	6.4353	5.3367	5.5783	5.2825	7.0712	5.6056	5.5377	6.2115	6.2363	5.8868	6.9161	7.2075	5.7518	6.3184	8.2775	6.2228	6.6878	8.1684	5.3715	5.5832	7.3416	5.8696	5.6742	5.9204	6.3529	6.777	5.4165	8.3111	6.3951	5.2313
U133A__LPCAT1	8.9611	9.6749	7.1029	7.2521	7.0423	6.846	7.74	6.6152	6.6098	6.6442	7.3353	10.0197	6.1164	7.112	7.373	6.9475	7.7542	7.1383	7.6529	8.2705	7.4954	7.1965	7.3813	7.7236	8.3462	6.6051	7.0368	6.3507	6.2806	8.3357	7.0926	7.5598	7.3431	7.2548	7.2444	8.9573	6.3502	6.8462
U133A__NBL1	5.5208	6.5773	8.0088	6.4156	7.816	6.7587	6.1978	6.1135	8.2531	6.5199	7.0638	5.614	6.2299	6.0307	6.2699	6.1127	8.421	6.6186	5.6648	5.5864	8.6762	7.2315	5.4859	6.2246	6.6967	8.0563	6.2912	7.9575	5.8276	5.6058	5.9892	6.4818	5.802	7.8907	5.6896	5.391	5.5293	6.3593
U133A__LGALS3	5.1967	9.6117	6.0831	6.4736	10.6334	9.7987	10.9923	5.693	8.8476	8.3646	7.9691	10.8001	9.9214	12.024	5.7673	10.2078	9.9033	8.7651	11.0085	11.0133	5.2014	10.9874	11.7566	8.7619	10.9523	10.7569	10.1607	9.6504	10.1654	5.5985	11.4504	8.6932	10.8435	11.5259	6.0519	11.7026	10.4785	9.7376
U133A__ELMO3	5.7889	6.3025	7.6556	5.2339	6.9758	5.5863	7.0401	5.4423	6.5243	5.5475	5.3853	5.5113	7.6866	5.2542	6.1292	5.5702	7.6032	5.6752	6.3077	6.383	5.9392	5.4442	6.9119	4.9135	8.2494	7.547	4.8671	7.8003	6.782	5.5882	5.0385	5.3956	5.9363	6.8028	5.2154	7.1531	7.128	7.3481
U133A__CREB3	7.295	6.6385	7.5188	7.8333	7.8931	7.4788	7.2634	6.8872	7.2219	7.4311	7.737	7.0688	7.8723	10.674	7.9901	6.7089	7.9428	7.7562	6.858	7.126	7.5448	7.9442	7.7396	7.5443	7.9957	8.3155	8.2443	8.1355	9.2314	6.7483	7.733	7.73	8.3628	7.4037	8.7709	7.6055	7.6952	7.717
U133A__MED1	9.401	9.8321	6.7544	6.543	6.5188	6.7874	6.1616	6.714	5.4657	6.4849	6.584	5.5168	7.637	6.165	6.7157	6.7015	6.6643	5.9833	5.9938	6.0596	6.5369	6.341	6.0538	7.4592	7.1028	5.6961	5.8657	6.8213	6.172	9.7185	6.1455	6.5327	5.9984	5.39	6.2636	8.3873	6.1249	6.4994
U133A__ENO2	4.0911	6.6118	7.4471	6.9977	4.9804	7.4591	6.2819	8.2687	6.2731	4.7508	6.4502	5.1484	7.025	4.7591	5.8573	6.9516	7.8481	5.5888	5.4637	6.616	8.755	5.9837	6.0338	6.8473	7.2303	5.0264	9.6153	7.0545	4.8767	4.8103	5.1581	5.4806	6.4091	4.7664	4.6669	7.0729	7.8942	7.415
U133A__CXADR	8.125	8.0181	6.1243	6.7715	6.9799	6.3442	9.6569	8.9106	5.2516	7.8702	7.8678	7.8178	6.08	8.9819	8.0862	7.9097	9.6282	6.0306	5.2912	5.231	8.6152	6.9797	8.4334	6.2083	8.1996	7.5407	7.8024	8.7362	8.4962	7.2304	4.3852	5.8744	9.329	6.5358	8.1198	8.0455	7.9043	7.8021
U133A__FERMT2	7.439	5.3801	8.2001	9.8437	6.2531	9.1807	6.9012	6.5681	6.2655	6.1023	4.3862	6.2438	5.1273	8.7037	9.2104	9.7082	8.4669	8.7483	8.2909	7.0989	6.4247	8.4146	6.1627	9.5633	6.3958	5.8793	8.3969	7.5523	7.7286	7.6505	8.7006	8.7763	7.4012	5.6875	5.937	7.3012	4.5512	7.3271
U133A__CAV1	4.1942	4.49	4.2497	10.769	3.9335	9.4857	10.2245	4.1066	5.7522	4.5139	10.4314	8.6141	5.5414	5.3759	8.5934	9.5218	8.7912	11.4435	5.6543	6.486	3.9209	10.4205	4.2274	10.5667	4.3654	4.8546	9.7885	3.8748	8.9838	5.5985	10.5467	10.8746	4.009	4.0188	4.2529	4.1429	3.9104	3.9756
U133A__ABLIM1	8.9014	5.137	7.0127	5.1287	7.6638	5.039	6.9115	8.5793	7.4417	6.7201	8.0471	7.3477	6.4693	7.2971	7.9321	6.4772	7.9876	4.3541	5.5293	5.161	7.1559	4.8561	7.9446	7.0666	7.5952	9.4549	6.7257	7.4208	7.5181	7.5593	8.0406	5.867	7.0137	7.6974	8.6624	7.7575	9.3072	8.0811
U133A__WSB1	8.2551	7.3675	7.0195	6.8786	5.492	6.2728	5.8212	7.4104	5.3262	5.914	6.7034	6.6474	6.7776	6.0542	6.0579	7.2149	6.6716	5.7828	5.4442	7.4005	6.4023	7.1279	6.0259	6.9566	6.9722	6.3978	7.1028	6.2506	5.5424	6.6178	5.9927	5.5857	7.1261	5.2113	5.8337	8.813	6.2851	6.3934
U133A__GNG12	7.7849	6.4664	6.5978	9.7447	5.7435	8.5615	7.6541	6.3405	6.7824	8.0676	8.631	7.7945	6.6779	7.4507	8.4371	8.502	9.4671	10.163	5.8447	6.4708	6.9607	8.6305	6.6815	9.2273	6.8388	8.3046	8.7035	7.625	8.6723	7.4958	9.7275	9.2598	7.333	7.6477	8.3668	7.5017	6.9873	7.0425
U133A__UNC13B	6.5725	8.6947	6.836	6.2814	7.5756	6.3921	6.0785	6.0703	6.063	6.198	6.356	6.2065	6.365	10.5586	7.1594	6.4438	6.3226	6.2149	6.499	7.2795	7.301	6.063	7.1499	6.3471	6.8049	6.9117	6.7771	7.4585	7.2927	6.1252	6.9704	6.6068	6.5921	6.1088	6.4418	7.3338	5.8494	6.6952
U133A__IGFBP3	4.871	5.2836	5.3476	10.6212	4.8745	6.3437	10.6165	6.9528	5.2737	5.3532	11.0036	9.3428	8.2413	11.644	9.1924	11.6705	11.6134	10.2776	5.4442	5.6197	9.3685	7.9102	6.1709	6.3213	6.7394	5.1851	9.7614	9.1549	10.5365	6.1615	10.0354	5.5192	8.1578	7.15	5.9969	7.5049	5.0017	4.7505
U133A__GDPD3	10.0153	6.1503	6.642	5.7463	7.4532	6.1041	6.4548	5.9638	6.4119	6.4377	5.6627	6.539	7.1794	7.2005	6.6596	6.229	6.574	5.8339	8.0906	6.7648	6.1995	6	7.6927	6.1031	6.4612	7.043	6.2352	5.897	6.0719	8.9869	6.01	6.2605	7.4305	7.6954	6.1856	6.7211	6.0486	6.5637
U133A__LEPREL1	5.3422	5.4569	5.0282	9.3138	5.5085	8.5248	7.9786	5.848	5.3502	6.5309	7.5076	7.2828	5.5782	5.1026	5.8493	7.0181	9.188	7.5821	5.5045	5.6844	5.199	6.6369	4.9666	7.9034	4.9339	4.9033	5.4406	5.3148	6.4193	5.5942	6.252	7.3962	5.376	5.4198	5.1657	5.109	5.1199	4.9922
U133A__CYFIP2	7.2214	7.2856	7.9177	5.0692	8.2878	5.1518	5.5729	5.7304	7.8867	5.7349	5.1345	5.5263	5.2595	7.4708	6.2103	5.5828	4.7354	5.6666	5.6376	6.6199	6.1386	5.2283	7.4	5.4525	6.2671	5.9559	5.7349	6.8642	5.1087	6.9614	5.7687	5.436	8.0359	5.5103	8.5498	8.2599	5.8194	7.1325
U133A__GLUL	9.8161	7.5359	11.0773	3.4309	8.1531	5.7282	9.8361	8.8808	10.5978	8.4556	10.201	6.6296	10.0567	9.8783	3.3355	8.385	9.3406	5.584	6.555	8.4217	10.7981	8.1008	9.5265	6.7947	10.4427	9.8707	8.1394	8.2571	9.4537	10.11	8.1982	9.0594	9.5098	11.2092	10.0047	10.0695	9.5704	8.8812
U133A__TUSC3	7.3567	5.277	4.5591	4.9647	4.6926	8.0508	7.6665	6.4646	6.2996	8.2575	8.0232	4.8685	4.7861	5.4514	8.2811	9.4858	4.5276	8.1364	7.6041	6.2045	7.4159	7.479	8.6055	8.0955	7.6463	7.7091	8.874	7.1886	8.2349	7.1896	6.8362	7.8885	8.4792	4.8708	7.8483	9.4333	5.5605	8.3897
U133A__CCND1	8.4714	8.1237	9.1256	5.4377	8.8941	5.4406	10.0998	7.9929	9.1837	4.3292	8.6063	10.9904	7.1587	8.1578	6.4037	8.1008	9.0473	8.209	8.2177	9.1804	11.883	6.9939	9.3043	8.8488	8.5351	10.1566	6.4148	6.4129	7.8056	7.9009	6.6177	8.4694	8.7082	7.8416	8.5885	7.8528	8.5427	9.2077
U133A__DECR1	9.0064	7.3199	6.8777	7.0909	7.5545	6.3566	7.8356	5.9952	7.8875	7.8221	5.3596	6.4086	7.4553	7.8985	7.6777	8.2614	7.4609	6.9361	6.6044	7.7078	7.3777	7.9482	8.3211	7.3017	6.9448	6.9046	7.3967	7.1159	6.222	9.7578	7.3422	6.2275	3.9487	7.8193	3.9781	7.5332	6.7474	6.8056
