Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
U133A__SEC23A	6.4033	6.3551	5.6767	7.5831	5.0365	6.3168	5.6319	6.0224	3.7853	4.5046	6.0269	6.0896	4.0846	7.3692	7.0419	7.823	6.2331	6.2394	6.075	6.6442	5.7261	6.617	6.0018	8.0254	4.5341	5.9943	7.0395	5.3945	4.7865	5.3527	6.4626	6.8353	7.8656	3.8767	6.3942	7.0233	4.3727	6.6133
U133A__AXL	4.3447	4.6163	4.3957	9.7332	4.3709	9.0689	7.011	4.3959	4.4975	4.5981	4.2906	5.1863	4.9555	4.2474	5.2312	9.2723	4.1729	10.475	4.5906	4.4261	4.7784	8.3136	5.0443	10.3645	4.1508	4.614	7.5333	4.2537	4.6935	4.0831	9.5546	9.6852	4.2137	4.3298	4.2126	4.3396	4.2859	4.2316
U133A__UBL3	7.6775	6.922	7.6336	7.3076	8.7664	5.7383	6.5634	6.2866	9.5318	5.493	6.6881	5.7834	5.8757	7.9422	6.3881	6.4779	6.177	6.1569	7.5274	7.2907	6.2037	6.054	6.3585	6.6733	8.7684	7.6624	6.5733	8.2815	6.1326	7.7059	7.3602	6.3717	7.0935	8.7706	8.8315	7.517	8.1667	10.0176
U133A__SLC39A14	6.3508	5.7462	6.1677	9.7025	6.6078	6.8325	6.3584	10.0436	5.8834	7.972	7.7405	6.229	5.618	6.6312	7.0261	7.3375	6.1078	8.8219	6.2226	6.0328	6.4296	7.3106	6.5998	7.9923	5.6425	6.5311	9.1429	5.5457	7.4857	6.6012	10.1244	8.3297	7.8884	6.4898	6.6665	7.3475	5.9987	8.1011
U133A__GSTM3	9.9259	9.4319	6.9494	8.1387	11.2723	6.2032	7.3368	5.4105	9.6692	8.0063	8.8447	7.8898	11.0805	6.2024	9.0328	10.1601	8.6205	6.615	8.9141	10.139	11.697	9.2361	9.8598	8.5632	10.802	10.9899	8.3745	4.8628	7.7266	10.3404	9.0037	5.2365	5.819	10.9576	11.8676	6.6298	5.4191	4.9216
U133A__SATB1	6.46	7.915	5.7225	7.0344	6.4978	5.1319	6.1	5.8269	7.1574	6.5031	6.3052	5.4998	7.6563	7.4283	5.3983	7.152	5.1854	6.1773	5.6476	5.9801	5.4887	5.4686	5.7554	6.2095	6.7748	7.3489	6.0453	6.0288	5.2217	6.1325	5.3575	5.9003	6.7011	8.403	5.4964	5.3939	5.5049	5.2759
U133A__CASC3	9.5254	7.896	7.8331	7.3214	7.8822	7.6086	7.4055	8.0717	6.9048	7.4362	7.247	7.357	6.7513	7.24	7.5153	7.5471	7.7717	7.1902	7.2305	7.0158	7.7874	6.8132	7.0879	7.6189	6.8153	7.1054	6.7842	6.3196	7.4004	9.5638	7.2235	7.6981	6.8808	6.4971	7.7518	10.4373	7.5613	7.8892
U133A__SHOC2	6.4652	6.926	7.4526	6.3936	7.5677	6.6822	6.5926	7.2378	8.2063	5.6342	7.8995	6.0135	5.6852	6.8143	6.356	6.268	7.263	5.3781	6.6247	6.8352	7.1692	6.6768	6.7138	7.1528	7.9108	8.2722	7.2903	8.0058	7.0351	6.3408	6.6276	6.6845	7.9337	6.531	6.8114	7.641	10.5269	9.7141
U133A__SDC2	4.4758	5.471	5.8173	4.5404	5.3484	4.9752	10.2929	6.6377	9.2915	8.7747	4.4879	4.7327	7.4159	9.7014	7.0364	7.5149	4.7632	8.8181	4.7019	6.728	7.8196	9.0147	5.4896	7.431	4.4419	4.9399	6.4263	5.0457	4.3422	4.8889	6.2214	5.4138	6.0161	7.3231	4.9022	5.683	4.8569	6.2833
U133A__KRT14	4.4747	4.6816	4.2547	4.3247	4.5264	4.6916	12.3349	4.6936	4.8159	5.3676	12.3163	4.854	5.407	4.4493	9.9678	4.7483	10.3774	9.2974	4.8152	4.5092	4.4467	4.1072	4.4478	4.2376	4.4884	4.9099	4.662	4.823	7.6676	4.8535	4.6689	4.1673	4.4201	4.6101	4.4949	4.2088	4.7144	4.3337
