Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__GPX1	10.2914	6.6074	10.0255	6.4332	9.521	9.8669	10.5247	9.3434	6.2869	10.2073	9.7081	8.4087	6.2304	9.3709	10.6769	10.1513	10.0008	6.2999	10.699	9.8613	10.1105	9.8717	6.0935	6.4483	9.9092	7.1531	6.2273	10.1702	10.003	8.6833	10.9678	10.1856	9.2024	6.5478	9.3792	10.175	10.1287	6.4856	10.2095	6.3658	6.0835	6.0718	9.7448	6.1269	6.5552	6.5288
EA_G__DGKA	7.433	4.4751	5.3974	7.4241	6.2792	4.3122	6.4094	6.5983	4.6969	6.6392	5.6883	5.5778	5.0049	7.8271	7.7338	4.6749	7.0938	4.6922	6.892	6.0061	7.839	7.1502	6.1252	5.6762	5.7356	6.4423	7.7294	6.7012	7.3961	7.82	6.5774	5.9852	5.9692	5.4855	6.732	7.4715	7.0566	5.9385	7.4059	8.9425	7.8377	6.8881	8.0774	6.7272	6.3629	6.9672
EA_G__DCBLD1	8.0507	7.3596	6.569	5.4158	6.654	6.1741	8.4015	7.8853	7.573	8.619	7.2112	6.2603	8.716	7.3743	8.3283	9.1338	6.5455	9.7068	8.8283	8.211	8.1033	9.1712	7.6008	7.0742	7.695	7.9422	7.6603	9.4711	7.2718	7.6412	7.2028	7.4242	9.2099	6.6999	8.6572	10.4023	9.4362	6.8646	6.495	7.0277	6.9867	7.219	7.0936	6.199	6.4776	6.7029
EA_G__TGFBR2	6.9434	7.122	6.5636	4.7044	7.6681	4.6862	7.6677	8.3695	6.7089	8.3645	4.4748	5.3047	5.4067	7.9499	7.6715	8.5874	5.241	4.773	7.6865	7.6328	7.8443	8.9298	5.7233	6.4778	5.1441	7.1766	5.8674	8.7346	5.9185	7.2226	7.7136	5.4298	7.4191	6.893	8.0594	8.1697	9.4684	5.389	6.9689	5.8513	5.002	5.1139	7.3592	4.6654	5.3412	4.2384
EA_G__ELL2	6.8523	5.9738	5.4848	6.3876	9.0239	5.5223	7.9779	7.8213	6.2642	7.1177	7.3842	5.1636	5.7827	7.7042	7.7394	8.4219	6.5212	7.63	8.1983	8.1004	6.8832	8.7843	4.8266	5.4662	7.4627	7.4624	6.6419	7.7774	5.8231	9.4469	8.0832	6.9037	7.3135	5.7191	7.9853	7.358	9.1605	9.5203	7.6327	6.8344	5.428	6.024	7.8429	5.6388	6.764	5.8718
EA_G__BAMBI	9.043	7.9415	10.9483	9.7965	9.5427	7.1282	6.4441	8.9009	9.2597	7.6812	11.554	8.6742	9.0298	5.2225	9.1935	8.7315	10.0132	10.7307	9.5724	7.367	8.4422	7.3105	10.6285	11.5012	9.9713	7.2104	10.8275	6.5424	11.1828	10.2395	8.2252	8.4677	8.4536	8.8646	4.7859	7.5736	6.0396	10.2713	6.8786	8.641	10.9692	6.3965	11.3049	11.0753	10.2571	10.0016
EA_G__TUBA4A	8.6679	7.9277	6.3558	7.2991	6.9787	7.7877	8.736	10.2872	5.4635	9.339	8.4505	7.3348	5.2554	9.8507	9.0392	9.883	7.864	6.864	6.8061	6.929	9.6147	5.9611	6.2718	5.9367	8.2313	5.3819	7.3407	6.8341	6.603	8.5443	6.1101	7.9706	6.0091	7.1037	7.6902	9.8575	10.3707	9.5426	8.9397	8.7304	7.511	5.7331	7.9954	8.2523	9.4774	9.6581
EA_G__GNG12	7.9257	8.0554	6.9215	6.2823	9.5214	5.0723	8.5558	8.6155	6.8475	8.645	7.8236	7.2029	8.1673	7.6447	8.9862	8.8599	7.5179	7.3246	8.9495	9.2848	9.2523	10.1455	5.2669	6.6554	6.6615	8.7552	6.672	9.0735	6.6523	8.8439	9.0434	7.2152	8.5136	7.7602	9.7441	7.9395	9.8269	7.4973	7.9682	7.8464	7.0967	6.8414	7.6178	6.0561	8.1789	6.6101
EA_G__CLIP4	4.6326	5.4348	3.9666	6.1252	5.3323	3.6155	5.4672	6.7272	5.6531	7.4556	4.1053	6.8579	7.2274	7.6415	7.976	6.2944	4.1474	4.9373	6.0636	6.882	7.8551	6.975	5.2735	5.445	7.1688	6.483	7.1818	7.6554	3.9358	5.7053	5.9796	4.4094	7.5918	6.6691	5.6713	7.6162	6.4013	4.7101	6.216	7.3609	4.3718	5.6381	4.8178	3.7996	4.9957	3.7706
EA_G__F3	6.9078	6.5751	4.7236	4.8338	4.4908	5.7239	6.744	7.9921	5.9984	5.6462	5.3004	4.4737	4.984	9.1218	9.706	9.1727	5.9426	5.2188	7.949	6.227	6.4718	8.7618	4.8583	4.9955	5.4519	5.0852	5.0405	9.3891	4.8203	5.5902	5.4646	5.2877	6.3323	7.0375	5.0104	8.3353	8.3867	6.3841	6.0309	5.2343	5.1556	4.89	4.9104	4.8216	6.2878	4.3846
EA_G__TGFBR3	6.5099	6.7991	4.4764	5.0756	6.1711	7.4151	7.5172	5.2755	5.2617	8.7465	5.9379	5.4751	5.3792	6.5962	8.4593	5.5511	5.8642	6.5754	5.6738	6.2244	4.7788	7.5407	5.0052	5.0281	5.1701	6.7982	5.5957	7.4513	5.4792	6.559	7.2916	5.1781	5.9003	5.1645	7.6446	6.5163	7.7885	5.2928	7.9884	6.1309	4.9654	6.4007	6.143	4.9888	5.7522	4.6663
EA_G__ANXA1	9.3451	3.6072	4.0476	6.3945	10.2017	3.5434	9.8127	10.6675	5.6443	9.7178	5.7747	3.241	9.4661	10.3797	10.7509	10.8582	5.3532	5.1369	10.5083	10.031	11.0436	10.0326	3.448	3.7029	7.6301	10.0666	7.3355	9.9841	4.7581	8.4359	10.6138	3.764	9.3598	5.1137	11.0653	10.5969	9.902	8.9069	3.3449	8.2487	5.7561	3.9458	7.7779	3.0291	6.6238	3.6732
EA_G__PSMB9	6.9429	6.3563	5.3201	7.5091	7.2465	6.3855	7.0012	5.8205	7.8684	9.4407	4.9445	7.0672	6.7022	8.0447	8.7527	9.6395	7.5638	5.8946	6.8749	8.4528	10.2444	6.664	6.645	4.9041	6.606	8.7138	5.6229	7.5196	5.8368	7.0753	6.0337	5.6665	7.3387	6.2453	6.8692	7.5742	8.1866	6.6373	6.8327	7.3004	8.0178	5.5168	7.021	6.066	5.5524	4.8427
EA_G__ATP7B	6.2045	5.8567	8.4859	7.6758	5.5861	8.0376	5.5475	6.1909	6.562	5.3359	7.9776	9.3079	6.3782	5.2183	4.7565	5.8059	7.0642	5.7551	5.9086	5.888	5.2875	4.8425	6.5883	6.4678	5.873	6.1273	7.1474	5.1534	9.4854	8.2401	6.3691	5.8082	6.1943	6.645	6.3643	5.7143	5.6434	6.7281	6.8686	6.1749	6.2514	9.3683	6.8373	7.6427	6.5641	6.5602
EA_G__ECM1	6.7716	6.1191	6.9577	6.2551	5.786	5.6779	7.3295	7.9959	5.9024	7.5814	10.8279	5.7397	5.5639	7.0095	6.195	5.9834	5.922	5.4321	6.074	6.0819	6.0952	8.5332	5.8797	6.2035	5.638	5.8615	6.8823	7.8287	6.684	6.2559	6.4758	6.4748	5.2676	6.2118	7.9966	6.6804	6.4288	6.1959	9.4233	6.0158	5.79	6.0164	6.9613	5.7783	9.7581	5.5644
EA_G__CASKIN2	7.6011	7.3359	7.5427	8.1321	7.0714	7.8006	7.4197	7.509	7.4029	7.4591	7.2616	8.3236	7.3482	7.4533	6.8615	7.0004	8.2032	7.2135	7.2855	7.1834	7.3138	6.7536	8.5084	8.6303	7.0034	7.2135	7.6133	7.2308	8.7965	7.2082	7.0008	8.7073	7.6805	7.608	7.3409	7.3259	7.1055	7.4963	7.0337	7.4028	7.4153	7.9668	11.2389	7.9551	7.3629	7.8924
EA_G__DNAJB4	5.6443	6.1035	3.9001	4.3168	7.9907	4.3378	8.0466	5.2992	5.8049	7.7414	5.9526	5.3929	5.5614	6.4492	5.8692	5.7091	4.7853	5.1111	6.1544	6.802	5.857	8.51	4.2631	4.0582	5.6577	6.9904	4.7861	7.3876	4.94	5.3639	7.1117	3.9784	5.4962	5.149	8.1583	6.4834	8.0232	4.1585	5.4636	5.2226	5.0912	4.2958	6.1323	4.3341	5.6656	4.3752
