Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__SPG20	6.4757	3.5577	5.1113	7.816	5.6194	5.5456	7.0237	4.4108	4.0133	5.9425	7.2958	3.4923	3.519	5.1023	6.697	5.8755	3.5495	5.1681	4.2738	5.3775	4.8571	6.4802	3.8283	3.2704	3.8675	5.2663	7.3736	6.6888	6.3502	6.0086	4.8501	4.7567	4.7806	5.011	4.7522
EA_G__TTYH2	6.2957	6.0106	6.5553	5.9514	6.2996	7.415	6.7154	5.6287	6.4406	7.8237	7.6494	5.8357	5.5356	7.1352	7.4015	5.3558	6.1033	5.7759	5.4237	7.2426	6.2308	5.1456	5.9844	5.3898	6.252	6.9804	7.2142	6.6988	5.6698	5.921	5.5468	5.4572	6.5865	6.6331	6.2074
EA_G__ABCA3	7.4898	6.9381	8.2598	6.5877	8.6685	6.65	6.0702	7.5984	7.7157	6.836	5.8417	5.8612	7.2382	6.8044	5.8351	6.2413	8.3807	7.7083	7.8356	5.9727	7.5575	6.7002	7.2912	7.0449	8.915	7.0031	6.1109	6.1814	5.8895	7.1448	6.7524	7.366	7.6447	8.529	8.656
EA_G__STS-1	5.2033	4.6973	4.8157	5.8729	4.6605	8.0688	7.3136	4.7549	4.4609	7.6737	8.3529	8.4559	5.1812	8.8066	7.7323	7.8819	5.1073	5.0474	4.5253	5.032	5.6294	7.8078	5.5263	4.3696	5.545	5.6356	5.6818	6.8601	7.5785	7.1292	6.3024	5.5028	5.2742	4.7396	5.0443
EA_G__GALNT7	9.6749	8.5231	7.2484	7.1488	7.5272	7.5228	6.8623	10.4321	6.6273	7.0021	6.6653	8.244	8.5352	6.033	6.1371	8.4471	7.7906	7.5339	8.0239	6.9762	8.0309	7.7804	8.9969	9.1677	8.3252	7.6935	7.7995	7.7606	7.4331	9.9007	9.1024	9.738	7.0766	7.5746	8.5319
EA_G__SLC4A8	6.1742	5.3497	7.4196	5.5149	7.0729	4.7902	4.9181	7.7206	6.37	4.0643	4.2266	4.0046	6.0253	4.535	5.4474	4.6531	6.505	6.7182	8.218	5.5374	7.7695	3.9907	5.7194	7.9154	6.8865	5.8841	5.7113	4.5121	4.2936	7.778	6.5599	8.222	6.0153	9.3627	6.9785
EA_G__IRAK2	5.6409	5.423	5.3303	6.9979	6.0038	7.1858	7.3203	5.8589	5.3074	6.5416	6.2591	7.1486	5.5953	6.7055	6.5468	6.0278	5.9679	5.828	6.3121	8.0245	7.1975	6.6653	5.2283	5.4777	6.1391	5.6633	7.8771	6.2978	6.8329	6.1118	5.8486	5.9095	5.7902	5.6597	5.5393
EA_G__PAM	6.5052	4.5272	6.1303	7.0171	5.2683	7.2144	8.2595	3.1025	4.9383	7.1762	4.9999	6.0377	4.5273	6.7896	7.1617	8.613	5.2341	5.5056	4.6225	7.5426	5.3885	7.1555	5.0625	4.3787	5.009	4.9324	6.9623	7.0458	7.0236	7.6836	8.1557	5.5748	6.8696	6.1874	5.2083
EA_G__MAP4K4	6.8339	6.9846	6.6211	7.6195	6.5829	6.9551	9.6361	4.6415	6.9167	7.5113	7.577	8.575	5.8437	7.5774	7.9209	6.8842	6.9634	6.292	7.0002	8.0307	6.2858	7.2345	6.2708	6.4071	4.8013	4.4212	9.5851	6.9638	7.773	6.0739	7.3778	6.2682	6.226	6.4416	6.0425
EA_G__TIMP2	8.0733	5.3944	8.578	8.7678	6.3471	8.206	9.266	6.5326	6.6301	7.4328	7.5212	7.6423	6.5074	8.6701	9.1357	7.1354	6.9135	6.629	7.6709	9.9272	7.2971	7.5771	5.6731	6.6532	4.7218	8.7064	9.815	7.1412	8.3924	5.6884	6.8307	6.477	7.3707	8.4241	4.9285
