Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	1
EA_G__EIF5A2	5.0671	5.3636	5.4876	7.0288	3.9816	6.5229	6.4989	4.0049	6.0151	6.4365	8.0195	8.5671	4.1127	7.1292	7.9963	5.1445	6.4023	6.2623	4.3311	7.3762	6.1378	6.8793	3.7667	4.1613	4.6846	5.9985	6.7265	6.2262	7.4626	5.477	4.3927	4.1756	6.6644	4.8266	4.4717
EA_G__CTNND2	5.4629	7.5316	6.6776	5.4046	7.6145	5.578	5.2439	7.9285	5.2685	7.2004	5.5369	5.2641	7.6463	5.6685	5.1254	5.7386	7.963	7.877	7.7465	5.4372	7.0886	5.2979	8.3406	8.2045	7.5643	7.5688	5.3627	5.7529	5.5902	6.5579	5.7347	5.943	5.4129	7.3165	6.9607
EA_G__MB	5.5817	7.2958	5.4405	5.2965	6.4939	4.99	4.5217	6.6331	5.3755	4.4841	4.3542	5.2556	8.1329	5.7617	4.0266	5.7767	5.9646	5.6589	5.4337	3.8807	7.0531	4.2898	7.3515	7.1651	5.9651	7.5111	4.3969	4.8076	3.9391	5.781	6.2852	6.3506	5.5164	6.4085	7.0086
EA_G__RAB27B	9.4487	9.7252	8.7548	9.9569	8.8503	7.2326	5.5529	9.6875	7.5786	4.7529	6.7212	7.2258	8.5582	6.7514	6.7386	8.7507	8.1154	8.2999	9.2784	6.2771	8.7808	5.1949	9.7182	9.0257	9.2615	8.2384	5.5805	6.4372	6.374	8.4761	8.9339	8.1278	7.9657	8.0961	10.0686
EA_G__LHFP	6.1614	5.4274	5.774	8.7766	5.1859	7.2268	7.5145	5.1002	7.5025	6.0825	7.0349	6.7126	5.3806	6.8659	7.1626	5.8128	5.8162	5.6178	4.9328	7.6395	5.7058	7.2848	5.1617	5.2191	6.2937	6.4466	7.4815	5.9507	7.0226	7.117	5.2327	5.7135	6.1764	5.4187	5.6329
EA_G__ALDH3B2	7.8751	11.3608	8.8077	5.8866	9.7334	6.4255	6.1384	9.5823	7.6199	7.7955	6.3071	6.4469	10.2674	6.2786	6.047	6.1466	8.5602	9.6127	10.4301	5.6515	9.014	5.9874	10.8628	9.2617	9.5867	8.9624	6.0873	8.4091	5.947	8.3315	10.3339	9.1412	9.1133	9.2081	9.9559
EA_G__SELENBP1	9.3821	9.1265	9.3341	5.4145	10.1056	5.6859	8.1306	9.097	8.0519	8.1768	5.6338	7.0976	10.3951	5.9801	5.5176	9.058	8.4871	10.0174	9.0404	5.6347	8.8152	7.434	9.528	10.4363	10.1032	10.6142	5.3724	6.0275	6.422	9.7696	9.591	9.8577	8.6891	10.0604	10.8426
EA_G__GPD1L	7.1581	8.9161	7.7328	6.4188	7.7827	6.2488	6.2165	8.38	7.4073	6.0314	6.2961	6.7928	9.6036	7.1174	6.939	6.6889	8.6801	8.5606	7.1846	6.3214	7.8672	6.7807	8.9259	7.8841	8.5556	8.1451	6.377	7.0466	7.118	8.1813	7.3485	8.142	7.77	7.872	8.385
EA_G__PIB5PA	6.827	8.2578	6.7071	5.9039	9.6074	6.094	5.745	6.4018	5.6085	5.7297	5.4173	6.1321	8.1127	6.2215	5.7362	7.4908	6.5917	7.1141	8.8762	5.4621	7.9441	5.8495	7.7113	8.0325	8.7984	8.1997	5.6103	6.7177	5.7789	8.9248	8.6425	8.3854	7.2749	8.3268	7.7171
EA_G__GAS6	8.408	6.2495	7.4227	8.7318	6.9574	8.0175	8.2738	5.6314	8.2318	6.8698	9.5241	8.0954	6.0168	7.7492	8.9542	6.1677	6.3184	6.3637	6.9333	9.0093	7.2096	8.1029	6.1465	6.9816	6.629	6.2172	7.3513	9.7676	8.4195	6.3654	8.4263	6.6006	7.6072	6.1753	7.0646
EA_G__KIAA1324	9.1151	9.9689	9.3165	4.7668	10.7206	4.988	4.92	9.8157	9.2718	5.0802	4.8433	5.3249	8.9328	5.2349	4.8067	6.1461	8.0162	10.4682	9.8777	4.8393	8.4161	5.5117	10.5581	11.1607	8.8761	8.3421	5.2686	5.0444	5.1043	8.8778	10.1644	9.1857	8.7249	9.1258	9.4421
EA_G__FOXA1	9.78	10.3303	10.2426	5.7805	10.2446	6.6946	5.6298	10.1068	9.1466	5.6115	7.0308	7.1831	9.8686	7.3927	5.4563	7.5836	9.5923	9.8998	10.0039	5.6855	9.643	6.0524	10.1447	9.4248	10.0194	8.8238	6.1961	6.457	6.1073	9.5103	9.6063	9.8896	9.6996	9.7959	10.3109
EA_G__MYB	6.4454	7.7499	7.6455	5.0163	7.364	5.9692	5.1898	8.3839	7.6386	5.2504	4.5412	5.2464	8.0208	5.3536	4.5154	5.93	7.1808	8.0709	7.0712	4.4789	6.9476	5.6926	8.6746	7.4365	7.2492	6.6892	4.7019	5.5426	4.7383	6.1985	6.1338	6.9719	6.8456	7.1594	6.537
EA_G__CYR61	8.1331	6.2582	7.0497	10.1687	6.6562	8.8232	7.8517	6.3522	6.707	7.4924	7.1965	9.2169	7.3317	9.6694	10.232	7.091	6.3553	5.982	5.9694	8.6434	7.9536	11.0584	6.8937	6.6652	6.7454	8.1061	10.084	8.4031	9.4395	6.6971	7.8889	6.4717	6.9073	7.0874	6.1877
EA_G__SLC39A14	7.2392	6.7073	6.6778	9.7325	7.094	7.6136	8.189	7.4083	7.1434	8.5716	7.6742	7.7243	6.898	7.8345	8.1108	6.6582	7.1446	6.7092	6.6707	7.542	7.0018	8.3485	5.9451	7.0796	6.3629	7.3537	10.7989	7.488	8.4903	7.7988	5.7332	6.6494	7.0208	7.5143	6.2866
EA_G__C4orf34	8.8336	9.2875	9.0579	5.2272	9.1582	4.721	8.1851	9.7532	7.4229	7.588	5.1128	6.5668	9.1999	5.4193	6.848	8.0783	8.3072	8.1002	9.1603	6.5726	8.8801	5.1194	9.9662	9.103	8.0987	7.3907	8.1597	7.0955	5.3506	8.451	9.2518	9.4196	8.058	8.6313	9.0896
EA_G__KIAA1244	8.6271	7.9794	7.8373	4.7103	7.731	6.7773	4.9291	9.7452	7.5222	5.2587	7.0398	6.8008	9.4749	6.767	4.6396	7.3284	8.4806	8.5158	8.9598	4.7583	9.0587	6.9271	9.3135	10.3382	9.7247	8.5838	6.5364	5.8571	5.421	9.2156	9.3295	10.1233	8.0033	9.1089	8.061
EA_G__XBP1	11.283	11.4285	11.4319	8.6723	11.3432	8.5408	9.4895	11.6752	10.8517	8.688	9.1233	8.734	11.2423	8.6586	8.207	9.7409	10.908	11.5332	11.3709	8.4505	11.6948	8.6487	11.8604	11.6993	11.4718	10.6695	8.502	8.3625	9.0461	11.0474	11.1889	11.1636	10.9799	11.4501	11.6409
EA_G__ARHGAP23	7.2203	5.8044	6.1833	7.0529	5.4752	6.3843	6.3489	5.4214	5.2812	6.1932	8.4672	9.3409	6.4165	6.8485	7.6738	6.8463	5.9048	5.7858	5.5407	7.3588	5.8461	8.653	5.7958	5.8236	6.2527	5.9964	6.9923	6.3647	8.3173	6.3409	6.3077	5.9923	7.0707	6.1537	5.8307
EA_G__GLIPR1	3.2087	3.4702	3.5103	8.225	3.4968	6.1064	7.0228	3.3575	3.7556	4.2416	6.6397	6.1565	3.5767	6.5325	8.5465	4.8932	3.6517	3.3135	2.8019	7.2825	5.5198	6.9605	3.1331	5.5399	3.7158	3.6556	7.0461	6.3423	9.0025	3.6353	4.0555	3.3701	4.2331	3.4115	3.1647
EA_G__ARNTL2	6.1217	4.8596	6.2176	6.4819	3.8273	7.7471	6.5566	4.5198	3.7394	5.7917	9.3976	8.4682	5.9108	7.6544	6.7791	6.4344	5.4205	5.5538	4.4456	4.9612	4.6794	7.737	5.8374	4.5655	4.671	4.5466	8.1851	7.4415	7.0224	6.74	4.5638	5.8324	5.2486	4.1156	5.0043
EA_G__KIRREL	7.5887	5.6081	5.7258	10.3544	5.5244	9.7389	9.7405	5.3224	5.3906	10.1946	8.1	9.2642	5.5174	9.3051	9.8443	7.0456	5.8194	5.7806	5.2632	10.0757	6.4854	8.5703	5.2519	5.8751	6.4035	5.6421	10.2171	8.5799	9.3106	5.6723	5.8787	5.7361	6.8062	6.3514	5.7109
EA_G__YIPF1	8.1538	8.3387	7.4043	7.2018	7.6327	6.9169	7.0897	8.6056	7.8128	7.3801	6.5796	6.9075	7.7843	7.0031	6.9285	7.6619	7.168	7.7474	7.5846	7.1724	7.4127	7.3375	8.7118	8.8558	7.7027	8.1777	7.4907	7.4336	7.036	8.3011	8.8785	7.9406	8.1006	8.0957	8.5275
EA_G__SPDEF	9.8828	10.7931	10.5658	5.6685	11.013	5.9359	5.7703	10.7443	9.8237	6.0475	6.0136	6.4407	10.0929	6.9762	5.6718	6.3194	10.0469	10.246	9.7584	5.6466	10.4039	7.0764	10.5661	10.3098	10.5877	10.0553	6.1331	6.4231	5.9152	10.0886	9.922	10.6581	9.6624	10.226	11.1169
EA_G__ALDH4A1	6.6137	9.6464	7.5347	6.4231	8.4263	6.2446	6.1997	8.3781	7.28	7.0017	6.8621	7.236	8.1332	6.577	6.5174	8.276	7.8706	7.9981	7.9767	6.5559	8.9964	6.44	8.6197	7.9773	10.1902	8.6634	6.6103	6.757	6.4059	8.2904	6.8675	7.3929	8.1326	7.6348	9.4543
EA_G__CAV2	6.8437	3.7097	5.5046	9.6475	3.2968	9.8419	9.5411	3.41	6.384	6.665	9.7361	10.2366	6.3564	9.7925	9.8782	9.1849	6.8317	4.985	4.251	9.9149	5.9759	8.7015	5.0696	5.7687	3.9831	6.1201	9.4274	10.0236	8.9668	6.5462	7.0424	6.8936	3.7499	5.2992	4.0191
EA_G__CTNNAL1	6.2431	6.4387	5.6072	8.7735	6.3931	8.1612	7.0137	7.1051	6.4816	7.2239	8.0383	7.9871	5.4545	6.4832	7.6805	5.2114	6.1901	5.6676	6.3907	8.9997	5.5644	8.7663	6.723	5.544	5.0793	5.2778	7.4006	6.8008	8.0664	7.008	3.6217	5.7089	6.5608	6.3006	5.4776
EA_G__C20orf42	3.4376	3.8664	5.7135	6.0366	3.6472	7.5292	4.1794	3.3863	5.1534	6.995	8.7192	9.0772	4.6405	6.635	6.317	5.5793	3.838	3.8146	3.6969	3.6306	6.0091	7.1876	3.542	4.684	4.2703	3.8293	5.3947	7.4157	7.0976	4.1238	4.2218	3.7979	5.7945	4.0094	3.5256
EA_G__OBFC2A	8.663	5.7752	5.5617	8.0921	4.5264	8.1177	8.5995	6.3325	5.6037	7.6901	9.0276	8.7656	6.3893	8.8214	9.7788	7.8827	6.4123	6.7442	5.6996	8.2834	6.6746	9.4543	5.5142	6.1973	6.3699	6.996	8.5565	8.4307	9.0169	7.7607	7.9834	6.1808	5.7689	6.4453	5.6546
EA_G__CMTM7	7.8658	7.1049	5.3678	7.6197	5.935	8.8032	8.1796	5.1804	5.5291	8.2411	8.1877	7.9604	5.849	8.9538	7.5776	8.2734	6.3971	5.7649	5.2491	7.7657	6.7889	8.3036	5.4139	6.5478	6.1254	6.2854	8.5469	7.8743	7.6306	7.0904	5.7507	6.2845	7.1193	7.5985	5.557
EA_G__TOX3	7.6904	8.5875	6.9683	4.4321	6.5337	5.4214	4.415	7.6402	4.4988	4.116	4.7216	4.182	7.3639	4.4069	3.9878	4.5242	4.6907	4.7136	5.1155	4.1138	7.0533	4.2706	8.4109	9.1685	7.8902	5.2199	4.6364	4.374	4.3532	7.696	7.7374	7.5964	4.397	6.9844	8.4415
EA_G__SNAI2	4.1699	3.6871	4.9983	9.1313	3.88	6.4837	8.7471	3.8197	3.4385	9.9938	8.7811	7.6103	3.6267	5.6992	9.113	6.23	3.8127	4.5304	3.9551	10.2171	6.415	6.0717	4.3797	4.0291	3.8604	3.2179	9.5792	6.7031	8.0848	4.5561	3.8284	5.6708	3.7912	4.4566	3.9037
EA_G__ELK3	6.214	5.0173	5.7208	6.3793	6.0668	6.2242	6.4943	6.0164	6.0869	6.0582	6.9747	5.8821	4.5117	6.5217	6.7734	6.2157	6.2209	5.6102	5.2898	6.1929	5.6212	8.1946	5.6704	5.4659	5.4923	6.0903	8.2677	6.319	8.0026	5.7072	5.567	5.9615	5.5961	5.5168	5.4524
EA_G__C3orf14	7.1203	7.9076	7.1029	6.9583	7.4013	2.6217	6.2124	8.1857	7.2363	5.9098	4.7573	6.6061	7.1222	5.897	5.4185	5.5153	8.5062	8.6206	8.6997	5.5483	6.1287	6.9514	7.3778	5.6174	7.1317	7.1147	5.7149	5.6834	7.1176	6.801	6.5169	6.6653	5.9565	8.4885	7.6724
EA_G__MAP7D3	5.3052	3.7726	5.4351	8.0335	4.1145	8.2134	7.4399	3.8649	5.2828	6.9662	6.369	7.7975	3.9768	7.9146	7.4129	6.0423	5.9373	6.1096	3.8188	6.9765	4.3266	8.4972	3.8711	3.6075	4.4657	5.4472	6.6247	7.5826	7.2635	4.9255	4.3312	5.013	4.094	6.2554	3.8949
EA_G__QPRT	8.8359	8.9451	8.3396	6.9316	8.0386	5.7749	6.6229	9.5699	7.932	8.8023	6.6334	5.9404	9.5354	8.7244	8.0401	10.1308	9.5191	9.4338	8.7666	9.1491	8.806	6.3479	10.1789	9.9551	7.9166	9.1913	6.0334	6.343	6.3583	8.9326	8.3707	8.5354	9.3878	9.4065	9.4188
EA_G__MUCL1	9.7015	11.9418	10.2431	4.8957	8.9223	4.5051	4.9442	8.2638	6.8099	4.7529	4.7936	4.5822	8.4609	4.7998	4.6962	4.8549	6.192	7.9264	7.538	4.9978	10.2647	4.8186	11.1491	8.2536	10.2257	5.8615	6.5654	5.2871	4.4087	5.4239	12.5835	9.5991	5.3747	11.7143	10.7729
EA_G__PYGL	8.2279	4.5482	8.5657	8.6049	3.8718	9.3095	6.1698	6.4332	9.2013	9.2196	8.4187	6.1846	4.9662	9.6848	8.9714	6.8818	8.0777	7.1207	6.9183	8.1479	6.5905	9.1658	4.2731	4.9804	4.6456	7.7447	9.0854	9.7038	4.1135	5.0333	4.6464	4.4254	7.2832	7.6898	3.8629
EA_G__CTGF	7.8838	5.884	6.0218	9.3777	5.681	7.7782	7.1026	5.7885	5.882	8.7018	6.664	6.8898	7.1419	8.6485	7.6684	6.5018	6.0448	6.3716	5.976	7.6168	6.9053	8.8141	5.7406	6.065	6.5061	6.6274	9.1454	7.3645	8.134	6.5749	6.6338	6.6145	6.0636	6.0606	5.9837
EA_G__AGPS	8.9363	7.2311	5.8532	8.6021	7.7053	9.7677	8.9797	8.0721	7.7352	8.2133	10.1761	9.4607	8.5532	9.0848	9.1475	8.4572	3.0191	3.3336	8.3692	9.0361	7.3817	9.4937	5.9847	8.784	6.8236	5.0358	9.7549	8.9906	9.4369	8.3386	7.3149	7.8151	3.4863	7.9964	4.0977
EA_G__GPR160	6.7527	8.0657	6.759	3.3556	7.1076	4.229	2.9609	9.3959	7.726	4.058	3.7191	5.921	6.9804	4.7694	3.446	5.8982	7.7744	7.445	7.3926	2.9737	8.141	4.3088	7.3759	8.3753	7.7969	7.1789	2.9307	3.3042	3.8572	7.0867	5.9659	8.1528	7.8124	7.3001	7.6953
EA_G__CFL2	5.5759	6.3734	6.0658	8.7936	4.5717	7.1761	7.4999	7.3432	6.5647	6.9818	6.4944	6.1673	6.2266	7.5471	8.3928	5.6348	5.8954	4.952	5.0397	7.5996	5.2804	8.0775	5.6671	5.3072	4.1366	5.8516	7.78	6.119	7.9761	6.6884	4.9737	5.9966	6.4361	6.0929	4.1521
EA_G__LARGE	7.5776	8.2811	8.8172	6.4327	9.2071	5.23	7.4912	8.5957	8.6586	7.3338	5.688	5.8935	9.0514	5.108	4.9343	7.5548	8.0168	8.493	8.7988	6.9842	8.3543	5.0348	9.7924	7.8886	8.0502	7.5051	6.4651	5.3077	5.0334	7.6831	7.6621	6.5147	7.7088	8.4373	8.51
EA_G__TMEM86A	7.6884	7.9473	6.8599	4.9403	6.4644	5.4973	5.8239	8.5714	6.3085	5.762	5.926	5.7045	7.3806	5.8631	5.6241	5.8009	6.1998	6.2003	6.8156	5.8978	7.248	5.4022	8.2918	7.6789	8.1152	6.5041	5.7141	5.8456	5.6566	6.9858	9.1944	7.4011	6.777	7.7605	9.1894
EA_G__CALD1	4.9976	4.0059	4.5323	6.9477	4.1231	6.8428	8.1298	3.9074	4.2596	6.0823	5.2906	6.3946	5.3524	7.4511	7.9533	6.2922	4.4971	4.3691	4.3982	9.1755	5.9927	6.51	5.4997	4.7735	4.7727	5.7915	6.303	6.8236	7.1648	6.5636	6.1459	5.5227	4.6722	4.2721	4.3237
EA_G__RAP1GAP	7.8799	8.1113	6.5433	5.7543	6.6874	6.2945	6.8339	8.8874	6.4177	6.6467	6.6522	6.1962	6.8436	6.2461	6.0267	7.3026	7.563	7.4447	7.3535	6.0472	6.9761	5.9038	8.0141	9.6091	8.3862	7.8449	5.9335	6.747	5.6571	8.1292	8.9247	8.3811	5.8442	6.5819	6.6144
EA_G__ICA1	6.8007	7.7109	6.3638	4.2132	7.1927	4.9716	3.7922	7.0962	6.1191	4.2211	4.1324	4.8164	6.8093	5.7834	3.9633	4.0011	6.8677	7.0587	6.9084	4.0082	5.8056	5.9475	6.8185	5.8066	6.6253	6.7251	5.4292	5.8257	4.0589	6.974	7.7989	6.9839	7.286	7.3446	7.8273
EA_G__MSX2	6.8045	8.556	8.0763	4.5258	6.4687	5.9997	5.6296	7.036	6.6095	5.292	5.6895	6.9996	7.6878	4.0973	4.9369	6.3673	7.7093	7.9876	7.4694	5.264	7.6526	3.4874	9.12	6.9252	6.8015	7.9243	4.6827	4.2993	4.9965	6.2857	8.3848	8.6195	8.1859	7.9125	7.6505
EA_G__OSMR	7.3804	5.802	6.8804	9.497	7.2103	7.7341	9.3854	7.0832	7.2204	9.4997	8.1243	8.2112	3.9004	8.415	7.5476	9.8494	5.7608	5.667	3.9652	9.6437	5.9028	8.3514	6.6129	4.4232	5.7495	3.6578	7.5476	8.4167	9.3045	6.6755	6.9844	7.2652	7.6885	7.1203	6.7778
EA_G__SGCB	6.7863	4.8878	5.9552	7.0929	3.3793	6.6802	7.1509	3.04	5.2005	6.2462	5.4632	4.7161	3.212	6.5926	6.4121	3.5149	4.5618	4.753	7.5645	7.3587	5.2387	7.1684	4.7077	3.4655	3.4017	4.3251	7.1462	5.8862	6.8411	4.8611	3.9321	5.3476	4.7311	6.1989	3.9669
EA_G__CAPN13	7.1311	6.7239	6.7757	4.5748	5.9724	4.4929	4.4092	7.9041	4.5065	4.7075	4.6089	5.0453	6.0129	5.6988	4.2756	5.5895	5.7773	6.2634	8.6299	4.4638	6.1777	4.5847	7.3388	6.8161	7.333	7.547	4.4298	4.957	4.3726	8.1653	7.2106	8.5483	6.0565	6.693	5.6346
EA_G__LOC493869	7.5675	6.5814	6.1373	9.9093	3.4796	6.1974	9.0133	2.7338	6.9972	7.0989	7.0566	6.7197	4.9328	8.408	8.8576	8.31	6.3644	5.0232	6.2845	9.1317	6.159	8.3857	6.483	7.7228	4.5915	3.9953	9.3612	8.0153	9.2636	9.5856	8.1735	5.9401	8.3805	5.4012	4.2873
EA_G__SEPP1	5.8056	6.3037	4.7371	3.5677	6.3167	3.2726	3.6948	7.4843	6.7786	5.6468	3.6065	4.0479	7.1792	3.7197	3.9899	3.8702	3.8268	4.8399	7.5823	3.5405	4.9	3.4066	9.2661	9.3975	6.8488	4.9906	3.4597	3.7391	4.0567	6.7115	7.3823	5.9143	7.0828	4.9858	9.1555
EA_G__SLC9A3R1	10.8284	10.9597	12.1339	8.7121	11.6704	8.938	7.8985	11.4576	12.2228	9.8097	9.4062	9.2397	10.1126	9.0002	8.2983	10.211	11.5891	11.5335	10.9539	7.5431	10.175	9.0363	12.6162	10.3807	11.9228	10.702	7.9923	8.16	8.1862	10.5458	9.9597	10.2024	10.9276	11.5295	11.3238
EA_G__STARD10	8.7444	9.838	10.3464	6.9657	8.9884	7.0812	6.3309	10.6337	9.9114	7.9561	7.2257	7.6626	9.147	7.3262	6.4872	7.4777	9.734	9.5739	9.1011	7.4208	9.3232	6.2262	9.903	9.0237	9.6166	9.3077	6.0593	7.4425	5.9183	8.838	8.704	9.3903	8.7334	9.6701	9.2205
EA_G__DEPDC6	7.4503	9.1632	7.448	4.9752	7.5121	6.4015	7.052	8.3884	8.0948	6.8441	4.7516	5.8902	8.5968	6.2251	6.0457	7.4547	6.8396	7.695	8.225	7.3615	8.3302	5.541	9.0918	9.6198	7.432	8.03	6.4449	6.1382	5.6161	7.127	9.8221	6.946	8.0294	8.5831	6.7683
EA_G__C17orf28	9.3617	9.6197	10.0389	5.5952	9.5722	6.3666	5.2734	10.3721	9.0304	5.4402	6.5831	7.025	8.2773	7.1557	5.8027	7.1023	9.1167	9.277	9.1052	5.3589	9.2435	6.1912	11.1353	8.8997	11.0475	9.6716	5.6045	6.3796	5.9321	9.479	9.5063	9.3071	9.6105	9.9773	10.4072
EA_G__LTBP2	6.4939	5.8484	5.7214	5.8612	5.9966	7.2573	6.9893	5.5716	5.7214	6.0676	6.8141	6.828	6.3254	6.36	8.5798	6.1362	6.3948	6.1604	6.2484	8.5092	6.593	6.5464	5.7252	5.5235	6.3771	6.142	7.3028	6.7043	6.306	6.5798	6.8782	6.3072	6.3083	5.977	6.2503
EA_G__S100A14	12.1606	11.289	11.27	4.4478	12.2259	9.3338	5.7788	11.67	10.2776	5.6437	9.6689	10.4498	11.2622	9.7527	5.038	10.9988	11.3198	10.6309	6.945	5.2235	10.7045	5.3671	11.2594	11.6653	10.9996	11.6593	5.6242	10.3786	5.2591	11.5032	11.3	11.9228	5.3263	11.1298	11.7503
EA_G__ATP2C2	7.3612	8.2179	7.788	5.3497	7.7028	5.9351	5.0997	8.4417	7.4719	5.2602	7.0346	7.169	8.3016	6.6985	4.6332	6.8254	8.5253	8.1187	6.7656	4.7757	7.7212	5.1175	7.5495	8.7963	7.9613	7.5787	5.4452	6.4738	5.2595	8.2752	8.3637	6.7796	7.0768	7.274	7.6677
EA_G__FABP5	4.5852	5.6242	4.9494	3.2476	4.6763	8.607	6.8194	6.1227	5.9207	8.2855	8.2952	8.2315	3.8303	6.6193	8.1268	8.0179	4.5795	4.4465	3.9307	7.8224	7.8662	8.5296	6.4531	5.4059	3.6267	5.0183	9.5285	6.2494	8.6298	3.1829	4.1928	3.9817	3.7328	3.6033	6.0214
EA_G__CD109	6.1416	3.7921	5.5339	8.3527	3.4254	9.8252	9.2487	3.0817	6.5144	7.1157	8.0877	9.3691	3.7098	9.8537	8.8739	7.4854	4.4126	5.5731	3.3263	8.0959	5.2943	3.3463	6.1181	7.5862	3.8296	4.357	10.4754	8.624	9.3002	5.8117	4.6067	3.6874	4.1718	7.6538	4.3542
EA_G__PHLDA1	7.264	5.4323	6.0387	7.1715	4.5343	8.4106	7.8576	5.8538	7.0573	5.0523	9.211	9.0987	7.6233	7.8731	8.6225	7.3199	6.9348	6.4868	7.1009	7.7793	8.4937	9.2009	5.3553	5.2952	5.3613	5.4233	9.2377	6.425	6.9972	5.2608	7.1747	5.2914	7.144	5.156	4.4997
EA_G__TC2N	8.5979	9.3938	7.3508	3.3223	8.2578	6.9443	3.7734	8.8806	7.6394	5.7542	7.1173	6.7638	8.4157	6.5571	2.5474	7.8365	7.5099	7.5506	7.6286	3.4834	8.7449	4.5382	8.6498	8.2854	8.3271	8.4929	3.1594	6.1981	2.9353	9.1398	8.8122	7.8362	8.1402	8.2774	9.4791
EA_G__TIMP1	10.696	5.9828	10.8059	10.6076	6.2943	10.4313	11.5399	5.6373	10.8903	11.2532	9.662	9.3399	6.355	9.3984	9.7969	7.911	9.3202	10.1272	8.893	12.1036	10.1588	9.8061	8.7353	10.5777	7.4083	6.8389	11.3341	11.0263	12.4699	8.2387	7.4412	9.8428	7.7003	11.5617	5.4094
EA_G__LOC124220	8.934	8.0215	8.0349	5.4055	8.8675	5.9469	5.9124	7.9883	7.6471	5.8141	6.6156	6.0411	7.8574	5.7468	5.5707	7.5995	8.0322	7.9345	8.4762	5.7493	7.8782	7.1355	9.1801	8.6759	7.6816	7.9156	6.0924	6.2257	6.4568	6.7771	7.0487	8.2349	8.0054	8.3906	7.3629
EA_G__ATP10D	5.5889	4.4171	4.7251	4.0012	4.1262	3.7236	6.9635	3.2295	5.5628	4.9374	7.053	7.2096	3.7703	6.4579	6.6916	6.6534	4.0559	3.9068	3.3478	5.913	5.0875	6.3646	5.9933	5.4572	4.5143	4.7657	6.5914	5.5249	5.4299	6.7164	5.918	5.201	5.7417	4.4694	5.1556
EA_G__GALNT6	8.9187	8.6345	9.9625	4.7514	9.6093	7.1112	6.5514	9.8516	8.9842	5.5323	6.8487	6.3386	9.23	7.851	4.671	8.141	8.965	9.2303	9.3822	4.7392	9.425	5.2894	9.393	10.0229	9.2867	9.2247	4.9243	7.8977	5.0908	10.1047	9.6267	10.2162	8.6008	10.6343	9.5105
EA_G__LYN	6.7091	4.8348	5.1853	5.1028	5.0591	6.6688	6.2336	4.7252	4.705	8.3103	7.6061	8.3886	5.1541	7.3798	6.2885	9.3436	5.3756	5.2372	4.5418	7.4913	5.1404	7.6488	4.7925	6.2007	5.3564	5.3096	7.3032	7.3173	7.4683	5.287	6.1842	6.0271	6.1764	5.6508	5.0276
EA_G__NHEDC2	5.1404	5.0185	4.8827	6.6627	4.1264	5.9421	7.6438	4.8055	5.3737	6.7333	6.4724	6.1886	6.4636	6.7411	6.1157	5.8529	5.7495	5.4824	4.453	6.4926	5.3535	4.4558	5.0307	4.3183	5.1944	5.7618	7.2622	6.4832	7.8141	6.5272	4.9132	4.7038	5.6645	5.6493	4.6542
EA_G__RHOB	9.2793	9.8896	9.3985	7.6395	10.3938	7.6986	7.1127	10.2289	10.0866	7.0769	7.524	6.9368	8.7278	7.261	6.7834	7.1452	9.565	9.2465	9.8531	8.3788	9.4573	7.5833	10.0124	8.9442	9.8377	10.0424	7.0709	7.9873	8.8352	8.6291	8.0375	9.0331	8.5103	9.1206	9.1928
EA_G__SIDT1	5.7225	8.8752	8.5645	4.6729	8.5319	4.3608	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.114	4.5267	4.2934	6.0595	8.2739	8.5397	8.675	4.4179	8.167	4.9182	8.5383	9.0785	8.1899	7.1021	4.6199	4.8109	4.4668	7.8236	7.9261	7.9518	8.588	7.5637	7.6898
EA_G__LAMB1	8.6061	7.5613	8.1784	8.178	7.7319	9.1946	9.244	7.368	8.1479	9.7851	8.6398	8.7716	8.0677	8.7155	7.9749	7.6611	8.0096	5.3777	6.556	10.6895	6.1294	7.6222	6.0822	8.1012	5.867	9.4446	6.7632	8.4329	8.9308	8.3119	5.3253	8.4389	8.0109	4.8772	6.7571
EA_G__COL12A1	4.6512	7.5054	7.2706	9.5912	6.8994	8.4506	9.4902	3.7319	10.8521	7.3306	7.4648	7.8614	6.0534	9.3643	8.8684	5.9149	4.3399	6.1103	4.6175	9.7965	6.1244	7.2716	7.0115	7.6175	4.9131	7.7231	8.3604	9.9361	9.2268	4.7385	4.5104	4.3148	7.4077	6.3126	6.7457
EA_G__CACNA1D	5.1325	6.4883	7.1711	4.3929	5.9883	5.0697	4.3872	7.9984	8.2401	5.3635	4.4459	4.8797	7.7626	4.6953	4.4363	5.9109	6.6581	6.2977	6.8725	4.2473	7.3781	4.4991	6.9919	6.4139	7.5077	7.7938	4.5576	4.5211	4.5248	5.9556	6.0469	7.638	6.6987	6.9375	7.5353
