Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__CLDN3	8.0034	8.9717	6.0866	8.0567	10.0582	5.2854	9.4834	7.6571	6.3263	4.6532	8.4969	8.109	5.5586	6.0856	7.1229	6.3996	5.3265	5.3363	5.0908	8.3048	4.9669	9.8658	8.5015	5.456	6.7233	5.1811	9.0222	9.0383	8.3115	8.5947	5.1358	5.1889	5.4921	9.2728	9.3196	7.4412	9.7707	9.9995	5.38
EA_G__KIAA0644	6.6204	7.8892	5.8869	7.22	7.5292	5.0429	7.1733	4.6612	6.9032	4.7288	6.0241	7.1183	5.0476	5.3085	5.1206	6.1557	7.1336	5.2546	5.1951	6.8486	4.7598	5.6884	7.036	4.7568	6.3434	4.8293	6.4892	6.3319	6.5456	7.9545	4.9716	5.2662	5.3064	7.3471	7.7024	6.1171	6.8002	7.5086	6.8457
EA_G__C16orf45	5.513	6.8769	6.1887	6.0307	5.9063	5.9137	5.1053	5.7484	5.3196	6.2622	6.2757	5.362	5.7197	6.1233	5.5063	5.5949	6.164	5.3603	7.1987	5.7951	8.7459	6.1757	5.5124	7.548	6.6192	6.8892	5.5918	6.0186	6.41	6.7274	7.9713	5.7848	6.6187	5.4728	5.3996	5.9732	5.9187	7.8131	7.9662
EA_G__KIAA0195	9.2317	8.1195	7.5064	8.4064	8.8743	7.8452	8.7581	7.6728	8.2281	8.5923	7.9728	8.9658	8.4402	7.6967	7.5845	7.5539	8.6972	8.2867	8.4437	8.0899	7.5258	9.5723	8.7357	7.8019	8.1276	7.7026	10.6093	7.8048	9.2293	8.7163	8.6271	7.8546	7.5508	7.9325	8.4612	8.1096	8.3298	9.5459	9.2109
EA_G__TOM1L1	9.489	7.6603	7.8456	11.1528	8.9596	7.4255	9.1088	8.7525	6.8062	6.4184	9.3334	10.0995	7.2869	7.4997	7.2579	8.116	8.1689	8.1728	8.2532	7.2323	6.7395	9.3382	9.1966	7.8329	9.1409	7.7808	9.9911	9.1808	7.9222	7.5116	9.1269	7.732	8.0915	8.2536	8.7812	8.208	8.9751	8.6278	9.847
EA_G__PRKCDBP	4.8323	4.9869	6.6066	4.8024	4.8467	7.0079	4.9027	9.1517	5.7634	8.3214	4.4053	4.6242	7.4982	8.314	8.1819	4.8293	5.4113	6.7699	7.3649	6.0356	8.2985	5.3427	4.9622	7.9633	5.8675	8.1638	4.8741	6.2092	5.7995	5.1549	8.6926	7.6327	8.5386	4.9303	5.1614	4.9373	5.379	5.3021	5.1032
EA_G__SLC44A4	11.6736	6.0217	5.1742	6.4575	6.28	5.1744	5.8406	5.1784	5.4359	5.1851	5.2161	5.3873	5.2039	5.4683	5.0755	5.4196	9.9478	5.5018	5.1499	6.7549	5.1958	5.7798	8.0796	5.3333	8.6219	5.4313	5.9026	11.0876	7.5139	7.3705	5.4841	5.7716	5.4328	11.6179	5.6014	6.6319	5.8825	6.0667	10.1028
EA_G__EXT1	6.9002	7.2851	8.0007	7.2317	7.4158	9.4078	6.2099	9.0509	8.0849	9.5899	7.5442	7.2337	7.5812	8.4481	9.2912	10.1238	9.2087	8.4022	7.6371	8.1848	10.0477	6.7105	5.5645	9.9259	7.4582	9.0962	7.2525	7.5283	7.3022	6.8852	8.3403	7.8279	8.393	7.9956	8.4691	6.9261	7.0398	7.4408	6.3569
EA_G__IL1R1	5.2433	6.2627	5.8067	6.4215	5.9244	6.9492	7.1119	4.9937	5.9677	7.8353	3.6556	3.6594	6.2725	4.2437	4.4349	5.2934	8.6186	5.4512	6.8552	6.9971	6.0492	5.0264	7.5645	6.6671	6.0735	4.3427	7.0316	7.5953	9.5627	5.5494	6.534	5.8414	5.9406	5.4326	4.8437	5.9686	5.867	5.7212	6.7576
EA_G__PARD6B	6.6898	7.453	8.2745	7.9356	10.2482	5.6462	9.0659	7.4407	7.1044	6.5166	9.1497	8.5948	7.3837	7.5392	7.1739	7.7258	7.8017	7.1111	5.7964	7.4969	5.8639	9.7913	7.6396	5.8916	7.8763	7.6107	7.4723	7.3893	7.1206	7.9257	6.5983	7.1532	6.0187	7.9875	7.3888	7.7564	8.7348	9.9907	7.6213
EA_G__DHRS3	9.1029	9.4374	9.15	5.9608	5.5941	7.1532	5.6841	6.3806	7.0955	8.0214	9.7318	5.5812	8.6881	7.7766	8.8251	9.3762	9.5124	7.4589	6.0606	9.8214	7.6457	6.4916	6.7985	6.2338	7.5048	5.4516	6.4334	7.4001	6.1612	9.0275	6.5603	6.5974	6.912	7.5027	7.3798	8.8044	7.5105	6.0373	7.6803
EA_G__KRT19	12.6916	12.4257	11.7226	11.8694	12.9008	5.3088	12.0071	11.0092	10.8661	5.2972	12.4057	12.4572	5.4234	11.375	5.3996	6.6896	12.625	10.7132	4.9996	11.9989	5.3899	12.1304	12.2871	4.8359	12.0948	8.5044	12.135	12.3305	11.3655	12.6503	6.0673	11.4019	5.1683	11.8464	11.3409	11.6161	12.478	11.9621	11.4901
