Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	-1	1	1	-1	-1	1	-1	1	1	1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1
EA_G__GPRC5B	4.9745	6.388	8.1964	6.1617	6.2748	6.497	5.2667	6.0606	6.7039	6.2604	7.0809	4.8034	7.9743	6.8597	7.5867	8.3264	7.6177	6.3867	5.3386	7.5323	7.0233	5.3699	4.439	7.6679	6.8634	4.6996	6.5032	6.9632	5.7648	6.2546	5.117	5.209	6.388	6.478	6.2985	5.6048	5.5162	5.5363	6.325
EA_G__GUCY1B3	5.4722	4.8053	5.0459	4.2776	5.3475	8.0374	5.0634	7.2303	8.833	7.7941	8.7253	4.4872	5.9624	5.3104	5.2187	4.2365	4.2342	4.0363	6.5594	8.6541	5.8324	5.6586	3.9242	10.1264	7.3901	6.6436	6.4968	6.2236	6.7091	4.422	5.7335	4.66	4.5811	4.7908	5.2481	4.7088	4.2932	5.6111	6.9791
EA_G__MAPT	5.7018	5.1448	5.1469	6.9443	9.1397	5.1979	8.0624	5.4416	6.2766	5.0627	4.9614	9.0827	5.6293	5.3387	5.1081	5.4602	5.7802	6.5011	5.2449	5.3896	5.4343	7.1596	8.4538	5.1361	6.1992	5.4871	5.6839	6.2724	6.3443	5.4325	5.4093	5.6854	5.1477	5.3825	6.9415	5.8018	5.8948	7.4277	7.6494
EA_G__KRT10	6.7857	7.0445	6.4279	6.6254	8.0339	6.4804	6.9532	6.4993	6.641	6.7273	6.6412	6.7273	6.5188	6.9106	7.0155	6.7177	6.8042	6.5046	6.5812	6.3903	6.6742	7.0637	6.5853	6.2408	6.3063	6.5867	6.093	6.3976	6.7607	7.0754	6.7185	7.329	7.0358	6.6456	7.3607	6.7347	7.4977	7.0732	6.575
EA_G__GNE	6.5243	5.8046	8.127	6.7037	6.5616	8.1312	6.8197	8.2774	2.9506	7.6775	8.2695	6.1802	7.9216	4.7427	7.1988	8.4466	10.3439	3.761	7.4631	9.1835	7.5768	5.2929	7.1036	8.0096	7.799	7.7133	8.0783	7.203	6.9612	5.6748	7.3399	6.5398	6.8758	3.6159	8.5221	6.8196	6.2245	6.6584	8.0651
EA_G__PRMT6	5.4947	6.6852	6.893	6.6478	6.5168	5.2716	7.5566	5.0996	4.8878	5.3945	6.8564	6.661	5.3206	6.0211	6.4814	6.1415	6.0214	6.8696	6.8387	6.1845	6.6066	8.6068	6.8665	5.4532	5.8688	7.2715	5.4975	5.9887	6.2854	6.7294	6.1922	6.5385	6.412	6.2392	6.2413	6.1271	6.3901	5.6391	5.9249
EA_G__ICA1	6.8007	4.2391	5.5241	7.7109	6.3638	4.2132	7.1927	4.9716	5.9258	3.7922	7.0962	6.1191	4.2211	4.1324	4.8164	5.9834	6.8093	5.7834	3.9633	4.0011	3.8101	7.0587	6.9084	4.0082	5.8056	5.9475	6.8185	5.8066	6.6253	6.7251	5.4292	5.8257	4.0589	6.974	7.7989	6.9839	7.286	7.3446	7.8273
EA_G__CUL4B	6.6142	7.0274	8.4121	6.2287	6.8128	9.3472	7.0256	8.1315	7.2752	7.686	7.6102	7.6919	7.0614	6.7863	6.5816	7.5829	7.2735	7.3667	10.0552	7.1003	7.8513	7.0789	7.0753	8.6142	6.8373	7.2966	6.404	7.2378	6.5199	6.8767	7.1544	6.4288	6.9163	6.5287	6.3816	6.6166	6.3577	7.0476	7.0727
EA_G__SRD5A1	8.0855	7.7981	8.399	7.6275	6.6327	7.4336	7.1454	8.3436	7.7263	8.1358	7.0578	6.9902	7.0641	7.5414	9.0122	7.6676	7.9855	7.9288	7.2715	10.5835	7.8071	7.2067	7.2558	8.68	6.9041	7.457	8.0689	7.8639	6.0999	7.4931	7.124	5.9887	7.6524	7.1851	7.4128	7.5333	6.3411	6.8793	6.9635
EA_G__HIST1H1A	5.8645	4.0453	8.5439	3.5876	3.5514	3.9681	3.6907	7.6004	7.6991	6.3949	3.9692	3.1037	7.5128	8.8424	8.2176	3.1446	6.9075	9.0793	8.1828	7.6253	4.7202	3.8159	3.8268	5.9687	7.1763	4.0482	3.4884	4.5521	3.8362	3.4594	4.5463	6.2006	5.5518	4.6448	4.383	4.4879	3.8866	4.3226	3.7257
EA_G__PRAME	4.3168	5.9018	7.9136	4.3765	6.5075	8.2097	4.7005	9.6874	10.7344	8.7901	4.11	6.8148	9.6168	6.3212	3.8922	7.7804	4.4848	4.6893	9.6601	8.6348	9.1812	4.5637	4.0667	7.8007	9.5788	4.2546	4.5451	5.9514	5.1225	4.507	6.5983	4.4802	4.541	4.4902	6.1804	8.688	7.777	4.5325	6.8262
EA_G__C3orf57	9.2863	5.9049	4.4867	7.7309	8.9084	4.6794	7.6111	4.6058	4.6305	4.8902	7.5725	7.8092	4.6555	4.8895	6.7978	6.3972	7.6159	5.5729	4.2895	7.5956	4.3645	9.5034	6.3347	4.7775	8.9892	4.9538	8.019	6.9899	7.6702	6.6396	4.8998	5.106	4.8812	9.1923	8.0725	6.9367	7.0395	9.2455	4.7138
EA_G__AMOT	7.4757	6.3747	6.7421	5.7743	5.5562	6.6864	5.1458	7.2264	6.3119	6.6321	4.9711	6.104	6.3481	5.0213	5.5256	6.1404	7.617	6.0115	7.2629	7.7889	4.9164	6.1396	7.022	6.908	7.2307	4.8627	6.3627	6.935	5.8527	5.2869	5.6474	5.7734	4.8001	5.5353	5.9797	7.0603	5.2387	6.6051	6.1945
EA_G__AREG	6.2041	5.7836	6.7673	5.8584	10.9135	5.1731	6.7787	6.5017	4.8797	4.9522	6.8361	6.199	4.9694	8.1086	7.338	7.7748	5.5203	5.7802	4.7099	5.6865	4.9715	5.9791	6.5608	4.6884	5.5337	5.8989	6.7826	5.4017	5.6694	5.462	5.2824	10.2272	6.2371	5.898	6.5822	5.7593	6.9511	6.4223	6.0466
EA_G__TRIB2	6.3251	7.4633	7.6453	6.9795	7.3305	7.0461	6.2604	8.149	7.1774	8.8205	6.4106	4.9665	8.0469	7.146	7.8377	7.5341	8.184	7.7129	8.4184	8.9656	8.5709	6.1722	7.1005	8.9665	7.2008	8.0863	6.833	8.5039	7.8125	6.8634	7.1566	6.2633	6.061	7.5797	7.083	6.4467	5.2126	6.9588	7.4249
EA_G__ATG5	6.9997	6.9712	8.1483	6.861	5.9975	7.0483	6.6111	7.085	6.2811	6.9895	7.4	6.5267	7.4648	6.9034	7.6267	7.2798	10.0915	7.8168	7.6807	7.0351	6.986	6.8897	7.0841	7.0823	6.7826	7.1828	7.926	7.8402	6.3811	6.9732	7.4118	7.3608	7.4162	6.7414	6.9041	6.9702	6.6685	6.6068	7.2831
EA_G__SUSD2	10.6325	11.4387	6.1719	6.7655	7.094	5.582	7.4337	6.5795	6.7565	5.8544	8.182	10.5693	5.5116	6.6145	6.8722	7.7756	9.6472	8.8452	6.4276	6.2375	6.632	6.9248	8.1435	6.8947	6.7371	6.8246	7.9512	10.1454	9.4259	11.7924	6.2425	7.9071	5.6027	8.9238	10.8731	8.8168	6.2593	7.5585	6.4449
EA_G__GREB1	7.7266	5.1994	4.9872	8.065	9.9004	4.9192	8.3065	5.0069	4.9788	5.0048	5.6605	10.3094	5.0213	5.124	4.7545	5.1244	4.9551	5.1207	5.0989	5.1942	4.9357	8.8045	7.495	4.9269	5.5524	5.4587	10.088	5.7659	5.3925	5.4098	4.7723	5.3523	4.9276	4.9994	4.9946	7.1014	8.7221	8.5094	5.2315
EA_G__KRT80	7.039	7.9874	8.8008	6.8573	8.593	7.3834	7.596	7.8916	6.2923	5.5115	6.6546	8.7953	4.771	6.296	6.8175	8.4339	6.7786	8.3352	7.0502	6.6578	5.3198	8.2581	6.591	5.9135	7.3827	8.1626	6.9772	7.0231	5.9269	8.9574	6.4723	7.4273	8.2193	8.8584	8.1254	6.6926	7.57	7.3203	5.5589
EA_G__BMP4	6.759	4.9334	5.0114	6.0309	6.098	6.0715	7.1783	6.7259	4.6689	6.2272	4.4739	6.9521	5.1107	6.0793	7.2095	5.0103	7.2881	5.2657	6.2001	5.1243	5.8727	6.7862	6.3408	6.9458	4.7369	8.0266	6.0005	4.8624	7.5144	4.8065	4.6613	8.2492	6.0626	8.2262	6.6187	5.3941	6.9863	5.8698	5.6496
EA_G__TMTC1	4.4896	4.1975	4.0791	4.0964	4.0667	8.1638	3.7979	4.1884	5.6936	6.9863	4.0699	3.7346	5.7868	4.3432	4.0998	4.0193	4.3677	5.3318	7.6003	5.1946	5.8329	4.1876	4.29	7.7598	5.6326	4.2578	4.0151	7.1982	8.0381	4.2633	4.1865	7.6286	8.5249	4.019	4.7206	8.0459	4.3469	6.93	4.4731
EA_G__CHML	7.3051	8.0598	9.4275	6.7424	7.7308	8.2161	6.9082	8.1602	7.3331	7.0119	7.1661	5.7495	7.6763	6.6312	8.3273	7.997	7.2242	9.946	7.2647	6.6481	7.2914	7.1028	5.819	7.6941	7.7859	8.0033	7.1863	7.0993	6.6415	6.9693	6.1961	7.4021	8.5148	6.7959	6.6868	7.0402	6.6901	5.9455	7.3261
EA_G__CACNG4	8.4308	7.5358	5.5674	8.1032	9.2906	6.8087	9.2541	5.6569	5.5719	5.8529	8.0835	9.0764	5.7716	5.8549	6.1478	7.1012	7.839	6.7572	5.5176	6.431	5.6094	8.0995	8.3302	7.8307	8.431	5.7591	9.7756	8.0782	7.9557	7.3151	5.791	5.8689	5.7018	8.4194	7.8612	7.2037	8.0248	8.5048	5.6487
EA_G__IFITM3	8.0008	8.4676	8.7968	6.6997	5.8557	10.1761	5.4392	10.0522	9.5921	9.2931	7.5379	5.3662	9.9815	8.3001	8.9395	10.0223	8.1386	9.0546	8.0493	10.3647	10.1724	8.4578	8.4911	9.9472	8.0382	8.788	7.3043	6.7504	5.8982	8.2512	6.167	9.3358	9.857	4.7248	9.21	5.4554	6.7052	8.6924	5.6085
EA_G__RAB34	9.3179	5.4145	7.7069	5.3779	6.2092	8.2862	5.2527	7.8298	5.8086	7.0027	8.1715	5.2251	8.0878	8.2376	7.1519	5.3486	7.3082	5.1948	8.7784	6.9035	8.527	5.3114	4.9351	8.5876	7.1655	8.7138	5.5485	6.5644	6.2956	5.7314	8.5871	8.1814	8.8448	5.3935	5.4487	5.8463	7.3655	8.7954	7.0463
EA_G__CALD1	4.9976	5.3745	6.4921	4.0059	4.5323	6.9477	4.1231	6.8428	7.5601	8.1298	3.9074	4.2596	6.0823	5.2906	6.3946	5.1864	5.3524	7.4511	7.9533	6.2922	9.3633	4.3691	4.3982	9.1755	5.9927	6.51	5.4997	4.7735	4.7727	5.7915	6.303	6.8236	7.1648	6.5636	6.1459	5.5227	4.6722	4.2721	4.3237
EA_G__GJA7	4.8989	4.8475	6.9278	5.84	5.5942	7.4714	4.7178	8.5742	7.3874	6.8312	5.3196	4.6661	6.5742	6.9284	6.4528	6.9926	6.2159	6.8559	7.0645	7.013	7.5561	4.7611	4.9592	7.6568	5.2429	4.7212	6.6205	4.4482	5.435	4.9082	8.624	6.5147	7.1838	5.9559	5.7329	6.474	6.7178	4.9803	6.6005
EA_G__LIFR	3.1254	5.3269	7.4456	5.6366	5.5904	5.9904	6.8648	5.6356	6.7469	7.0785	6.7025	6.7629	6.2736	3.6609	4.6611	7.4623	3.3126	4.6649	6.206	6.579	8.1775	5.2909	6.2795	8.4742	4.6048	6.5072	5.5981	8.3784	3.6575	4.456	5.697	4.9695	7.9998	4.6174	4.4	4.9194	4.7245	5.909	6.6614
EA_G__DEGS2	10.094	7.8298	7.062	10.9171	11.1362	6.9738	11.1875	6.9282	7.169	7.3682	7.8178	11.8243	7.0946	7.2195	7.4204	7.132	9.1281	8.1767	6.9468	7.466	6.9471	10.052	10.3736	7.0186	11.2507	7.0805	9.9454	11.6743	10.5058	8.2788	7.3888	7.2168	7.1113	10.6843	10.3998	9.5285	10.7139	10.7919	11.6494
EA_G__PHCA	9.4805	7.0124	6.8136	6.733	6.9934	6.8958	6.8838	6.4098	7.1016	5.9372	6.1021	7.9612	6.1233	7.4588	6.4816	7.4683	6.4559	6.918	6.6104	4.7823	6.5791	6.3702	9.8663	6.8811	7.2654	7.1283	6.1298	6.2601	6.7278	6.7396	6.2054	6.767	6.9983	7.2969	7.1347	9.8195	6.9235	8.7412	4.3451
EA_G__SIDT1	5.7225	7.4447	5.3904	8.8752	8.5645	4.6729	8.5319	4.3608	4.6682	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.2688	7.114	4.5267	4.2934	6.0595	4.3148	8.5397	8.675	4.4179	8.167	4.9182	8.5383	9.0785	8.1899	7.1021	4.6199	4.8109	4.4668	7.8236	7.9261	7.9518	8.588	7.5637	7.6898
EA_G__NRP1	5.8023	6.0498	8.0452	6.71	4.9308	8.2096	4.441	8.138	8.1895	9.1956	6.0792	6.4417	4.4621	6.9841	7.1779	7.9053	8.0159	6.4355	6.616	7.5902	8.3999	6.9777	5.0405	7.6503	7.3881	7.5617	6.343	7.5409	5.0336	6.1362	8.3488	6.1973	8.7035	4.9171	5.9388	5.1546	4.6438	4.8869	4.5539
EA_G__CNKSR3	5.06	4.3108	5.5452	5.9153	5.1754	6.9733	4.262	7.7174	7.0384	6.7579	7.093	6.4602	7.8627	5.9133	5.4103	6.6012	6.5838	5.3453	5.8715	6.3588	7.1489	6.0796	5.2304	6.9354	5.1829	6.2601	6.0659	4.2492	4.7517	4.5474	6.9434	4.9648	5.893	5.3603	5.9813	5.3887	3.7367	5.9269	4.9541
EA_G__ALOX15	5.6846	5.5017	7.8356	5.2048	7.0995	5.0413	7.3458	5.794	6.049	5.0225	5.2275	6.833	5.1828	5.82	5.3026	6.9726	7.2879	5.1568	4.9275	5.9771	5.0502	7.7875	5.4194	4.8775	5.7052	5.1627	5.8205	4.748	7.5522	5.7924	4.8617	5.3688	4.8747	6.7162	6.6032	5.4903	6.5594	5.2819	5.5756
EA_G__ISOC1	7.1234	7.7312	7.7099	8.4881	7.9468	7.1505	10.1811	6.8003	8.3692	6.4391	7.8247	9.2481	8.0613	7.4609	7.6971	7.3787	7.7585	7.7394	6.4754	6.4981	7.13	9.2846	9.3326	6.4466	7.818	8.0524	8.6912	8.875	8.4946	7.982	7.6054	7.2698	7.2342	8.2947	7.5257	7.1917	8.0935	7.8404	9.2017
EA_G__WWTR1	8.5062	8.2368	8.9816	6.8254	6.4282	9.2967	6.3017	9.5252	6.9849	10.1663	7.4681	8.7618	8.6822	9.1395	10.0926	8.6425	9.9261	9.4158	10.9385	9.7446	9.7977	7.6245	5.7242	8.8946	7.0799	9.0873	7.4909	7.9722	7.2931	7.9894	10.0168	8.4116	7.8581	5.6614	7.8051	9.2749	8.2689	8.4534	7.9319
EA_G__RARA	7.7415	8.0728	6.8824	7.3062	8.5953	6.4986	8.1003	6.2955	6.8057	6.9795	6.9268	7.7523	6.3667	6.836	6.2488	6.8869	6.6594	7.1295	7.0633	6.867	6.4577	7.5889	7.6497	6.7765	7.4975	6.4896	7.2241	7.3317	7.1561	8.2712	6.7798	6.8118	6.954	7.0002	6.822	7.1679	7.721	10.1923	6.8625
EA_G__DAB2	5.6629	6.0574	6.362	4.4007	3.9271	9.6669	4.0868	7.4827	6.3865	9.0069	10.8663	10.103	5.6433	6.1758	5.0374	6.1662	4.7337	6.9188	7.4558	7.2915	9.8138	5.115	4.1987	9.5508	6.6207	7.8924	4.6273	8.6039	4.8335	6.3081	8.1656	5.948	8.5452	6.1107	7.4008	6.5954	4.5375	3.8524	6.5683
EA_G__TFF1	11.84	6.7837	4.897	11.4404	12.9215	5.4971	7.8702	4.3741	5.1241	5.0018	11.8255	12.4366	5.5277	5.3954	4.6693	5.167	8.9703	4.6936	4.9862	5.1043	4.7645	12.3462	9.3139	4.4746	11.1606	5.7316	11.3324	5.6288	8.5496	6.452	5.3551	4.8953	4.847	10.6487	5.5541	5.7562	7.7064	12.854	6.1027
EA_G__CA12	10.374	7.2275	4.013	8.3578	10.6613	4.4665	10.0681	3.8395	4.2274	6.9445	8.9946	11.4745	4.5173	5.784	5.8456	4.7064	5.8182	4.881	5.4007	5.0197	7.2481	8.5533	10.4266	4.9112	10.2303	6.35	8.8736	9.9468	9.5013	9.0564	7.9017	6.3439	8.7456	9.0545	4.6293	9.4214	10.2797	9.0996	8.3877
EA_G__PMP22	6.0959	5.1224	5.429	5.4594	4.9924	7.9781	6.3995	8.848	5.1563	7.6262	5.2112	4.8395	8.7645	5.8123	5.4972	5.4895	5.8946	7.2789	6.5533	5.0787	8.0606	8.4061	6.657	8.6806	9.0748	7.5881	7.8117	8.2058	5.4837	5.0125	7.6065	6.1094	7.5676	5.526	4.8133	6.7722	5.0781	6.394	6.6771
EA_G__DZIP1	3.8423	3.8318	3.6621	3.9976	3.6467	7.9986	3.7616	7.7736	7.865	6.4633	3.7432	3.8025	7.1699	5.7347	7.3229	3.8667	3.9119	5.2573	8.0773	5.5767	6.5828	3.9015	3.7455	8.5714	4.2862	3.9174	3.8676	3.8059	4.6561	4.3905	7.8718	4.8824	6.8542	4.2409	4.1679	4.2736	4.0125	6.6612	4.1754
EA_G__MAML2	5.1654	6.667	7.8134	4.6254	4.5892	7.6742	3.8292	7.95	6.2085	7.2799	3.5172	3.7807	8.8662	6.2387	7.5965	8.5358	8.6942	7.8364	7.5118	8.6885	7.9423	5.5006	3.9579	7.8878	6.8965	6.8569	5.7608	3.7884	4.3487	6.4097	6.6754	7.3799	7.2715	6.203	5.7587	4.7606	6.1689	4.2942	5.1283
EA_G__DLX3	5.9564	7.4632	6.5922	8.3925	7.6265	5.6094	5.938	5.6328	5.5027	4.8388	7.9765	5.8754	6.3403	5.8666	5.3924	5.3154	6.1978	6.2199	5.0285	5.6926	4.7268	7.0473	6.8724	5.288	6.4617	4.7899	7.0145	5.9772	6.8321	7.7375	5.3032	7.0645	5.2161	6.9139	6.6169	6.2	7.7697	6.3741	5.8481
EA_G__HACE1	6.2489	6.1913	7.184	6.3425	5.6273	5.867	5.9689	5.8489	6.2742	3.5867	6.6401	5.6932	6.7503	5.7821	6.5526	6.3742	9.3817	7.1327	5.922	6.4875	6.7325	6.1138	6.8469	6.205	6.2019	6.9263	6.2767	6.8818	5.5854	6.0655	5.9588	6.06	6.4395	6.1784	6.0459	6.4756	6.0242	6.6629	6.7753
EA_G__LDHB	5.2705	9.9549	3.3443	6.5869	5.9575	10.2955	3.0453	10.7181	11.0786	9.4898	2.9818	6.978	11.0733	10.9666	10.7587	2.5138	10.4313	10.2146	10.8921	8.2479	10.3377	3.0401	2.8244	10.252	10.0613	11.1245	9.6888	9.633	3.417	9.8014	10.5553	11.0504	10.9831	2.989	5.1717	10.1744	5.3941	7.9447	2.9497
EA_G__LEPREL1	5.7216	5.3689	8.7317	4.9851	4.4724	10.3012	4.557	8.9252	6.2886	8.0287	4.8272	4.6886	7.0575	7.3377	10.557	8.7823	4.9267	6.6553	7.275	10.0194	7.8041	5.2716	4.6323	7.7667	5.025	8.5047	4.5016	8.1409	5.3213	5.515	5.8187	7.5245	8.0967	4.9053	5.1145	5.3778	5.2092	5.118	4.9238
EA_G__INPP4B	7.4601	5.5609	6.5215	8.2586	7.8952	6.7976	9.0549	5.2547	3.8202	3.6908	6.6821	9.0399	6.2207	7.1384	7.9002	8.0145	4.926	6.9207	4.0702	6.683	6.1541	8.0536	8.007	6.2776	8.6376	6.7377	9.2115	8.2744	4.6256	5.9112	6.4328	7.1682	6.4642	4.5528	6.704	6.9154	7.0869	6.5131	4.7484
EA_G__RDH10	9.1517	9.0883	7.5021	6.843	6.2959	8.3037	6.7244	6.7136	5.8555	7.8794	7.7617	6.713	8.219	6.6153	7.7211	7.5158	8.3832	6.2322	6.3912	9.4819	7.3706	6.2381	6.2231	6.5457	7.55	5.9558	6.8019	7.9099	7.6223	7.884	6.3739	5.7911	5.6833	7.5739	5.9952	7.5585	6.6152	7.9319	6.5493
EA_G__STARD3	8.6038	11.0005	7.6703	11.6755	8.3238	7.704	8.3756	7.7797	7.712	8.0941	11.6862	7.7375	7.0771	8.264	7.7935	12.1044	7.9649	8.4927	8.6671	8.2598	8.272	7.7682	8.5094	7.7795	8.2495	8.4776	10.5954	8.2645	9.3549	10.7309	8.1765	7.3145	7.8384	8.3666	12.3685	7.7257	8.5737	11.2988	8.1594
EA_G__GAB2	6.5488	5.6516	5.0685	5.7538	7.2887	5.0992	5.4774	7.1803	9.1254	5.1476	5.5236	6.3058	5.4088	6.5113	7.2939	6.6694	6.5785	6.3099	5.6834	5.2341	5.3595	7.2553	8.1084	4.9912	7.2688	6.1639	6.0832	6.4576	5.9063	6.2963	6.8582	6.0527	5.5268	6.534	7.7334	6.4724	6.8633	7.2001	5.135
EA_G__GATA3	6.1846	6.0285	7.7046	9.1018	10.8993	4.9681	10.7896	5.7457	8.0649	4.7885	9.427	10.3545	5.8406	7.0576	7.0787	7.9689	9.3687	5.6591	6.5915	8.1065	4.9955	10.9892	10.6143	4.5959	9.7188	5.609	9.224	9.5855	9.916	7.2562	6.9	7.9032	5.883	10.1592	7.7068	9.5042	10.5263	10.2285	9.6733
EA_G__PITPNC1	5.9581	5.5345	5.4744	7.8044	6.3762	5.2162	6.9251	7.0212	5.1425	6.6952	6.5773	9.4228	4.747	6.4283	5.6002	7.1111	5.9105	6.5611	4.5402	6.7923	5.8769	7.2287	7.2535	7.215	6.1345	6.034	7.8241	6.7048	7.9891	6.3138	6.8045	5.0386	6.0261	6.8894	5.8866	4.687	6.4611	6.7829	7.1502
EA_G__ANKH	4.7353	6.1321	8.0863	5.4319	5.8632	7.5366	6.1278	8.4813	9.0894	8.5155	4.6888	6.49	7.8379	8.1721	8.2302	6.7129	5.1636	6.8831	6.3625	8.2345	8.8695	5.1663	7.006	7.9234	5.9965	7.4819	6.675	4.8461	5.6252	6.0369	7.6275	6.1743	8.3735	7.4034	7.0396	7.2997	4.911	7.1822	5.0068
EA_G__KIAA1324L	7.0722	7.9291	5.8406	6.1594	7.5937	3.7969	6.0241	3.5405	6.1971	3.7839	6.1411	9.4615	3.8884	6.493	3.4786	5.0165	3.8362	3.8949	7.1067	4.0078	4.4434	7.1592	7.6555	5.534	6.5206	7.1017	6.1845	7.6323	4.5317	7.5651	4.068	3.9375	7.2221	6.7877	8.2821	6.0238	7.1134	6.9685	6.0639
EA_G__ABAT	8.23	5.4464	7.4779	8.575	9.4055	5.3302	9.2967	5.496	5.4262	5.5373	7.6306	10.8312	5.688	5.6851	6.7821	6.747	5.2465	5.5203	5.3154	5.3766	4.9875	8.6121	7.7509	5.7589	7.5396	5.0792	10.0971	8.0442	7.7377	5.8369	5.7817	5.8305	5.4758	6.1131	5.8015	7.1274	7.9643	9.9256	7.7029
EA_G__ABCA3	7.4898	6.1001	5.9275	6.9381	8.2598	6.5877	8.6685	6.65	6.4291	6.0702	7.5984	7.7157	6.836	5.8417	5.8612	6.15	7.2382	6.8044	5.8351	6.2413	5.5762	7.7083	7.8356	5.9727	7.5575	6.7002	7.2912	7.0449	8.915	7.0031	6.1109	6.1814	5.8895	7.1448	6.7524	7.366	7.6447	8.529	8.656
EA_G__LOX	4.0749	4.3528	4.0982	4.4889	3.8604	11.8002	3.914	6.6246	6.7898	7.5504	3.5531	4.0064	8.533	6.0924	5.0426	3.8545	6.5508	7.0379	9.1134	6.2016	11.1703	4.1135	3.8759	8.062	4.1215	7.2851	4.4892	3.6242	4.1681	3.9021	11.4184	9.062	6.3026	3.8599	5.276	4.396	3.8898	4.255	5.2499
EA_G__DLG5	8.5367	8.2051	7.6128	7.6054	7.9137	7.4257	7.389	7.1702	8.661	7.0411	7.5975	8.4243	6.8348	8.0736	7.2262	7.4377	7.5578	7.6163	7.1961	7.3677	6.5017	8.3969	7.8307	7.1467	8.2111	7.1437	8.1074	8.0102	7.7634	8.54	7.7252	8.865	8.3913	8.8652	7.819	8.1331	8.281	7.9264	7.9025
EA_G__FGFR1	5.0629	5.3554	5.4223	7.1583	7.1868	7.3778	7.1919	5.869	9.3985	7.4098	6.7101	6.4214	7.082	5.6584	5.8466	5.71	6.7644	6.2995	8.9022	6.329	7.4693	6.4525	11.2183	7.7328	8.0974	6.7207	8.2795	6.8672	6.3893	5.584	7.5019	5.7406	6.9605	5.9161	6.5106	7.1753	6.2782	7.357	7.4174
EA_G__DSE	6.5087	4.9218	7.4749	5.6022	4.7233	8.355	4.9347	7.6562	6.4394	6.6805	5.0587	4.8985	7.5324	6.6408	7.9313	5.3415	7.9374	7.4554	7.7246	8.003	8.3474	5.7104	5.3844	8.2435	5.5075	7.6652	6.1001	5.1929	5.5859	4.9368	7.761	8.7834	8.6778	5.2952	5.4813	5.2387	5.0241	5.9327	4.7765
EA_G__ACTG2	5.7094	6.42	8.1969	5.9149	7.4512	6.5615	7.8168	7.2358	6.044	9.6112	6.8146	6.0135	8.13	6.1929	6.7957	6.5218	6.5331	11.4434	7.5453	6.4375	9.7153	7.6086	6.4451	7.0741	9.1921	6.0054	8.2602	6.1646	6.5419	6.9759	6.7062	6.2758	7.635	5.896	6.1101	6.5448	6.3778	6.1246	5.9909
EA_G__UNC13D	7.2054	8.5678	8.403	6.589	8	5.9315	6.46	7.585	6.7512	6.1501	6.4098	7.9107	6.1484	7.6261	6.5748	8.1147	6.6524	6.8474	5.9809	7.1011	5.9956	7.1245	6.1055	6.002	7.0397	8.6899	7.4076	6.6057	6.9214	9.2958	6.2236	7.8169	6.2601	6.8333	6.4987	7.0049	7.8597	7.6537	6.2393
EA_G__KIAA0040	7.8069	7.4789	6.7956	8.0575	9.0121	3.8	8.4048	6.4704	6.2146	3.5663	7.7336	8.3521	5.6685	8.0741	7.745	7.301	6.8134	6.2849	4.5853	7.7369	4.0879	6.7455	8.3812	4.2463	7.4731	4.9457	6.8716	7.5622	7.7957	7.5472	3.741	6.2459	5.6792	7.6424	7.7124	8.7967	7.0601	8.0289	7.7549
EA_G__ITGA5	6.3772	6.5342	7.6128	5.4102	7.6442	7.8303	4.9929	6.7368	7.765	9.1896	7.0523	5.2835	7.3501	8.4005	6.6512	8.1923	7.09	7.8664	9.0643	8.8209	11.1238	6.3823	6.1907	8.059	6.6655	7.7972	6.2126	7.0346	5.9778	6.1176	8.4345	7.5599	10.4308	5.1878	6.8545	7.1407	6.7302	6.2623	5.62
EA_G__SYK	6.4062	5.9849	7.3582	7.3327	7.0955	4.7423	5.0707	5.0835	6.2633	4.4833	4.4849	6.8967	4.6334	7.5505	7.6245	8.463	6.9189	8.076	4.409	4.8371	4.7997	6.8805	4.6771	4.5247	7.3438	4.6861	6.3931	4.4987	5.1463	7.264	4.8881	4.8966	4.8173	5.6372	7.2579	7.2591	6.9358	5.5448	6.3764
EA_G__AKR1B1	4.6938	6.0548	11.1521	4.8622	4.4778	8.2157	4.4619	4.565	6.3662	10.5992	4.6497	6.9879	7.0157	8.1308	9.1844	5.175	4.7671	8.4129	9.049	9.0045	9.0431	5.0227	4.6497	8.4728	6.866	8.1635	4.946	6.5897	5.4319	5.2901	8.4605	9.627	10.232	4.7564	4.8857	5.1681	5.0863	4.8373	4.9029
