Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
EA_G__IL27RA	6.0024	6.3254	5.0221	5.7103	7.1938	6.6624	8.022	6.8401	5.94	5.6764	7.2059	6.6802	7.4566	5.1144	6.2494	6.157	7.1711	5.8236	6.0306	6.2951	5.0143	6.6472	5.6912	5.1369	6.1566	5.3116	5.9985	7.3052	5.8023	5.2485	4.9757	5.5587	5.6416	6.8361	6.5847
EA_G__ALDH3B2	7.8751	7.5805	11.3608	8.8077	5.8866	9.7334	6.4255	6.1384	9.5823	7.6199	7.7955	6.3071	6.4469	7.0901	10.2674	6.047	6.1466	8.5602	10.4301	5.6515	9.014	5.9874	10.8628	9.2617	9.5867	8.9624	6.0873	8.4091	5.947	8.3315	10.3339	9.1412	9.2081	9.9559	8.9847
EA_G__ACSL1	8.4285	8.6513	9.8595	7.938	7.0775	9.3158	7.6291	8.2128	9.6152	8.8888	7.4057	6.6016	8.5239	8.7204	8.4505	6.2068	9.8073	7.6201	7.7769	7.2449	9.0405	7.5045	8.814	8.3192	9.1933	8.0645	6.585	9.5051	8.4462	8.6173	9.4908	10.3861	8.5527	7.1048	6.8911
EA_G__ENC1	7.2387	7.4225	6.0781	6.6075	6.1923	6.5607	7.7214	6.9302	5.3001	6.4784	5.3858	6.397	7.205	7.3056	7.5081	7.9648	7.3349	5.7503	5.8872	7.5025	7.3985	7.1588	6.3733	7.7425	5.4647	6.6838	5.7562	5.5983	6.3036	7.1623	6.8877	5.973	5.7431	6.3593	5.0867
EA_G__CUL4B	6.6142	8.4121	6.2287	6.8128	9.3472	7.0256	8.1315	7.686	7.6102	7.6919	7.0614	6.7863	6.5816	7.5829	7.2735	10.0552	7.1003	6.5622	7.0753	8.6142	6.8373	7.2966	6.404	7.2378	6.5199	6.8767	7.1544	6.4288	6.9163	6.5287	6.3816	6.6166	7.0476	7.0727	6.9907
EA_G__PSCA	8.6778	7.7485	7.4204	6.1323	6.2269	6.1241	5.9762	6.0065	8.8023	6.0835	6.1892	6.0919	5.9439	6.6586	7.1563	6.2267	6.4924	6.978	6.1779	6.272	8.5062	6.3328	9.3354	7.9842	6.881	7.2737	6.4886	6.825	6.8352	8.2749	6.7703	7.561	6.1518	5.9503	6.0552
EA_G__TMEPAI	9.0313	9.859	9.54	8.6064	6.2846	7.0365	9.0017	8.1741	8.9912	5.7617	5.8511	7.0375	8.3055	9.528	7.3319	7.7737	7.5938	7.2926	7.431	8.911	8.2193	5.7113	7.5478	8.244	8.6251	9.7532	8.1357	8.1942	6.3423	8.011	8.9255	7.8324	8.2315	7.8687	6.9058
EA_G__DEPDC6	7.4503	5.2717	9.1632	7.448	4.9752	7.5121	6.4015	7.052	8.3884	8.0948	6.8441	4.7516	5.8902	5.8436	8.5968	6.0457	7.4547	6.8396	8.225	7.3615	8.3302	5.541	9.0918	9.6198	7.432	8.03	6.4449	6.1382	5.6161	7.127	9.8221	6.946	8.5831	6.7683	7.0533
EA_G__SYT8	6.8303	7.5678	6.44	6.5346	6.4279	6.1642	6.2781	6.1181	6.3438	6.6819	6.2913	6.6771	6.3662	7.5477	6.5741	6.0903	6.5336	6.6102	6.319	6.0314	9.1213	6.273	6.4885	5.9924	7.0635	8.2657	6.3503	6.5691	6.5606	6.3762	7.982	7.136	7.0497	6.2935	6.5223
EA_G__SLC16A1	4.1518	8.7535	4.621	5.0518	8.3945	6.9479	8.2121	8.0753	4.1803	6.0711	8.1756	8.6169	9.6833	7.5445	4.3803	9.301	7.8102	6.6982	6.7496	8.5674	5.5971	4.2042	4.7554	9.2031	5.243	5.3943	8.0807	8.4519	8.8065	6.2744	5.3618	6.7559	3.8845	5.3972	7.3424
EA_G__SCGB2A2	12.6118	3.5533	8.7434	4.9163	4.5575	4.7525	3.9114	4.2876	8.0848	9.2045	4.3656	4.1009	3.8167	4.6634	4.8143	3.2776	3.7315	3.9797	4.2224	3.7128	11.0566	3.8864	11.9379	13.4059	4.4485	8.9496	8.726	3.6321	4.6471	4.4829	13.3917	12.4996	10.5325	5.6038	6.2511
EA_G__TPD52	5.9209	5.7277	7.0653	6.6962	5.3719	6.8489	6.829	5.1704	7.2799	6.5672	7.0081	5.6315	6.5702	6.5929	6.491	5.8681	5.9646	6.3341	6.5048	4.2657	5.5925	5.3093	6.894	6.7619	6.1522	8.3772	5.8053	5.8745	5.9066	6.8577	7.4252	6.5493	7.5175	7.2785	6.8565
EA_G__C2orf54	8.3218	6.6126	6.6129	6.4191	5.3623	6.4403	6.3795	5.2559	7.0081	6.0254	5.6238	5.8691	6.2319	6.7258	7.7521	5.1584	7.085	6.7537	5.7166	5.3858	8.0504	5.5605	7.7213	5.2486	7.7989	9.4912	5.4913	5.8188	5.4747	5.8124	8.1237	8.5672	8.1165	8.5209	5.6076
EA_G__NUPR1	7.623	7.3888	8.3409	5.8831	7.217	8.2699	6.308	7.7097	7.5236	6.4053	6.3374	5.9057	6.0186	6.5507	7.4957	7.3003	8.2083	7.4375	5.6338	5.9458	6.6051	5.727	7.9059	8.8506	8.5515	6.9661	8.2408	6.7378	5.8168	5.8454	9.4081	7.3405	7.5702	8.0146	5.9202
EA_G__KREMEN1	6.5585	6.0424	8.046	7.4854	6.2366	6.3047	7.6357	7.7238	9.2185	7.0632	7.6468	7.082	6.9969	6.8058	7.5835	6.5842	5.4202	7.2185	7.4166	7.088	8.303	6.2457	9.67	7.3885	7.2974	6.9629	6.9396	6.5568	6.1826	7.9062	7.6804	7.3377	8.4315	8.2097	7.8019
EA_G__FOXP4	7.8848	7.8757	8.8731	8.1974	7.175	8.4056	7.4526	7.2738	8.346	7.6693	7.8345	7.7831	8.3282	7.7829	7.7087	7.0315	8.0498	8.1031	8.0666	7.6763	8.2271	7.6686	8.8877	8.4425	8.3203	7.9428	7.3333	7.9073	7.5409	8.8581	8.3212	7.5171	8.0961	8.1019	7.3865
EA_G__HIST1H3H	8.0395	9.9021	7.9551	8.3334	7.9503	9.9355	7.9839	8.6948	8.1968	9.514	5.0676	8.5702	8.9289	8.4732	10.4743	9.1569	8.4908	9.1932	8.7539	7.6105	4.8362	7.5247	10.4119	8.6725	8.9047	8.3972	8.2755	7.9758	8.375	8.8441	6.6582	4.9978	6.5902	8.2874	8.3204
EA_G__CHST11	5.5933	7.6473	6.3925	5.3695	5.6775	4.7302	6.1573	7.1552	5.6205	5.3228	8.1747	8.4076	8.4095	7.4488	8.8412	6.4102	5.7773	6.2274	5.2161	7.4221	7.3829	7.2048	8.3594	5.2322	7.6196	8.0307	9.1393	6.8942	7.0447	7.6509	6.9587	5.4991	5.7816	6.1174	5.905
EA_G__RPS6KA2	7.2247	6.4795	6.7426	6.0129	4.9791	5.3537	6.4925	6.2883	6.2732	4.9725	5.8669	6.45	6.4346	7.5155	5.9798	5.2436	6.5689	6.5766	6.9687	5.1484	7.0255	6.8695	6.9008	4.9655	5.6143	7.5479	5.5176	7.4256	7.175	7.7108	8.3379	6.5329	6.7964	5.4018	6.1544
EA_G__FRMD6	6.6327	6.7991	5.8569	6.512	8.4921	7.1865	7.9292	7.5991	5.8319	5.2792	4.6289	7.4696	7.3778	7.3328	5.7482	8.1602	5.44	6.187	6.3911	8.9032	6.3751	8.4847	5.2365	6.2746	5.5398	4.9049	7.829	6.5761	8.0209	6.1144	6.2193	5.4363	5.7171	5.2584	5.2336
EA_G__GGT1	7.5575	6.9163	7.1065	7.2693	5.3711	7.6542	5.7143	5.8255	8.3686	6.7667	5.8302	6.2027	5.5974	6.1793	7.0078	5.6441	6.8205	6.2737	7.403	6.0052	7.7936	6.8593	9.9959	6.1859	7.8444	7.6843	6.2313	5.996	6.5788	5.9141	7.6846	7.3051	6.8846	9.633	5.9641
