Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	UACC893	ZR751	ZR75B
EA_G__SLFN11	7.3239	3.4401	6.6335	8.8063	7.9094	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.7642	3.9415	3.8847	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	3.8369	5.043	7.1813	3.6201	7.8717	3.9968	7.7132	4.9768	6.3828	3.8912	4.3298	8.1337	4.0513	8.2407	3.8951	3.6617	3.6138
EA_G__EGR1	8.7098	6.3103	8.1336	7.8221	7.8819	6.6678	6.5339	6.5598	6.3202	6.1111	6.802	7.8476	7.4299	7.0737	7.3802	6.53	7.0966	8.2822	7.5578	7.8292	7.87	7.7604	7.3577	6.6488	7.4059	8.9551	6.8846	6.5683	6.8573	6.7538	6.4272	8.5028	8.2034	6.8387	6.121	6.7924	6.676	5.9809	6.9012
EA_G__NRG1	5.8063	5.5086	5.5075	9.3613	7.7431	5.8931	5.5782	5.8635	5.3613	5.8129	5.5653	8.4982	7.2946	5.5829	5.5363	5.6927	6.4332	7.1422	5.7786	8.0543	5.844	5.69	5.5607	5.7692	7.2949	7.4453	5.3365	6.091	6.8776	6.1522	5.3311	7.7485	6.1338	8.335	5.5868	5.9021	5.6001	5.5522	5.7501
EA_G__MGAT4A	7.2337	7.9405	6.6441	3.5648	3.4187	6.4377	7.0051	5.7811	8.3426	8.7133	3.9622	4.1821	6.597	7.0333	7.4289	7.2257	7.3125	6.0781	7.3453	3.4221	6.2895	7.3787	7.4632	4.2994	7.5161	4.4567	7.106	7.0817	5.0159	5.7758	7.1053	4.1153	5.0296	3.4517	7.4609	6.3828	8.6996	5.7478	4.6306
EA_G__MYEOV	7.8599	5.6292	5.9338	5.6312	5.9395	9.0368	6.1586	5.3858	5.7302	5.4216	5.649	8.6205	8.5565	11.0704	5.9399	7.598	8.9945	5.5946	6.2493	5.5355	6.6353	6.097	7.2969	5.5781	9.2048	8.9754	5.7425	6.6885	5.6016	6.7278	7.9923	6.8739	6.0402	7.9523	6.7497	8.0743	5.9132	5.89	5.7398
EA_G__TUBA4A	7.9277	6.3558	7.2991	6.9787	8.736	10.2872	5.4635	9.339	8.4505	7.3348	5.2554	9.8507	9.0392	9.883	7.864	6.864	6.8061	6.929	9.6147	5.9611	6.2718	5.9367	8.2313	5.3819	7.3407	6.8341	6.603	8.5443	6.1101	7.9706	6.0091	7.6902	9.8575	10.3707	9.5426	8.7304	7.9954	8.2523	9.6581
EA_G__FMOD	4.7456	8.6309	4.5524	4.8797	4.6297	4.4157	4.5959	4.4647	4.5711	4.2652	4.1456	4.4406	4.33	4.4191	5.2278	5.0278	4.4373	4.4526	5.1068	4.315	4.9047	4.6832	4.2507	4.333	8.337	4.653	10.2266	9.4424	4.2816	7.4642	4.1649	4.4797	4.8205	4.5904	4.1968	9.5573	8.0917	9.7217	5.579
EA_G__ZNF570	3.8371	7.0008	6.7236	6.3329	5.5025	5.7485	6.7809	6.9308	7.3444	7.4409	6.1684	4.5992	5.8194	5.9081	8.6266	6.7966	6.4487	7.2405	5.5653	4.738	5.9587	5.7712	7.1277	7.7853	6.7452	3.8864	6.2436	6.9029	5.4367	6.1162	6.7299	6.4307	5.2091	5.6027	5.2619	5.153	6.3467	3.7192	4.5389
EA_G__MEX3A	6.1795	6.7054	8.166	6.6277	6.1314	5.6068	8.748	6.6212	4.9417	5.7638	7.7913	6.1806	5.7301	5.8253	8.1566	6.9167	6.2928	7.4725	6.6572	5.8291	6.5326	6.7018	6.6933	6.635	6.7528	5.482	5.7599	5.5121	6.251	6.199	6.9799	5.51	5.887	5.9952	6.5633	5.6607	7.8249	5.9397	6.663
EA_G__SORD	9.0821	8.6767	8.9605	8.9932	8.8899	9.4886	8.7348	8.0589	8.8037	7.8133	10.5709	9.7493	8.4723	8.9354	8.4834	8.5646	8.585	8.6792	7.7384	7.3303	8.9495	9.0296	9.4353	7.871	8.6335	9.8563	9.5153	9.3114	9.0177	10.7189	8.6238	8.5516	9.5296	9.5634	8.8721	8.9652	10.1453	11.4932	10.6901
EA_G__TNS4	9.7714	5.1035	5.6707	4.9406	5.3083	8.8222	4.9742	4.8131	8.2169	4.8104	5.0797	9.8753	7.1148	8.9879	5.137	5.6328	8.1433	5.1679	5.5463	4.9638	5.3947	5.5514	7.6197	5.0328	8.5011	5.5462	5.9443	8.2497	4.9635	5.8093	6.1308	5.1079	9.5218	5.6571	6.1038	8.6614	7.8129	6.6947	5.159
EA_G__SDC2	5.2774	6.6995	6.1249	5.2366	6.927	9.0296	6.5592	8.762	6.3787	10.0049	7.7125	5.2973	5.1487	4.9227	6.7622	8.355	7.8557	10.219	6.1073	9.8266	5.5128	5.6541	8.8078	11.0232	7.0777	8.134	5.3263	6.5136	7.0315	6.5579	6.509	6.1784	6.1023	5.6438	7.483	5.2344	5.2038	5.6634	6.5775
EA_G__TBC1D2	7.7515	6.9082	7.0838	8.3025	9.1583	9.3809	5.8309	6.9009	7.5223	6.8364	6.3296	8.9686	9.385	8.6838	7.2801	6.9966	8.3051	7.0549	6.7734	7.2753	7.0387	7.1429	6.7825	7.3263	7.583	7.2943	6.9501	7.7684	8.2633	7.1429	7.5591	7.7864	8.2385	8.2072	7.9272	7.9677	7.4983	7.4552	6.7711
EA_G__DEPDC6	6.6941	9.1632	7.448	4.9752	5.0898	6.4015	6.416	7.052	8.3884	8.0948	6.8441	4.7516	5.8902	5.8436	7.74	8.5968	6.2251	6.0457	7.4547	9.2139	6.8396	7.695	8.225	7.3615	8.3302	5.541	9.0918	9.6198	5.3269	7.432	7.9602	6.4449	6.1382	5.6161	7.127	6.946	8.9788	6.7683	7.0533
EA_G__PAR5	5.5575	7.0457	6.1032	4.1781	5.8183	7.644	3.7977	4.7074	4.3404	3.9709	4.176	7.2172	7.0402	4.4654	4.0041	7.4913	7.5145	7.5487	3.8751	5.1615	4.3599	3.9022	5.156	7.8936	6.1612	4.0247	7.6116	7.5501	7.0344	6.749	3.6227	8.4151	6.7324	6.4475	4.5124	4.9471	7.1031	7.188	6.7668
EA_G__ZNF91	3.247	7.8296	7.4681	6.727	4.3008	3.3515	7.7064	5.8109	8.4976	8.1863	5.334	7.118	5.7455	6.6532	6.9867	5.1995	6.3693	6.45	6.2166	5.176	6.9134	7.1203	7.7508	7.1255	6.4354	4.4042	7.5935	7.4691	5.4652	5.4573	6.641	6.2806	7.0586	4.4679	7.0333	5.2976	7.2113	6.8157	4.688
EA_G__ZNF506	4.8443	7.1802	7.3429	6.4073	3.1887	3.6646	4.7562	6.8788	7.9627	8.1863	6.7128	3.9773	6.3496	3.8983	7.3109	6.9906	3.5947	7.0097	6.1968	4.5215	4.4884	5.4826	7.011	7.0929	6.7332	3.2153	7.0467	6.741	5.9633	5.752	6.7587	4.2806	6.8857	4.7555	6.524	4.1693	6.797	3.9286	5.7982
EA_G__LAMA3	5.5579	4.2184	5.7869	5.4644	5.0154	8.2205	4.7544	5.0204	4.6329	6.6558	4.3638	7.0316	7.6528	7.2159	4.4619	6.1338	7.564	4.7692	7.0691	4.2558	4.6036	5.0835	6.5762	4.5143	5.1434	4.4574	5.8823	6.1132	5.5636	5.0278	4.7278	6.1251	7.4765	6.2387	4.6469	5.0869	4.6328	6.2837	6.6314
EA_G__GRB10	6.3402	7.4349	7.4912	6.1183	6.3122	6.2385	9.7698	7.8265	6.5872	7.3059	7.4586	5.6625	5.7046	7.6618	7.4864	7.3268	5.3412	7.5862	7.1859	8.4033	6.2182	5.7537	8.517	7.7012	5.8997	7.533	6.5659	8.0593	8.0676	5.8884	7.5212	6.6428	5.2726	8.0926	6.372	6.1759	7.2275	5.6585	5.8785
EA_G__IFITM2	8.1147	4.5415	6.3829	5.6913	9.3593	6.9494	6.8828	6.0732	7.5634	4.3513	5.6822	6.9007	5.7363	8.7488	3.6732	8.5305	6.9633	6.0781	6.7589	8.3159	7.8884	7.9178	7.9177	7.2315	7.7071	8.1399	4.9329	7.5251	5.1565	7.3216	8.0551	8.4727	9.0183	8.8473	4.1599	3.989	5.5741	6.9544	7.8599
EA_G__PLAC8	4.3784	4.6404	4.3999	10.3303	8.0599	5.8883	4.8316	4.5305	4.5206	4.5626	5.6797	6.7942	9.6931	8.6522	4.341	4.9466	4.7212	5.0038	5.431	6.1799	5.5596	4.9022	3.9733	8.1083	7.0288	10.2787	4.2949	5.6506	4.6907	5.2538	5.3586	5.0214	8.0194	10.047	7.6014	7.0826	4.5064	4.2791	4.7688
EA_G__SLC24A3	5.8567	7.6921	8.927	4.9069	4.916	5.4026	8.4196	5.6591	7.088	7.3408	6.854	5.1651	4.81	5.1148	6.8799	7.4995	5.2071	4.6949	7.2516	7.5909	6.3113	7.6462	7.4927	4.6514	6.4122	4.8684	7.4147	6.5707	4.8829	7.3839	6.6344	4.7718	5.043	4.925	7.853	7.3459	6.4428	6.9271	6.0728
EA_G__C20orf42	4.7787	3.8664	5.7135	6.0366	5.3522	7.5292	6.0665	4.1794	3.3863	5.1534	6.995	8.7192	9.0772	8.2143	3.7099	4.6405	6.635	6.317	5.5793	5.9733	3.838	3.8146	3.6969	3.6306	6.0091	7.1876	3.542	4.684	4.3752	4.2703	5.5706	5.3947	7.4157	7.0976	4.1238	3.7979	3.6135	3.5256	6.1723
EA_G__DSG3	4.2565	4.0172	3.8182	4.3784	4.3493	10.2052	4.0526	4.2027	3.8609	3.9505	4.0253	6.6527	7.0484	4.0715	4.0935	3.9924	5.6586	6.5914	6.9884	4.0794	4.3263	4.1693	4.1004	3.9849	4.5763	4.1668	3.8874	4.0615	4.0862	4.9081	3.8775	4.0574	8.3498	4.287	4.2971	4.4071	4.1183	4.1173	4.3099
EA_G__PRKAR2B	4.751	6.673	7.3892	4.2612	5.7103	6.1629	5.6519	5.6035	7.3352	8.2984	6.7023	3.924	7.0818	5.0653	4.5253	7.3375	6.4084	5.38	8.6228	5.2452	7.008	6.7479	8.6709	6.3269	7.4685	5.5951	6.3291	4.8747	6.2449	4.7273	7.7586	6.4866	4.6942	3.6612	6.1377	5.7235	7.489	6.823	6.4128
EA_G__PNPO	8.1562	8.2753	8.9159	7.7222	8.8163	10.6234	7.8616	7.9387	11.3371	8.8667	8.2731	8.2194	8.6054	8.5096	9.0508	8.3666	5.1365	8.9765	8.508	8.3284	9.3787	9.8038	8.6813	7.5153	8.7336	8.4429	9.8215	8.2369	7.4335	9.3371	8.261	8.2333	8.4208	8.7819	7.4562	9.2944	8.1914	9.8133	10.073
EA_G__REEP1	5.2776	7.7187	8.1646	4.2074	5.3723	5.0386	5.2532	6.9734	8.0607	5.8655	6.3005	4.2921	4.878	4.814	4.2225	7.0192	5.5482	5.1596	4.3844	4.5623	5.2159	5.6446	6.8614	7.4545	5.2399	4.8001	7.4304	4.2083	6.702	6.0434	6.181	4.3189	4.6422	4.2838	7.0726	4.6808	4.8525	6.1664	5.9645
EA_G__PDLIM1	8.5649	9.0247	8.5307	10.6521	9.2359	9.361	8.0931	4.9986	6.3473	8.5125	8.3905	10.9374	9.6207	10.031	5.0131	10.0352	8.1048	7.1304	9.4986	8.2584	8.0746	8.409	5.1131	9.1069	8.796	8.772	9.0652	7.6642	8.5991	5.5511	8.6526	7.5068	9.5682	9.727	6.6513	6.7309	9.1823	8.6279	7.9777
EA_G__FNBP1L	8.5289	8.4539	8.351	7.0591	5.9068	6.7787	8.6686	8.0961	8.2637	8.7931	7.2188	5.7429	7.8353	7.8897	8.8583	8.3303	8.2916	8.1014	7.8392	6.9948	7.4318	6.9272	9.038	7.6996	5.3207	7.3964	7.8818	8.683	6.2838	7.6256	8.1198	7.5481	7.6881	4.6379	8.162	8.0922	8.8764	7.8445	8.0693
EA_G__RCAN1	7.276	5.9413	6.4002	7.1087	6.9369	7.2862	6.3657	5.7634	6.2422	6.0939	8.7301	5.979	6.7756	7.0026	6.3005	6.7504	6.2905	7.4835	8.3032	6.4474	6.406	5.9538	5.8937	7.2709	8.4988	6.5914	6.3447	7.4459	6.6152	6.391	9.031	7.2268	6.5082	7.1898	6.2648	6.6532	6.087	6.7413	6.1417
EA_G__ETS2	8.1544	5.9882	6.7044	7.6179	8.6726	9.8797	4.4996	6.946	4.4589	6.0857	8.0416	9.1314	8.521	9.0216	4.9514	7.524	7.3306	7.2601	7.5177	8.7817	7.6743	7.6445	5.9571	7.8418	7.4479	7.4919	6.9607	4.9855	8.4996	6.1512	8.0778	9.6944	8.9333	9.2659	6.9815	8.1139	6.7168	6.2789	6.8801
EA_G__C19orf21	9.4483	8.7564	8.9369	5.9232	5.9774	8.5302	5.5468	5.8788	9.3517	5.2243	6.8438	8.0179	8.5636	8.8702	8.1843	9.7186	5.4781	5.5555	6.6279	5.5706	8.7843	8.5778	8.8654	5.7745	9.6936	7.9411	8.8758	8.9668	7.1158	6.591	5.886	5.9944	6.0195	5.6263	8.618	8.3524	8.3519	8.8792	9.0596
EA_G__EHD2	7.175	6.3603	5.9076	9.1305	9.2984	8.6393	6.4028	8.256	6.0272	6.5969	6.0329	8.7643	7.588	8.5066	7.2154	7.8595	7.7524	9.2252	8.1121	9.9391	6.6247	6.7547	7.943	8.9681	7.5343	7.6772	6.0786	8.2494	6.2251	7.1402	6.3427	8.4964	8.0041	9.1996	6.4192	9.2335	6.3061	6.9207	6.7111
EA_G__GPX3	7.674	4.74	5.4562	4.6798	5.0333	4.8467	5.0002	4.8887	7.2128	5.9978	5.1039	8.1789	7.909	5.1258	4.6239	5.1499	4.6263	6.2864	5.1306	4.8137	6.7304	7.1046	5.9258	5.8952	5.6241	6.3043	6.8691	6.8519	4.6925	5.3461	4.12	4.8553	5.1436	5.1288	4.6904	5.1866	4.8969	4.8937	4.8702
EA_G__CXCL1	5.773	5.2495	5.4843	8.6757	6.1395	8.9861	5.6913	5.6857	5.6354	5.3001	6.2977	7.2266	8.0653	5.8269	5.4469	5.7465	5.7099	8.792	6.8879	5.3542	5.4661	5.6147	5.6269	6.921	6.1869	5.8693	5.6813	5.2917	8.0614	6.2812	5.7624	8.2351	11.2877	6.2625	5.2772	5.8319	5.6976	5.1903	5.5626
EA_G__RAC2	5.6209	5.3227	5.6073	5.1696	6.3337	7.043	5.0512	5.4865	5.0158	5.0474	7.5436	8.3792	5.9929	7.7423	5.2457	5.1461	5.2038	6.0184	7.7638	7.9834	5.2047	5.1327	6.7637	4.9453	6.1608	8.3363	5.6226	6.0911	5.2375	5.6618	6.3913	5.461	7.7379	7.9191	5.1585	5.3857	5.3709	5.8702	5.2235
EA_G__PHGDH	9.7155	10.4041	7.4956	11.0193	10.6021	10.073	11.4252	11.585	10.1518	10.5835	10.268	10.1517	10.5352	9.8114	10.2124	9.2242	9.5149	10.987	11.6377	10.0881	11.2146	10.3288	6.3836	10.2162	8.4036	8.8862	10.2948	10.2975	11.6344	10.5765	12.0047	11.5833	10.4226	9.2939	11.8037	10.0412	10.3705	10.0767	9.4402
EA_G__HERC6	6.4269	6.1914	7.9639	3.7649	4.3949	7.1791	6.4063	4.4647	4.5819	5.5284	7.0567	6.7139	9.0294	8.7262	5.0289	6.737	5.4638	6.0253	8.8103	4.0118	5.8325	5.072	6.6072	6.1159	6.8087	7.4062	6.2798	7.4982	4.8458	4.6428	5.4188	5.942	7.0172	5.9907	4.5939	7.0511	6.1333	4.7814	5.8791
EA_G__IKZF5	6.6157	6.6624	6.9522	6.6779	6.804	7.3418	6.4121	7.1601	7.0417	6.993	6.6619	7.3469	7.2332	6.3206	6.303	6.6884	6.4935	6.869	6.1927	6.3499	6.632	6.6328	7.1656	6.4243	6.7709	6.6738	7.5747	7.753	6.9829	6.5253	6.4308	6.4895	6.5585	7.1344	6.9838	10.8887	6.53	7.1312	6.6628
EA_G__PPL	8.3163	7.29	7.6599	5.3306	5.6331	7.8006	6.2165	5.6216	6.601	6.5671	5.4379	7.0517	7.2264	7.8968	7.063	8.1217	5.8007	5.6191	8.288	5.1831	7.5369	6.8952	6.4713	5.236	7.0802	5.2157	7.6706	6.95	5.5118	6.662	4.9366	6.5551	7.4703	5.613	7.157	7.1009	7.5755	6.6334	6.7443
EA_G__AMIGO2	5.9431	5.7276	6.6004	7.6002	6.1173	6.3002	4.3864	7.5383	6.3951	6.1074	4.0049	7.5771	6.8291	6.8701	5.5431	5.3816	6.2299	6.9895	5.2112	6.5632	5.7651	6.3204	5.9356	6.9502	5.9428	8.2119	6.5058	6.0749	6.465	6.2811	6.5347	9.0508	8.0812	7.7022	6.2339	5.5583	5.9377	7.4356	5.6362
EA_G__ZNF625	3.9017	7.6618	6.0715	6.9551	6.2998	3.8607	6.9674	6.8694	7.2099	6.2266	3.8224	4.4074	5.8433	4.3393	7.2085	6.5772	4.1238	6.7356	3.965	4.5409	4.1474	4.7414	6.8463	6.9807	6.1506	3.646	6.6733	4.1284	5.759	5.1304	7.1262	5.6741	3.82	5.0868	6.3827	6.3003	4.9467	4.8614	4.019
EA_G__MT1JP	6.6321	6.2727	6.3985	6.9116	6.9877	6.6193	5.8113	6.6685	6.5757	6.7785	5.8586	7.179	7.6138	7.8824	5.8863	6.3952	7.5047	6.5983	7.2695	7.4192	6.4199	6.6983	5.8912	6.5937	6.2681	8.0383	6.3704	7.7117	7.0822	6.9775	6.1844	8.626	8.2754	8.4374	6.9914	8.0625	6.2701	6.591	5.6863
EA_G__BGN	6.2924	6.4175	7.254	6.3829	6.537	6.6761	11.3189	12.6155	5.9445	8.6713	8.5505	6.821	6.097	6.304	7.0738	6.4282	6.1757	7.7194	7.9807	10.5772	6.5835	6.4677	6.8554	10.4294	6.6774	6.258	6.6293	6.075	6.8677	7.3676	6.293	6.4305	9.5324	6.2494	6.297	6.7846	7.3011	6.515	6.373
EA_G__KIAA0953	7.1466	6.4823	6.4155	5.2019	5.5206	5.0737	5.2215	5.2114	7.1887	6.4801	6.417	5.2006	4.9367	5.1337	7.245	6.7991	5.5015	4.9454	5.1521	4.9522	6.5841	7.1799	7.1045	6.3501	6.4431	5.3853	6.697	5.4274	6.6405	6.3729	5.455	5.9187	5.1845	5.2015	7.2702	6.2853	6.6109	6.0943	5.5729
EA_G__CPT1A	9.7015	9.5527	8.8672	8.3415	7.4179	8.2157	5.0064	7.7151	8.4611	7.485	8.2409	8.9857	8.4221	8.6628	8.1331	8.8196	7.7552	7.8873	7.7419	7.9604	9.2672	9.1785	10.0054	7.8197	10.1675	7.996	9.5613	10.951	8.3077	7.5483	8.1189	7.9403	8.8719	6.8117	7.7292	10.2412	9.2662	9.6458	9.9982
EA_G__EDG3	6.934	10.4128	9.7139	6.3952	8.6075	8.0358	6.8443	8.9643	9.1369	8.9153	7.8993	5.3846	7.8087	9.1444	9.3102	7.1815	7.2726	8.8852	8.5981	8.5947	8.383	8.9758	8.7868	9.7428	8.7596	7.7877	9.4427	8.5052	9.2437	8.8173	7.4434	7.9986	8.4006	7.2288	9.8528	8.3141	8.45	8.9381	8.2089
EA_G__CHAC1	6.8948	6.8373	6.0799	7.8801	6.779	7.3749	7.5149	7.6317	7.4711	6.3025	6.3981	7.9541	7.0921	6.7527	7.6918	6.156	6.4615	6.6071	8.4346	7.2855	8.1311	8.0203	6.3289	7.28	7.068	7.5078	6.4666	7.1311	7.9951	7.937	8.6301	9.1523	7.1693	6.6026	10.1926	5.765	8.3474	6.0084	5.5164
EA_G__TGM2	6.0616	5.7179	5.6685	5.8302	7.4289	5.6804	6.1347	6.0938	5.4613	5.7582	5.7239	6.3815	8.1771	9.5003	5.9637	6.2242	7.0675	6.8345	6.4743	7.0627	6.2897	5.9839	5.9406	5.63	6.9053	7.5554	5.7424	5.7822	7.4928	6.6473	5.6207	6.5515	7.7965	7.8061	5.8887	6.5328	5.8599	5.812	5.7594
EA_G__ROR2	5.0366	5.0581	5.6659	5.1274	7.0427	6.3759	5.2227	5.649	5.1032	5.1551	5.353	5.666	5.9644	5.049	5.3507	5.4997	5.4122	7.0252	5.5183	5.3434	5.7228	5.7255	5.1448	7.2603	5.9717	5.3885	6.8089	5.3916	6.4899	7.4811	5.0464	5.5	7.9575	5.1204	7.4	6.7587	5.358	7.0294	6.7899
EA_G__GPT2	8.2848	7.186	7.7035	8.4761	6.6051	7.1231	8.9704	7.5034	8.7019	7.4346	8.3054	7.4531	8.0845	7.7741	8.3189	7.4314	7.6565	7.3449	8.436	7.0308	8.0378	7.3325	7.4295	6.4593	8.197	7.6069	7.1134	7.1712	8.2014	7.9773	10.0975	7.994	7.2404	6.9377	10.0932	7.2991	8.2247	6.5541	7.0243
EA_G__ARRB1	9.278	9.8252	9.1138	7.2888	7.3377	8.1013	10.1215	7.5478	8.8726	9.7235	8.7038	5.9949	7.766	8.4052	8.3822	9.0201	6.4387	7.4618	8.705	7.8793	8.548	9.302	11.1235	8.3332	10.9277	8.1342	8.6984	8.8635	6.6255	8.7944	8.8981	6.4149	7.6542	5.28	8.8767	9.7353	9.6113	7.8939	7.5003
EA_G__DUSP10	5.6154	6.289	6.0738	6.1593	6.2841	7.6716	5.0502	5.0317	6.7827	3.9393	4.7866	6.8954	6.7861	7.7148	5.3898	6.3596	4.7663	4.9028	4.9362	6.4396	4.7536	5.3029	6.7993	7.7107	6.5051	5.2945	7.009	6.762	6.3146	6.7102	5.793	5.2415	8.8347	6.9416	5.9059	6.273	7.4571	6.9707	5.8049
EA_G__MOSC1	7.7244	7.4006	7.5815	5.2325	5.2145	5.6455	6.4694	5.3303	7.5824	5.2939	7.148	8.4058	7.6881	6.5205	7.7703	7.7554	5.052	5.7615	5.5529	4.618	8.3247	7.9413	6.8259	5.0039	8.2946	7.9699	7.5204	7.4566	5.0831	7.7944	7.6019	5.1006	9.8581	5.3711	7.2209	6.8277	8.0112	7.739	7.165
EA_G__CLDN1	4.4763	3.6507	6.0343	7.7638	4.2107	8.0939	5.7666	3.4748	3.216	3.5243	3.5127	6.9894	10.0931	9.0437	6.4674	3.8193	7.6843	3.5462	9.1727	3.5493	4.7566	4.1826	4.1118	3.4928	5.8339	6.1981	3.949	8.7898	5.8067	4.0297	5.6269	3.9423	6.8482	5.0792	4.6202	6.5582	8.0876	8.6607	3.5972
EA_G__STOM	9.1783	6.9998	7.5333	3.6502	8.1095	9.7818	6.1824	7.5525	6.5692	6.029	7.8983	6.4679	7.2851	7.8592	7.3772	6.8963	7.1012	6.3305	8.0693	6.9746	6.7668	7.1077	6.6551	6.7003	6.9536	7.0975	7.5557	8.5757	4.6222	8.8794	7.1431	7.5708	5.8828	5.1276	6.2849	8.0856	6.2842	8.218	7.4044
