Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	UACC893	ZR751	ZR75B
EA_G__COL5A1	5.8088	5.9598	6.6038	8.5103	7.8694	5.9127	5.7567	8.008	5.5389	5.7337	5.8423	6.4536	6.5693	7.2131	6.1585	6.946	6.8077	7.729	6.061	7.9768	6.4916	6.3881	5.8399	9.3623	6.6367	6.5929	5.7747	6.1722	6.815	6.8474	5.4556	6.3898	6.7325	7.8069	5.9543	6.4945	6.0651	6.0887	6.061
EA_G__KRT86	10.3848	8.4565	8.7735	8.3179	8.6025	7.4759	8.0969	8.9404	8.3171	8.7657	8.2766	8.5663	8.6907	8.3822	8.6671	8.3819	8.363	8.1089	8.5233	7.9741	9.7851	10.0862	8.2085	7.6371	13.9235	8.0136	9.2948	13.1366	7.976	8.3402	10.8362	9.2708	9.5647	8.9904	8.0865	13.318	9.7605	8.7488	8.6665
EA_G__SDCBP2	7.0803	6.777	6.2358	6.4768	6.1228	6.472	6.6417	5.9148	6.6004	5.7353	6.1043	6.7198	8.259	8.2409	5.9954	8.2072	6.513	6.3093	6.5417	6.1284	6.373	6.4581	6.1796	5.9065	6.9886	6.4864	6.7393	9.2894	6.0816	6.7526	6.6062	6.2753	6.5551	6.1625	7.1313	6.4793	6.7561	6.1225	6.268
EA_G__PRNP	8.966	7.1683	7.8965	10.0008	9.4227	9.9432	9.4469	10.1123	6.5717	6.5746	9.6536	10.4869	10.7038	10.0801	5.4384	8.4081	9.0153	10.7803	8.4326	9.5619	7.9611	6.9297	6.4105	9.4125	8.7312	9.6684	7.846	5.9126	8.3326	6.856	8.8476	9.3299	8.787	9.619	7.018	8.8016	5.326	6.9197	7.6553
EA_G__KLF4	6.3835	7.255	6.9062	7.2215	5.392	7.1674	5.6346	6.2335	6.9329	5.8606	5.2979	6.5071	7.5176	6.9154	6.4932	7.5931	5.801	5.1927	5.1518	7.4188	6.4508	6.4168	5.5036	5.6064	7.406	6.449	7.5431	7.5855	6.8061	6.2073	5.3298	6.971	5.4838	6.1831	8.7356	8.1539	7.0355	6.765	6.5216
EA_G__C1orf116	6.2234	6.0945	4.5237	4.795	5.1047	7.9338	5.329	4.5376	4.5388	5.0055	4.9383	7.4827	7.6565	6.6173	5.2807	7.2758	6.3718	4.3621	7.5184	4.5517	5.0339	4.9068	4.6126	4.5247	5.6116	4.8598	5.1341	7.6327	4.7726	6.1067	5.2062	4.7294	7.0999	5.1284	4.6489	6.6331	6.7375	5.0081	4.8175
EA_G__PWCR1	5.3227	10.4187	8.1334	3.0837	6.9544	8.4868	2.947	3.1295	3.0359	2.8125	2.8025	8.2323	8.2084	3.26	2.4943	10.2307	8.6462	9.3808	3.2082	6.4405	2.8341	3.1931	7.4359	9.7707	8.8283	2.8326	9.0792	9.374	8.9038	8.6979	3.3384	10.521	8.6516	8.8029	3.2803	3.4601	9.9605	6.948	8.2631
EA_G__PTAFR	8.164	5.0919	6.6731	4.6387	5.4982	5.3956	5.0813	4.9525	5.5203	5.302	5.1681	6.8777	7.0204	7.9422	4.5973	5.9805	6.0909	4.4939	5.8041	5.0886	5.5005	5.1833	5.4027	5.1523	5.226	5.2899	5.5191	7.2453	4.799	6.0355	5.9116	5.634	6.9361	4.6582	6.5952	8.8782	7.9503	4.4888	6.4545
EA_G__ID3	8.7567	5.7685	7.4438	9.4338	8.9134	7.5827	7.4201	8.5902	9.1811	7.0131	6.3124	9.0101	9.1004	7.5789	9.1814	8.559	8.2351	10.2381	8.8913	8.7089	7.9608	8.4088	8.5196	8.292	8.8033	8.4871	8.0057	10.8247	6.6418	8.3927	8.2816	6.7457	10.0836	9.5694	7.3623	8.1312	8.2707	7.0466	8.4828
EA_G__TH	8.0515	6.6092	6.609	6.1427	6.448	6.294	6.2948	6.33	10.9318	6.2102	6.3139	6.5998	6.2511	6.5761	6.5354	6.8407	6.2144	6.1623	6.4761	6.1416	7.0274	6.8291	6.5394	6.3737	6.4649	6.3252	7.2187	7.6232	6.2474	7.2658	6.0621	6.4326	6.603	6.6092	6.5796	6.9925	6.821	6.4724	6.5847
EA_G__ALDH1L2	4.6506	3.8029	4.0778	8.2493	5.0807	6.0497	8.1465	8.2078	4.1275	3.7704	7.1758	6.5789	5.668	4.2326	5.146	4.624	6.2321	7.7076	8.421	7.2761	3.9378	4.2675	4.6066	7.2696	4.0337	3.8061	3.6811	3.6515	6.6819	4.2305	9.0307	8.7186	5.4012	4.4385	5.1538	4.5222	3.7395	3.9143	3.8966
EA_G__TACSTD2	9.3731	7.8646	9.4575	4.9233	8.2432	9.4373	6.4671	4.7004	8.1558	8.4789	4.6365	8.695	10.1767	10.2648	9.0438	8.9977	4.923	4.6642	11.008	4.4877	9.087	9.0993	5.3417	4.6093	9.0348	6.6849	8.5865	9.0008	4.785	8.5592	9.8751	4.9094	9.0425	5.0911	9.2428	9.102	8.3848	8.5365	7.507
EA_G__GRHL1	9.2777	8.4331	8.1596	4.5777	4.9375	6.9572	8.8017	5.6615	8.8513	8.2691	8.5193	5.7475	7.9388	8.2395	8.5409	8.8189	5.7083	3.8144	8.6706	4.7181	7.8945	7.4297	7.0309	3.8956	8.4011	4.4916	8.2061	6.5684	5.1548	8.093	8.9963	4.0578	4.9376	4.3753	8.8226	7.2173	8.5753	8.1774	7.5772
EA_G__ISYNA1	7.4039	7.168	8.9459	7.9119	7.4435	8.5353	10.784	7.6681	7.5998	9.1415	8.7706	8.3458	7.5468	7.4392	7.8465	7.1114	7.4558	7.5032	9.5082	5.3602	8.0299	8.9072	9.6594	9.305	9.2692	6.1151	8.4386	7.7421	8.523	9.8901	10.1653	9.7709	7.7433	5.7352	9.1475	6.0251	8.2395	8.7946	9.0171
EA_G__EVI1	5.0811	4.0497	4.4005	3.903	6.9382	4.5918	3.9043	4.6136	4.1728	3.8124	3.7477	6.6586	6.375	6.937	6.7405	7.217	5.6055	3.7139	7.5972	6.3319	5.4193	5.4397	6.6358	4.2674	7.1328	7.6012	5.1023	5.962	4.6745	4.6646	3.4113	3.979	4.8133	7.3787	4.8373	6.4312	4.9591	5.844	4.9089
EA_G__MAP1B	4.1506	4.4828	4.4376	7.3859	7.5013	7.1683	6.6007	8.4876	3.7581	4.3324	4.8655	5.0727	5.2252	5.1172	6.0937	4.0538	6.0101	7.7143	6.2577	8.7705	4.4155	5.0935	5.1036	7.836	4.0668	7.159	4.158	5.8074	7.4831	4.7968	5.1698	8.0577	4.7129	8.5112	8.6027	4.2357	7.2641	4.0378	4.0619
EA_G__TRIM29	8.1849	6.3446	5.7624	5.0369	5.1392	10.1741	6.4193	4.6779	5.0291	4.8452	5.5473	9.9617	10.0902	7.6807	5.3738	8.1421	9.6401	4.7333	7.5443	5.0266	5.1232	4.9924	5.1988	4.6375	5.1951	4.7967	7.0683	7.363	4.9316	6.5166	8.2527	5.119	9.3772	5.546	6.482	9.7032	5.9078	5.727	5.2751
EA_G__PLEKHA2	6.803	6.5699	6.9505	7.0212	8.2724	6.1693	6.8387	6.144	5.8322	5.3397	6.7633	8.1319	6.7739	6.2636	6.8222	7.5654	6.2065	9.2582	6.7399	6.4447	6.4472	5.9849	8.7015	8.2691	7.2099	6.2644	7.1486	6.7822	6.6698	6.1039	6.9273	8.0243	8.0466	8.578	6.8361	8.7067	6.4765	6.2896	5.8709
EA_G__PLEK2	7.8767	6.9913	7.451	4.8813	7.5723	8.7524	5.5392	5.615	5.8396	6.6606	5.4987	9.5771	8.7812	7.8662	5.7642	7.856	5.711	6.7698	6.9822	5.4334	6.5699	6.8922	5.1198	5.7967	5.6785	8.9464	5.9095	5.3534	6.2437	5.9621	7.405	5.6178	8.5805	8.2555	6.9077	5.1365	7.8178	5.7742	5.5865
EA_G__CDA	5.558	5.5341	5.1235	5.405	6.6795	6.6075	5.538	5.1654	4.9187	4.9022	5.1158	7.1164	7.5887	5.9868	5.1989	5.3002	5.256	4.8953	7.3729	5.285	5.5972	5.0279	5.4287	5.0825	5.9062	6.1751	4.9709	6.7809	7.0995	5.6922	6.229	5.2511	9.238	7.0107	6.053	5.6949	5.1664	5.2699	4.9831
