Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__LCP1	6.4332	6.6131	8.2296	6.2662	6.4693	5.9101	6.1359	6.1282	6.1918	6.9759	6.4522	8.2536	7.8778	6.2406	6.6489	6.4331	9.0611	7.1854	6.3068	6.5316	6.456	6.3403	6.4994	5.9818	6.8268	6.3551	6.8295	8.4467	6.369	7.2037	6.2423	6.9817	8.3904	6.1335	5.6842	6.1136	6.2428	5.9047	6.7422	6.5874
U133A__NNMT	7.4816	6.4025	8.9292	4.3441	4.2984	10.43	4.4886	4.4447	4.5027	4.0426	5.1421	4.462	6.0129	6.8071	4.8556	4.2145	5.8981	7.0081	7.6329	7.5692	4.5485	4.4465	4.6024	10.1086	4.1548	4.4358	4.2956	4.9538	4.3555	4.6834	8.5814	8.774	9.9583	4.671	5.6167	5.758	4.3408	8.3456	4.1626	4.082
U133A__GPRC5C	7.4235	6.1309	5.8727	6.7046	6.796	5.3902	6.9703	5.6507	5.5117	6.314	5.8513	5.5639	5.7202	5.8357	8.0014	6.4456	5.8599	6.2879	5.6807	6.194	6.4966	6.7739	7.9681	9.0957	7.5182	5.7214	8.3154	6.1173	7.1564	6.0889	5.7109	5.5935	5.16	6.7736	6.437	6.2738	7.4572	7.4876	7.2886	6.3964
U133A__FXYD5	9.4366	8.8706	10.2383	6.3544	6.9093	10.5229	6.5905	9.7949	7.3967	6.6968	9.5407	10.4388	9.0421	11.5641	7.4501	7.8566	10.3211	8.4657	10.2902	9.5227	6.2427	6.8433	6.25	10.5826	6.4736	9.5884	6.6844	7.9084	8.14	8.7157	7.1906	10.2745	9.6556	8.4212	8.9687	6.5669	8.3634	9.4597	6.2665	6.3151
U133A__FKBP11	7.9289	6.4379	5.5652	6.3087	6.0502	6.2289	6.1656	6.6499	7.5506	5.6176	7.9529	9.0723	7.8138	5.4419	6.5442	5.5132	5.3126	7.9303	6.8288	8.0248	6.7806	7.6343	6.1916	6.2166	7.3477	5.901	7.3897	7.3281	6.3326	6.706	8.2381	7.5382	9.006	6.0829	6.3245	6.5844	6.1287	7.3544	7.7315	6.2447
U133A__SLC43A3	8.4498	6.0402	5.8992	6.212	6.1253	6.9124	6.1527	7.4181	7.4411	6.0274	7.9581	7.8423	8.1366	6.946	6.7228	5.7151	8.4918	7.4582	7.9368	5.8347	6.1997	5.9817	6.1113	7.6993	6.2875	8.9615	6.1498	5.9736	8.3214	6.166	7.6939	10.4636	6.3855	6.2893	7.9302	6.2692	6.843	6.1697	5.9313	5.7173
U133A__PSIP1	3.5886	6.4073	6.6162	5.1188	6.6778	8.2756	6.8945	6.4199	7.555	4.4933	6.2788	6.1165	7.4217	8.1103	6.3365	4.5639	7.2935	9.1106	9.2339	6.9717	5.5604	6.5724	7.9387	7.1031	5.4963	6.9404	4.8731	6.4635	5.4842	6.0784	4.2305	8.8722	6.341	5.5796	5.5895	6.4744	5.9734	6.9431	5.742	7.0488
U133A__RPS11	8.733	5.8508	7.0788	7.4744	7.2067	7.6569	6.6613	7.6723	6.1	7.294	7.0191	5.7544	6.6921	7.6675	7.8685	6.7869	6.3032	7.2814	5.7429	8.4126	9.6242	7.3204	7.1407	7.695	7.8463	8.7658	7.2222	7.9554	7.207	10.1389	6.8246	6.6546	6.9884	7.0745	6.1506	6.37	6.8314	5.6956	7.144	5.9172
U133A__CYB561	9.3231	8.9941	7.8642	7.9717	8.632	6.2388	8.0748	7.6969	6.9168	8.6582	8.3664	8.4426	7.8981	7.7693	9.4771	7.5397	7.7448	7.7648	8.0632	6.9285	9.7372	9.1411	8.1277	7.0833	8.4517	7.3983	10.3813	8.2127	8.7824	8.5366	5.2097	7.0984	6.7225	10.2413	8.9039	9.4326	8.5092	8.6084	8.7911	9.3286
U133A__MXRA8	6.6814	6.4226	6.3526	6.5751	7.5162	6.4677	6.6606	6.8139	7.0584	6.6413	6.635	6.1241	6.1358	6.3597	7.4456	6.7322	6.5515	6.2424	6.1817	8.7616	6.6178	6.5441	6.7218	7.6211	6.8253	6.8696	9.6105	6.5215	6.4176	6.9123	10.373	6.457	6.6133	6.658	5.9355	6.3683	8.0331	7.8369	7.0696	7.8033
