Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__KRT6B	5.9665	5.8116	5.5577	5.8059	5.3078	11.9954	5.9931	8.7915	5.7222	5.9716	5.6386	7.5151	7.1274	6.4871	5.8183	8.5156	6.2271	9.2072	5.3215	5.9452	6.0416	5.4047	5.5949	5.1991	5.703	5.219	9.6538	6.1517	7.4943	5.6991	6.0661	6.0697	5.5985	5.8874
EA_G__RAB27B	9.4487	5.9879	9.7252	8.7548	9.9569	7.2326	6.9088	5.5529	9.6875	7.5786	4.7529	6.7212	7.2258	8.1578	8.5582	6.7514	6.7386	8.7507	6.4168	8.1154	8.2999	6.2771	9.7182	9.0257	8.2384	5.5805	6.4372	8.4761	8.9339	8.1278	7.9657	8.0961	10.0686	9.0485
EA_G__PTAFR	7.4164	7.4837	5.0919	6.6731	4.6387	5.3956	5.0813	4.9525	5.5203	5.302	5.1681	6.8777	7.0204	7.9422	5.9805	6.0909	4.4939	5.8041	5.0886	5.5005	5.1833	5.1523	5.5191	7.2453	7.5177	5.634	6.9361	6.5952	5.7547	8.8782	5.3394	6.4285	4.4888	6.4545
EA_G__PTPRM	6.1723	6.3564	5.8235	4.0196	4.3371	6.9291	4.1798	6.622	4.0832	3.8877	6.3608	4.1431	5.9112	5.6496	3.9882	6.5661	8.2248	6.089	7.8979	4.417	4.1385	7.2107	5.921	4.5732	4.3981	6.7359	8.1968	5.2382	5.5253	5.3613	4.3122	5.5276	7.1118	5.9902
EA_G__CAPN13	7.1311	6.8198	6.7239	6.7757	4.5748	4.4929	4.5142	4.4092	7.9041	4.5065	4.7075	4.6089	5.0453	6.041	6.0129	5.6988	4.2756	5.5895	4.4542	5.7773	6.2634	4.4638	7.3388	6.8161	7.547	4.4298	4.957	8.1653	7.2106	8.5483	6.0565	6.693	5.6346	5.9757
EA_G__COPS8	7.8668	8.5364	7.7598	8.0338	8.5485	7.6158	7.3489	10.6433	8.003	8.2763	8.0118	7.6235	6.8459	7.6459	7.4184	8.1777	8.985	7.7039	8.5295	7.9888	7.9185	8.5887	7.9461	7.522	7.357	8.175	8.882	7.6282	7.8201	7.8232	7.7211	7.7819	7.7286	7.6205
EA_G__LRRC3	7.2809	6.8439	7.1599	7.518	7.7761	8.5148	6.6376	7.6159	6.5069	8.0904	8.6436	7.2912	6.8583	7.6733	6.5203	8.0376	7.3998	6.5337	5.8985	7.3548	7.4232	9.5961	6.1708	6.2347	6.4558	7.9527	6.8185	6.5213	7.626	6.9724	6.9385	7.3138	6.7603	6.6171
EA_G__ZNF813	6.2326	7.226	6.7361	7.2282	6.8674	4.1479	6.621	6.2869	6.5393	7.3003	6.3642	6.6557	6.7048	4.6271	7.3694	5.5668	6.7917	5.8578	5.268	5.8046	5.9842	4.9736	6.4775	7.8527	5.7723	6.4753	4.5741	5.4974	6.9684	8.2917	5.8546	6.2948	5.0226	5.1622
SNP__LOC402095	0.006	0.191	-0.053	-0.097	-0.173	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	0.429	-0.033	0.067	0.161	-0.168	-0.096	0.009	0.03	-3.42	-0.806	-0.066	-0.373
EA_G__C20orf54	7.8454	7.58	8.7599	8.2466	4.561	7.1855	6.3617	4.0836	7.3675	5.81	5.7621	7.1471	7.8136	6.9528	8.6817	6.6259	4.5418	9.0217	4.4105	5.525	5.5658	4.7941	8.0301	7.9836	7.5251	5.0305	5.8399	8.2048	7.281	7.4639	8.2019	7.7561	8.9315	7.757
EA_G__SLC7A11	5.1809	7.4396	4.1599	5.0311	6.5597	5.8494	3.5826	8.4557	4.9675	5.0098	5.4931	7.8307	6.4145	6.5624	3.8433	5.6015	6.7087	5.6799	7.1183	5.8004	5.4594	5.2728	4.96	5.0106	4.9229	7.2331	5.2141	6.9123	7.5002	4.0292	4.5781	4.0326	4.6664	4.9372
SNP__LOC646663	0.003	-2.47	0.093	-3.962	0.219	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.593	-0.392	0.016	0.095	-2.244	-0.019	-0.177	0.619	0.189	0.666	0.042	-0.159	-0.223	-1.959	-2.285	0.802	-0.286	0.078	0.066	0.001
EA_G__C9orf150	6.3988	6.5076	7.0707	10.7652	8.6927	7.1481	7.4135	7.6684	8.5063	8.2506	5.0014	5.7357	6.51	8.3959	8.0107	6.6126	6.4634	9.9622	6.4075	7.596	7.9432	7.9167	8.115	9.0118	6.7351	7.0564	6.7245	6.9489	8.5812	7.2989	10.3317	7.9699	7.1346	6.9196
EA_G__FOXA1	9.78	8.3542	10.3303	10.2426	5.7805	6.6946	6.2072	5.6298	10.1068	9.1466	5.6115	7.0308	7.1831	8.5271	9.8686	7.3927	5.4563	7.5836	5.5995	9.5923	9.8998	5.6855	10.1447	9.4248	8.8238	6.1961	6.457	9.5103	9.6063	9.8896	9.6996	9.7959	10.3109	10.1618
EA_G__PVRL4	8.9017	7.5802	8.6614	9.612	6.0215	7.6435	8.619	6.0006	7.4022	6.9983	5.9267	6.4973	7.5051	7.1911	8.8506	6.8664	5.7394	9.0419	6.0255	8.6467	7.9387	5.9404	7.6553	7.9653	8.6132	6.1518	6.6455	9.0033	8.5554	8.2224	8.8527	8.4894	7.7461	7.9785
EA_G__TRIM6	7.2488	7.2999	6.076	6.0834	5.086	4.6371	5.6672	5.705	6.0619	6.1178	4.8287	5.5934	7.0117	8.8319	7.1758	5.1548	6.4833	6.7519	6.4664	4.9787	4.5116	6.648	5.3345	7.1478	7.1092	9.3287	5.2693	4.6399	5.9979	7.2504	5.2099	4.6486	5.8591	4.822
EA_G__IGFBP6	7.2425	7.07	7.0777	7.168	7.3605	7.7389	7.3101	7.6525	6.9199	6.9838	7.1167	9.0474	8.6513	7.0995	7.4678	7.1169	7.8968	7.6673	8.6268	7.6983	7.3566	7.7843	6.8878	6.8185	7.4943	7.1879	8.4835	7.2053	7.5283	7.5096	7.7037	7.4415	7.1412	7.1158
EA_G__BCAS1	7.6511	4.7589	10.5313	7.3913	4.4087	4.3423	4.4869	4.5984	10.3867	6.7622	4.1964	4.6724	4.3328	5.14	9.0372	4.5142	4.3656	4.3987	4.438	7.9077	7.2716	4.3473	7.3564	9.719	9.8324	4.4616	5.0177	7.8706	7.4028	7.9093	7.3722	7.4533	8.0127	8.1104
EA_G__DOPEY2	8.2239	6.5423	8.2781	7.6848	6.7292	6.4959	7.261	5.4701	8.972	8.176	5.1726	5.2203	5.5628	6.4086	8.0014	5.6175	5.1986	6.0869	5.9919	7.9673	7.5194	6.3299	7.8844	7.5647	7.5263	6.4388	5.1658	8.4635	7.2463	8.5448	7.6241	7.9335	7.2307	6.2296
EA_G__TSPAN13	8.9952	8.1642	10.1182	9.6628	5.2331	7.1263	8.3643	6.2564	10.0071	9.488	7.0469	8.4981	8.9186	8.9	9.8295	7.9678	6.1771	9.4757	4.5718	8.6216	9.4154	6.6857	9.4215	9.7858	9.2686	9.1487	6.0293	10.2356	9.635	9.965	9.7869	9.9264	9.7648	9.4508
EA_G__SLC6A15	3.7785	3.3198	3.273	3.5835	3.7372	6.8971	5.2064	5.4965	3.1428	3.5551	7.6077	6.8517	3.0742	3.4851	3.4727	3.4102	7.1976	3.5516	3.4367	3.5232	3.5706	5.6345	3.2714	3.3421	7.2049	7.9561	7.7974	3.4867	3.84	3.9042	3.6704	3.4567	3.4996	6.9265
